视频bvid,视频aid,videos,视频分类,版权所有,视频封面,视频标题,上传时间,公开时间,视频描述,播放量,点赞量,投币量,收藏量
BV1jT4y1w7En,927409491,1,短片·手书·配音,1,http://i1.hdslb.com/bfs/archive/ecce98f844659cc5af6400ce321e74bcc861b603.jpg,【动画】闰土与猹的世纪之战，引发了课本宇宙的时空错乱,1602421317,1602421317,前前后后做了一年半。,4235661,469217,361163,205577
BV1g54y1C7rD,842448290,1,时尚潮流,1,http://i2.hdslb.com/bfs/archive/edd6c0ffc600b7b42d07ef8ac22f49276db10cf3.jpg,每天一遍，防止早恋,1602555272,1602673547,"BGM: 世界は恋に落ちている
AWSL！满足我对日系小姐姐的所有幻想~
西野七濑丨斋藤飞鸟丨宫胁咲良丨铃木爱理丨鹤岛乃爱
加藤娜娜丨坂井仁香丨小坂菜绪丨大园桃子丨爱花Erica
藤田妮可丨山下美月丨藤井纱姬丨饭丰万理江",6851203,223622,116439,188212
BV1tZ4y1L7SK,372480049,1,鬼畜剧场,1,http://i2.hdslb.com/bfs/archive/58caefd27e0e39bb930156b170e736206ef92ea4.jpg,【芜林外传】经典折磨,1602314954,1602314954,"点赞即可到达第五层
投币即可到达大气层
三连即可起飞
素材来源武林外传第29集",4289166,266140,182497,86999
BV1L541177BG,457422537,1,影视杂谈,1,http://i2.hdslb.com/bfs/archive/4fd784a122fda539cba9234d89caf5f7a15b9b1b.jpg,爷青回！四代蜘蛛侠真的要同框了？奇异博士，电光人都来了？,1602671398,1602671398,爷青回！四代蜘蛛侠真的要同框了？奇异博士，电光人都来了？,2666600,140314,21157,16292
BV1wk4y1y7FM,754971939,1,鬼畜调教,1,http://i2.hdslb.com/bfs/archive/4f842c88258479592a1af1176867b8a89b4561a4.jpg,情 场 高 手,1602256406,1602320407,"好兄弟，不对劲，咱们聊聊兄弟情！
BGM：Airplanes -B.o.B、Hayley Williams",3844984,312804,154689,82068
BV18p4y1Y7ZF,969923935,1,动漫杂谈,1,http://i0.hdslb.com/bfs/archive/284ee723e4e6bcc984c7adc072cee59f0eb312c0.jpg,这动画主角是个屁【阅片无数动漫篇12】,1602261899,1602338427,"第十一期BV1Ny4y1C7oZ：处男到了十八岁就会死！
第十期BV1d5411b745：学到了！柯南竟推理出小兰内衣情况
第九期BV1Yt4y1i7hH：史上最高杰作！恋爱游戏里竟然没有妹子
第八期BV1s5411h7eY：猛男决斗，输的变成妹子
第七期BV1jk4y12728：神：你必须要和100个女生交往！
第六期BV1MK411T7BG：只有老网抑才能听出来的歌
更多生活中的凉风请参见→微博@凉风Kaza
另外一些不适合在视频解答的题，之后会放在微博",3852785,351366,111841,28674
BV1Vz4y1o72G,584993713,1,财经商业,1,http://i0.hdslb.com/bfs/archive/746514e89dfb87207c7f201f8fc44516f80df285.jpg,【JUMP】拼团名媛暴打消费主义。,1602587212,1602587211,正道的光从天而降，暴打消费主义。,2177873,127485,38299,14758
BV1Z5411j7e7,457397520,1,单机游戏,1,http://i0.hdslb.com/bfs/archive/dd3d6bfb290d218eebd6ca84a607dfe84432bb27.jpg,爷 很 萌,1602395595,1602395595,"年度最可爱游戏
喜欢本视频的朋友不要忘了一件三连！",9016000,445252,224108,113345
BV1RA41177H8,329922288,1,日常,1,http://i0.hdslb.com/bfs/archive/2deb3a343fd637cea1fba4830f5daaacab80256c.jpg,我我我结婚啦！！！！,1602643533,1602643532,谢谢大家去年的祝福！我总算结婚啦！,11337699,1182161,1272666,188619
BV1tV41127CQ,414909569,1,社科·法律·心理,1,http://i0.hdslb.com/bfs/archive/71fe1d7e185aef555540f087c6160fca0b31d232.jpg,3个诀窍让你全天不困，沾床就睡 | R90高效睡眠法，失眠人士必看,1602255068,1602320407,这期视频我们说到了运用睡眠周期、完善睡前程序调整身心状态，以及布置“好睡”环境三大重点，涉及了13个小知识点。一起晚上睡香香，白天有精神。,1922600,121544,77190,135011
