视频bvid,视频aid,videos,视频分类,版权所有,视频封面,视频标题,上传时间,公开时间,视频描述,播放量,点赞量
BV12J411X7cD,77224508,1,动漫杂谈,1,http://i2.hdslb.com/bfs/archive/93679b86f3e6689ab6283f9dc7481b77c8dcc30f.jpg,73分钟看完柯南所有剧情！史上最全时间线整理！,1574857214,1574913609,"73分钟看完柯南所有剧情，完整的时间线剧情大串联，从柯南变小的第一集讲到目前连载的1043话。
如果你没有看过柯南任何一集，看完这个视频也能知道过去25年柯南连载的所有主线剧情；如果你看过柯南的部分剧集，这个视频将会为你梳理柯南的时间线。
制作这个视频整整花了我三个月时间，如果大家觉得还不错的话，欢迎【长按点赞按钮】一键三连支持一下，希望收藏可以过万，之后也会继续做跟柯南相关的影片！感谢！",12616345,1068565
BV14J411X7xk,77164152,1,搞笑,1,http://i2.hdslb.com/bfs/archive/9be6bc68a5747f0248e1625346f11fd256c10d0a.jpg,梦幻共舞！猛男原班人马手把手教你跳加减乘除（猛男版新宝岛）,1574799676,1574845240,"上集指路：av76594767
这一集是非常实用的教学干货！希望想学跳的小伙伴们能用得上~",4415213,363937
BV1QJ41197sq,76880695,1,搞笑,1,http://i1.hdslb.com/bfs/archive/3242f2d094f9bce99b35d6399d71ea9b7ecffd5f.jpg,B站三大恶人,1574592641,1574592641,"北有工耿 南有华农
一旦不出 谁与争锋",10080768,495248
BV1aJ411X78q,77146593,1,综合,1,http://i2.hdslb.com/bfs/archive/8503433658d072ebc023fb0972bd5c6d39e11a20.jpg,一分钟后抢走你的硬币，小 丑 派 大 星,1574823629,1574823626,用心在画了！！！,9994957,889492
BV1xJ411d72m,76694623,1,翻唱,1,http://i2.hdslb.com/bfs/archive/71db12f16ee6c2154737610c555c68f32b06f657.jpg,【防抑郁必备】改编魔性神曲《coincidance》送给键盘侠和杠精们,1574486019,1574504894,"作品类型：原曲翻唱
原唱：handsome dancer
原曲出处链接：
作词：拉宏桑
作曲：handsome dancer
这次我可是拖家带口为大家拍视频，希望你们能喜欢
生活里大家难免会遇到键盘侠和小杠精等等，负能量总会添堵，一起在抖肩中让他们退散吧~[机智]",3767964,398691
BV17J411d7FJ,76667340,1,搞笑,1,http://i1.hdslb.com/bfs/archive/33bbf25ed6560b0e59f9322171203f799ca59158.png,英 雄 联 盟 全 英 雄 介 绍（共146个）,1574457999,1574457999,"三连支持下兄弟萌！！
有的英雄实在不好找如果不太像大家见谅哈哈哈。
为了降低违和感开关英雄界面的地方一帧不差的剪得，8个小时累死我了。",12021792,769145
BV1LJ411X7iZ,77125809,1,搞笑,1,http://i0.hdslb.com/bfs/archive/99822b6e4a4561e402183e0fe2c1633b85335752.jpg,【朱一旦】112 沉默在尖叫,1574772452,1574772452,"微博@朱一旦的枯燥生活
YouTube  【朱一旦的枯燥生活】官方频道
公众号：朱一旦的枯燥生活
Bgm：Bloom of Youth——清水準一
Prologue——Carter Burwell",5017706,319713
BV1vJ41127tC,76538771,1,穿搭,1,http://i2.hdslb.com/bfs/archive/86f8dcbcbcfa1973140a93197a7d62cc33936f3f.jpg,【三周年】9分钟看完200个破产女神小姐姐！（Lolita/JK制服/汉服),1574415043,1574415039,呐，一见倾心系列做了三年了！年常不按时发视频！在这里，感谢来自200+套作品的参与者——摄影，出镜和后期等工作人员。感谢所有的授权人员！感谢所有支持和喜欢本系列视频的你！,2591230,154298
BV1YJ411X7x3,77151622,1,网络游戏,1,http://i2.hdslb.com/bfs/archive/6e240c15f17a03bea5ccc102722f29872d462975.jpg,网易是世界最好的公司,1574827255,1574827245,"这个视频主要是做给行业同僚的，不太懂的可以先看@独立菌儿 的av76983178
暴力辞退老员工 克扣薪资 恶意诽谤 网易不愧是一线大厂
所以中国为什么做不出踏踏实实的3A？
就是因为有这帮吊人整天玩办公室政治，想着怎么薅钱养老
祝吊人们早日退休，别再迫害互联网行业",6558868,470545
BV1aJ411R7Wy,77010158,1,影视杂谈,1,http://i2.hdslb.com/bfs/archive/fec46a7d4a109bef1ab5e6936614bbc22b50eb50.jpg,【片片】这是什么神仙沙雕剧，笑得我打鸣一百次，爆笑吐槽《从前有座灵剑山》,1574688057,1574688057,"今天来跟大家说一部沙雕修仙雷剧，《从前有座灵剑山》真人版。它既能雷得你外焦里嫩，又能让你笑到打鸣。
关注微信公众号：小片片说大片，更多宠粉福利等你来！",3543908,130020
BV1RJ411R7tF,76560081,1,MV,1,http://i0.hdslb.com/bfs/archive/b325e8e94381e278fb56adf000d6985d8b7961bc.jpg,【官方MV】G.E.M.邓紫棋《句号》,1574391376,1574395216,"#bilibili音乐 · 官方发布#
G.E.M.邓紫棋《句号》MV首播！
点击破亿『全创作天后』G.E.M.邓紫棋和过去告别，向未来大步迈开，开启音乐版图新起点的一个<句号>。
这是华语乐坛前所未见的真实披露之作，她用<句号>这首歌，预告了全新的音乐篇章，翻页之后，就要开始。
更多官方内容，请关注 @大家的音乐姬",6392496,304633
BV1wJ411o73s,76775549,1,热点,2,http://i1.hdslb.com/bfs/archive/b1f4ed90b8d27983964a9d91e93b478092f01105.jpg,香港警察：你们吃面包，我去吃海底捞！结果他们真去了……,1574519786,1574519786,"https://youtu.be/7TKePSVqios
香港警察：你们吃面包，我去深圳吃海底捞！结果他们真去了……还发了微博，带图的……",10962768,548254
BV1YJ411R7CE,77014357,1,日常,1,http://i0.hdslb.com/bfs/archive/1a5d099fc4c221b594b78b5aaaaeef97e76cbee3.jpg,我被家暴了，这次我不再沉默,1574685884,1574685883,我被家暴了，过去的半年我仿佛活在噩梦里，关于家暴的这一切，我必须说出来！,7969819,588731
BV1kJ411d7P1,76717475,1,日常,1,http://i2.hdslb.com/bfs/archive/edb0f76c84d0753df08a6a5300cf81fb75e4be3b.jpg,【慎看】那些颠覆你价值观的“两性生理差异”！,1574495930,1574495930,男生和女生有哪些不同呢？,6068206,598112
BV1zJ411271R,76524390,1,综合,1,http://i0.hdslb.com/bfs/archive/f6a0244e89a5a4b2e830c11cadc46338e335bc37.jpg,中国人唱给美国的魔性RAP,1574347688,1574347688,"中国人唱给美国的魔性RAP
YouTube：https://youtu.be/jfblr3cM6h0",6710656,676250
BV1dJ411R77H,76597284,1,美食制作,1,http://i1.hdslb.com/bfs/archive/2fb3f912cf508446cc433e0f9dc4224d0f8c1a35.jpg,我叫焦糖布丁，我被这个人做成了吃不起的样子,1574414656,1574414655,"这一期的灵感来自油管MasterChef中的《How To Make A Crème Caramel》
焦糖布丁其实并不难做，主要是掌握好烘烤时的温度。不过为了做好外面那层用糖做的笼子，我可是花了好久呢！
这次给的配方大概可以做六人份（笼子除外）哦！

布丁：
纯牛奶300ml，淡奶油150ml，糖45g，香草精5g，一小嘬盐，3个全蛋，2个蛋黄

焦糖：
糖100g，冷水20ml，热水30ml

糖笼：
糖200g

Music: 本日のレシピ Today's receipe by Imata",10367530,946582
BV1nJ411R7Py,76976000,1,搞笑,1,http://i2.hdslb.com/bfs/archive/761a8b3d785905c14cc12b7221e5e01088508eba.jpg,【倒放挑战】我们俩像弱智...,1574665777,1574665777,微博@徐大虾咯咯 @东尼ookii,10829447,405799
BV1pJ411R7Ut,76983178,1,网络游戏,1,http://i1.hdslb.com/bfs/archive/044f27136ac5ddf06c5ba6cbb8481cf6aafc5388.jpg,网易辞退身患绝症的游戏策划 冷风吹散了热爱,1574669303,1574669302,网易辞退身患绝症的游戏策划这件事，再次说明，资本市场的强大，那么，有能力的，准备自己的B计划，没能力的，就配好企业之外的保险，除此之外 就是身藏利刃 和那些越界的东西做斗争。,3353158,231922
BV1KJ411X7xV,77092716,1,美食制作,1,http://i2.hdslb.com/bfs/archive/4feed5c18b5ce741966b65daa3a83b1d9c7dd52e.jpg,这个up主开挂了！居然在家甩出了印度飞饼,1574754939,1574767840,"拖更这么久真不是在偷懒
15号开始试菜
23号才做出勉强满意的成品
开机的时候穿卫衣
剪完视频穿棉袄…",8616150,611043
