视频bvid,视频aid,videos,视频分类,版权所有,视频封面,视频标题,上传时间,公开时间,视频描述,播放量,点赞量
BV17v41147o4,245638655,1,搞笑,1,http://i2.hdslb.com/bfs/archive/fc555a4c7ad350a208d49d991f3493d57ab569b3.jpg,《钟点工》英文完全版,1608046743,1608046743,-,3470187,289261
BV19K4y157od,885529399,1,鬼畜调教,1,http://i0.hdslb.com/bfs/archive/db8475f36a505a15a66d7a96de83dc602804459d.jpg,火影忍者上春晚了？,1607622916,1607678418,春晚隐藏节目被我找出来了，不会有人复制这条吧？,2063255,169264
BV1xz4y1C74V,585605150,1,影视剪辑,1,http://i1.hdslb.com/bfs/archive/b375138788aaadb11d84ada21903fb661f22e0b9.jpg,我曾有个梦想,1607585439,1607585439,-,1442620,75519
BV1Wz4y1r7WV,585732516,1,翻唱,1,http://i1.hdslb.com/bfs/archive/abb92ad702e576dd95162f28e72aea07d42a1079.jpg,英文版《光年之外》好听到爆！,1608022834,1608023130,"光年之外 Light Years Away
作曲：邓紫棋
中文作词：邓紫棋
英文作词：肖恩Shaun Gibson
原作：邓紫棋《光年之外》

Waking up not knowing where why or when
转醒后不知置身何时何地
Am I dreaming? Must be dreaming
我是否还身处梦境 我想一定是我还没清醒
But there you were so beautiful and then
但你就在那里 别样美丽
Gently sleeping, softly breathing
睡得轻甜 流淌着温柔鼻息

How could I just keep on walking by
我怎能就这样假装路过
And praying that you’d open up your eyes
却同时期待着你能醒来看看我
Just one time, see your beauty inside
一次足矣 我只想一窥你内心的美丽

You and I were born into another world
你我都仿佛异世的生灵
We still fell in love like every boy and girl
但却依如懵懂的孩子深陷爱河
If our future lands us way beyond the stars
如果我们的未来指向漫天繁星
Hold my hand I’ll walk with you at least that far
牵我的手 我会与你同行

I never thought that I could be crazy like I am now
从未曾想我会如现在一样疯狂
A fallen angel trembling tumbling down down down
如堕坠的天使 颤抖的身躯
All I see is an effigy of you and me making a vow
眼前只有你我签订誓约的场景
I believe if we can feel we can get by somehow
我坚信我们能坚持下去

One glance I knew I’d fallen there and then
一眼我便坠入你的魅力
It’s no secret, got no regrets
这爱毫无保留与秘密 也不曾掺杂半分悔意
I’ll follow you until the very end
我会与你一直走到尽头
Every twist and every bend
踏过每一个坎坷曲折

I’m gonna fight for you I’ll sacrifice
我甘愿为你牺牲自己
Cos now I found my one and that’s the price
只因我找到了你 人生价值的意义
Love’s the prize I’m holding onto for life
爱即是至高奖赏 我终生坚守的东西

You and I were born into another world
We still fell in love like every boy and girl
If our future lands us way beyond the stars
Hold my hand I’ll walk with you at least that far

I never thought that I could be crazy like I am now
A fallen angel trembling tumbling down down down
All I see is an effigy of you and me making a vow
I believe if we can feel we can get by somehow

And if you feel lost the stars
无助迷惘的时候
Will guide your way back home
群星会指引你回家
See how they shine
看他们闪耀的光辉
It’s a burning love inside
那是他们的熊燃爱意

How did I lose my mind?
我是怎样变得如此癫狂
How did I start to find?
我又该怎样开始找回自己
Don’t know why, love is blind
不知其因 但爱确是让人盲目的东西
And now I’m deep inside
我已深陷其间
I never thought that
我从未预见这样的自己",4476012,318241
BV1ip4y1z714,970585717,1,综合,1,http://i2.hdslb.com/bfs/archive/379069df87b6c23f6ce3784fe12d2fb2fcf8368e.jpg,猫和老鼠-2077,1607747436,1607766780,"感谢各位合作投稿的参与
借物表：
猫和老鼠官方手游：汤姆的S皮肤天王巨星
猫和老鼠手游地图：大都会
车：はむくん
侧面奔跑的奥尔加团长：BV1mt411p79w
高级轿车：BV1L741187Xr?t=31",3588696,233693
BV1zy4y1v74A,800615236,1,单机游戏,1,http://i1.hdslb.com/bfs/archive/1fe78aaed8bc4ace4f5c3b097069d6145048cd02.jpg,当MC大神距上课迟到还有一分钟！,1607361501,1607821219,"前前后后熬夜制作一个月的成果！一定要三连啊啊啊啊！！真的对我很重要很重要很重要！！！！！感谢！！！点赞过2W原地螺旋升天开新巨坑！！！！！
░░░░░░░░░░░▄▄
░░░░░░░░░░░█░█
░░░░░░░░░░░█░█
░░░░░░░░░░█░░█
░░░░░░░░░█░░░█
███████▄▄█░░░██████▄
▓▓▓▓▓▓█░░░░░░░░░░░░█
▓▓▓▓▓▓█░░░░░░░░░░░░█
▓▓▓▓▓▓█░░░░░░░░░░░░█
▓▓▓▓▓▓█░░░░░░░░░░░░█
▓▓▓▓▓▓█░░░░░░░░░░░░█
▓▓▓▓▓▓█████░░░░░░░░█
██████▀░░░▀▀██████▀
░░░░░░░░░░▄▀▀▀▄
░░░░░░░░▄▀░░░░░▀▄
░░░░░░░█░░░░▄▀░░░█
░░░░░░█░░░▄▀█░░░░░█
░░░░░█░░░░░░█░░░░░░█
░░░░░█░░░█▀▀█▀▀█░░░█
░░░░░█░░░█░░█░░█░░░█
░░░░░░█░░▀░░█░░▀░░█
░░░░░░░█░░░░█░░░░█
░░░░░░░░▀▄░░▀░░▄▀
░░░░░░░░░░▀▄▄▄▀",6368500,518927
BV1RA411W7Ra,330568326,1,搞笑,1,http://i1.hdslb.com/bfs/archive/6ddabbbc5a9ef428635a4d618c2e5806b1a21d0c.jpg,（这也能解说？！）史上最燃的弹珠大赛！明年奥运没这项目我不看！,1607780828,1607918403,"弹珠们都如此努力！我们又有什么理由懈怠！！
（喊得我嗓子都哑了！）
喜欢这种类型的观众姥爷给我一个关注＋三连吧！拜托啦！这对我真的很重要！！！
求三连！求关注！求三连！求关注！求三连！求关注！求三连！求关注！求三连！求关注！求三连！求关注！求三连！求关注！求三连！求关注！求三连！求关注！求三连！求关注！求三连！求关注！求三连！求关注！求三连！求关注！求三连！求关注！求三连！求关注！求三连！求关注！求三连！求关注！求三连！求关注！求三连！求关注！",10266774,862549
BV1Zz4y167Rp,585684747,1,数码,1,http://i2.hdslb.com/bfs/archive/28c1c08bfd407fc6e272833fee593281852ee5ed.jpg,50帧暴涨100帧！ 中 低  高 显卡运行赛博朋克优化指南！【教程向】,1607860992,1607860992,这次阿狸狸带来的是多张显卡运行赛博朋克2077的优化设置方案，有各位呼吁较高的1050ti 1060 2060 3060ti 3070！当然也有旗舰卡！   喜欢我的视频记得一键三连哦！,3232822,226999
BV13K4y1L7Dn,885618953,1,日常,1,http://i2.hdslb.com/bfs/archive/5138370532810556dee1aca317c9433aa182600e.jpg,抱歉，我是没拿到Offer的丁辉,1607602791,1607602791,"昨晚，最新一期的《令人心动的Offer2》里，丁辉被淘汰了
有人说，作为普通人的代表，看到丁辉被淘汰，自己心里也有点难受
但丁辉觉得，背水一战虽然败了，但是虽败犹荣
我们联系到了丁辉本人，并制作了这一期视频，丁辉前半生的故事，献给每一个普通的你",2670063,200468
BV1dT4y1M7Ko,928218080,1,财经商业,1,http://i1.hdslb.com/bfs/archive/80135a8c50531584accdd92cfcfb3d7e3456fb97.jpg,【半佛】“疯狗流”陈鹤皋的魔幻江湖。,1608042644,1608042644,他是真正的魔幻之光。,4972858,278849
