视频bvid,视频aid,videos,视频分类,版权所有,视频封面,视频标题,上传时间,公开时间,视频描述,播放量,点赞量
BV1A44y1u7PF,981214823,1,日常,1,http://i2.hdslb.com/bfs/archive/07fded1cabf53dfe175fc496114bf8ceea1b4523.jpg,《不被大风吹倒》：莫言写给青年朋友的一封信,1651543282,1651546828,"“如果人生中遇到艰难时刻，该怎么办？”
 
面对这个提问，五四青年节到来之际，诺贝尔文学奖获得者莫言给全国青年朋友们写了一封特别来信。
 
“一个人可以被生活打败，但是不能被它打倒。”面对镜头，莫言与年轻人们分享了遇到艰难时刻时，给他带来知识与力量的一本书和一个人，希望能给面对人生困难的年轻人带来启发、信心和力量。
 
《不被大风吹倒》视频由哔哩哔哩联合中国新闻社、解放日报、新京报、南方都市报、澎湃新闻、观察者网共同发布。",5131265,433444
BV1W541127zq,468710207,1,短片·手书·配音,1,http://i0.hdslb.com/bfs/archive/51a316a318f3c097f692261e8b08b7fe3ee533d9.jpg,【原创分镜动画】Eyes that Watch the World,1651317173,1651317173,"这个剧本来自2020年初，本来是作为我在大学的毕设动画方案的，却因为时长超过限制没能成型。时隔两年，我终于以分镜的形式把整个故事原封不动、完整地呈现了出来。虽然说画面没什么精细的地方，甚至有一些镜头用的是来自两年前画的草稿，但总算是了却了一个心愿。就当是给自己的一个礼物吧！
身上同时存在两个不寻常的特质给Athan的一生带来了困扰：他成长的速度过于缓慢以至于“长生不老”；他在为人作画时能够看见对方的记忆片段。世纪以来，他作为一个看客，在孤独和迷惘中度过了漫长的时间，直到遇到了委托人Florence，一个不太自信却偷偷怀着作家梦的小姑娘。两人在心灵上相互治愈，竟然第一次觉得自己并不是那么孤独。
没有打斗场面，没有荡气回肠的历史，只是平凡无奇的对话而已。制作过程中我也有过很多次“这样设计真的好吗？会让人失望吗？”的怀疑念头，甚至想要迎合别人的想法去改变人物设定。但每每打开那个剧本文档，回到原来的故事，我最终意识到，“嗯，不论如何，这就是我想表达的。”虽然，也希望多少可以给观众带来一点共鸣和温暖。对于我没有擅自下定义的部分，可以自行理解和延伸。
（有一个小小的私心，就是想把这条短片送给我的infj同胞。希望你们能感到被理解、被看见。）
最后谢谢父母、朋友见证着整个故事的形成过程并且一直支持我把它做出来，谢谢把我的角色们演绎出来的CV老师们，也谢谢一直知道有这个故事存在的小伙伴们一直以来的耐心等待。",4420781,580323
BV1E34y1a7vU,811130504,1,单机游戏,1,http://i0.hdslb.com/bfs/archive/8be0a4a3a56f14def45ec988ba23c3f221aee055.jpg,【老番茄】史上最骚杀手(番外篇③),1651375502,1651375500,"小潮院长的灵魂配音，无疑为整个视频画龙点睛，雪中送炭，雪上加霜。是在感谢！
如果喜欢的话可以三连支持一下~你们的三连就是对我最大的支持！
第一集：av45629276 ； 第二集：av46295706； 第三集：av48138432；第四集：av49534383；第五集：av50276557；第六集：av69692251；第七集：av78014605；第八集：BV18E411G7y4；第九集：BV1Ya4y1t7fw；第十集：BV1XC4y1h78J；第十一集：BV16y4y1q7ir；第十二集：BV1yA411u7n2；第十三集：BV1eK4y1n755；大结局：BV1fN411X7z6；番外①：BV1Jw411f7cW；番外②：BV1Nf4y177iX",5578814,687587
BV115411m7rn,468419263,1,MAD·AMV,1,http://i2.hdslb.com/bfs/archive/28647063a4ac4a61c5ae7ff6b1d6c5f56084e372.jpg,⚡️  猫  核  老  鼠  ⚡️,1650817292,1650817291,"bgm: Nu
 本期主角:汤姆和杰瑞还有特邀嘉宾斯派克！
 感谢你的观看，续集已发喜欢可以去看看
视频里出现的的动漫
1.魔兽战线
2.fate 天之杯
3.织田信奈
4.博人传
5.一拳超人
6.re creators
7.幻界战线
8.咒术回站 
9.游戏王
10.死神
11.斩赤红之瞳
12.fate
13.jojo
14.中二病也要谈恋爱
15.火影
16.噬魂师
17.鬼灭之刃
18.七龙珠
19.电锯人pv
20.你的名字
21.猫和老鼠",7047257,778306
BV1aL4y1c7Wo,853725850,1,搞笑,1,http://i1.hdslb.com/bfs/archive/024e257a341d3610ff6dd1b7bb24d0ab4bd42700.jpg,不要“做”挑战？（第十五期）,1651374032,1651374031,"希望观众老爷喜欢这个系列！
（希望你们喜欢，记得素质三连！）",14069636,764573
BV1t44y1g7e6,981002790,1,日常,1,http://i1.hdslb.com/bfs/archive/8347bef575f7ea48df7b14f51c44d63a62a7d30f.jpg,【warma】你也在郁闷吗？来看点轻松的吧！,1651291250,1651291233,"难过也是一天，高兴也是一天，与其一直蔫着，不如来点轻松的东西大家一起放松一下吧！
之前向大家征集了一些日常生活中随手一拍的照片，现在它们反过来成为我的糖分了，这次让我们在视频里一起晒晒太阳看看月亮吧！

我的微博：_warma_",3143668,337159
BV173411K7fQ,426057467,1,综艺,1,http://i1.hdslb.com/bfs/archive/962e92158674feb095cb83465aaff7b51e924855.jpg,【天赐的声音】周深 胡梦周《调查中》,1651245852,1651245851,【天赐的声音】周深 胡梦周《调查中》,4429837,201777
BV12T4y1r7Zx,938630646,1,搞笑,1,http://i0.hdslb.com/bfs/archive/678e750684f4adcdc4d72b5991eef87a11d22970.jpg,当UP主成为网课老师，用随机来的PPT上课翻车了！！,1651604791,1651635000,兄弟们喜欢这个题材的话请多多点赞哦~！,2790608,267391
BV1SL4y1F7VN,853593564,1,日常,1,http://i2.hdslb.com/bfs/archive/1458a1cc7ab107a79b30f6803bb2fa4c6b37bd59.jpg,如何偷走一架飞机,1651204824,1651204800,,3540632,274592
BV1da411a7vU,213871256,1,数码,1,http://i0.hdslb.com/bfs/archive/6b5fc47c6d4f0a0734cd7c77acf85e01c47ca753.jpg,【没啥用科技】智能眼镜 见所未见,1651663344,1651663343,"没啥用科技最新发布：
全新一代智能眼镜系统 AR OS
欢迎大家投币预定哦~
导演:郭毅
文案: 郭毅 王科源
拍摄:孔二宝
产品设计:郭毅 彭涛
三维动画:韩伯宇 赵铂浩  李云山 赵家豪  孟文辉 张宏禹
平面视觉设计: 张晓明 姚紫藤",1596913,205670
