视频bvid,视频aid,videos,视频分类,版权所有,视频封面,视频标题,上传时间,公开时间,视频描述,播放量,点赞量,投币量,收藏量
BV1Bp4y1r7cY,970453845,1,社科·法律·心理,1,http://i0.hdslb.com/bfs/archive/c6349ff5e3f440fbb81043539eb4bbb472fb8e8d.jpg,【罗翔】我去太空杀人犯案，没人管的到我吧？并不,1606176728,1606176728,今天的视频我们讲一讲法律中管辖权的问题。,8071860,516391,131995,52417
BV1La411F7b5,202937769,1,人力VOCALOID,1,http://i0.hdslb.com/bfs/archive/54fa4738e24a934c0bb6f498ff680d164e9fde67.jpg,【华农兄弟】别看我只是一只羊,1606446005,1606446004,"原曲：别看我只是一只羊
BGM：红色激情Remix
演唱：华农兄弟",1459896,118194,58017,19482
BV1Kp4y1r7qF,970357979,1,特摄,1,http://i2.hdslb.com/bfs/archive/72dab6f6ebda66b4abdf3aaac074f3c795d6921c.jpg,《幻想特摄篇-从前》“心中无女人，变身自然神！”,1606038782,1606038782,"我是新人Up主 沐橙风_0425
以后还请各位多多关照。
点赞对我非常重要 观众姥爷们！
假面骑士对我意义非凡。",5051791,252297,95620,99101
BV1py4y1z7fo,800262626,1,GMV,1,http://i0.hdslb.com/bfs/archive/eb4d6aed7800003da1c6bdfa1c8476d4b6f567db.jpg,哎呀妈呀！这 你 也 想 起 舞 吗 ？！,1606049758,1606100716,"K/DA女团对不住了啊~ 只要你遇上了我，穿再多皮裤高跟都是没有用的！性感在沙雕面前不堪一击！本来还准备了很多BGM的，但做着做着感觉时长突破天际了！这次就先暂且意思意思！每天一遍，防止早恋！^ ^
- 素材：英雄联盟
- BGM：
「刘欢 - 好汉歌」
「凤凰传奇-最炫民族风」
「高胜美 - 千年等一回」
「卢冠廷,莫文蔚 - 一生所爱」
- 封面：SakimiChan
- Ps：昨天忘记封面不能有边框，早上发布20分钟就被退回了，晚上回来才发现，顺便优化了一下视频细节，这次应该没有问题了，辛苦审核菌了！",5695555,436389,347165,172970
BV1Ba4y1p7SZ,670303703,1,MAD·AMV,1,http://i0.hdslb.com/bfs/archive/3a2fb79477882c46e377028ec1958c9d35520c9a.jpg,啊这，我也就看了几百遍吧！！,1605960021,1605960012,"BGM：On My Own
52秒后全程高能!
求三连，求关注！！！",6652207,503394,299175,268632
BV1AZ4y157Jo,372757978,1,短片·手书·配音,1,http://i0.hdslb.com/bfs/archive/528cd87a75a65133f544740ddd3d499a061ccc76.jpg,派大星：在吗生活？来过两招,1605763806,1605763806,"观前提示：角色言论仅代表角色观点，不代表创作者个人，很多时候我不是借角色表达消极的思想，我只是单纯想塑造一个人物，讲好一个故事而已。
这次是关于手机依赖症的故事。
这次也欢迎大家认真评论嗷！无论写得好坏我都会看的！认真思考是一件态度很赞的事情！( •̀ ω •́ )y
对了，还有这个空巢老人取暖群，里面都是空巢老人，爱心人士请进：915934031",2870660,226930,112812,63873
BV1pa4y1W7br,670446939,1,社会,1,http://i2.hdslb.com/bfs/archive/465972e67e627e55cc1724ab27701d259c4b8035.jpg,《丁真的世界》横屏高清版，愿丁真永远活在自己的世界里，自由奔跑！@时差岛 @甘孜文旅 联合出品,1606298031,1606298031,-,3762724,323690,190724,79697
BV1xf4y1v7jo,287882560,1,短片·手书·配音,1,http://i0.hdslb.com/bfs/archive/fa102a9f121d6d77ea72b2173b00429bd9ee49b9.jpg,“凡尔赛？我不懂诶。”,1606216680,1606230609,那英姐直呼内行。,1464340,112124,31233,34664
BV1iK4y1j7Yf,885336958,1,喵星人,1,http://i2.hdslb.com/bfs/archive/f46205eff30bfc43047aaf9038c3bc889fc11d00.jpg,众所周知，猫是一种尊老爱幼的动物,1606036410,1606036410,-,6438592,499678,336811,201680
BV1tD4y1X7q2,712902738,1,人文历史,1,http://i1.hdslb.com/bfs/archive/fddf9065b5d797f52b3f795dc946ca3c8a3dbd22.jpg,【秦始皇1】被历史误解了2000多年的千古一帝【阿Test正经比比】,1606205509,1606205509,各位领导，今天聊秦始皇！秦始皇如何从亡命天涯到统一天下，如何历经坎坷走向人生巅峰？如何霸道总裁手刃同母弟兄？实现书同文、车同轨、兴建直道、驰道和万里城墙，基建狂魔的背后到底是超越时代的眼光还是不顾百姓的存亡？他是不是暴君，够不够努力，为何后人对他褒贬不一？秦始皇到底有多牛逼，对中华民族的统一又有哪些重要意义？,6400248,463689,361466,185862
BV12f4y1v7LJ,287945942,1,科学科普,1,http://i2.hdslb.com/bfs/archive/d1426a27c5bbb80c8a81f0f35dadb39945a70c38.jpg,【科普】熬夜如何改变你的脸？,1606111212,1606131018,"熬夜真的会改变一个人的面部容貌吗？有没有补救方式呢？◍'ㅅ'◍
文稿、视频、录音都是我，还有很多很多不足，我会继续努力哒~谢谢大家~ฅ'ω'ฅ",4594182,239285,93619,191901
BV1fT4y1T71L,927997992,1,短片·手书·配音,1,http://i0.hdslb.com/bfs/archive/79d7ee358c9fef07ec16f92a98b383a766f01be1.jpg,【梅 开 二 度】,1606130148,1606130172,,9587380,472639,164807,71985
BV1Ea411F7SJ,202983856,1,竞技体育,1,http://i1.hdslb.com/bfs/archive/f018afbbb36512d247f23a3ed2c5914074def8c5.jpg,有一种与生俱来的骄傲，叫中国！,1606197611,1606359614,"有一种与生俱来的骄傲，叫中国！
BGM: Empire Of Angels -Two Steps From Hell",1431160,87969,40694,27521
