视频bvid,视频aid,videos,视频分类,版权所有,视频封面,视频标题,上传时间,公开时间,视频描述,播放量,点赞量
BV1SP41157fr,302363545,1,搞笑,1,http://i1.hdslb.com/bfs/archive/8c7f128a7759a085b6fac382383f2c6f6885baca.jpg,儿子非要在家长会上展示才艺....,1661306084,1661314200,微博@逗比的雀大巢 关注我关注我关注我 关注我关注我关注我 关注我关注我关注我 关注我关注我关注我 关注我关注我关注我 关注我关注我关注我 关注我关注我关注我 关注我关注我关注我 关注我关注我关注我 关注我关注我关注我 关注我关注我关注我 关注我关注我关注我 关注我关注我关注我 关注我关注我关注我 关注我关注我关注我 关注我关注我关注我 关注我关注我关注我 关注我关注我关注我 关注我关注我关注我 关注我关注我关注我 关注我关注我关注我 关注我关注我关注我 关注我关注我关注我 关注我关注我关注我,11178237,833932
BV1tN4y1F79k,899743670,1,单机游戏,1,http://i0.hdslb.com/bfs/archive/5484d44e54cc934fd066ccc2f313752fa8fcb77b.jpg,《黑神话：悟空》6分钟实机剧情片段,1660910240,1660960800,"有人不入爱河，有人深陷欲网。
有人阴阳两隔，有人各天一方。
最渴望取的，未必是真经，或许是真情。
有道是——
易求无价宝，难得有心郎。

由游戏科学开发的西游题材单机·动作·角色扮演游戏《黑神话：悟空》今日正式公布了一段新的6分钟实机剧情片段，所有出场角色均为首次亮相。

更多信息可关注我们的微博@黑神话之悟空 或前往官网>>heishenhua.com",10300087,715793
BV1J14y1t7wW,772190804,1,影视杂谈,1,http://i2.hdslb.com/bfs/archive/b0275435d294d5a362b127e452469a8211580512.jpg,它没钱没票房，却吊打今年暑期档！,1661046774,1661046774,所谓辉煌的人生，不过是欲望的囚徒。那些没机会上场的人，才是这个世界的基底。,6041947,620393
BV13V4y1x7Qv,857209793,1,美食制作,1,http://i1.hdslb.com/bfs/archive/c84b8eb181c7c5c9d78a164660523220f9946fec.jpg,久等了！尽我所能把醒狮酥呈现给大家，我们中国也有属于自己的面点艺术品。,1660881832,1660881832,,7930172,1194043
BV1WT411c7si,472141500,1,数码,1,http://i2.hdslb.com/bfs/archive/b70cb819bd9b433182aacd936711cadef2a865be.jpg,从18楼摔到负一楼的手机长什么样子？还有修复的可能吗？,1661085394,1661085394,,4965527,973379
BV19U4y1r7Eu,687153702,1,人力VOCALOID,1,http://i1.hdslb.com/bfs/archive/9d6f0ff15340d1e69f2631bfc60dfb70f26377a2.jpg,这《叮叮当当》，真是太刑了！,1661067975,1661076300,BGM：See Tình,6306618,594729
BV1MU4y167Ci,687371508,2,日常,1,http://i0.hdslb.com/bfs/archive/b1363abd0a9684cd8bf8b68b43dba5b87d28a2e8.jpg,七年长跑，我求婚了，在鲸鱼的见证下,1661334847,1661334847,"你梦中的那条鲸鱼可能已经不会再回到你的梦里了，但是他带来了我，我也成为了他。
从今天开始，无论在什么时间和空间的组合里，我都会守护你。

不求靠做视频大富大贵，只求可以一直做自己热血沸腾的题材。大家喜欢的话请一定要三连，帮我实现选题自由！爱你们！

我们还每周更新播客节目（每期90分钟左右，可视版本和纯音频版本都有），看我们谈天说地：详细信息看我们主页的置顶动态就好！ 

往期视频推荐： 
7周年，我在想：BV16a411i7fK 
东京都是圈：BV1zp4y167Un",3007036,446024
BV1WP41157xc,302310284,1,鬼畜调教,1,http://i1.hdslb.com/bfs/archive/1834c25c7a6141126f84faee0a6b53dcdfe63289.jpg,🐓鸡你太美，但是真ikun🐓,1661230607,1661245200,"感谢粉丝私信推荐的曲子，坤坤很喜欢

原曲：《观念艺术》&《只因你太美》&《情人》",2097043,205921
BV1x14y1x7QX,772352200,56,手机游戏,1,http://i2.hdslb.com/bfs/archive/e877d376c55d2825ac44e3b7caa09c1062fb36e5.jpg,【原神】3.0须弥大世界任务解谜/副本开启 合集（已完结）,1661310393,1661310393,"封面制作：@蝉鸣时  
地图工具：https://yuanshen.site/",18449210,263058
BV1iB4y1V7X8,602226324,1,短片·手书·配音,1,http://i0.hdslb.com/bfs/archive/b95fc6a9a85bdb446e56bb491b671755d0732e81.jpg,课 堂 请 勿 对 对 子【中国近代史】！！！,1661024344,1661052600,"全！程！高！能！  爆肝2个月大制作，抱歉久等了大家！
这期是前所未有的长，请放心观看！
如果万一投币过10w，我拼了命也出下集！",3519717,517222
BV1ag411r78k,514769708,1,出行,1,http://i0.hdslb.com/bfs/archive/49df60f0826946c441e25b73ac0395fabde302b6.jpg,开一家蜜雪冰城真的赚钱吗？我去呆上一周给您解惑！,1661226280,1661226280,"终于开到了一个让我十分心动的店铺了！不知道各位小伙伴有没有想法呢？不过是真的累！做了几天体重都从170到165了！
这里面的加盟之类的数据是基于这家店的费用，这家店开得特别的早，价格也就一年6800，各位爷看好！我继续去找店铺了！评论区说出你想看的店铺！我尽量去找！
成都有店铺的小伙伴也可以发邮箱一起探讨顺便借您店铺一用开开！至少拍摄期间房租给您平了！",5179315,346354
BV1tG411b7Sr,429634351,1,科学科普,1,http://i0.hdslb.com/bfs/archive/ef8e475a8546e25faf659b1a7dc9e41e35ccb359.jpg,这种东西为什么还有人在卖，还有人在买？,1660815231,1660815230,,8986943,607463
