视频bvid,视频aid,videos,视频分类,版权所有,视频封面,视频标题,上传时间,公开时间,视频描述,播放量,点赞量,投币量,收藏量
BV1ri4y1u7JR,541599424,1,鬼畜调教,1,http://i0.hdslb.com/bfs/archive/98a45a0b2b8cf2923d451b5a48d7d1114a55d5c5.jpg,“美利坚，你们的皇帝回来了！”,1595912409,1595930457,"算起来做了有一个多月了，从一百多份演讲视频中截取单词最后拼成这首歌，视频也是反反复复修改了半个多月，这是我目前做过难度最大的视频了。喜欢的话三连拜托啦！
策划/调音：@红豆稀饭中
填词：@LonerJT /@红豆稀饭中
PV:@至精至简
混音：@夜雨星繁y
特别鸣谢@熙云君 帮我下资源 @notahuman 开头提供的pv创意

BGM：Steven Cooper-《born to do》",9734121,875919,574374,387866
BV1Hh411Z73h,201555179,1,搞笑,1,http://i0.hdslb.com/bfs/archive/5abb9cef5ce8817c7fb92b16764ce787ad8e60a8.jpg,【史上最强招生】进撃の四川大学！！！欢迎报考！！！,1596082996,1596082996,"欢迎学弟学妹们报考【四 川 大 学】 and 【一键三连】！！！
其实我川还有二基楼超大型实景密室逃脱，梗太多实在加不进了！
今生无悔入川大（泪）！！！",2248720,172762,59530,47038
BV1JD4y1U72G,711571561,1,人力VOCALOID,1,http://i2.hdslb.com/bfs/archive/2b71355c3a3166abf2714dd1e982fedb82ed254c.jpg,【罗翔】非自然死亡-Lemon,1595916027,1595916027,"著名的粪坑案，案情到底是怎样的？听罗老师慢慢唱来……
罗翔系列：Despacito：BV11Z4y1K7t6，LOSER：BV1Av41147sH，有何不可：BV1kz4y1D73W，学术回战：BV1nK4y1J7RX
JOJO系列：素颜：BV18J411B7QA，下山：BV1sJ411t7FQ，处处吻：BV1tJ411J7Qv
BGM：LEMON-米津玄师",19741626,1413673,965163,620110
BV1ef4y1R71D,286375646,1,MAD·AMV,1,http://i1.hdslb.com/bfs/archive/02d205c500affcad81423a230ee5b54811b4c624.jpg,前方高帅！当我解开束缚的一刻，全世界将无人能与我为敌！,1595559303,1595559302,"BGM：breaking now
审核大大辛苦了
喜欢这个视频的小可爱记得一键三连和关注支持一下up鸭谢谢啦~",4043225,283817,172316,176868
BV1xf4y1R7m2,286377358,1,鬼畜调教,1,http://i0.hdslb.com/bfs/archive/b5ab7e347b24cc55687318e9172bc0c45f6060fa.jpg,一个敢教，一个敢念,1595569757,1595569757,"【第一集：BV1ca4y1e7DP】
制作：碧天蓝钻",23162842,1086060,268657,353134
BV1za4y1a7JZ,668948445,1,音乐现场,1,http://i0.hdslb.com/bfs/archive/c4b386526e6f3c16a911d3059f63ee84fc5fef3e.jpg,【4K60帧】有生之年！周深演绎《unravel》BML现场圆梦【BML2020单品】,1595684179,1595684179,BML2020云live单品《unravel》。BML现场圆梦,18798979,1094410,902529,642257
BV1Cz4y1D7Cf,583920598,1,电子竞技,1,http://i1.hdslb.com/bfs/archive/61635033b66c2f2997d1368f6ca0bbfdc863cbca.jpg,建议改成： 中 国 瑶 嘻 哈,1595685353,1595685353,"又尝试了新形式～嗓子吼的疼 写词写的秃 卡点卡的更秃 感觉自己离变成琦玉老师又近了一步
所以球球大家点个赞吧！点个关注吧！

有意见和建议随时私信评论我噢～",5271670,352617,145531,90067
BV1ZD4y1m7iL,711496358,1,短片·手书·配音,1,http://i2.hdslb.com/bfs/archive/1e242e0436d88e003cfe067ea97c7620e2616d45.jpg,网 抑 云 终 结 者,1595684944,1595684944,"本视频只是一个动漫配音作品

文案为高砹酸钫的原创

而且我已经获得了视频创作授权
所有内容均无针对或内涵 嘲讽 戏谑 任何群体 抑郁症患者的意思
包括文案原作者也没有这样的意思

求键盘侠们看清楚

网易云音乐
网抑云
搞笑视频
沙雕
配音
抽象
校园小子
抑郁
声优
搞笑",4648667,315507,55020,61310
BV17k4y1m7pr,754007667,1,宅舞,1,http://i0.hdslb.com/bfs/archive/1b364389cfce14412604306eb34068fca665c233.jpg,害 怕 宝 贝 ！【周淑怡 | 欣小萌】,1596166644,1596168002,害 怕 宝 贝 来 啦！,6232681,298557,79255,58633
BV1sp4y1q7tF,969112837,1,社科·法律·心理,1,http://i2.hdslb.com/bfs/archive/f9c64dcf5d383b8340c1a237f8ea4d4a9dcef00e.jpg,大家好我是雷军，今天我正式入驻B站了,1596046493,1596074427,"B站朋友们大家好，很高兴能入驻B站，希望在这里结交到更多的朋友。
8月11日 晚七点半，我将在自己账号直播 小米十周年公开演讲。",7241096,534722,146639,41259
