视频bvid,视频aid,videos,视频分类,版权所有,视频封面,视频标题,上传时间,公开时间,视频描述,播放量,点赞量,投币量,收藏量
BV1WB4y147MU,599994912,1,搞笑,1,http://i1.hdslb.com/bfs/archive/44e4eeae475f8606b21656ce0276f0fc9efc9fcc.jpg,⚡ 梗 王 但 爽 文 版  ⚡,1661552133,1661572800,谭sir携手二大爷进军网文圈，却惨遭歪嘴龙王羞辱，今日特乘《重返帝国》赞助泰坦尼克号，【三连】之期已到，B站好友助力重归【梗王】之位！,7524324,795059,182652,88530
BV1pe4y1d7JM,557600917,1,鬼畜调教,1,http://i1.hdslb.com/bfs/archive/43ad642809f27ec00486ba987ffca8f66241eba3.jpg,这是个音乐游戏！？2022版,1661804157,1661832300,"这次remix的是周董的七里香，杰伦我的神
今年这个录的太折磨了，录了基本上有600+个视频合并在一起
感谢﻿@艾斯托维亚  托维亚﻿ 帮我去掉最后一段的防御塔，不然最后那段视频就不好实现了
然后9月2号的英雄联盟嘉年华有周董的表演诶，期待ing
最后希望大家喜欢，记得三连！",4345386,633063,518478,170086
BV1Hg411D7iV,514889196,1,鬼畜剧场,1,http://i1.hdslb.com/bfs/archive/1de20859d63ecd5fab20d4da3cb57973aceb513e.jpg,康熙怒斥开学,1661656439,1661656439,,1258654,103199,29217,31531
BV1KN4y1c7fW,899864170,1,原创音乐,1,http://i2.hdslb.com/bfs/archive/c5a86d892a062da0bae4c7f49f8875efe6f0ce69.jpg,【刘惜君 × 雾里】清冷声线诉无常，拨开迷雾见生息,1661393543,1661393543,"《梦幻西游》电脑版 × 刘惜君丨最新门派曲《雾里》MV
三界无常如雾，一念在我堪破
轻声吟唱，遁入雾里
演唱：刘惜君
音乐制作人：郑楠@SBMS Beijing
作词：姚六一 
作曲：姚六一
原唱：姚六一",7747603,252196,74801,94820
BV1Dd4y1d7hQ,387446985,1,美食制作,1,http://i2.hdslb.com/bfs/archive/d69f056fe0fe84528a395cd9f516b102124bcb28.jpg,鉴定网络热门美食 宫廷名菜《三不沾》浮躁的人看不完这段视频,1661605108,1661605108,-,6217785,797766,188313,93063
BV1tV4y1H72k,857527108,1,软件应用,1,http://i0.hdslb.com/bfs/archive/9f495c058d7825b8d45f2701b4271affbf17442b.jpg,【苏星河】我的这个微信，你们没人用过,1661952710,1661953525,结尾有惊喜！,14115788,922028,258839,582662
BV19t4y1E7hh,985014721,1,美食侦探,1,http://i0.hdslb.com/bfs/archive/b1c97b07697c11c45be373a0778f854d37e518d2.jpg,爱吃生腌的女孩，肠胃不会太差...,1661933117,1661940000,"日更微博：绵羊料理
微信公众号：绵羊料理
油管同步更新：https://www.youtube.com/c/sheephoho",5720420,450568,172832,45341
BV1yY4y1F7M3,644870300,1,极客DIY,1,http://i0.hdslb.com/bfs/archive/d982fe5c5c71bdd3ec2d30356840cb242d9d6389.jpg,磁流体音响の进化,1661412345,1661412345,磁流体音响，升级为→ 磁流体版 B数显示器  的制作过程,8893672,851932,334204,154498
BV15P411V7YS,302582891,1,美食制作,1,http://i1.hdslb.com/bfs/archive/bbbd1332eb35c8e4053144cbc85378f91b318a4d.jpg,中式龙吟，千层蜜枣酥！层次分明，堪称下午茶茶点天花板~丨蜜枣酥,1661866625,1661866625,,8306900,673166,135416,114776
BV1jd4y197QN,387473058,1,单机游戏,1,http://i2.hdslb.com/bfs/archive/d25046c6e450e4271d1948196ffd76d0bae53181.jpg,MC让我泪流满面,1661537026,1661572200,感动！！！！！,3615504,535513,333048,104514
BV19B4y1374d,602413833,1,舞蹈综合,1,http://i1.hdslb.com/bfs/archive/b447eebff2ad18e93d91ea7d35fff09ebb164d96.jpg,又 甘 又 刻，叮叮当当舞！ ❤️ 【咬人猫】,1661503087,1661511600,"你们要的叮叮当当舞来啦！玩了一段时间原神，第一次出里面的角色，cos自己喜欢的角色真的好快乐呀！虽然偶尔会有些影响动作，但是最后看到自己喜欢的角色在跳舞就好开心！也希望大家能从这支叮叮当当舞里感受到这份开心！
原曲：See Tình(Speed Up Version)
编舞：杰星编舞
舞蹈参考：桃核/豆豆子",5824586,344357,128279,173973
BV1114y1x7TX,772413658,1,搞笑,1,http://i0.hdslb.com/bfs/archive/af4400f5fc8e66b38db65e841fdbeef1740d6a14.jpg,大学生如何在宿舍拍出《最残大脑》,1661665660,1661677205,如果你也想参加《最残大脑》，那就快点三连来评论区报名吧，我们会挑选出智商较低者与肥春同台竞技。,7767188,653649,155312,148853
BV1xP411V73f,302612568,1,乐评盘点,1,http://i2.hdslb.com/bfs/archive/b29e93ebfef53fd35347505f88c8add11c721013.jpg,「 周杰伦限定珍藏DEMO空间 」- 一起遨游Jay式音乐宇宙,1661744014,1661756400,天王周杰伦独树一格的音乐创作开启华语流行音乐新时代！周杰伦的歌曲席卷无数乐迷的心，音乐创作最初始的模样不免引人好奇，杰威尔音乐联手薄盒App，推出周杰伦限定珍藏DEMO空间，由周杰伦挑选5首DEMO组成，包含青花瓷、晴天、搁浅、爱在西元前，以及一首从未发表且完成度极高如新歌的「纽约地铁」，这些向来不轻易示人的DEMO即将曝光！从DEMO的音乐原形看经典歌曲成就的轨迹，再结合元宇宙视觉影像，歌迷将体验全新视听感受，透过数字钥匙进入周杰伦限定珍藏DEMO空间，一窥未来科技感十足的Jay式音乐元宇宙！,1544141,64464,23898,15253
