视频bvid,视频aid,videos,视频分类,版权所有,视频封面,视频标题,上传时间,公开时间,视频描述,播放量,点赞量,投币量,收藏量
BV1gA411N7bm,332185661,1,综艺,1,http://i0.hdslb.com/bfs/archive/dfb66b3a96cc2692d86644c2a68f1fe2324b141c.jpg,利路修塌房？我从来没见过这么努力的选手！【创造营2021】,1615810310,1615810310,"你一票，我一票，利老师永远跑不掉！
你撑腰，我撑腰，利老师继续学唱跳！
-
喜欢的话欢迎点赞三连，当然也可以顺便关注我一下，
听说现在关注的，以后都是尊贵的老秀粉啦 :D",9541142,684193,226285,96551
BV14Z4y1w7B4,374693263,1,鬼畜调教,1,http://i2.hdslb.com/bfs/archive/5ffad6aefa24ec36e6828082ed34ae276bbf8d8b.jpg,你那也叫匪帮？《字母Gangster》单曲,1616040011,1616040004,"BGM:Dummy （已授权）
我明白了",5754686,325424,139325,76425
BV1or4y1A7ZS,757004079,1,动漫杂谈,1,http://i1.hdslb.com/bfs/archive/89c0772b72a69066a0d04e49fc8e1a45ca5548d4.jpg,史上还行！2021年四月新番导视,1615644007,1615644006,"本期视频凉仔为每部番给出观看建议，喜欢的可以马克一下！
更多生活中的凉风详见微博@凉风Kaze",3878128,348238,120792,71605
BV1sy4y187Vu,799589672,1,原创音乐,1,http://i1.hdslb.com/bfs/archive/9808987b62d15a5d126c327f7188d794d237d60e.jpg,《如果》,1615600745,1615600745,"演唱：Bo Peep/菠萝赛东
作词：Bo Peep
作曲：Bo Peep
后期：沈逸丹
影像：ZIPPER
曲绘：锅锅GAdson
编曲：Disko
母带：三星堆工作室@嘟比

拖了四个月的歌！！终于发出来了！",13232822,904929,777763,673553
BV1jb4y1Q7Qx,629720646,1,单机游戏,1,http://i0.hdslb.com/bfs/archive/227f72db5fc6625ba778a8b6cdee2e9b4765f44d.jpg,"""等我两分钟，快画完了""",1616133620,1616133619,"游戏：SuchArt Creative Space
如果喜欢，希望三连支持一下！谢谢啦！",9647169,927598,707817,261414
BV1GU4y1a7hr,672191511,1,搞笑,1,http://i0.hdslb.com/bfs/archive/d6c7698133fd830995a9b8047ed87690022a457c.jpg,当两千年后，我的DNA储存卡被读取。,1615968457,1615968457,豪华加长浓墨重彩版DNA储存卡现已上市。三连领取。,11515394,763915,293534,389087
BV1zU4y1p7L3,672093010,1,财经商业,1,http://i1.hdslb.com/bfs/archive/ec1a4f52619f40b44e508e6a35d4cdf10d04edb9.jpg,十四五规划65000字，课代表来了！拒绝咸鱼，国家带你飞！,1615629479,1615629479,《中华人民共和国国民经济和社会发展第十四个五年规划和2035年远景目标纲要》全文链接：http://www.gov.cn/xinwen/2021-03/13/content_5592681.htm,6208976,379094,281748,236293
BV1PK4y1T7uf,887141232,1,健身,1,http://i1.hdslb.com/bfs/archive/0296a1ce9e36546bf9bf50e2c0844e6f8b811458.jpg,体质很差的年轻人，该如何提高身体素质？【卓叔】,1615889101,1615889100,"这里是瘦子增重的百科全书。
瘦子增重系统教程：点击我主页-投稿-合集-《增重入门科普》，请按顺序学，各位加油涨十斤 (゜-゜)つロ
增重原理：BV1wE411M7Ea （有训练计划和食谱，请按顺序学习）
家庭增重：BV1VV411Z77p
增重补剂：BV16D4y1D7n9",4839069,215818,118658,170203
BV14K4y1D7BD,929529208,1,短片·手书·配音,2,http://i1.hdslb.com/bfs/archive/c8cd13f78f6a285ae8c8ea45dda6db22d2193fcf.jpg,这首 BGM 洗了我们所有人的脑,1615633216,1615633214,"https://m.eyepetizer.net/u1/video-detail?deviceModel=iPhone&uid=303504505&udid=e0d8c129ce14ba44092a0ee2c8447fe5805c0a34&video_id=239939&resource_type=video&utm_campaign=routine&utm_source=weibo&vn=7.0
伴随着「水晶海豚」(Crystal Dolphin)的背景音乐，这部动画短片回顾了音乐播放载体的发展史，画面",6495005,338457,71482,273271
BV1554y1a7kg,844507839,1,短片·手书·配音,1,http://i0.hdslb.com/bfs/archive/a911cbd4e18ab43a0b4f4498fa58117756058aa1.jpg,两只老虎爱煎蛋,1615593907,1615593907,煎蛋真好吃,4367749,400888,195389,90021
BV1wf4y1x7uH,289716964,1,日常,1,http://i0.hdslb.com/bfs/archive/1bf8ec171ba7894fdcb882b17c5e1f7c653d953e.jpg,逼刻晴声优在KFC对店员大喊口令！全程自闭！,1615970419,1615970419,"都在喊什么“异世相遇，尽享美味”，看我逼刻晴声优本人去KFC喊！！

封面：波波羊、摄影：兔导",8432497,537668,250815,144574
BV18Z4y1w715,374699665,1,热点,1,http://i0.hdslb.com/bfs/archive/358119f3f9ec2b774ec289f40cb0961066bb934a.jpg,现实版无间道！“3·15”记者为取证卧底成高管,1615896455,1615896455,为揭露某二手汽车交易平台欺骗消费者的问题，总台“3·15”记者老K卧底做销售。但销售做得再好也拿不到核心证据，他“一着急一努力”便升到了公司二把手。这下不仅收入增加，最带劲的手下还簇拥了十几个小弟，大家开始喊他为“老大”，再开展调查取证那可就顺风顺水了。（来源：央视财经）,1682734,100708,6961,9063
BV1BU4y1a7ih,672247475,1,日常,1,http://i2.hdslb.com/bfs/archive/93ec06470e4b9acec61a7c39b6df79e638bd8139.jpg,我从美国回到中国啦！实拍中美防疫区别有多大？,1615776378,1615776378,,5124073,476358,162606,30285
BV1Xf4y1s7xM,289722197,1,影视杂谈,1,http://i1.hdslb.com/bfs/archive/169b9662345bbeba17e55710aa9b03b09c907fdb.jpg,【low君】《司藤》：她有超能力，他有钞能力！,1615988947,1616032807,希望有越来越多设定新颖的剧被搬上荧屏,1417531,96024,25731,6960
BV1Jy4y1h7t3,799738190,1,电子竞技,1,http://i2.hdslb.com/bfs/archive/639dac18dda5a1f28e0c29ad020372e53592ae40.jpg,LOL新版本最科幻套路！企业级特效杀马特【有点骚东西】,1616037306,1616037305,战绩查过了，这个UP主是电信二区精灵太空站火烧连营高手频道三线异闻带第一阿轲，这盘对面的六道佩恩一开局就被雷诺创死了，UP主直接五打四还加神龙许愿羊刀增幅上了20，合了一把火麒麟，前期这么大优势都能输，???????,2073879,213938,149086,28277
BV1DX4y1372m,714729303,1,原创音乐,1,http://i1.hdslb.com/bfs/archive/50b9902107e0af581c3dc66a8c6c41520f71aac9.jpg,《明日方舟》EP - daydaydream,1615861803,1615861803,"#歌曲发布
正式曲目已于2021年03月16日上线

【专辑介绍】
嘿朋友，你那边今天是好天气吗？
时光总能消磨忧郁，晴天也会如期而至。
《Daydaydream》，注意在街角发光的琐碎日常吧，那里定有属于你的曲调。

【歌曲列表】
Daydaydream",5048348,271190,163661,143222
BV1R64y1D7Uw,757246287,1,影视剪辑,1,http://i0.hdslb.com/bfs/archive/6a0a52ccf1d0c3679d3aa0d5cae8b39fe285b6a9.jpg,“这就是吸毒艺人不能复出的理由！”,1615887066,1615887065,致敬缉毒民警！,3887360,293522,50254,27546
BV1Sf4y147J9,289538969,1,科学科普,1,http://i1.hdslb.com/bfs/archive/586075a285ab9715e41293401b7081cfb20529e1.jpg,一种降维打击的可视化方案,1615512617,1615512616,看Threejs源码的时候突发奇想，写了一个三体中降维打击可视化的程序，感谢音乐人@DropoutBeats的提供的BGM,3873697,341090,232720,142273
BV17f4y1t7nB,289668834,1,影视杂谈,1,http://i0.hdslb.com/bfs/archive/178eddf114cca82d74bcb2fb5129238e3c4a4c0f.jpg,天生变态，连杀7人！凶手就是最亲近的人？开年口碑最炸韩剧《窥探》3-4,1615992300,1615992300,"一周过去，我来填坑了！
相信大家对《窥探》的更新期待已久，都在好奇谁才是真正的变态！

第一期：BV1iV411Y7tv

说实话，这部剧的节奏真滴有点快。
然而追《窥探》的乐趣就在于，哪怕你眼睁睁看着主角杀了人，也还是心存疑虑。
真正的变态杀人魔，会不会另有其人呢？
关注微信公众号：小片片说大片，更多宠粉福利等你来！",3389866,230417,96095,21530
BV1754y1a73q,844549061,1,短片·手书·配音,1,http://i1.hdslb.com/bfs/archive/291954706916b277370b74a7d64a35fed37d41bf.jpg,异 世 相 遇 ， 两 级 反 转 ！,1615650458,1615690805,"异世相遇！！！尽享美味！！！！！
今后我们会上传更多高质量的作品哒~！
觉得还不错的话，三连加关注也是可以哒~！

【企划】：帷幕VMovie
【总监督】：爬丝
【绘画监督】：多刺
【配音】：拉比
【绘画】：豆七
【视频后期】：檬心
【压制】：爬丝

（帷幕VMovie是一家音频后期、视频后期、原创企划的综合性团队）
（如果您需要后期需求，或者想加入我们，欢迎戳我们的动态查看相关信息哟~！）",4565775,291476,58985,102955
