视频bvid,视频aid,videos,视频分类,版权所有,视频封面,视频标题,上传时间,公开时间,视频描述,播放量,点赞量
BV1DP411P7om,304089779,1,美食侦探,1,http://i2.hdslb.com/bfs/archive/6ff697a688addd7870ea50e4ff88783eb4335eee.jpg,全球十大自助餐之一！豪华邮轮上吃7天7夜是一种什么体验,1665828031,1665828030,"MSC地中海邮轮，被称为全世界最豪华的游轮之一，他们船上的餐厅也被称为全球十大自助餐厅，据说只要一张船票，就可以在这里吃上7天7夜，你们觉得我今天能吃回本吗？

康康往期精彩视频 ⬇️
BV1bt4y1c7TE 全世界最贵炸猪排
BV1iP411n71f 5元西班牙一日三餐挑战
BV1Re4y1k7tJ 比利时剩菜盲盒
BV1mt4y1A7Rx 100元比利时超市挑战
BV1dt4y177zi 全世界排名第一的海鲜饭
BV19W4y1q7ZT 西班牙红魔虾",6632835,563109
BV1d8411Y7fJ,219187134,1,人力VOCALOID,1,http://i2.hdslb.com/bfs/archive/ab16646bc82297e49ea09dcb00a1532c94a2a095.jpg,“素材而已，怎么也会让人怀念呢”,1665922539,1665922539,"看到米雪要销号的动态，有些感慨，做一个视频吧
我还是是看了他才入坑的
视频还没做完就已经销号了，哎，太可惜了
素材有新有旧，凑合看吧
制作：天气温云
BGM：Something Just Like This",2007960,488881
BV1rG411j7u9,431531205,1,翻唱,1,http://i1.hdslb.com/bfs/archive/23fdbfe11f930ffe42b8b68feee007ee51b38db3.jpg,龙族《IVORY TOWER》完整版翻唱,1665742587,1665742587,"它来了它来了！
让大家久等啦，这个视频也着实花了我不少的时间
因为录长视频我总是容易紧张，一紧张就老是出错T.T
磕磕绊绊把它录好了，不足之处希望大家多多包涵～",3540421,322343
BV1He4y1v7tx,561563952,1,搞笑,1,http://i2.hdslb.com/bfs/archive/66da9b30beb8c59652fba247330243398855728e.jpg,《one last shake》,1665847778,1665847778,"“我想
摇就可以了”",3777744,442666
BV13e4y1S7eq,559021761,1,MAD·AMV,1,http://i2.hdslb.com/bfs/archive/ba4822633caee00fa56e7a508b8bb70ea5353740.jpg,❤️剪一种很新的东西❤️,1665738187,1665802800,"来喽owo，喜欢请点个关注，我还会继续更新的！
视频内部分视频及音频素材取自：
BV17x411f7h6
BV1Vv411y729
BV1NC4y187aP
BV1k44y1h7iX
BV1Vb4y1S7mg
BV1cb4y167Ga
BV1EX4y137sg
BV1bV411B7kX
【猛男版】新宝岛
龙王的工作
书记舞
天使降临到我身边
复仇者联盟
东百往事
鸡你太美
测不准的阿波连同学
肯德基母亲节广告
一拳超人
冰雪帝国
间谍过家家
进击的巨人
（剩下很多简介写不下了）
非常感谢qwq",3352124,487395
BV1AK411X7Fn,474179587,1,舞蹈综合,1,http://i2.hdslb.com/bfs/archive/155d059377714f694ed9a8cd9a669d7f99c53aad.jpg,怪奇物语变装,1665930626,1665930626,-,4068111,521655
BV1yG4y1n76b,816678373,1,宅舞,1,http://i0.hdslb.com/bfs/archive/9a8da819d007bb76293f51174ccbf7a52fc767b8.jpg,最终篇了！【Miume・MARiA・217】讴歌烂漫【舞见 最终篇！】,1666177595,1666177595,"《讴歌烂漫》作词：MARiA／作曲・编曲：toku
2022.10.19 Digital Release!!
音乐发布综合URL：https://lnk.to/okaramman
MARiA・miume・217三人一起的舞见系列的最终篇！


※希望大家可以多多关注本账号，并且转发本次视频哟！

MARiA（GARNiDELiA）
Twitter:@MARiA_GRND
weibo:MARiA_GARNiDELiA

编舞：miume
 
MARiA（GARNiDELiA）
(歌・作词・服装设计　Vocal / Lyrics / Costume design)
http://www.nicovideo.jp/mylist/32644256
https://twitter.com/maria_grnd
https://www.instagram.com/maria_grnd/
http://garnidelia.com/

MiUME（COJIRASE THE TRIP）
(编舞　Choregraphy)
http://www.nicovideo.jp/mylist/23644539
https://twitter.com/jjmiume
http://cojitri.jp/

217（COJIRASE THE TRIP）
http://www.nicovideo.jp/mylist/25013166 
https://twitter.com/disnyna
https://www.instagram.com/disnyna
http://cojitri.jp/",1268944,198704
BV1AD4y1C721,731542289,1,单机游戏,1,http://i2.hdslb.com/bfs/archive/98f04cfcdda20589d5580b70b1d424c5300651ef.jpg,“我超喜欢呆在里面的”,1665663910,1665805200,"游戏：Kenshi
收藏能过6w一定会出下一期！！！",2428181,333037
BV1ve4y1S7W6,559059662,1,鬼畜调教,1,http://i0.hdslb.com/bfs/archive/caa170ebd16e52a548d70aa29d488460267d93ce.jpg,“还有十分钟才考试，来得及”,1665807677,1665807677,"BGM：爱人错过 -- 告五人
素材：数学汤家凤
感谢@桥北小书生  配布的音源和@AB鲜  提供的素材，做起来方便了很多~
感谢@碧天蓝钻  给的封标建议，凉了全责嗷。
洛的更新频率和上证指数成反比。",3555487,459538
BV1wW4y1n7y3,944198618,1,MV,1,http://i0.hdslb.com/bfs/archive/39a344d4af30e7661ca13ca95d63c0f4183535a0.jpg,【(G)I-DLE】[M/V] - 'Nxde',1665990428,1665997200,,7359801,423839
BV1fg411h7rP,516583091,1,运动综合,1,http://i0.hdslb.com/bfs/archive/53f0fd886480f6b54973e972b0845bc0104d8206.jpg,用科学打破次元壁！我终于成为了我梦里的剑客！,1665836013,1665836013,,5409800,363391
BV1R44y1f7Yv,986555749,1,人文历史,1,http://i1.hdslb.com/bfs/archive/d76155b3c9d53787338464aebfd62a469317a3e5.jpg,不懂英语如何刺探英国情报？【硬核狠人40】,1665647481,1665716400,"本篇为硬核狠人之艾丽萨.巴兹纳。

参考资料：
巴兹纳回忆录《我是西塞罗》
马克·西蒙斯2014年出版《西塞罗特工：希特勒最好的间谍》
理查德·怀斯1999年出版《西塞罗间谍事件：二战中德国获取英国机密》
杰尔·韦斯特1985年出版《谎言的线索：二战间谍神话》
亚当·乐博2000年出版《幸存的希特勒：第三帝国的选择、腐败和妥协》
莫伊奇兹的《西塞罗行动》",3041159,205309
BV1fR4y1X7bx,346738118,1,三农,1,http://i2.hdslb.com/bfs/archive/8169d922b662d16efe024d9379966fb6a8dd2562.jpg,《打工日记》,1666153281,1666153281,王同学打工日记，又是被老师抓的一天,1561072,202726
BV1SR4y1D7wV,346840130,1,MV,1,http://i0.hdslb.com/bfs/archive/6490d9110db0999d3032b6da0170883161750d9f.jpg,【红颜如霜 | 官方MV 】周杰伦 遇上嘻哈舞团 JABBAWOCKEEZ 就是有新惊喜！,1666325781,1666325781,当 红颜如霜 遇上嘻哈舞团 JABBAWOCKEEZ 就是有新惊喜！有新舞步可以学了喔～,2170927,159716
BV1uG4y1n7G3,816597148,1,科学科普,1,http://i0.hdslb.com/bfs/archive/c632231dee43d41d239a2e6b65343c54598225d7.jpg,一只老鼠右脑大半被人类神经细胞占据，这是它的行为和智能发生的变化,1665815068,1665828600,"把老鼠大脑皮层右侧的大部分 被替换成了来自人脑类器官的人类神经元
类器官整合进了鼠脑中 产生了输入和输出的有效神经回路
这篇本周发表在自然的论文，是医学突破还是伦理危机？
就由up主我来向各位观众硬核解读。

视频素材主要来自于学术期刊《自然》，和《发育》，
以及Youtube上的TED, Stanford Medicine等科普频道",1312222,76387
BV1ie4y1E7u7,646568860,1,桌游棋牌,1,http://i0.hdslb.com/bfs/archive/f1b4068f24d7c016574d5032e48a2bbbf6aa3f02.jpg,天生绝呸！,1665736261,1665743400,"希望你喜欢这次的视频，这次玩的游戏叫做《天生绝配》。
游戏的规则我们进行了一定改编。
游戏的规则非常简单：
所有人两两组队，每人发到一套一模一样的牌。
裁判会给出一个词语，
每人挑选五张和这个词语有关联的牌，按强弱顺序排好。
所有人都摆好之后，依次开牌，跟你的队友进行匹配。
图案一致，获得一分。如果顺序也一致，额外再获得一分。
数轮游戏过后，分高的一队获胜。
记得三连！",2901922,228632
BV1gG41177Bj,431624857,1,短片·手书·配音,1,http://i1.hdslb.com/bfs/archive/fa2f41ef2ee7e1b44d4da2304375dbe7091a47a1.jpg,当你拍短视频拍着玩却不小心火了,1665735706,1665735706,么让人唠一辈子,7336290,426318
