视频bvid,视频aid,videos,视频分类,版权所有,视频封面,视频标题,上传时间,公开时间,视频描述,播放量,点赞量
BV1QE411X72J,69597630,1,热点,1,http://i1.hdslb.com/bfs/archive/928ccfbb9bd4c15dc8af8b53a64d258a833bcc79.jpg,此刻，转起来，为伟大的祖国点赞！,1569904222,1569904222,这首熟悉的《检阅进行曲》，今天#央视频#给你不一样的打开方式！点赞新中国！,1376083,138334
BV1ZE411X7vJ,69619044,1,热点,1,http://i0.hdslb.com/bfs/archive/c83d54a5749fa9f70517acdc40c773487cee0a75.jpg,【回放】庆祝中华人民共和国成立70周年大会 阅兵式+群众游行,1569917479,1569917479,【回放】庆祝中华人民共和国成立70周年大会 阅兵式+群众游行,6923972,422536
BV17E411X7kG,69488137,1,影视剪辑,1,http://i1.hdslb.com/bfs/archive/d4b7f0fe55bf78ff2b161ed092a0e1b92a410d8b.jpg,【混剪】让全世界都看到中国人，新中国 生日快乐！,1569828549,1569859229,#bilibili星访问##生日企划#谨以此片祝祖国母亲生日快乐！,1847583,128540
BV12J411T75k,69162538,1,热点,2,http://i0.hdslb.com/bfs/archive/f28f01636f05e7cb0d1a0a72a06625a61e0485dd.jpg,新中国密码：15665，611612！,1569579428,1569579428,"新华社
视频来源：新华社",1673490,159964
BV1jJ411M7HV,68736420,3,音乐现场,1,http://i1.hdslb.com/bfs/archive/d176566cdf8fa3c8497c1788fe6100d58e93057b.jpg,【BML2019官方回播】BILIBILI MACRO LINK 2019 IN SHANGHAI,1569232141,1569639613,BILIBILI MACRO LINK 2019 IN SHANGHAI官方回播正式公开！本次的up主和现场的小伙伴们也是非常给力！！6小时的现场演出有大家而更精彩！BILIBILI MACRO LINK 2019 IN GUANGZHOU确定将在12月7日于广州宝能国际体育演绎中心举办，大家请多关注后续消息哦！,3322847,92365
BV1vE411R72P,69376957,1,国产原创相关,1,http://i2.hdslb.com/bfs/archive/68991bd7ffc8d4d6ab31b49214b3a2de6b19bfd4.png,致敬 那些为祖国奉献了生命的最可爱的人们,1569744993,1569806484,"致 最可爱的人
孤儿剪辑师 关注是我最大的动力
【视频素材】：那年那兔那些事儿
【音乐素材】：生来倔强",915026,82466
BV19E41197Kc,69241910,2,社科·法律·心理,1,http://i0.hdslb.com/bfs/archive/181ebe27c0f8adde87b5cfc4b5017bf425d66949.jpg,【盛世中华】超燃！数百位8KRAW摄影师联合摄制，10分钟带你看绝美祖国大好河山！,1569649791,1569649791,"8KRAW摄影师联合摄制，10分钟的山河壮阔，960万平方公里的华夏大地，14亿人民的生息之所。
谨以此片，献礼新中国成立七十周年！
片名：盛世中华
策划：王源宗、LingChen
视频制作：LingChen
出品：8KRAW.COM
视频拍摄/图：8KRAW摄影师（名单见片尾）
制片统筹/文：鹿游原
BGM：Northwind by BrunuhVile、Dance of the River Spirits by Marcus Warner",10013607,812670
BV1XE41197qK,69269057,1,预告 资讯,1,http://i2.hdslb.com/bfs/archive/94b3041c49a82d6f25f9ba9019ef2588eee5e536.jpg,再来亿遍！吴京把哔哩哔哩说成呷哺呷哺？？——9.27《攀登者》主创见面会【bilibili观影团·线下活动】,1569658674,1569658674,新鲜火热的9月27日《攀登者》观影&主创见面会官方视频。,3504289,89182
BV1jE41197B8,69640740,1,热点,1,http://i1.hdslb.com/bfs/archive/fd42293baae5e94c2c184384bc341dc7266fe300.jpg,国庆大阅兵装备，精华都在这里了！,1569922457,1569922457,来了来了！从空中到地面，本次阅兵的装备精华都在这里了！就问你骄不骄傲？,778001,26347
BV1nE41197d9,69692251,1,单机游戏,1,http://i0.hdslb.com/bfs/archive/01feb89cbb7884f90155228f4ffbe98d71b113bd.jpg,【老番茄】史上最骚杀手(第六集),1569988821,1569988806,"第一集：av45629276 ； 第二集：av46295706； 第三集：av48138432；第四集：av49534383；第五集：av50276557
心血来潮又做了一期杀手！这次请到了王老菊（董事长）客串！作为响当当和阿飞的狂热粉丝，实在是喜不自胜！！同时感谢Dariux提供了部分的视频素材！
喜欢的话可以三连支持一下！",16035830,851521
