视频bvid,视频aid,videos,视频分类,版权所有,视频封面,视频标题,上传时间,公开时间,视频描述,播放量,点赞量,投币量,收藏量
BV1H741137rC,88620845,1,影视剪辑,1,http://i2.hdslb.com/bfs/archive/bc01493a2694fe99f5a5f4190295e79e3defb805.jpg,象  牙  山  哪  吒,1581569333,1581569333,哪吒之象牙山降世,4812508,389656,265361,126697
BV1o741157f1,88304073,1,动漫杂谈,1,http://i1.hdslb.com/bfs/archive/701e30fce0fd0f9df7e25d7abc2d98efb4e7fdda.jpg,你为什么不戴口罩    我在吃饭【阅片无数34】,1581516017,1581516015,"想看更多的阅片无数小伙伴们转发三连搞起来哦
更多生活中的凉风请参见→微博@凉风Kaze
第三十三期av86888362：我竟然上电视了！
第三十二期av84530255：你爱你老婆，我也爱你老婆，那我们不是一边的吗？.jpg
第三十一期av83504357：你女朋友可能是个男的.jpg
第三十期av82541261：我们的干警二十四小时盯这个群.jpg
第二十九期av81630341：男女接吻真的会喘不过气吗？
第二十八期av80524762：是什么片让图书馆大爷看的泪流满面？
第二十七期av79656005：请问up，在全班面前强人锁男的片段出自啥片？
第二十六期av78791992：请问up，这个人偷摸在桌子底下看的是啥番？有点刺激！
第二十五期av77963556：请问up，高考当晚我前排的这对异性同桌看的啥番？
第二十四期av77195943：请问up，高数课上这位妹子偷偷看的是啥番啊？
第二十三期av76369579：请问凉风，我同学给我画的妹子出自啥番啊？
第二十二期av75536476：请问凉风，昨晚女孩子给我发了个截图请问啥意思啊？
第二十一期av74732170：请问up，坐我前面这对情侣看的是啥番阿？
第二十期av73863626：请问up，食堂里这位小哥在看啥番？
第十九期av73079189：请问up，这张英语试卷上的角色出自什么动画啊？
第十八期av71406277：政治老师在上课的时候放的是什么动画？
第十七期av70655707：男主没有女票结果右手变成妹子是啥番？
第十六期av69483238：公交车上这位秃头大叔看的是啥番？
第十五期av68932916：这个三个UP主并排站着的是啥番？
第十四期av68164927：男主是个和尚却能和漂亮妹子谈恋爱是啥番？
第十三期av67366825：在男厕所遇到萌妹子是什么动画？
第十二期av66596391：男主掉泳池后重生回小学遇见一大波妹子是啥番？
第十一期av65727035：请问up，封面这个好想谈恋爱是啥番
第十期av64704564：痛失小弟弟！男主意外身亡后被改造成妹子是啥番？
第九期av63668779：封面这个杀UP主的是什么番？
第八期av62634529：人类得了一种病，要拉翔才能解毒，拉得多的人还有奖励？
第七期av61591842：男主是个和尚亲吻就会变强是啥番？
第六期av60559213：男主为钱女装去女校当女老师是什么番？
第五期av59579131：封面是什么动画？我怀疑你在搞我！
第四期av58901356：被害人死前摆两个V字手是什么番？
第三期av57969144：男主变恶魔男二变妹子是什么番？
第二期av57208326：这是什么动画难度加强版！
第一期av57114947：这是什么动画？",7302114,489511,184466,56940
BV1p741187gS,87449087,1,搞笑,1,http://i1.hdslb.com/bfs/archive/cb3189cc609ea0f5c2aa1f19526a44990354b979.jpg,教你如何摧毁一段友情,1581123065,1581134425,"作词/绘画/演唱：尤超白
编曲：Mixla Production;Stefanos Dasopoulos p/k/a ObieDaz(Collaborator)
混音：三星堆后期工作室
PV：琉璃猫映像
特别鸣谢：小拍子呐

首先，一开始没有要写rap，后来发现押韵挺多就整了整，所以其实没有什么flow，oops。
其次，视频里的事我和我的耗碰油们都做过，oops。
另外，有些绘图灵感来源表情包“小蓝和他的朋友”。
最后，希望大家都能和好朋友们开开心心的，可别真的摧毁感情。友谊至上，奥利给。",5204523,698412,499087,254418
BV1a741137fL,88651718,1,人力VOCALOID,1,http://i0.hdslb.com/bfs/archive/1945f84edf17fc089b5a0a7698913444b76fc3e0.jpg,你 钉 起 来 真 好 听,1581584853,1581597037,"填词：因你而在的梦
bgm：你笑起来真好看
视频中图片来源于网络",12743924,819768,501584,354773
BV1m7411377G,88734717,1,财经商业,1,http://i2.hdslb.com/bfs/archive/e2f9b08c490ed91c33b916bf4ee18213a07a08a7.jpg,【半佛】史上最骚90后，疯狂玩弄90老翁,1581599282,1581599282,"你永远想不到的旷世奇才。
个人公众号：【仙人JUMP】
个人公众号：【半佛仙人】
对，就是有2个号。",5165779,306032,232057,78189
BV1P7411V7Ga,88460964,1,搞笑,1,http://i2.hdslb.com/bfs/archive/ff6b51458223751d9d3efbe191fbf045bc1ea56f.jpg,【朱一旦】142  一块劳力士的回家路,1581504968,1581504968,"微博@朱一旦的枯燥生活
YouTube  【朱一旦的枯燥生活】官方频道
公众号：朱一旦的枯燥生活
网易云/知乎：朱一旦的枯燥生活
Bgm：Visualisation——Dj Blue",11609857,1663798,2091794,548052
BV1n741137VN,88616020,1,热点,1,http://i1.hdslb.com/bfs/archive/0baa576458c5db164743f568aa5e3b632a7efa98.jpg,【武汉Vlog】广场舞？读书角？方舱医院里的病人每天都干啥？,1581567305,1581569071,武汉方舱医院投入使用以来，主要接收新冠肺炎的轻症患者，每天病患除了定时检查、吃药，院方还会统一组织具备健康条件的病患跳广场舞。这样一方面是为了让有身体条件的病患适当增加运动有助康复，另外一方面也是减轻病患心理压力。,888598,49981,21451,5517
BV18741147i7,87935208,1,手工,1,http://i0.hdslb.com/bfs/archive/d4fde8db917a86a4175bff0eb374d61e6def50bf.jpg,洗衣机在家很闷，改装一下出去溜溜,1581312799,1581312799,-,4607308,274037,85899,19832
BV1k74113745,88685477,1,明星综合,1,http://i1.hdslb.com/bfs/archive/7e7ee02b7b9ae73e2bfdd867a6cd7e06e0cfe2a0.jpg,犬来八荒| 翻出库存，怀念一下夏天,1581587302,1581587302,bgm:come back-We Shot the Moon,3665225,326860,222472,89339
BV1j7411V7Da,88499274,1,动漫杂谈,1,http://i1.hdslb.com/bfs/archive/be2d79aacb1c4f116907508c14196915294daa61.jpg,up主，你的脸疼吗？2019年度新番打脸大总结！,1581516446,1581516446,"2019年新番奶番命中率大总结，盘点奶中、奶崩、奶漏的19年动画。
19年预测：av39422240 av48253711 av57786319 av69502562
微博 @泛式 https://weibo.com/FunShiki/home?wvr=5",2997651,390380,172489,61704
