视频bvid,视频aid,videos,视频分类,版权所有,视频封面,视频标题,上传时间,公开时间,视频描述,播放量,点赞量,投币量,收藏量
BV1z4411Y7tX,52012946,1,科学科普,2,http://i1.hdslb.com/bfs/archive/7e4dc7bd031e5b3f7e6783273ea05f12dbff4cf3.jpg,世上有几人能活到这短片结束？,1557476507,1557476507,"原片名：宇宙尽头
原作者：John D. Boswell
OST：https://bit.ly/2HKl9fi
简介：展现宇宙的未来的纪录片。自制熟肉，说人话的翻译，高清双语字幕。
捣鼓文字，翻译短片，力争有趣，保证没用，欢迎关注「尽整没用的」",30753945,1686991,670043,1684367
BV1Z4411h7bf,52211482,1,MAD·AMV,1,http://i2.hdslb.com/bfs/archive/a25cc5f06b38d8696eca4309dfacc76de28cb8ce.jpg,前方高能！来自雨天的盛宴，极致画质的巅峰，请备好你的硬币,1557626808,1557626808,新人新作，希望大家支持！,4279639,255522,230449,272380
BV1k4411E7eV,52439392,1,影视剪辑,1,http://i2.hdslb.com/bfs/archive/de23bc16899d21fb239b3c3652f2dd8db110c0e3.jpg,【治愈/萌/看完要超开心哦！】不要忧虑，要开心！【1080p/混剪】,1557816117,1557816117,"看皮卡丘之前就想剪剪这些年被萌到过的动画角色了，超级可爱啊！
希望大家都可以不要忧虑，只有快乐哦！",1776723,115755,84757,104526
BV1M4411Y78W,51916210,1,家居房产,1,http://i0.hdslb.com/bfs/archive/5dd9e5452889d8c4dd3e86953e4f522447458c6d.jpg,【C菌】资深女玩家的高科技游戏公寓！,1557482703,1557482702,"刚搬来波士顿读研，租了个一室公寓！为此精心设计了室内，超高科技！家具不多，简约为主！欢迎大家来云做客！
如果本期收藏过5万，未来制作波士顿留学生活vlog！（其实就是过生日了想要收藏...好嘛！）
★微博@渗透之C菌 ←我们来聊天！
☆Instagram@roshinichi ←有很多好看的照片！",2497005,174249,158675,76526
BV164411Y7uC,52017291,1,日常,1,http://i1.hdslb.com/bfs/archive/7caa096557a343f97758546a0f6aca3d763a5d90.jpg,被罚抄一百遍课文，这支笔一秒就可以写完！？,1557479153,1557479153,微博：是贤宝宝本人,1601478,46633,7581,5289
BV1M4411v7WP,51779729,1,宅舞,1,http://i2.hdslb.com/bfs/archive/8a23fc75120c5b82ec3601d5ace1cdbb46e0394c.jpg,【Aliga】人工智能爱酱❤️AIAIAI❤️一次满足你三个愿望,1557252463,1557396038,"年初爱酱的专辑一出来我就超级喜欢这首歌了！一直想着自己编舞来跳，结果竟然因为拖延症等到了mv出来哈哈哈，也好，终于能cos爱酱录一次舞啦，贪心的我干脆cos了三个不同的造型，为了跳舞方便用了真发，原来我的头发都已经那么长啦～不过衣服装饰有点容易掉所以动作拘谨了，可能跳得不是很好，还望见谅，希望这次的作品能让你们看完轻松一笑吧～最后还有很感谢PinoEliza的用心后期！让我在视频最后圆梦啦圆梦啦！！！！非常开心！
原MV：https://www.youtube.com/watch?v=S8dmq5YIUoc
拍摄：蔡大咩
后期：PinoEliza",3450608,129877,118441,86737
BV1n4411J7LS,52562725,1,田园美食,1,http://i1.hdslb.com/bfs/archive/8e81c0e014e7e6ac63f2e911f42e8152b4db55f3.jpg,华农兄弟：突然想吃粽子，摘点粽叶，抓只竹鼠，包竹鼠味的粽子,1557959448,1557959448,华农兄弟：突然想吃粽子，摘点粽叶，抓只竹鼠，包竹鼠味的粽子,3166719,112099,44035,7618
BV1L4411e72s,52164597,1,翻唱,1,http://i1.hdslb.com/bfs/archive/8e34e44383945d9d43db7b42bff9ae78db6897d2.jpg,【英语高能RAP】你从未看过的家有儿女英文版 !,1557581493,1557581492,"本家：AV6482189
bgm: Unity-TheFatRat
填词/翻唱：一鸣の
这次把我一直很喜欢的伊丽莎白鼠的鬼畜作品搞成了英文版的
家有儿女是很多人的童年，的确很经典
所以也算是纪念一下我的童年~
喜欢的小伙伴记得关注一下哦~",815359,53379,40183,24753
BV1e4411J736,52608314,1,单机游戏,1,http://i2.hdslb.com/bfs/archive/a846ac7828ce501d60de915b915aa06019ef424f.jpg,【敖厂长】云玩家在伤害游戏?,1557978427,1557978427,"云玩家”这个群体在伤害游戏吗?对于竞技多人游戏来说答案是否定的，但对于单机剧情类游戏来说答案却是肯定的，但错误并不在云玩家”这个群体本身。
本期视频谨代表我的主观意见，大家看后可以踊跃讨论积极评论，赞成也好反对也好，大家为单机剧情类游戏的未来把把脉。",3680909,169826,161387,34363
BV1d4411E7xr,52511233,1,影视杂谈,1,http://i2.hdslb.com/bfs/archive/bb6c4b895993270ca54101e9a8fb119bbb159f03.jpg,【木鱼微剧场】超级英雄的巅峰之作，诺兰《蝙蝠侠：黑暗骑士》（Re:C）,1557884907,1557884907,《黑暗骑士》是imdb排名第4的电影，排在它前面的，是《肖申克的救赎》、《教父》和《教父II》。不过不是每个人都理解这个排名。有一部分人觉得，影片并不值得这个排名，只是因为诺兰的粉丝把它吹了上去。且不说与《教父》或者《辛德勒的名单》这样的影片相比，《黑暗骑士》都是一个乍看起来没有什么特别的「超级英雄影片」。但作为一部迄今为止上映已经超过10年的电影，甚至当诺兰其它作品imdb排名都已经有所下降时，《黑暗骑士》仍然稳稳地站在第四的宝座。那么，它究竟有着怎样的魅力，能够获得如此广泛而深远的认同呢？,2694904,99720,98771,46441
