视频bvid,视频aid,videos,视频分类,版权所有,视频封面,视频标题,上传时间,公开时间,视频描述,播放量,点赞量,投币量,收藏量
BV1LP4y1P73q,893848357,1,鬼畜调教,1,http://i0.hdslb.com/bfs/archive/59b34c5d39495caeedf5e0354b6e2aabad4dbf50.jpg,“这人喊这么大声一定不太会短道速滑吧？”,1644137124,1644141914,"摔得好！（不是……就是……正常现象
昨晚睡前玩手机看到这个视频  立刻从床上跳起来了 经过了一晚上1个半小时的充足睡眠以及一丢丢时间的制作 终于做完了！！！
恭喜获得中国短道速滑队获得中国冬奥首金！
另外长按点赞可以看到up主磕头！！谢谢大家了！给大家磕头啦！

BGM:Andrey Exx & Hot Hotels,Diva Vocal - Work (Original Mix)
微博@深海色带鱼 ",6566734,533611,131260,107889
BV1Mq4y187tw,593933235,1,翻唱,1,http://i2.hdslb.com/bfs/archive/80a7f2f46af6dc3e6af1c151cd5aab56302bad4d.jpg,《孤勇者》完整版！谁再说我不关心你们，我跟谁急！！！,1644407595,1644407595,-,6497906,556449,286668,86204
BV1xa411y7wc,211359610,1,运动综合,1,http://i0.hdslb.com/bfs/archive/1651da19533bfe6c00d36d8ed5cf78aae1dc977e.jpg,他要是懂汉语，就会知道央视对他的赞美有多诗情画意了！,1644289904,1644289904,他要是懂汉语，就会知道央视对他的赞美有多诗情画意了！,4122654,317425,37906,101155
BV1UP4y1A7uQ,893762859,1,鬼畜调教,1,http://i0.hdslb.com/bfs/archive/ab4eaa190f84936a31c68f0dd3308d9b3f9ec9a8.jpg,钟离单曲《璃月》——魔神战争时期珍贵影像露出,1644027517,1644033614,"4K编曲：哦呼w
填词：非桥段
画面录制：哦呼w
3D制作：_CiZY_
手书策划：哈米伦的弄笛者
手书分镜：腐瓜烂橘
画师：FISHintheTEA 皮卡-pika- 千牵签
视频后期：NZ映画
戏腔：云横yh
3D段主旋律人声：我妻勇者$
3D段和声：音临海
前半段画面素材大部分为录制噢
钟离的声音太低了所以选择了做RAP和低音副歌
感谢哈老板的手书救急，不然后面画面就拉了
制作不易记得三连噢！！
最后这是鬼畜
※3D片段（1：11-1：53）未经授权禁止使用噢  毕竟我还是花了几个达不溜的",8813131,809394,823157,514785
BV1Km4y1Z79p,678839149,1,竞技体育,1,http://i2.hdslb.com/bfs/archive/990b1926e61b6ce52cee27d01cb9bedeba9e247a.jpg,【王濛】刚下解说台 真当我不上B站吗,1644154895,1644154895,濛主放大招！你们给我封了那么多称号，今天我就和你们好好解释解释！,7108126,788693,104058,47156
BV11q4y1b7X9,593866537,1,翻唱,1,http://i2.hdslb.com/bfs/archive/c7643a6dca0ae78b4d18782464fd702f043427c3.jpg,【新填词版】27位UP主同唱2022《北京欢迎你》,1643951973,1643952606,参演： @李宸希  @王骁Albert   @弹吉他的Miumiu   @拯救世界的狗子   @祈Inory   @东尼ookii   @贾逸可   @Vicky宣宣    @KBShinya   @九三的耳朵不是特别好   @陆鳐LuLu   @大头大头哥哥   @Vaniah维   @边靖婷   @杨可爱Ukulele   @了不起的八万二饼   @枪弹轨迹   @=咬人猫=   @西瓜Kune   @notyour_kei  @咻咻满 @hanser @一个乌龟酱 @李白给__ @逍遥散人 @盒子酸,2055657,169306,74144,48789
BV1xa411y71j,211364335,1,手机游戏,1,http://i1.hdslb.com/bfs/archive/2ba516010c8c11c028d6b1a54c4d353266b65f90.jpg,《原神》剧情CM短片,1643983299,1643983299,"CM短片出场角色：
八重神子
枫原万叶
旅行者 空
派蒙
神里绫人
神里绫华
珊瑚宫心海
雷电将军

《原神》bilibili服下载地址：
https://www.biligame.com/detail/?id=103496",6826109,588626,205745,159822
BV14S4y1C7cf,723975120,1,桌游棋牌,1,http://i1.hdslb.com/bfs/archive/5a6ff1c1f34452704a0c7449454d12621813735e.jpg,我必须立刻链接【水无月菌】,1644320705,1644320704,喜欢请三连点个关注，感谢观看！！,5573637,297292,227933,59696
BV1JZ4y1o7Rk,381341588,1,喵星人,1,http://i2.hdslb.com/bfs/archive/8b0f61ca6da4559035aa2a45e377d89d12d7f372.jpg,猪柳蛋：今天，我站着也要把钱挣了！,1643959265,1643968812,愿薪火相传，美德不灭~,12671130,879003,272219,211953
BV1zb4y1772u,636430208,1,手工,1,http://i2.hdslb.com/bfs/archive/d34490f00236c12401da9c9cc5fa2888294b9823.jpg,冰墩墩印章来喽！,1644315438,1644315438,-,4382722,83955,1481,11898
BV1Su41197Nu,508967488,1,热点,1,http://i2.hdslb.com/bfs/archive/df3558f2b0dcba29a91e471ac982ab035a596857.jpg,冬奥会的气氛组，能处…,1644314022,1644314021,2月4日晚，北京第二十四届冬季奥林匹克运动会正式开幕。目前，各项比赛正如火如荼地进行中。在这过程中，不少“气氛组成员”纷纷上线…,5865016,432643,16283,67063
BV1x34y1y7GS,808775663,1,日常,1,http://i0.hdslb.com/bfs/archive/56709ab72a69dcca87907072f40ce539d59404eb.jpg,刺激！当消防员请社牛up吃饭，45秒收拾得当场自闭…,1644225606,1644225604,社员们新年好呀！一起看沐上被消防员训练 欢乐一下吧！,3232220,375393,309526,60265
BV11S4y1G7g6,681449472,1,手办·模玩,1,http://i2.hdslb.com/bfs/archive/49528af6489b45a57789c9f0cee606d9ec4d8077.jpg,久等了！修罗铠甲来了！,1644347997,1644347997,-,1863685,197182,206338,65863
BV1CR4y1j7bY,338805835,2,MMD·3D,1,http://i0.hdslb.com/bfs/archive/552602de31b72ebcd8dae85b56ad17be7f4e2c4b.png,感谢300关注 跳个舞,1644199706,1644217506,"真的非常非常感谢这么久的陪伴和关注！
bgm：P1《チカっとチカ千花っ》我唱的版本，P2《how you like that》BLACKPINK",3159199,278611,120268,71389
BV1GT4y1X7AA,936468466,1,国产原创相关,1,http://i1.hdslb.com/bfs/archive/23647f00db41c351ff55541eb8f3f59c6cf7bfc8.jpg,圆满了！原来早在16年前官方就埋下了伏笔啊！,1644370527,1644370527,BGM：m-taku - Komorebi,14142166,969688,82569,157697
BV1MZ4y1o7zZ,381264823,1,明星综合,1,http://i1.hdslb.com/bfs/archive/988500cf5524813690fe83a650233aebca818914.jpg,大家好，我是钉宫理惠，正式开设B站账号啦！给大家拜年了！,1644121690,1644121689,"哔哩哔哩的朋友们，过年好 ！祝大家新春快乐！
请接收我的春节祝福三件套吧！",3304864,279615,104173,31513
BV1B34y127SJ,808677860,1,GMV,1,http://i0.hdslb.com/bfs/archive/8612af55a461246524cf2a9e357906c611fba692.jpg,【原神】极致光影 x 纵享丝滑,1643854518,1643857261,"当原神纵享丝滑遇到极致光影会如何？
本期BGM有点土嗨，不喜勿喷hh
BGM：Da Da Da (Remix by Mikis)
纵享丝滑制作：呆临
极致光影制作：铃夏
多人片段：铃夏和他的小可爱们
 这次邀请了重量级嘉宾-铃夏,一起制作，荣幸嘿嘿~（人家主要在某音，刚来b站噢，正在努力把ta挖过来）
喜欢的话可以关注一下嘿嘿~做了一个月给个三连吧~~",4881309,637246,258944,320229
BV1Cm4y1Z7LR,678931544,1,美食制作,1,http://i1.hdslb.com/bfs/archive/d7f6f7cd4b41be124b9139e45f6af8ca16610529.jpg,豆腐雕刻“鱼跃”,1644311297,1644311297,今天跟大家分享我的另一个技能那就是豆腐雕刻，祝大家步步高升，年年有余,6933585,685558,8718,28523
