视频bvid,视频aid,videos,视频分类,版权所有,视频封面,视频标题,上传时间,公开时间,视频描述,播放量,点赞量
BV1j64y1o7QZ,758288879,1,搞笑,1,http://i1.hdslb.com/bfs/archive/6b27a37916d37c6329242f22a1e5664b8e51f68e.jpg,饮茶哥：兄弟，今日放假！放假就系要饮茶！,1622025915,1622025915,新加坡今天放假！,5985495,345908
BV1u84y1F7mL,630698548,1,鬼畜调教,1,http://i2.hdslb.com/bfs/archive/d4d354b348ef52777b051180c4cd53f7fe897567.jpg,⚡山 东 菏 泽 曹 县⚡,1621547205,1621569619,"曹县 人称世界渴望之城
山东不能失去曹县 就像西方不能失去耶路撒冷！
（连肝了一个通宵 兄弟们三个连8）
微博@深海色带鱼",12138639,427124
BV1Ky4y137U8,803357368,1,电子竞技,1,http://i2.hdslb.com/bfs/archive/10ba1c4ac340270abc0c3a29a84ad9d7103d0a69.jpg,恭喜RNG,1621852604,1621852604,,2150645,128040
BV1pK4y1R7vL,930785336,1,小剧场,1,http://i0.hdslb.com/bfs/archive/f4cb472f67819cf97132b66f2436720853306b05.jpg,双一流高校《让绩点飞》,1621949751,1621949751,"大制作，第一次尝试使用电影机和电容麦
摄影及后期：@Linux_INT  
张麻子：@_小初初i_  
师爷：@南淮北冥  
胡百：@laksjdjd  
老二：@秃头阿za  
老三：@卷新菜Even  
老四：@爱国混沌  
老七：@winkog  
假麻匪：@等wind的猩猩 （河南话） @_朝_闻道 （粤语） @尘月宁下  （泰兴话）",2522667,170610
BV15q4y1j7Yu,545839034,1,科学科普,1,http://i2.hdslb.com/bfs/archive/e54a0ebe38b789f738fa8ce12c76eceba18c7521.jpg,再不科普，袁隆平的贡献就被黑的…只剩一篇论文了,1621854249,1621854249,中国杂交水稻技术已经引领世界近半个世纪，并且有足够的理由相信还将继续领跑世界，在中国现代科技史上，这是一件大事 。“ 两弹一星 ”为中国的国防安全提供保障，而杂交水稻不仅解决了中国人的吃饭问题，它同样为中国的改革开放赢取了宝贵时间，缓解了人口压力和人地相争的矛盾，获得了巨大的经济效益。,5731531,600277
BV1Uy4y1W71k,803188414,1,短片·手书·配音,1,http://i0.hdslb.com/bfs/archive/7a9d045041cef684f3635ae30e4b1931eafbc577.jpg,【神兵小将】东方大小姐和南宫大少爷的反派生涯2.0,1621576122,1621588813,"时隔三年我终于重置出来了反派生涯20！因为想试试点新花样和不一样的感觉，这次东方大小姐是人狠声甜的港风美女。
原作:JUSF周存 BV1nx411V72K
选曲【王㐬绮×王太阳】大小姐和大少爷的反派生涯（Ruki×Roi） BV1H54114798
已获得授权
感谢RCVO配音组的倾力相助！希望大家看的开心！",5221646,403899
BV1Dv411G7v4,248256105,1,科学科普,1,http://i0.hdslb.com/bfs/archive/0b579cefad00aaca72c828e2edd928c1e4759256.jpg,【亮记生物鉴定】网络热传生物鉴定30,1622004207,1622004207,,10598361,577453
BV15b4y1Z7r6,630851540,1,校园学习,1,http://i2.hdslb.com/bfs/archive/ecfd5bcf5eaaa57e8ea97f7be92b15b5f5cf96eb.jpg,【人文社科①】b站最全志愿填报专业选择指南！61专业100嘉宾！第1期：历史国际关系政治社会心理英文小语种中文 文科专业高考志愿填报,1621959112,1622001909,"本期专业：历史、政治（含国际关系）、社会、心理、英文、小语种、中文
感谢各位嘉宾：小王Albert（王骁待产中）、小徐、多罗西123、-LKs-、伢伢gagako、溪子心理、是毛布斯呀、James、二锐、小蝶今天吃饱了、魏春露
下期预告：新闻传播、广告、法律、侦查、哲学、马克思主义、教育",2372808,145767
BV1B64y1o7XK,758365675,1,影视杂谈,1,http://i2.hdslb.com/bfs/archive/0327aefb33deeee2dbb94cc5f22252af5ddf087c.jpg,国内首个全息投影红绿灯？这可真的是绝了【阅片无数Ⅱ 04】,1622037610,1622037609,"第三季03BV1fK4y197u9：人都傻了！这片上来就是皇帝自宫！
第二季02BV1rN411o7c4：真的能玩！用硬纸板做出超级马里奥
第二季01BV17A411575p：听完就笑了！20年前的配音太勇了
更多生活中的凉风请参见→微博@凉风Kaze
另外一些不适合在视频解答的题，之后会放在微博",4435935,340506
BV1pB4y1F7o9,588142761,1,美食侦探,1,http://i2.hdslb.com/bfs/archive/9661d4ef94bed92cd2f03b9434bbfc1af5eedd80.jpg,山东大哥：“我保证，这烧烤你一看就想吃！”,1621764800,1621764800,带皮五花肉卷饼，一口辣酱一根葱！,5002580,232866
BV1Ho4y117aw,375744375,1,综合,1,http://i1.hdslb.com/bfs/archive/124118c066752a512b4288dff6d841695c0db04f.jpg,【王冰冰x青年大学习Vlog02】来不及解释了，上车！,1621559794,1622017444,王冰冰x青年大学习 Vlog02,1839955,151820
BV1kB4y1F7fL,588202678,1,美食制作,1,http://i0.hdslb.com/bfs/archive/fba081d5c18decfab33b5cb6b361f2d12cc4838a.jpg,日食记翻车18次的巧克力，比丝滑无人能超越我。,1621509650,1621509650,"微博大号@日食记
微博小号＠姜老刀
微信公众号：日食记
文字菜谱见视频末尾",3758555,429881
BV13K4y1V78r,888369621,1,电子竞技,1,http://i0.hdslb.com/bfs/archive/5d7d0338e3914995eea22092217981f14e6d6994.jpg,faker:我都是自愿的，我喜欢,1622096675,1622096675,李哥：我都是自愿的，我没眨眼！,4601755,253251
BV1f54y1V7FR,845854554,1,搞笑,1,http://i2.hdslb.com/bfs/archive/f84023bd4920185fe10c2e748fc07be3795b928a.jpg,我是谁？,1622110805,1622110804,"希望观众老爷喜欢这个系列！
（希望你们喜欢，记得素质三连！）",12639987,558078
BV1bV411j7t8,418166688,1,日常,1,http://i2.hdslb.com/bfs/archive/1e8b763c36b0202b6fadda4d5c545499c4367290.jpg,520告白成功了！介绍我的女朋友！,1621490598,1621502416,520520,2713382,183506
BV1oA411g7ZQ,333285765,1,出行,1,http://i0.hdslb.com/bfs/archive/56af4dc96a75921bf8f98b6e4f6af536aab3d0f7.jpg,探秘中国边境小镇！100度火山温泉做菜好吃吗？,1621999821,1621999817,,3287909,296109
BV1c54y1V71J,845703596,6,电子竞技,1,http://i1.hdslb.com/bfs/archive/5bb9b3da1f1137a3d35984228c05f4a4839682ae.jpg,【2021MSI】5月23日决赛 RNG vs DK,1621779367,1621779367,【2021MSI】5月23日决赛 RNG vs DK,10634904,154326
BV1TK4y1V7Wu,888359896,1,健身,1,http://i1.hdslb.com/bfs/archive/b2dacab7c871091a105aea3b5b6107745543f2bb.jpg,普通人在家减肚子，变化有多离谱？【附操作】,1621850358,1621850358,"关于减肚子肚腩练腹肌的训练！
2021升级了！
那段弓箭步跳很要命！

禁忌人群： 老年人（年龄大于 65 岁）、孕妇、残疾人；患有糖尿病、心脑血管疾病、肺部类疾病以及其他新陈代谢疾病的人群；患有骨科伤病且尚未痊愈的人群；及其他医嘱建议不适合运动的人群；BMI大于等于28的大体重人群。",6216693,250822
BV1af4y1Y7ax,290653104,1,影视杂谈,1,http://i2.hdslb.com/bfs/archive/b5da40268623f04a74b17b74d328dd291b396896.jpg,大结局！我们现在的幸福生活就是它的续集！9.3高燃民国历史剧《觉醒年代》P12,1621604826,1621604826,"大结局！建党了！
开天辟地之举！中国至此换了人间！
强烈推荐大家去看原片

本期点赞过12万
将于一周之后更新《觉醒年代》特别企划——主创专访
导演从未披露的创作细节
主演从未公开的表演心路
干货满满，敬请期待",3588977,368373
BV1pv411V73W,248356878,1,乐评盘点,1,http://i1.hdslb.com/bfs/archive/948faf6384c6059a1168501b6d5bb1557438ba3a.jpg,【黑胶】周杰伦《以父之名》史诗级神曲！华语乐坛巅峰神作！,1621941614,1621941614,"自己购买周杰伦《叶惠美》黑胶，目前的市场价是2000元左右
杰伦的黑胶价格确实有点恐怖，从刚开始发行到现在一直都在关注
没办法，真的太喜欢了，所以我还是咬了牙买了，追一波回忆
视频用了两条音轨，一条是录制的音轨，另一条是提取的音轨
歌词字幕是我另外独立做的，我想这期视频，大家绝对不会失望
大家一起来静静感受一下这首歌的魅力吧",3810246,218353
