视频bvid,视频aid,videos,视频分类,版权所有,视频封面,视频标题,上传时间,公开时间,视频描述,播放量,点赞量,投币量,收藏量
BV1pU4y1S73k,683931732,1,极客DIY,1,http://i1.hdslb.com/bfs/archive/8866c356e6e834148981657a979edbf41e34192f.jpg,为了体验下在太空里那种失重旋转的感觉自己做了辆失重离心车,1652313616,1652313600,,9336345,891438,812903,127020
BV1oa411a7B4,213874907,1,美食制作,1,http://i0.hdslb.com/bfs/archive/a65214a2412df9366ba5b66b71d0e14e620744f4.jpg,求求你别停产！这玩意我能吃一辈子！！,1651905132,1651917631,"详细做法请见视频小字~记得交作业~
注：本视频中食材有部分食品添加剂，视频提供的用量仅供参考，如自行食用或生产请按照所在地区的食品添加剂用量规定严格执行。
----
关于我：我叫大碗，暂居纽约的武汉人，兼职美食up，喜欢研究世界各地新奇美食，喜欢就点个关注吧！",12954147,850833,171195,172073
BV1ru411r73v,511318475,1,人力VOCALOID,1,http://i2.hdslb.com/bfs/archive/d6f05545b109d0e986ea649893fb9802dc012d39.jpg,《本草纲目》，但是废话文学,1651831227,1651831200,废话文学，永无止境！,12244794,928890,330077,329041
BV1A5411d7Dm,468831199,1,单机游戏,1,http://i1.hdslb.com/bfs/archive/a5340422eee3c6275581fbe1dcd9694c34a7d9d6.jpg,【我的世界 4K】一人，四年，十亿方块，一座华夏城,1651737694,1651919400,"引百园之瑰丽，拢千年之光阴，而今聚万厦于此。

	渝阳城是一个规模宏大的多朝代建筑的融合体。根据背景设定，该城从隋末开始营建，一直到清乾隆年间也未曾停工，期间跨越千年时光却未经战火摧残，故聚合了大量具有各朝代特色的建筑。该城分为内外城两部分，南北长约6公里，东西宽约4.5公里，实际建筑面积约12平方公里（18000亩）。
	自2018年初作者在Minecraft存档里放下第一个方块开始，项目就一直持续施工至今。为尽可能的让城市和园林显得符合现实背景，作者利用大量的闲散时间翻遍了从西安到洛阳、从南京到北京的",4135569,584556,625282,218880
BV1KF411M77B,298807756,1,人文历史,1,http://i0.hdslb.com/bfs/archive/53cfb670cafcadb125e8bcc758d7e13baede189b.jpg,只要5分钟，请为你的妈妈看完这个视频吧,1651896033,1651896030,"*视频不看完没关系，
一定要记得心疼妈妈啊。",6570315,877050,646627,430644
BV1oT4y1671T,938990456,1,影视剪辑,1,http://i0.hdslb.com/bfs/archive/a29d0b8b081b1ffe90aca727543b528c5cdb4f9d.jpg,“历史书太小 装不下一个人波澜壮阔的一生   历史书又太大 装下了华夏上下五千年 ”,1652246197,1652246197,"BGM: 日出峨眉  天行日月
这部混剪，剪的很累，想展现的人物太多，却受限于菜鸡能力，只能强行拼接了，有很多人物没有剪进来
比如我超爱的诸葛孔明，魏武曹操等，只能说尽量按着时间线剪了，看到这么多人杰在历史中叱咤风云，不禁感叹自己的渺小，普通人就做好普通人的事情，这个题材先到这吧，以后有精力了再去搞一下不同的历史人物混剪。
最后，求观众姥爷们，给本扑街一点三连吧，没有三连，就劳烦您们受累给视频点点赞，抱拳敬礼! 
跪求编辑审核大大们 给点推荐吧！",19173957,1850538,1372159,1087061
BV1M34y1h7ks,811424409,1,搞笑,1,http://i2.hdslb.com/bfs/archive/def33adbf28b2ebd8f50e3ebd8fbe77af50a6035.jpg,华 妃 之 怒,1652320093,1652320093,"华妃：听我说谢谢你，因为有你
素材：《甄嬛传》；凡人修仙传（凤凰特效来自第42集）
BGM：周杰伦《双节棍》",10830513,769656,202213,156630
BV1YA4y1S74A,896413868,1,电子竞技,1,http://i2.hdslb.com/bfs/archive/8c9bea186e0973ce26dd9288143de0a6ce91ecda.jpg,G2：打T1这事儿还得我来教你！,1652061000,1652061600,咱就是说，一定要赢！,3997549,277387,273806,80936
BV163411P7vP,426259807,1,美食侦探,1,http://i2.hdslb.com/bfs/archive/759201415835eed41276e2712f090d7949eb413b.jpg,掀开满层辣椒，终于明白，这玩意儿为啥能火爆夜宵街头了！,1651829221,1651829221,杨女士骨折的第17天，想她。,4908953,274270,136240,39484
BV1LA4y1Q7QG,896260615,1,喵星人,1,http://i2.hdslb.com/bfs/archive/a1acc296609fcded78d358f03f5cbffd4a62ceb6.jpg,⚡️第一次当妈，没啥经验⚡️,1651910164,1651910164,"喜欢请点个赞鸭~ο(=•ω＜=)ρ⌒☆
音乐：Emma Stone - Someone In The Crowd (From ＂La La Land＂ Soundtrack)
片尾：Take on Me",6288743,420892,171635,130740
