视频bvid,视频aid,videos,视频分类,版权所有,视频封面,视频标题,上传时间,公开时间,视频描述,播放量,点赞量,投币量,收藏量
BV19k4y1r75k,752947982,1,原创音乐,1,http://i2.hdslb.com/bfs/archive/2dc50a17cd035ca359405c23dbaedc398b167460.jpg,最强尴尬王！！！！！！,1588257291,1588305642,"快乐的五一给大家献上一首很业余的尴尬咬舌歌！
关于尴尬歌——
业余爱好者自创的尴尬说唱流，具体就是主题很尴尬，唱的也很尴尬，词儿也很尴尬，总之就是很尴尬，希望不要尬住大家!祝大家五一劳动节快乐！
作词/演唱：老番茄 / 某幻君
编曲/混音：Lglywww
曲绘：怪生音
后期：鸢尾小岛",18360254,1142556,795732,484752
BV1g54y1R7ej,840426401,1,财经商业,1,http://i0.hdslb.com/bfs/archive/e8e01cc0e7c0a738fee36cc3f1fb16153414805e.jpg,【半佛】为什么B站到了渡劫的关键时刻？,1587804227,1587804227,B站近期的机遇和挑战。,5477921,616741,485697,153492
BV185411x72Q,455395739,1,影视剪辑,1,http://i2.hdslb.com/bfs/archive/cc5be44a55519ead6b2b46f78dff687a3ac83134.jpg,每天一遍，防止早恋,1587904203,1587953115,"BGM：Mine
每天一遍，防止早恋",4159115,244880,103179,95486
BV1Ua4y1v7up,667955591,1,人力VOCALOID,1,http://i0.hdslb.com/bfs/archive/ea03b4b1c12c6fcafc8c7b526c5233279ae575a4.jpg,【心如止水x周扬青】时 间 刺 客 罗 志 祥,1587625267,1587636938,"罗志祥
原名：艾克
称号：时间刺客
祖籍：祖安
擅长：时间管理，多人运动
罗志祥是一名来自祖安的英雄，因为他的大招能够管理时间，因此又被广大玩家称之为“时间刺客”。在团战中，由于罗志祥多人运动的能力极为强悍，因此无论是主动开团还是被动开团，都能够打出成吨的伤害。不仅如此，罗志祥的被动技能“猎女无数”能让他的技能对敌方女英雄造成双倍伤害……我编不下去了，你们接着编吧。
BGM：心如止水",3029187,164760,39059,27131
BV14g4y1z75o,837905440,1,社科·法律·心理,1,http://i2.hdslb.com/bfs/archive/478e6bbd3b8d205125dd7d8f2f8443a9bf8f5dc2.jpg,【罗翔】故事要从张三借了高利贷说起,1588296513,1588307170,本期主要讲一讲高利贷相关的非法经营罪与其入罪标准。,3542162,320292,77279,26459
BV16i4y1t7WW,540391498,1,野生技能协会,1,http://i0.hdslb.com/bfs/archive/35745882832033e7fdbb0b8c02ab0ffc51902795.jpg,每个男孩子都可以学会的伪声教程,1587890614,1587890614,做了一点微小的视频，谢谢大家。,5649739,470536,320234,519112
BV1sK4y1b7a8,882957432,1,MAD·AMV,1,http://i2.hdslb.com/bfs/archive/eb55ddabd4525ab4f3d3f306ff45bcb39ff754c4.jpg,“更爱你的人”,1587626793,1587626793,"（重制版）
BGM:paralyzed——NF 
封面：p站
画作ID：77756214
封面放在动态了噢！

0：00—2：26铺垫
2：26—3：43高潮
3：43————  尾声


 ( •̥́ ˍ •̀ू )",6811612,575818,463258,407814
BV1KQ4y1N7H4,710453799,2,短片·手书·配音,2,http://i1.hdslb.com/bfs/archive/cbcc96ae8a8d63dda309567b864c1f2cec48eedc.jpg,【鬼灭之刃】同人逼死官方！国外画师耗时一月再绘「善逸vs獪岳」,1588073531,1588073531,"https://twitter.com/Mazumaro0/status/1254972018417532928
转自推特用户 Mazu @Mazumaro0
https://twitter.com/Mazumaro0/status/1254972018417532928",3133618,167466,45238,95358
BV115411x782,455412332,2,短片·手书·配音,1,http://i2.hdslb.com/bfs/archive/b6cc3fb6aa2c6247f702b16755a17012fe96c332.jpg,【爆肝500+张原画】干物妹！臭鼬娘！,1587767057,1587787242,"凯露酱真的是太可爱了，人家才不是什么接头霸王呢(＾Ｕ＾)ノ~ＹＯ！
历经了无数个不眠之夜，团队大半画师加班加点爆肝产出500张+原画，后期听了沉默，画师听了流泪o(╥﹏╥)o。
如果喜欢的话，请一定记得要三连哦，不要下次！就这次！求求了！⁄(⁄ ⁄•⁄ω⁄•⁄ ⁄)⁄
今后我们会上传更多高质量的作品哒~！，期待你的关注哦！！
（收藏过2W，动态放出结尾的大团圆高清原画哦~！）

【原作】：干物妹！小埋R
【企划】：帷幕VMovie
【总监督】：爬丝
【绘画监督】：多刺
【视频监督】：蜗牛
【绘画】：豆七
【绘画协力】：Sky、木易
【视频后期】：时刻
【压制】：爬丝
【特别鸣谢】：小思

（帷幕VMovie是一家音频后期、视频后期、原创企划的综合性团队）
（如果您需要后期需求，或者想加入我们，欢迎戳我们的动态查看相关信息哟~！）",2512546,338352,324901,168612
BV1di4y1t7Y8,540473190,1,日常,1,http://i1.hdslb.com/bfs/archive/fb32db0f90d1dc0d2292576b0359e538cb4d8d22.jpg,600万粉up主自曝黑历史【粉丝问答05】,1587787272,1587787242,"都600万粉丝了，想想400万的时候仿佛还是两个月前。
更多生活中的凉风请参见→微博@凉风Kaze",4180775,604270,273125,73348
