视频bvid,视频aid,videos,视频分类,版权所有,视频封面,视频标题,上传时间,公开时间,视频描述,播放量,点赞量,投币量,收藏量
BV1Cv4y1M7Fg,555258985,1,单机游戏,1,http://i2.hdslb.com/bfs/archive/60dc98a0aa415045feb5b80320c726d2d4b3b7d3.jpg,什么是肝帝？他说.....,1656057446,1656057446,"哈哈哈哈哈 这算是我第一次真正意义上制作的短视频
整的一个小活 如果大家喜欢一定要点赞呀 如果效果不错以后会多多整活！
这是在周三刷到了一条这种形式的视频
觉得很有趣
当时就萌生了制作这个视频的想法
周四就开始加班熬夜
在这周五赶出来了
可能会有不足 但是也是尽力了！
我也并不是肝，我只是喜欢分享。谢谢大家一直的陪伴！
也希望大家可以喜欢这种形式的视频。
【本期视频内容纯属虚构，请勿模仿】
本期使用模组：Blockbuster，World Edit，更多弯曲动作，RePlay。",15930808,1382619,257942,451448
BV19f4y1f7oj,300325493,1,鬼畜调教,1,http://i1.hdslb.com/bfs/archive/7a11b48398e89a350d458aed5837310725a17d43.jpg,🐓鸡你太美，但是二次元🐓,1656311338,1656320400,你干嘛~~,12905163,1018816,459027,384892
BV1rY4y1J7Mt,642804024,1,搞笑,1,http://i2.hdslb.com/bfs/archive/be42ccb9f6eb9a5b00b40b765685abee18cd80a0.jpg,别难过啦，没事我考的比你还惨,1656064927,1656064927,希望各位高考考生如愿以偿 如果不可以的话 那就祝你平安喜乐。,6490917,895037,124456,142537
BV1D3411w7w6,512970148,1,美食测评,1,http://i2.hdslb.com/bfs/archive/1330b92609e03f0ae8f04ddd5fead9c5f7bd063d.jpg,“雪糕刺客”？这些天价网红雪糕吃起来究竟怎样？#第六弹！,1656408301,1656408300,,8933497,618284,490797,209193
BV1Qv4y1M7QK,555287033,1,单机游戏,1,http://i0.hdslb.com/bfs/archive/62cf52198a8e2b2c7a439bcd0b9ccd26936b04a5.jpg,中了几箭而已，问题不大【剑圣③】,1656126022,1656125999,"第一集：BV1Gg411d7yA；第二集：BV1UL4y1N7GL
制作视频不易，希望您能留下宝贵的弹幕和评论！
点赞到30w，火速制作下一期！！！！！",4644984,477182,163270,58149
BV1EB4y1q7NX,597774070,1,科学科普,1,http://i2.hdslb.com/bfs/archive/f30c2ab57832e6482f0f3266719c9e178c44d473.jpg,如何科学的护理产后母猪？,1656201631,1656201627,,2841156,231615,136102,61098
BV1LG411x7zZ,427965763,1,电子竞技,1,http://i2.hdslb.com/bfs/archive/1828dd929918981138bbef38bc5695c908b7d7b6.jpg,【树叶 白姨】鬼畜大电影     《天 弃 之 子》,1656397362,1656397362,-,5070526,597210,603757,271633
BV1Ca411W7v9,215415683,1,日常,1,http://i0.hdslb.com/bfs/archive/1c4e0b7859c201aa1cbd8f7a2e876c261d3ea4e6.jpg,我和女朋友，被房贷改变的这三年,1656495005,1656495000,"░░░░░░░░░░▄▀▀▀▄
░░░░░░░░▄▀░░░░░▀▄
░░░░░░░█░░░░▄▀░░░█
░░░░░░█░░░▄▀█░░░░░█
░░░░░█░░░░░░█░░░░░░█
░░░░░█░░░█▀▀█▀▀█░░░█
░░░░░█░░░█░░█░░█░░░█
░░░░░░█░░▀░░█░░▀░░█
░░░░░░░█░░░░█░░░░█
░░░░░░░░▀▄░░▀░░▄▀
░░░░░░░░░░▀▄▄▄▀",8280927,699383,777659,207973
BV17Y4y1n7s7,642890174,1,运动综合,1,http://i2.hdslb.com/bfs/archive/b785a1684f7f629cb1d3a0e9c00828ade9855a63.jpg,中国人修仙这件事是瞒不住了！,1656468019,1656467999,"BGM：sail
2022年5月31日，国家体育总局武术中心，定制修订了《中国武术协会武术兵道赛事场地、器材标准（试行）》等11项武术兵道项目管理制度并形成《武术兵道项目管理制度（征求意见稿》文件汇编。其中附件103页详细注明段位制更名为一段（隐元境）至九段（天枢境）。",4270024,527832,116106,91246
BV1ia411W79g,215356317,1,鬼畜剧场,1,http://i1.hdslb.com/bfs/archive/d79c8c4e31fb4cf4388b1906945b537158a35486.jpg,嘎狼 II,1656301845,1656301845,BGM：我心永恒,9312690,833308,111508,150755
