视频bvid,视频aid,videos,视频分类,版权所有,视频封面,视频标题,上传时间,公开时间,视频描述,播放量,点赞量
BV1yV4y1L77C,859030083,1,美食侦探,1,http://i0.hdslb.com/bfs/archive/478be7028fd2568ad6377cc085c10e9a78ac8b4e.jpg,好久没吃过的街头拌水果，久违了兄弟们，我回归了。,1665577447,1665577447,-,1893046,192326
BV1WW4y1H7ho,943941260,1,社会,1,http://i2.hdslb.com/bfs/archive/5a8969ae8d9b8289033dc4573662fb4931b71e28.jpg,男子三军仪仗队退役复学，网友：教官在想这学员咋比我还标准,1665560451,1665560451,,1937156,108135
BV1384y1z7P8,604077418,1,数码,1,http://i0.hdslb.com/bfs/archive/420f7c93bb1a98275caa856646a848a1e5c5833a.jpg,显卡装空调！4090改装空调外机，7000W制冷量极寒游戏！【科技达】,1665574791,1665579600,"*视频仅供娱乐 请勿模仿此操作*
*未能购买到40系冷头 首测时间紧迫 只能暴力焊接（狗头）*
*焊锡填充部分未能均匀融化 是导热效率低的主要原因 如果时间充足 焊到热管上效果会更好*
*4090火神的侧屏幕更改为了磁吸结构 并且附赠有USB线缆 可将屏幕放置于桌面上*
关于DLSS的更新消息补充：
● 《超级人类》（SUPER PEOPLE）：抢先体验版将于10月12日13:00发布，支持DLSS 3
● 《生死轮回》（Loopmancer）将于10月12日发布更新版，支持DLSS 3
● 《逆水寒》“拂云庭“（Justice ‘Fuyun Court’）: 全新图形展示将于10月13日发布，支持DLSS 3
● 《微软模拟飞行》（Microsoft Flight Simulator）：将于10月17日为Xbox Insider计划成员推出测试版，支持DLSS 3
● 《瘟疫传说：安魂曲》(A Plague Tale: Requiem)：将于10月18日发布，支持DLSS 3
目前, DLSS 3已经得到了许多全球领先游戏开发者的支持, 超过35款游戏和应用宣布即将支持该技术",767944,54300
BV1Me4y1n7xJ,646340790,1,粉丝创作,1,http://i0.hdslb.com/bfs/archive/eed14a1b158beb0fa672fc55d15af4256595abc8.jpg,“为了看她走秀，我搜刮了Tokyo Girls ！！！”,1665231423,1665231423,幸子小姐拜托了 - 柴 鱼 の c a l l i n g【已售】,1043635,41803
BV1Sg411h7XB,516547096,1,电子竞技,1,http://i0.hdslb.com/bfs/archive/2dc16f05bc25d635e0d83401a0e6dc97816d603d.jpg,【S12全球总决赛】小组赛 10月14日 C9 vs EDG,1665697893,1665697893,【S12全球总决赛】小组赛 10月14日 C9 vs EDG,728813,13015
BV1GG4y1n7EH,816603586,1,美食测评,1,http://i1.hdslb.com/bfs/archive/b2e1d4126fa18b9fcfc8da53b25328724bb66820.jpg,全球首家华莱士 竟在我家楼下！？,1665657018,1665657018,2001年1月8日，善于捕捉商机的华怀庆看到二三线城市老百姓对洋快餐的渴望，于是他和华怀庆凑足8万元，在福建师范大学门口卖起了洋快餐，取名为华莱士。,493727,25149
BV17e4y1n78i,646377330,1,日常,1,http://i0.hdslb.com/bfs/archive/838d01a0fa2d0b200d956ce59d6ae01e850c4267.jpg,女，四岁，花四十块钱买了一份属于傻子的快乐｜可可爱爱怪东西,1665492204,1665492204,室友评价：你是不是就喜欢这种又可爱又怪的东西。本人特在此澄清，是的。,708585,37632
BV1hG411j7k4,431499015,1,日常,1,http://i2.hdslb.com/bfs/archive/c054acb90739dedece308f068484ec9b487fedc5.jpg,糟糕，保研失败！,1665505668,1665505667,-,941524,41230
BV1rN4y1c78X,901521382,1,小剧场,1,http://i2.hdslb.com/bfs/archive/25ce82c8a95a59f8d0b769b209f529254c3191d7.jpg,无畏追梦，虎威小郎 之失意小伙梦想追上学长，最后终于实现了……,1665650550,1665661200,无畏追梦，虎威小郎,184138,33156
BV1wW4y1J7rv,944007321,1,美食侦探,1,http://i1.hdslb.com/bfs/archive/d6070893ba2b9a02fadfe75a52895904bcc87c08.jpg,顶级金枪鱼熟成15天，海中珍品极致风味！,1665652589,1665652589,"淘宝搜索店铺：小渣爱酒
精品美酒应有尽有
bgm：
The Ventures——Perfidia   
北野武 ——新宿午前3時25分 
伍佰&China Blue——再度重相逢",566815,78732
