视频bvid,视频aid,videos,视频分类,版权所有,视频封面,视频标题,上传时间,公开时间,视频描述,播放量,点赞量
BV1vv411P7CJ,250317508,1,手工,1,http://i1.hdslb.com/bfs/archive/7011298d0248ec728ef607e5c9f7e0a8a1495080.jpg,这个玩具也太会扭了吧！根本停不下来~哈哈哈哈,1630747531,1630747531,简介有点东西,11996214,683968
BV1Df4y1A7jq,377859787,1,鬼畜调教,1,http://i0.hdslb.com/bfs/archive/beadd69ed7da685603187c37eaee3f8a766d19f0.jpg,⚡两分钟，大师带你走向成功⚡,1630718303,1630718303,"来点硬货。
Beat: 儿子娃娃- 那吾克热",8671661,914088
BV1Bq4y1T7N4,547796211,1,手机游戏,1,http://i0.hdslb.com/bfs/archive/1fe7d964b84383852af493e6739bb3946711cd81.jpg,一刀封神！万叶挡住雷神一刀！总会有地上的生灵，敢于直面雷霆的威光！,1630565689,1630565689,"总会有地上的生灵，敢于直面雷霆的威光
那一刀，未必无法企及

关注是我最大的动力
【视频素材】：原神官方视频
【音乐素材】：晚夜微雨问海棠-镜予歌 / 陈亦洺 / 喧笑",16297969,836469
BV1yQ4y1C7g2,717798998,1,日常,1,http://i0.hdslb.com/bfs/archive/e3e86a84e88e0364f2f7cfd978a4ae68b81914a7.jpg,90岁抗美援朝战士当导演！这是我最贵的视频,1630575708,1630575708,筹备了一个多月的特别策划，送给“最可爱的人”，也希望把我们感受到的情感分享给大家。制作过程有很多不足的地方，还请大家多多包涵，未来我们会努力进步。,4911563,701117
BV1av411P7yH,250335796,1,日常,1,http://i2.hdslb.com/bfs/archive/db22a9ef90d98e011d63488b063b5b117b81cc8b.jpg,谭sir首谈《谭谈交通》停播的真实原因。“我要是圆滑，我早就在天空自由翱翔了。”【破圈相对论Ep01】,1631025005,1631025004,"我们特别策划《破圈相对论》
第1次破圈，对话@谭乔 

面对找回自己的谭乔
你再问他“你走哪条道？”
他只会笑着说，“人间正道”。",5692360,441101
BV1Q44y1878K,975317491,1,极客DIY,1,http://i2.hdslb.com/bfs/archive/da4401ef23c0e0057eb8a7c2fde9221724fe198e.jpg,手工制作涡轮增压马桶,1630922426,1630922409,,6749082,694226
BV11g411V7jk,505321850,1,娱乐杂谈,1,http://i0.hdslb.com/bfs/archive/aa4611191347683b3dc339202eb134f18518deed.jpg,《 哎 呦 不 错 哦 》,1631082411,1631086277,在这个偶像遍地走，流量多如狗的时代。谁能不说上一句：周杰伦才是YYDS！,6538983,718130
BV18L4y1h7uX,847813514,1,搞笑,1,http://i2.hdslb.com/bfs/archive/e0d965e390c90248c37963cb4b74e16d6233b9e6.jpg,医生：医院的麻药不够了（上膛,1630814719,1630814717,"微博@逗比的雀大巢  
嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿三连嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿",8413710,625605
BV1pL411t7Qn,462849907,1,MAD·AMV,1,http://i1.hdslb.com/bfs/archive/ebe59a8d1ac12e0b4f0908d41b1ddfcc2829dfb4.jpg,好怪….再看一遍！【魔性剪辑#05】,1631071812,1631071806,"这次尝试了一下rap风~做了挺久的QAQ
BGM：Thrift Shop
素材：玉子市场 埃罗芒啊老师 原神 
胡桃摇来自：推特ID:acomu414，Pid:1812599
白毛萝莉来自：vrchat stupiddmilanesa
魔性剪辑：
一期 BV1wv411i7EH
二期 BV1E5411878U
三期 BV18z4y1o7Lx
四期 BV1hz4y1C7CG
求推荐！
谢谢帮我叶子渲染~",14297749,1075313
BV1XP4y1a7EP,890357863,2,科学科普,1,http://i0.hdslb.com/bfs/archive/21c47e86b35c742e4a2ea87f02ec677d371475c9.jpg,堪比特效大片！跨越3000公里，带你看放慢1300倍下的闪电⚡️⚡️,1630927984,1630927984,"这一次我们开启了追逐闪电的旅程，在@风羽酱-sdk  的带领下，拍摄闪电的生成，并用超高速摄影机记录下这震撼的一幕！拍摄闪电存在危险，大家不要盲目效仿！

最后最后！制作不易，记得三连！！！",6573876,784228
