视频bvid,视频aid,videos,视频分类,版权所有,视频封面,视频标题,上传时间,公开时间,视频描述,播放量,点赞量
BV1q34y1Q7Pu,805454906,1,搞笑,1,http://i2.hdslb.com/bfs/archive/8b36d33f2c0c0ba9f0e28fb8d017c4a9db356118.jpg,史上最离谱随机挑战！居然随机到去小潮院长蹭饭...【第三期】,1631318468,1631329205,"随机挑战的全新系列！蹭饭挑战！无限羞耻！究极自闭！全程高能！
第一期：BV1664y1W7zS
第二期：BV1Hq4y1D7MR
喜欢记得点个赞哦~过20W赞下一期立刻继续找寻新的受害者！！评论告诉我们！！！",11711086,1145773
BV1wM4y1G7J1,932800601,1,科学科普,1,http://i0.hdslb.com/bfs/archive/f59d85352124a2027e6e69a42b181e3efc67e0b8.jpg,熬夜的好处，你知道的太晚了,1630986404,1630986404,-,5416760,416050
BV1sv411w73P,250416009,1,搞笑,1,http://i0.hdslb.com/bfs/archive/e89290638a62fb2da303dc3c3333320dca11bda2.jpg,社 交 废 物 2,1631352082,1631352082,"理论上来说和第一集并没有什么联系
社交废物1：BV1vB4y1M7Wt",6111270,454483
BV18v411w7X4,250470135,1,极客DIY,1,http://i2.hdslb.com/bfs/archive/f8e1316087284b56dbcf306565df57bedcaeeceb.jpg,屏幕有后坐 打枪更快乐,1631343502,1631343502,"屏幕：京东搜 剑齿虎显示器
抛壳手枪：拼多多或淘宝搜 抛壳格洛克 
键盘：cherryMX8.0和10.0
bgm：美波-カワキヲアメク (Complextro Remix) （羽翼深蓝Wings / 符白牙 remix）",7421904,489302
BV1Rg411F7FX,505469084,1,财经商业,1,http://i1.hdslb.com/bfs/archive/16bd0b3c38c938339394ae1a68ddce6724ecffea.jpg,上海第一网红自助餐一绪寿喜烧，人均200+的日料火锅，以假乱真、食材回收,1631513922,1631513922,上海第一网红自助餐一绪寿喜烧，食材回收、以次充好，人均200+，却把比目鱼充当鳕鱼，廉价牛肉冒充澳洲和牛，抹茶粉过期4个月继续使用，巧克力生产许可证查询不到，更可恶的是客人吃剩的刺身回收后添加新的继续使用，上海店铺更是在之前把鸭肝当做鹅肝卖给顾客,6166867,297350
BV12v411w7ZQ,250489213,1,娱乐杂谈,1,http://i2.hdslb.com/bfs/archive/2d5b0a20108ac36af6a2af1fe65bc543452e26bb.jpg,《丑到不想起标题》,1631575804,1631575802,正因为看过美有多美，才知道如今丑有多丑。,7371513,743669
BV1rQ4y1y7x1,717980789,1,人文历史,1,http://i0.hdslb.com/bfs/archive/68b7ce7cbadc0d9ea0c0096e3730455df2519fbc.jpg,“看我视频的孩子，长大后，他们是不是会比我们这一代更好呢？”【破圈相对论Ep02】,1631517900,1631530814,,2133688,217165
BV1Wv411w7fA,250415170,1,搞笑,1,http://i0.hdslb.com/bfs/archive/771dc8562991305e27c3d02c1fd9cbc72f9cfd15.jpg,（这也能解说？！）史上最燃的弹珠大赛【第六弹】激烈缠斗！热血厮杀！重回巅峰？！,1631419225,1631419209,BGM：小林未郁 - α≠a,4788856,486930
BV1634y1Q7Wr,805468257,1,美食制作,1,http://i2.hdslb.com/bfs/archive/29542b3c6d18742f067ddba1d8bf05abbc489d08.jpg,耗时五天“佛跳墙”终于大功告成，金锅一开四伯感叹这辈子值了,1631264433,1631264417,耗时五天“佛跳墙”终于大功告成，金锅一开四伯感叹这辈子值了,4951309,574918
BV1EQ4y1r7wX,720502580,1,数码,1,http://i2.hdslb.com/bfs/archive/d5ee88abe4d8f196c13b27cfef18818eaaa50bea.jpg,【短的发布会】加量不加价，iPhone13不负王守义厚望果然十三香！,1631672800,1631672800,Pro全系上高刷！iPhone13 Pro自适应120Hz果然十三香,2877750,163885
