视频bvid,视频aid,videos,视频分类,版权所有,视频封面,视频标题,上传时间,公开时间,视频描述,播放量,点赞量
BV1M54y1s7Jq,843675465,1,翻唱,1,http://i2.hdslb.com/bfs/archive/eb73392d96e5166d552ee0dffff3c55731b39570.jpg,你那叫说唱厂牌吗？（英文版）,1610887757,1610887756,"本家：BV19K411M7L8
原作者：倒悬的橘子
视频素材：@小卡塔克
唢呐演奏：@浑元Rysn 
原beat：“Vroom” prod by Fantom
英语填词：A路人
翻唱：A路人
以后老外如果想了解西游记，建议直接给他们放这个！",6069433,429320
BV1554y1s7qG,843694839,1,短片·手书·配音,1,http://i2.hdslb.com/bfs/archive/b3363b425b2a745d433027eb7e299654be7e1f23.jpg,大雄...已经...无所谓了...【第二期】！！！,1610858586,1610858586,"【部分段子出自于日式冷吐槽】
这期视频非常的难做。主要是因为最近的身体状态有些恶化
导致在思考段子的时候总是不能集中精神，也没什么灵感
这期视频能做出来甚至已经可以说是奇迹了
让我软磨硬泡了三天，没有灵感就硬挤出灵感，剪不动了就休息一会继续剪
最后的成片有一些粗糙 所以在这里给大家道歉【鞠躬】
大家如果喜欢我可以关注我的微博@逗比的雀大巢 我会发一些日常的~
投币过5万就会出下一期的哆啦A梦！！
请一定要关注我！！！关注我！！！关注我！！！关注我！！！关注我！！！关注我！！！关注我！！！关注我！！！关注我！！！关注我！！！关注我！！！关注我！！！关注我！！！关注我！！！关注我！！！关注我！！！关注我！！！关注我！！！关注我！！！关注我！！！关注我！！！关注我！！！关注我！！！关注我！！！关注我！！！关注我！！！关注我！！！关注我！！！关注我！！！关注我！！！
然后要三连我！！！三连我！！！三连我！！！三连我！！！三连我！！！三连我！！！三连我！！！三连我！！！三连我！！！三连我！！！三连我！！！三连我！！！三连我！！！三连我！！！三连我！！！三连我！！！三连我！！！三连我！！！三连我！！！三连我！！！三连我！！！三连我！！！三连我！！！三连我！！！三连我！！！三连我！！！三连我！！！三连我！！！三连我！！！三连我！！！三连我！！！三连我！！！三连我！！！三连我！！！三连我！！！三连我！！！三连我！！！三连我！！！三连我！！！三连我！！！三连我！！！
么么！！
收起",16564365,911244
BV11K4y1W7LG,886242337,1,短片·手书·配音,1,http://i2.hdslb.com/bfs/archive/439b334052fa39bb93499a9a2e5e423eafda160f.jpg,《 高情商说话技巧 》！！！,1611081573,1611113402,"《盗梦空间》新系列开坑！！
这仅仅是一个开篇序章，后续计划做《七部曲》每一期会有一个核心主题
这个系列有没有下集，完全取决于大家！投币过5万，我就是做梦，也出下集！！！
最后记得关注我关注我关注我关注我！！！！！",6496861,580756
BV15K411u7t1,501153233,1,出行,1,http://i1.hdslb.com/bfs/archive/dffb88cab583d629334bb60447a7dbef4e2d8d1e.jpg,【冰冰vlog.003】出 差 摸 鱼 逛 北 京,1610866252,1610877602,或许你也喜欢用镜头丈量一座城市~,10814414,1079452
BV17z4y1S72k,586229796,1,综合,1,http://i0.hdslb.com/bfs/archive/44d0b6dc6e2d0aad47b1b23e79b160fa2d5bd9b9.jpg,伤害性不大，侮辱性极强,1610607610,1610607609,"既然都看简介了就点个赞吧^O^

做了个完整的嘻唰唰，部分素材换成更清晰的了，画质升级",2986368,192607
BV1bV411q7Tb,416337609,1,校园学习,1,http://i0.hdslb.com/bfs/archive/a67a2db4b0b70c04139166e33dc41f49e62b8570.jpg,【说唱】罗翔×毕导×圣代——做题超人！,1611248886,1611284092,"亲朋好友们！父老乡亲们！
年度知识分享官名单公布了！！【点击链接查看完整名单：https://www.bilibili.com/blackboard/knowledge-award.html】
在这阳光明媚的好日子，我们邀请到两位获奖的up主，毕导&罗翔老师联手说唱歌手圣代一起演绎一首说唱歌曲《做题超人！》

各位观众姥爷，走过路过点个赞，听过哼过投个币，知识酱这厢有礼了~",2166366,245383
BV1gy4y1H7hF,801130583,2,短片·手书·配音,1,http://i2.hdslb.com/bfs/archive/4a9679d29aa6f2ce8f1fb64991e422688c0b4a5d.jpg,忍 术 回 战,1610735188,1610758800,"肝了好久好久终于画完啦~~~，忍痛删掉了一些帧数不然画面会抖（我太菜了没画好[大哭]）
之前因为一些身体原因导致咕咕了很久，真的非常抱歉，让大家久等了，以后会加快速度更新的。
觉得有趣的话还请点赞支持下噢，可以的话还望多多三连 分享给更多的人看噢。谢谢大家， 希望喜欢。
求关注求关注求三连求三连~~！！谢谢大家。
[打call][打call][惊喜][惊喜]",6423409,528549
BV17X4y1K7Qa,713648524,1,动漫杂谈,1,http://i0.hdslb.com/bfs/archive/74479930c40e805e23e0d6848f094a82e82f3b5c.jpg,一 月 最 强 新 番 ！！,1610793607,1610793607,"1月最强新番争霸赛
1月新番最强争霸赛
1月最新强争霸番赛",4379231,294326
BV1Go4y1o7xH,373636876,1,软件应用,1,http://i0.hdslb.com/bfs/archive/524462d6631c81bf1bad074847dcce22b8d9feb7.jpg,【苏星河】我竟从恋爱软件里…悟出了人生的真谛,1610963101,1610963101,《苏星河的2020年终总结》,1897457,169869
BV1wV411b715,416231333,1,动漫杂谈,1,http://i2.hdslb.com/bfs/archive/d39dd4a6a5b8e3bf4cca3ae3b332dd8b31c2e4f0.jpg,这才是大人该看的二次元英语书【阅片无数动漫篇20】,1611151207,1611151206,"第十九期BV1ri4y1F7Rg：我麻了! 这动画太离谱了
第十八期BV1Xa411F729：我的悲惨在你之上!
第十七期BV1uK41137vx：对雕像老婆唱歌把人唱活了！
第十六期BV1TD4y1R7sk：骚操作诞生！看到这一幕笑腺爆炸！
更多生活中的凉风请参见→微博@凉风Kaza
另外一些不适合在视频解答的题，之后会放在微博",3424033,311896
