视频bvid,视频aid,videos,视频分类,版权所有,视频封面,视频标题,上传时间,公开时间,视频描述,播放量,点赞量,投币量,收藏量
BV1TW4y1H7zy,943854848,1,舞蹈综合,1,http://i2.hdslb.com/bfs/archive/52000c9520c799beb9afad7212be5d72823c2cea.jpg,只因兄弟结婚，我们整了个顶级好活,1665047056,1665047056,"0'00  - 1'28    Forbidden 编舞: 我自己
1'28   - 2'23   Kala Chashma 翻跳自Quick style
2'23   - 2'43   暗藏玄机
2'43   - 5'22   新宝岛 改编& 翻跳自猛男舞团",4796753,629105,384177,158951
BV1id4y1i7fY,388906485,1,日常,1,http://i2.hdslb.com/bfs/archive/3f1dce9c3809d9602a32c439cc470d3e156d205d.jpg,有的人死了，尸体都找不回来，《非常警事》主题曲发布，讲述禁毒战场的一起真案,1665459892,1665459892,,5576397,762258,237634,72235
BV1ze4y1n721,646444957,1,搞笑,1,http://i0.hdslb.com/bfs/archive/3acb00db3240ead20e54dc50d084d9f60fe2d003.jpg,20岁成熟男人的魅力如此四射！！！,1665498319,1665567000,本色出演,1761602,157319,13725,9423
BV19g411Y7LB,516391840,1,搞笑,1,http://i2.hdslb.com/bfs/archive/ca3fac8abda46e79da370c17b90f486b13d5f58b.jpg,街头沙发实验，你会来坐吗？,1665315359,1665315359,我背着一个黄色沙发走上街头，走上天桥，走在公交站，如果你愿意，可以坐下来和我聊聊天，发发呆，把这儿当你的客厅就好！,5568313,726555,98250,87036
BV1je4y1n7CE,646370749,1,科学科普,1,http://i0.hdslb.com/bfs/archive/51888714580ddf195f6d35fe2808f16ff5830ea0.jpg,【宇宙杂谈】爆肝2万字！一次性带你看懂122年诺贝尔物理学奖！,1665021057,1665133200,"如果回顾整个诺贝尔物理学奖的历史，你会发现它不仅记载了近代物理学的发展，也反映了如今科学的进步过程。今天就带大家一次性看懂这122年来的诺贝尔物理学奖，一同领略现代科学大厦是如何一点点建立起来的。

希望不要收藏多过点赞，摆脱了 ヾヾ( ˘ ³˘人)ヾ",682510,50916,38048,29830
BV1Wd4y1q7zk,388531642,1,搞笑,1,http://i1.hdslb.com/bfs/archive/535ba3fbaea9f10891373d9e8ac4aabd5038a258.jpg,赛博朋克，但是真人版,1664612666,1664622000,疫情在家网课竟昏昏入睡，up进入梦乡误闯赛博世界！感谢@影石Insta360  的全力赞助，感谢@玉米布丁BOB  对视频特效部分的鼎力支持！！！！,5935455,643800,189161,143818
BV1NP411J7KM,303754635,4,手机游戏,1,http://i2.hdslb.com/bfs/archive/4d9060f4c2c7d610dd719fefd8f431ca31f26e62.png,《原神》妮露角色PV——「曼舞流连」,1665039866,1665115206,"对妮露来说，同台表演的伙伴，幕后支持的成员，和台下的观众，都是一场演出不可或缺的组成部分。
她的身影在台上被月光点亮，她的心则因身边的星辰闪耀。

中文CV：
妮露——紫苏九月

日文CV：
妮露——金元寿子

《原神》bilibili服下载地址：
https://www.biligame.com/detail/?id=103496",3741795,338630,123714,53136
BV1cB4y177QR,603967710,1,科学科普,1,http://i0.hdslb.com/bfs/archive/95d3c1239ff3a3216e2b1bad6f280a530105078d.jpg,锟斤拷�⊠是怎样炼成的——中文显示“⼊”门指南【柴知道】,1665395613,1665395613,2022年，一则明星考编的热搜把文字编码玩得出神“入”化。这只是关于文字显示的无数小故事之一，你肯定遭遇过的锟斤拷�⊠等各种乱码，还有人的名字连电脑都打不出来。这一切，都跟计算机显示文字的原理有关。这期视频有点长，因为我们想跟你把这事儿掰扯清楚~,2961871,288816,153009,118549
BV1C8411x7wo,218826384,1,单机游戏,1,http://i2.hdslb.com/bfs/archive/68c31114f8c836964764a81427ed91af0af92cf0.jpg,王老菊教你断剑奇侠（第二季01）- 雷氏侠义传,1665160532,1665160532,,1568123,107549,133632,39778
BV1NG4y1s7B3,816313050,1,美食制作,1,http://i0.hdslb.com/bfs/archive/a4e19a12bbdbd7af2d55bb0b8396c2ab2cc42d04.jpg,我本以为手打大铁锅已经是我的极限了，直到我遇到了手打牛肉丸....,1665049539,1665049538,-,6144475,472684,18562,33676
BV1eR4y197Xv,346294783,1,社科·法律·心理,1,http://i1.hdslb.com/bfs/archive/3012106aba2390bf13ce7ebfb57d000d58a6dafc.jpg,居然在奶茶里，喝出指甲,1665226693,1665226693,-,3839442,670372,44082,120201
BV1yV4y1L77C,859030083,1,美食侦探,1,http://i0.hdslb.com/bfs/archive/478be7028fd2568ad6377cc085c10e9a78ac8b4e.jpg,好久没吃过的街头拌水果，久违了兄弟们，我回归了。,1665577447,1665577447,-,2938550,277058,26774,8093
BV1FT411N7uH,473888140,1,影视杂谈,1,http://i2.hdslb.com/bfs/archive/28a2ca4c733a077262f9a33653c4465e42eee6cd.jpg,它没流量没上院线，却是今年最佳国产战争片！【特级英雄黄继光】,1665539418,1665539417,它没有充裕的拍摄资金，没有铺天盖地的营销宣传，没有豪华阵容，没有流量演员，没有大制作大场面。它甚至都没能上院线，没有实体排片，线上播出也不收票钱，但就是这样一部少有人知的网络大电影，却让我深深为之动容。,1748243,188033,104068,29356
BV1324y197pm,688781789,1,网络游戏,1,http://i1.hdslb.com/bfs/archive/31c845feb46e4274c14b71d8fac8537b40afa666.jpg,《守望先锋》“归来”动画短片：雾子,1665185719,1665185719,"来认识铁坂的守护者，大家的新伙伴“雾子”！一起欣赏《守望先锋》“归来”全新动画短片：雾子！

CV：
雾子 - 陈婷婷
妈妈 - 周帅
吉田先生 - 王肖兵
招摇的桥元喽啰 - 刘飞
蓬巴杜桥元喽啰 - 淦子齐",2406352,102807,41349,21846
BV1UW4y1J7V6,944120230,1,美食制作,1,http://i0.hdslb.com/bfs/archive/e3cea5b51c086afc8c57e5c9f83f12e00d101df4.jpg,近半年时间制作的福州肉燕，我尽力了！,1665563650,1665563650,"尽力了
我是垃圾",1980977,293184,154341,26994
BV19e411j7RS,261328585,1,搞笑,1,http://i0.hdslb.com/bfs/archive/7bdfe87885b5a5cd09eef01b7a7b94aa1ac829e4.jpg,破防！突然告诉女友我们要分开异地恋一年…她崩溃了？,1665224038,1665224037,点赞10W！下期整个大社死活～,1976019,165126,84547,20283
