视频bvid,视频aid,videos,视频分类,版权所有,视频封面,视频标题,上传时间,公开时间,视频描述,播放量,点赞量
BV1xK4y1f7mb,927906671,1,综合,1,http://i1.hdslb.com/bfs/archive/de8f9bcf9bf2dd5d19fd22878089412ed78ed1b5.jpg,B 站 各 等 级 用 户 现 状,1606476142,1606476142,感谢大家一直以来的三连支持,7920438,1078626
BV1uK41137tg,500445023,1,人力VOCALOID,1,http://i1.hdslb.com/bfs/archive/777d3c47cf38e6f3c7dbf61cc2200cc091ca2de9.png,【二仙桥大爷】断了的弦,1606924108,1606924108,到二仙桥 走成华大道,4694412,211443
BV1LD4y1X7WD,712896304,1,人力VOCALOID,1,http://i1.hdslb.com/bfs/archive/7d3884c6dd06d02211d7e313e434aed20bb7016c.jpg,【金坷垃】2020金坷垃收获祭,1606978534,1606993213,从第一株小麦的出苗开始…到农业复兴的波澜壮阔…再到无数次耕耘后的成熟，你已收获许多。现在，开启你最伟大的探索吧，从黄土坡的土坷垃到浩瀚星宇。圣地亚戈，您的肥料是您最强大的力量，您的威名从亚美利加到扶桑无人不知无人不晓，2020年，金坷垃将继续引领世界农业展翅高飞。,223493,22124
BV1vK4y1f7Wn,927933537,1,搞笑,1,http://i1.hdslb.com/bfs/archive/2e5cdc824833d131fd852fd7ffc4a46700552777.jpg,神还原《神话》｜为什么你不敢看我…,1606878155,1606878155,-,1053961,52121
BV1tr4y1c7cc,755435476,1,影视杂谈,1,http://i2.hdslb.com/bfs/archive/e9165f6fe3fb1bca9f28001a697c864c519a66be.jpg,2020年十大烂尾剧：今年哪一部剧伤你最深！！！骗你最苦！！！【low君大赏01】,1607047813,1607047811,我真的从年中就想做烂尾剧盘点了，今年烂尾剧实在是太多了。,1797524,84210
BV1DD4y1X72f,712977260,1,翻唱,1,http://i1.hdslb.com/bfs/archive/f2d352c3c40a2bb89a92b9e61a147f77d5118d92.jpg,【数码宝贝 X 英雄联盟】被选中的召唤师们，并肩作战吧,1606409686,1606469716,"可能有一天，我们会因为各种各样的原因，告别英雄联盟。
就好像太一失去了亚古兽一样。
但是我一直坚信，我们终会再见。",2064664,203385
BV1pf4y1v78b,287867357,1,影视剪辑,1,http://i2.hdslb.com/bfs/archive/90e9ab421ee52b56cd37850f9a7c6a9828c7e86a.jpg,『第一眼就喜欢上的人，怎么甘心只做朋友。』— 小妇人 °,1605926182,1606468806,"bgm：《愿得一心人》 周深

冬天了我要冬眠惹",5822555,297593
BV16y4y1q7ir,800483225,1,单机游戏,1,http://i1.hdslb.com/bfs/archive/d773e3271959424163a4829726f5426f275d3070.jpg,【老番茄】史上最骚杀手(第十一集),1606464298,1606464298,"第一集：av45629276 ； 第二集：av46295706； 第三集：av48138432；第四集：av49534383；第五集：av50276557；第六集：av69692251；第七集：av78014605；第八集：BV18E411G7y4；第九集：BV1Ya4y1t7fw；第十集：BV1XC4y1h78J
如果喜欢的话可以三连支持一下~",12008617,971846
BV1KV411Y7md,415485329,1,MAD·AMV,1,http://i0.hdslb.com/bfs/archive/90ac0b9fa21dd5b7e60db4944b9aa4782e0e27ea.jpg,戴上耳机！用五十部动漫唱一首《起风了》，以爱之名你还愿意吗？,1606899583,1606968011,"原曲：吃醋-高桥优
起风了-买辣椒也用券
【企划】：动漫唯美风
【作词】：萌宠教主
【演唱】：温城lan
【音频后期】：彭家昌
在评论区留下你想听的歌曲，点赞前三up主会选一首制作哟！点赞过3万放出音频，请三连支持下吧！希望这次能有多点人看QAQ",5729744,362620
BV1tr4y1c7NK,755435303,1,科学科普,1,http://i0.hdslb.com/bfs/archive/6a07ae0d2d1d2284b907f1394df17083c693688f.jpg,【科普】经常戴耳机听歌睡觉对听力有伤害吗？,1606819523,1606819523,经常戴耳机听歌睡觉对听力有伤害吗？,2501043,154970
BV1ba4y1W7yL,670467966,1,影视杂谈,1,http://i0.hdslb.com/bfs/archive/e3095e147bf1f6f213b50ef8a7714545bf838533.jpg,评分6.1！柯南看完都傻了！诚实吐槽名侦探柯南06年真人版,1606555771,1606555771,"请点个关注再走哦~~~~~~~~

还有微博：@瓶子君152
还有直播间：http://live.bilibili.com/42062",2919088,163128
BV1zK4y1j7w2,885376226,2,影视剪辑,1,http://i1.hdslb.com/bfs/archive/05446d9baadb6b41c32be3857497c35c8526516f.jpg,成龙：不要打架，俺不会功夫的。阿弥陀佛！！,1606413172,1606446309,"视频由秃头冯制作，在他之前的版本又做了一些改进。
相信看过之前版本的小伙伴也看到播放了，几百播放吧，挺惨的。也是受他之托做个联合投稿，感谢他的信任，受之有愧啊。我这也全是假粉那（狗头），个人觉得做的不错，属于他特有的风格，龙叔的电影基本上也都有了，希望审核大大能有点推荐，喜欢这个视频的小伙伴多多三连支持一下，多谢啦。我自己的视频也快做好了，又咕咕了，下周绝对更！！",2039960,165422
BV1sz4y1k7Vq,585412165,1,小剧场,1,http://i0.hdslb.com/bfs/archive/dbaa4a11fb588dbf2a144494737e01e8ff6dae82.jpg,【圻夏夏】为何你硬要与我错过呢..,1606479831,1606479831,"多年之后，坊间红极一时的姑娘弹着琵琶，眼波流转间浅笑盈盈，酒后她玩笑般说起，当年真心托付一人，等来的，却是他和别人的一纸婚书。
拍摄：知竹zZ
出境：圻夏夏",1807984,91617
BV1Ya4y1W7iT,670478982,1,校园学习,1,http://i2.hdslb.com/bfs/archive/57b0834e140b1aa72d6124ce8c1026048f8bc07a.jpg,如何逼自己学习？6个方法专治不想学、没动力,1606911052,1606911052,如何逼自己学习？6个方法专治不想学、没动力！记得三连奥宝贝们,4605372,326112
BV1Lr4y1c7ov,755430759,1,数码,1,http://i1.hdslb.com/bfs/archive/c12b7d30ffe4ce974c791b099740ce72e4aa6334.jpg,自拍比他拍丑？自拍不像自己？｜自拍冷知识之「镜头畸变」,1606480759,1606480759,手机的镜头畸变即能让人变丑，又能让人变美！看你怎么用它啦～～～,2015003,97810
BV1Yy4y1q7Tx,800424964,1,日常,1,http://i2.hdslb.com/bfs/archive/2f860e2fd4965be7c66c9d4f8f8ab6a4d1a244a7.jpg,绝了！重读一年级语文发现很多好玩的东西,1606572020,1606572018,"唉，小学时候的天真不在，我脏了！
更多生活中的凉风详见微博@凉风Kaze",5632769,703590
BV1QK4y1j7xw,885417519,1,健身,1,http://i2.hdslb.com/bfs/archive/ae18cd5b0b0ab0b48f8d46cf7b4e8dab3a6aae4f.jpg,如何让你的腹肌在最短时间内暴增？过来人教你了！,1606727089,1606727088,大家好，今天咱们再多扯一扯腹肌，毕竟难练嘛。如何最快练出腹肌呢？别犹豫，抓紧跟着一起动起来吧！,9093187,293674
BV1xK411V7Uf,500392464,1,绘画,2,http://i0.hdslb.com/bfs/archive/8af67db2fc838933548b1cb91808340bcf5731ca.jpg,10秒过后，我开始怀疑人生...,1606554005,1606554004,"https://www.youtube.com/watch?v=SH9wA_icyfw&list=WL&index=5
零基础怎样学画画？戳→http://t.cn/A6G3is3z
如何画画接单赚钱？戳→http://t.cn/A6G36Pzp
绘画素材？大触笔刷？画师作品？戳→http://t.cn/A6G36hLD
轻微课30万学员和你一起成长~更有4000元绘画助学金助你追梦！
还可添加老师QQ：800853838 为你定制专属学习计划表！",6152337,443690
BV1bp4y1r74p,970392113,1,综艺,1,http://i2.hdslb.com/bfs/archive/428ef7934ac18efdf80fc48cf3d21228acb0e825.jpg,郭敬明被尔冬升怼哭，根源是尔冬升认为郭敬明水平太低。,1606638021,1606638021,郭敬明为什么被尔冬升怼，我觉得之前的约定互不批评是一方面，尔冬升心里觉得郭敬明不懂电影是更重要的原因吧。,1946259,98727
BV1A5411G74C,457980897,1,单机游戏,1,http://i2.hdslb.com/bfs/archive/09bfeb9464634a096dc7a492577761bfb0b84a89.jpg,打完这关我就这个表情！！,1606493274,1606536017,"终于完成了对大家的承诺，通关后有种丰收的喜悦！
如果喜欢本视频不要忘了一键三连哦！UP主在这里谢谢大家啦",3187239,289628
BV1yt4y1a7fm,627899863,1,电子竞技,1,http://i0.hdslb.com/bfs/archive/06f59e4f5b46f25c277c68d1f49a2b586111c888.jpg,【罗汉鬼套路】LOL新版本最骚套路 田园流提莫！！,1606895921,1606895921,"如果说LOL新版本更新要素过多 大家一头雾水比较迷茫~
呢么瞎鸡儿解说派创始人老罗头 必然带着使命回来为大家排忧解难!
喜欢本期视频的朋友请长按点赞一条龙哦 谢谢大家啦~
                                           
                                           ——跑的贼鸡儿快的解说",4667084,526508
BV1hv411t7SU,245383236,1,电子竞技,1,http://i2.hdslb.com/bfs/archive/dba7d355be3d5790b719a41ad44be693c0476f60.jpg,狂风劲夫！全场欢呼！,1606482373,1606482373,👊,11992622,470328
BV1sK411V7LJ,500389530,1,美食制作,1,http://i2.hdslb.com/bfs/archive/e97b38425ba33e3b67a37dd41aa586ad3662f41e.jpg,足足等了一个月，终于可以吃上了...,1606905080,1606905080,"文字版菜谱在视频末尾(*￣ω￣) 日更微博@绵羊料理
微信公众号：绵羊料理
油管同步更新：https://www.youtube.com/c/sheephoho",9444126,644951
BV1ev411t7Wt,245392022,1,美食制作,1,http://i1.hdslb.com/bfs/archive/fecf58bfef8c280fed15c17a6fc6f2249321d77c.jpg,穿着厚睡衣，动作依然保持敏捷。,1606620751,1606620751,终于拍了一集横屏的，大家看着还习惯吗？,5639906,329231
BV1sD4y1X7eT,712921234,1,人文历史,1,http://i0.hdslb.com/bfs/archive/f545b91e827010d258ecceb506d3dc26a09f23ee.jpg,《龙族》到底出了什么问题？,1606852388,1606852388,突破下限的是商人杨治，但锁死上限的是作家江南。,4238950,262396
