视频bvid,视频aid,videos,视频分类,版权所有,视频封面,视频标题,上传时间,公开时间,视频描述,播放量,点赞量,投币量,收藏量
BV1NV411Z7S1,412787851,1,手机游戏,1,http://i1.hdslb.com/bfs/archive/87ada8eba8cc03d75a7b2404b91ad6ea1ddb50ec.jpg,百大UP互殴现场！,1587014157,1587052559,同人制作 娱乐为主 希望大家看的开心 切勿代入角色  里面还玩了很多名场面的梗 希望大家看的开心啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊阿啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,8532879,597134,235734,121901
BV17z411b7AL,200100154,1,社科·法律·心理,1,http://i2.hdslb.com/bfs/archive/b8cae05b0640ae50557285e57daeb03fa9fc8162.jpg,撕别人家作业犯法吗？,1585907542,1586577635,"世界竟有如此多的奇妙物语！
关注生活中的凉风→微博@凉风Kaze
给罗老师打个广告~
《罗老师法律小课堂》独家节目会在每周二、周五的中午12:00发布，欢迎大家关注！",8285669,983441,454510,153439
BV1WK4y1r77C,882669211,1,日常,1,http://i0.hdslb.com/bfs/archive/f7b3134aba5eb5e08b7900cb7bed6034b7a27dd3.jpg,【朱一旦】170 我是一只流浪猫,1586602637,1586602637,"公众号：朱一旦的枯燥生活
微博@朱一旦的枯燥生活
YouTube  【朱一旦的枯燥生活】官方频道
网易云/知乎：朱一旦的枯燥生活
Bgm：Carter Burwell - Prologue
封面素材来源于网络",3563547,340677,150469,35769
BV1dT4y1G7zx,925329958,1,翻唱,1,http://i2.hdslb.com/bfs/archive/951db524f8236257b8a2cfddb6c98512db62c8d3.png,当英文歌没有了轻声和连读...你能不笑吗？,1586850803,1586850803,"微博: 西柚汁Jiaylee
翻译&演唱&视频: 西柚汁
娱乐为主！没有音准 没有修音",7036753,463165,131402,162948
BV1W64y1u7Wk,582644488,6,短片·手书·配音,1,http://i2.hdslb.com/bfs/archive/4fa55fa3751cde7a559643785526f25492101f9d.jpg,【高燃 拟人】致敬“植物大战僵尸” 49种植物全员拟人！,1586778898,1586778898,"一部关于植物大战僵尸一代49种植物的拟人绘画视频。
想模仿京都动画的画风，有小部分图片进行了描改，其余图片参考素材自创。
视频简简单单，但洋溢的是对其的喜爱与感怀。希望大家看得开心。
（仅仅为表达对植僵的喜爱而制作的视频，不商用哦）
bgm Crusader (Are We There Yet)
         You-Hollywood Ending",5334984,368886,316587,261571
BV13k4y1R74f,752727866,1,极客DIY,1,http://i1.hdslb.com/bfs/archive/fe7ccb9b21de560c359462d7f36e950b7d64e0a8.jpg,【才浅手工】为什么这把折扇做了40天？用过于硬核的制作方式打造一把暗藏玄机的红蝶折扇,1586608143,1586664030,"本次主题是第五人格里红蝶的折扇，感谢@庭树沐年 因cos难度原因扇子的形态和角色衣服的形态没有统一，如果喜欢本视频欢迎三连支持
bgm: Space_Was_The_Place、Shadows、Unstoppable",8132539,1116172,1233954,361533
BV1Wa4y1x7RV,667733080,1,鬼畜调教,1,http://i2.hdslb.com/bfs/archive/a68fc5f5e5ef7a7a7eaa60d9d7e669b476e43b42.jpg,【黑人抬棺】车头一翘，_________,1586683472,1586683472,BGM：Vicetone-Astronomia (鬼火少年)（VESK GREEN 青菜 / TØm remix),16309462,586029,225542,221718
BV16K411L7tR,497654364,1,财经商业,1,http://i2.hdslb.com/bfs/archive/050e4602d8b472d0a6fcb5398642eb0b64083e7c.jpg,【半佛】罗永浩是如何颠覆每一个行业的。,1586595927,1586595927,彪悍的人生一步一个坎。,6016475,334638,164273,59900
BV11a4y1t7s9,667668103,1,手工,1,http://i2.hdslb.com/bfs/archive/14611b5b536631bf33953881ffbc30c9b47a2805.jpg,自制不锈钢AK47键盘,1586517373,1586517373,,12225595,840326,402722,115275
BV1BK411L7DJ,497651138,1,社科·法律·心理,1,http://i2.hdslb.com/bfs/archive/8d38ddb66687f768f851271b84d58b7ceb1a2d0f.jpg,【罗翔】我们为什么要读书？,1586795307,1586836612,世界读书日快要到了，和大家聊一聊我们为什么要读书。让我们用读书，对抗冰冷、傲慢、自恋、自怜的内心。,15642731,1143103,823205,632996
BV1gg4y187is,837667629,1,家居房产,1,http://i0.hdslb.com/bfs/archive/e5089c50878dbf770bd0595cb3f0700fd3b58aac.jpg,【艾叔】电视剧《安家》同款豪宅，距离我们究竟有多远,1586662472,1586662472,电视剧《安家》同款豪宅，跟着艾叔，来看看距离我们究竟有多远。,2317727,176787,102050,27309
BV1mK411V7wY,497841327,1,影视剪辑,1,http://i0.hdslb.com/bfs/archive/235c2ad05b9ac03cfa3f2538b06f22a6d0a68384.jpg,龍,1586866336,1586901640,"纵观66岁的龙叔的传奇电影生涯，倒不如说他就是个传奇。
BGM:DEAF KEV - Samurai
         Starlyte - Titan",16299490,1439331,980084,574983
BV1wk4y1R78B,752732908,1,人力VOCALOID,1,http://i2.hdslb.com/bfs/archive/a7a76a44b777686c3c1d680346b9a1ce3130750d.jpg,【蜡笔小新】少年,1586755344,1586922925,"野原新之助！5岁！希望大家喜欢~
原曲：少年
制作：仙道居士
黄绿合战Day.9 对阵作品：BV1R541147mr，投票传送门：https://www.bilibili.com/blackboard/activity-yellowVSgreen5th.html",1898910,198557,134939,73744
BV1QV411o7hn,412775819,1,日常,1,http://i2.hdslb.com/bfs/archive/f2717afef9998bef31bc1eacab9b21aa5bd56313.jpg,纽约20万确诊，实拍政府免费食物，探访医院当前情况！,1586922128,1586922128,纽约20万确诊，实拍政府免费食物，探访医院当前情况！,3732397,287935,103119,18647
BV1kz411B7jL,200360768,1,健身,1,http://i1.hdslb.com/bfs/archive/29bd1839a4e3d4c6cb534594d48487c1b67d2578.jpg,解决男生「雌化」尴尬，脂肪胸变胸肌！家中可练，不需场地器械。,1586836506,1586836505,帮你减去胸部脂肪，打造门面胸肌！,5840008,321571,281394,542569
BV1Yp4y1C7Tz,967655255,1,美食测评,1,http://i0.hdslb.com/bfs/archive/c92b646af787079002e9a9406c7caedecf9fdd28.jpg,“24小时自律挑战”按照世界公认健康作息表生活一天！,1586683591,1586683591,“24小时自律挑战”按照世界公认健康作息表生活一天！,5033394,335678,75093,29044
