2000配置这么牛
第一
哇欧
补到个法拉利，这波死的不亏/滑稽
这一帧怎么卡了????
猝死党胜利
这是恐怖游戏啊
标准结局
显卡满载
都是细节
无敌了
woc
还补了个跑车哈哈哈哈 不亏
吓我一跳
菜的真实
蔡
R星：什么叫神级优化啊（战术后仰）
dayz最近又活了？
团战多少帧
蔡
后街男孩
这一帧应该是CPU满载了
要啥自行车
70帧瞬间掉到30帧肯定会卡一下
cpu应该是9100f吧
爱了爱了
能不能玩GTA5
显卡不够用了很现实
那么哪里可以买到呢
如果想要大型游戏的朋友推荐买更好一点的显卡
这波是自闭
哭了
太真实了，打不死人
打不死人我买这电脑干嘛（滑稽）
录屏时帧率会比不录屏时低一些
输入法可太真实了哈哈哈哈哈
CPU瓶颈了
划重点虽然我打不准
我来了
dayz不是呗吃鸡搞得要死了麽
走a 比我强
太美了
代打，还是说春节在家练出来了？
极限一换一，这是强者的气息
流畅
我五千块的战神笔记本哭了
hhhhhh
打不死人的配置
你好，有的，梦里。
啊~后街男孩，爷的青春回来辣
啊~后街男孩，爷的青春回来辣
我感觉我配的是假主机
Can you help help me?
来了来了
直接三连起手
自闭hhhhh
gta电台最好听的歌
菜的真实
cpu满了，卡的很
电台里最喜欢的一首歌
最近？？？？？？？？？？？？？？？？？？？？？？？？？
这操作，妙啊
那你们是想两千上2080吗？没脑子
确认过技术，是本人(滑稽)
太强了，这就是2000块的性能吗
妈蛋我1050ti笔记本都只能勉强六十帧还一直掉帧
猝死党胜利
这是第二条
哭了，up主真的好
当场去世
是心动的感觉
多少年的老游戏了
真实
起飞！
啥玩意儿，还送电脑？
你不要过来啊！
我去，这么刚的吗，密密麻麻
这么秀的吗
去我收藏夹吃灰吧
显存炸了啊！！！
笔记本大部分游戏都是锁60帧的
勉强能玩
快给它急支糖浆
有一说一，有条件的话尽量搞台式，别换笔记本了
不是最高吧。。。
3000预算就可以宽松很多了
谢谢你up主，我又得到了久违的快乐
saonima taiwan no.1
自闭了
minidayz玩家报道
给劳资嘿一跳
正好想配电脑了
我就12G 基本够用
要是玩gta5线上模式估计这电脑勉强60帧吧。。也还行
激情吃鸡，落地成盒
不得不说，gta真的是神级优化，一点不吹
打cs的大多都是全低，只为了极致帧数
赌一个，这个显卡是1650s
你马上死了
熬夜党胜利
这首歌是西城男孩还是后街男孩啊，我忘了
那我直接喊邦邦
我家电脑还是核显…
最近不是很多直播玩这个吗
描边大师
这啥游戏啊
显卡是GTX770
剧透：视频质量很高，你来对了
这比我2060S帧数都高。卧槽了
我没有急支糖浆
盲猜9100f
我没有急支糖浆
两条弹幕
卧槽，csgo玩家狂喜
只要不突然掉帧就好
污渍，永远滴神
nt优化
现在买配件好像有点贵，还是先攒钱吧
哈哈哈来了
妈耶，对比一下我自己用了几年的电脑，我的电脑还不如这个
素质三连
我要
两条弹幕
up辛苦了
这走A，，，不是正常水平嘛。。。
技术比我好多了
怎么感觉有点小卡。
感觉还是不行，太卡。。。
烟雾弹，，没内味
渲染没开到100注意一下
