芜湖，更新了！
先投币！
超级喜欢的系列更新啦！！！
妈妈，我出息啦
终于等到了更新
太可爱了
爷爷，你关注的阿婆主更新了！
大工程！
哈哈哈哈哈 猫毛
猫毛夹在里面啊啊啊啊啊啊！
哈哈哈，有个线
终于更新啦！
丝滑！
投个币不过分
好耶
工程队太忙啦！！都是大项目
太会整了
好可爱
太可爱了
好丝滑
可爱
猫毛害我又回来看了一遍
纵享丝滑
哇
穿帮也是为了防止太像真的（up好用心，一定是这样的）
不是穿帮，故意的，虚实结合懂不懂
男的拿了俩，细啊
良心制作却好看不火
我来了徒弟
厉害，up的耐心绝了
厉害了
太喜欢配音了
怎么让这么多人仔一起动的呀
这真是人类的工作量吗，up太牛力
这好可爱啊
啊啊啊啊啊啊啊啊啊
妙啊
咔嗒咔嗒得好过瘾
定格动画吧
猫毛使我们相见
三岁~
赞耶
全球德芙消失事件
是魔法！
丝滑太丝滑
乐器的音效太厉害
投币了
注意听铺地砖的声音，很舒服
太喜欢音效了
不要大结局啊
《 币 比 赞 多 系 列 》
这不比主页那些点赞到多少就干啥的骗个10几万赞的强！
可惜只能投两个币！
水泥车裂缝了
水泥车裂缝了
攒攒
水泥车裂缝了
哇哦
上帝之手出现啦
为啥大结局了
嘿一声也太可爱了吧
一帧一帧的照片拍出来的
不是穿帮啊 这是两个格局相同的房间
投币2017
呜呜呜关注的时候才4.3万粉丝
定格动画，摆一个动作拍一张
好耶
这个片段好帅啊
太丝滑了！！
这牙医台，前天才坐过
up有一期介绍了怎么拍，可以去主页看
开始牙酸了
动画好厉害
哇这个街景好丰富
这套门好多啊
这个创意好绝
来增加弹幕！！
这么好的up为什么还没大火！！！
太丝滑了！！
哇偶！！
81人快投币
快投币
卡点了！
太可爱了！
丝滑~
魔法
刷墙这点太有创意啦
？？！！
好有趣!我爱
好丝滑～
是你！德芙盗贼！
我家有同款水泥车
好细节
明天我整牙去怕死
楼梯间烤炉烫脚吗？
好丝滑，太爱了
凌晨03:12
太好了
鼠符咒
装修队立大功～包工头要及时结算劳务费呀哈哈哈
凭啥不火呢
好耶！！！！！
这致死的工作量，UP真的是肝。
先投了一个币开始看，看了一半又投了一个。
现实拼起来很蛋疼
禁止在麻瓜面前使用魔法
太棒了
太震撼了
又是一个有趣的视频
可怕的工作量
为啥盒子是乐高 零件却不是
看着好舒服
好卷
火了赞我
我去，这是何等的耐心啊
导演牛逼
德天使 提耶……对不起，走错了
一想想就好紧张，像去看牙医一样
这得多有耐心，得多无聊！狗头
牛逼
丝滑
哇
这个门好有创意。
开倍速更加丝滑
真厲害
币比赞多
我现在再拼6300块的
终于更了！！
看到这里开始牙疼。。。
大佬，还会做春节系列嘛？
好强
NB太舒服了吧
作者辛苦了
养的大葱吗
391个靓仔正在观看
383个靓仔正在观看
进度条感人
好解压啊
妈妈就是他偷吃了我的德芙！
太要命了 
感觉做这个视频要花很多时间
不对啊！蛋糕不应该是建筑工人做的啊！
好赞
哇这个工程量
妈妈我看到了德芙。
太治愈了
辛勤的小人儿们呀～
配音也好可爱
拼这个已经很肝了，居然还制作成定格
详略得当，加上音乐和音效是真的舒服
定格动画真不错
配音太舒服啦
替up主的肝捏把汗
一帧一帧拍的
定格动画做的也太流畅啦
这也太丝滑了
wc牛皮，这也太硬核了吧
辛苦了！
好治愈啊
他的小人怎么能自己拼积木⊙_⊙
嘿
这不给币过不去了噢
卧槽，土木人点赞
直接复制出一个门来，有意思
这也太棒了
好丝滑
好可爱哦
喜封金顶
你币有了
都点赞投币！！！
np
币只能投两个？
进度条吓人
音效好丰富好合适
嘿嘿还臭美
天哪，好厉害
大家都在欣赏
音乐崽好酷啊
音效都太合了呜呜
细节满满了真的
棒棒棒
二手玫瑰
有红警那味儿了
魔法！
视频做的越来越精致了
白嫖失败
⊙∀⊙！这也太肝了！！
这是德语吗？
施工队开始偷懒
为啥不火
这是肝上长了个人？？！！
卷的飞起
我的嘴巴没有合拢过OO
主动三连
火钳刘明
太厉害啦
白嫖失败，太丝滑了，音效细节很棒！
上帝之手
投币投币
太厉害了
4000片，要不要1000块钱？
想不给币都难了
这么做真的巨累的，有的是直接加速自己拼的过程，三连了。（不是水军）
再加个吊装
这投两个币压根不够呀
真的有那么丝滑吗
绝啊！！！
极度舒适
真的太酷了！
这个我刚装完！！！
丝滑
太肝了，肝帝！
丝滑
基建应该用中文配音
丝滑
丝滑
丝滑
1000+
哇哇哇极度舒适
音效好评
终于等到你了
1000人+观看。。。。。。。。
好想变小这样就能住进去了
这英文配音怎么一股大碴子味
好厉害
8个雷神锤。。。。。
肝疼
这不是百人工作团队我都不敢信
白嫖失败
这有太有趣了吧
太牛了
三连了！
必须投币！
怎么会如此丝滑
回来看见猫毛了
everything is awesome
太有创意了
就跟画动画一样，一张一张的来，工作量很大
up好用心！谢谢！
前面德语那个，听不出来well done么
太卷了
啥音乐，跪求
三连了
这步我自己拼的时候超级爽！
很有创意
一套两千多 买不起
太棒了！娃看得眼睛都不眨
太牛逼了 这真的太牛了
这必须投币 绝了
990个人看
1000个人了
这是肝神
太牛了
刷墙这个绝了
好牛啊
这得多大的工作量啊，我这个币留着有什么用
hi，好可爱，投币了
前面说不是的睁大眼睛看清楚明明印有lego
好棒！！！
高楼大厦平地起
这次一定！
好可爱啊
Til I
简直太厉害了
师傅你是做什么工作的？
是自己控制这些人搞的
呵呵
哇塞
吃好了呀
这吃完好呀家炖菜
这个击掌好可爱
同款
手工区居然可以这么卷
孩时的梦成真了!!!
这是一个连续剧哦，可以看看up前面几期！！
其实也可以拍视频，然后抽帧的
863个靓仔
859靓仔
怎么高质量的作品竟然不火
打灰了
太治愈啦！
工程量巨大
地平线4乐高谷地
吃了多少德芙
前面，然而肝并没有汗
我感觉认认真真不快进的看完对我的耐心来说都是一大挑战
忍不住要投币
711
722
388个人在摸鱼
我居然又倒回去找毛了。。。
695个靓仔在观看
看作者那么肝的分子上给我点个赞吧
dva的声音
牛哇！
曲对币有用
吓得我字都打不出来了（太肝了！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！）
德芙失窃案破了
眨眼补帧
怪不得贵，书就得卖一百吧
万丈高楼平地起，辉煌只能靠自己
配音好细节  还有乐器的音效
可以可以，自己拼都累何况定格
好丝滑啊
都不舍得加速了 up太辛苦啦
ctrl c +ctrl v！
咦，up突然开始摆烂（doge）
牛逼
众所周知做定格动画的都是狠人
好辛勤啊！
这是肝里长出个人啊
这得花多少时间
偷懒时刻
好厉害
807人在摸鱼
赚
6666666
好流畅啊
767人快点赞，投币
小时候我也期待这个，现在我也是
这也太牛了吧！！！
看的太舒服了
这个音效太可爱了
太棒了吧
太棒了吧！！！！
去看牙的时候最怕做这个椅子了
条过半
俩月
好肝
toubi
牛逼！！！！
牛就完了！
音效太细节了
up主太牛了!
哇哦。
666人
太牛了我真的佩服
我的乐高小人怎么不会呢（憨
真的好厉害！！！！
歪安全帽大猛子
牛逼的我都暂停发弹幕了
谢谢，已经开始拼错了(安在底板上的积木是最难拆下来的)
ds
宝藏up主，和他的怨种流量
给大佬跪了。。。牛批
这不给币说不过去了啊
牛叉了
太有创意了
还有配乐 太精致了
治愈！一天的心情都好起来了
UP身上除了肝还有其他器官吗…
524人Holle
这是打灰车，天泵呢？
帧数好高，纵享新丝滑
嚯
空瓶马上就是我的啦
近日全球德芙失踪案竟然全在这位UP主上！！
还有梯子上去安花好细节！！
bgm的爵士好听
为什么投币，只能投两个，我想投十个一次性！
好细节啊
建议大家买本钢铁书。
这个工作量。。。太大了
nb
瑞思拜
牛牛
这是德芙吃多了，要看牙医了吗？
太强了
嗨
舍不得倍速的视频
又长又软又卷，肯定是布偶猫的毛
不要放魔法
太牛逼了
太牛了
币比赞多
进度条居然才一半
突然出现人手
这配音也是绝了，投币了
第一次看我要爱上啦啊啊啊太牛掰了
太合适了，乐高人仔住就应该他自己盖
优雅！
做定格动画的都是狠人
我不贪，我就要这个乐高
禁止在麻瓜面前释放魔法
偷懒开始
每卖出一套中心广场，就有六个雷神失去他的锤子
好厉害啊！
445靓仔，你们好啊！
从小红书追到b站 太厉害啦！
肝上长了个人
牛逼
怎么召唤建筑工的
注:这是外形相同的两个屋子
而且还要摆拍，时间更长
这是肝上长了个人吗
三连！
币比赞多系列
这一个个小人好像有生命一样！
我想住这里面
所以你们这些做乐高的，做饭的，做饮料的全TM开始卷了吗
音效绝了！
而且还要对着说明书一步一步来
我要此币有何用
这音效真好
可以配音做动画
累死小人（up主）了吧
真的牛逼
好赞呀，币有了
终于更新了！先投再看！
up主买到真的了！！！
真的乐高都是这样的嘛？我的怎么不动？
雷神之 锤？
头发没有在安全帽里面，扣钱！！！
太牛啦
牛蛙
优雅 太优雅了
果断投币，牛哇
好像小时候看的动画片啊
可爱死了！
确实有创意
TNND！！为什么不火！！
多久更一次？
喜欢乐高积木可以去买其类的，因为太贵了一一一一一一一一一一一一一一一一一一一一一一一一不然1分没有
好治愈
up的肝还好吗
标题已经告诉你了60天
工作量爆炸
高科技
是的真乐高打开包装把人仔拼完就好了剩下的人仔自己会拼
乐高人也要打灰，真的惨
这已经不是技术了，这是艺术啊
是魔法
强迫症表示看着太舒爽啦！
没有人，全是肝
太厉害啦
配乐也好听
哈哈哈哈哈牙医
太牛了
太肝了太肝了好棒
3点我拼这个累了刷b站，居然刷到了这个，看完up。。我还能肝
太肝
音效超赞
绝
必须三连
这视频做的真好！
好可爱
真的是真的，我现在在用小人给我拼的手机发弹幕
地基如果旁边在放二台工程车就更美了！
有人的会员是买百世送的吗？
这个要几千或几万张照片呢
刚看完牙，开始牙疼
超喜欢这个街景
所以房顶不是偷懒，是小人够不着，必须使用魔法
真的很棒！
 为什么币只能投两个？
盲猜隔壁警察局
刚拔完牙的孩子开始害怕
他竟然还有音效，我真的，哭死（）
欢迎来到币比赞多系列
dva
好厉害啊！！！！！！！
才过了一半兄弟们！！！！！
你币有了
这个币我投定了
后期太赞了
.
太厉害啦
好牛
还有配音啊
太酷啦！
阿婆主开始摆烂（dog
好厉害！！！
6666
上魔法
太厉害了吧！！！！！！！！！！！！！！！
看着好丝滑啊啊啊啊啊
被治愈到了！！！！！！！！！！！！
"我肝疼``币先给你,我怕我分分钟撑不住倒下"
投币留念
木工兼厨子
优雅！太优雅了！
"有模有样,承包空屏"
三倍速超丝滑
拼完的来看觉得好棒！！！
优雅，太优雅了
好厉害...
这也太强了吧
可以设置一个场景  tired然后在树下乘凉  
无敌了
细节
长按屏幕为小人加速
这工作量，这几个工人可累坏了
久敏，他连小人的jio步都可以做的这么流畅，好肝
真的好强
他真的，我哭死
太肝了
这家沙发扎屁股
我给我儿子看看，他一定会说这是超级大神
币比赞多
白帽子也干活吗哈哈哈哈
好看的作品为什么一定要火呢 咱们粉丝喜欢不好吗 到时候一火烂大街了怎么办
完成了我小时候的梦想
好用心
说明书可以挡子弹
up主又在偷懒了
作者的肝是钻石做的吗
直接不演了是吧
为什么不火！
我买的乐高一定是假的，都不会自己拼搭......
171
好厉害啊
德芙，打钱！【怒吼】
火钳刘明
好牛
优雅 太优雅了
哦！不！是牙医！
可惜最多只能投两币
蛙趣
哇
甚至有音效
太厉害了
还有冲水的声音
omg太细节了吧
好奇这后期要弄多久
得三连了
一看就是德芙吃多了，这下牙疼了吧
刷墙绝了
我也想要可以自己拼乐高的施工队（
握草
真的好厉害
梦回黄金年代
投币成功2/2
大大太厉害了
这也太牛了
极度舒适
乐高应该请你去做广告，我已经想买了
太肝了啊
肝还好吗
为什么我的乐高小人不会帮我拼啊
不，作者的肝是基石做的（dogo）
不三联对不你
阿婆你还好吗
牛啊 太顺滑了
我都要怀疑这个真的是积木人做的了
天哪这也太牛了
卧槽这得肝多久
我看到第一个币比赞多的作品
照片组合
直接翻出
别说定格动画了，光是拼都得费老半天，up太厉害了
这个确实太肝了
每周必看
必须三连了，不然对不起良心
配音太丝滑了
恐怖的进度条
woc这个太离谱了
纵享丝滑
还是手机拍的？！
肝还好吗太强了
阿布工程师
快把这两个硬币拿走，我不想看见它们！
用平头螺丝刀撬↓
太牛了 三连奉上
牛
不敢想象
绝
感觉他们劳动得好快乐好开心
我以为是拼一天照一次够肝了，这直接定格动画？您是肝上长了个人吗？
up的肝是铁打的
为什么他们搬砖都这么开心
一人八十个肝（doge
极度舒适
我的一键三连为你而留！！！
请勿在麻瓜面前使用魔法
不行先退出投个币，不然都觉得在白嫖。
大哥，容我称呼您一声肝帝
先投币
是魔法！
为什么up的乐高是活的
被迫三连
up主 厉害!大佬
一键三连
太强了
乐高真的太细节了
真的太牛了
up 你是我的神
485个人
太牛了
这个有点牛
真的太用心了
可是我在吃冰淇淋诶
蛋糕和砖块一起放
Up主是个狠人
爆肝的动画
赶紧投币，太牛了
我不三连是对UP主的不尊重
乐高有了，但我想要会自己拼的小人儿
两个币是B站的上限不是我的上限
肝上长了个人吧
[好家伙，成每周必看了]
？？？？人呢
我看特难受。总感觉跟自己做定一个动画似的，感觉特别困难，特别不舒服。
友情提示：进度条还没到一半
麻将机？
币比赞多系列！
太可爱辣
肝脏红色预警
三连了
房都炸了，还掏钥匙开门了
这是手机制作？！
还是这个聪明
大制作啊！
为什么你的会动？乐高成精啦！
有毒有毒
确信，高质量作品竟然没火起来
很有意思 
神之一手！
给我火
币比赞多
解压
这……
肝上面长了个人
牛逼
这是盗版吧，正版都是一本一本的，而且转上有logo
嘿！！
说太假那个先去医院看看脑科
好有诚意的视频
好顺畅
太卷了
这么制作繁琐的视频播放量居然这么低
t
我超太喜欢了
要多更这种
太牛逼了
脖子以下全是肝
众所周知做定格动画的都是大佬
敲流畅的~~~
这次一定
up主辛苦了
这套拼的我头秃，up太牛了
咱们工人有力量！！！
[每周必看]
[每周必看]
这是定格动画？这拍起来非常麻烦
看得我肝疼
太牛了
拼的崩溃
nbnb
我家的乐高小人说这视频是假的~它们根本没这技术~
1000+的靓仔正在观看
這邊真的有種在蓋房子的感覺
别人的乐高和我的乐高不是同一种东西
20键钢琴
好可爱
全球德芙失踪案
雷神锤
所以蛋糕也是装饰，是用水泥做的对吧
工程队在西斯面前用原力，违反了绝地信条
我不贪，我只要这个工程队就行
这这这，肝还好吗
我愿称其为乐高定格届的扛把子
这个视频火了踹我！
哇，这个设计太巧妙了！
是魔法，这是魔法！
《复制，粘贴》
嗯，这60天情有可原
牛牛
看着心情很复杂，自从我爸把我自己做的小城毁后我就没再动过
已知乐高人没有肝，请问up偷走了几个（
牛逼
这几个是雷神的锤子插在这吗
投币了，好可爱
没忍住投了两个币
救命好喜欢
真的让我怀疑是不是有个工程队
辛苦了辛苦了
不火up主怎么挣钱啊，人家也是要生活的
wdnmd
？？？？？？？？？？？？？？///
为啥他买的会自动搭，还有小黄人帮他搭
您在地球不想家吗
满屏幕的肝
勇闯无人区
每周必看
大工程
nbnbnb
66
UP牛逼
好丝滑
三连！！！
真的是太顺滑了
好想再投一次币！
留不住的币
丝滑
厉害
甚至有弹性
太牛了吧
默默问一句up的肝还好吗
进度条搞事情
made in heaven
另外的943人出来
你币有了
说中文
我的德芙呢？？？
太厉害了
进度条十分安全
yybs
这有啥难的
弱弱问一句：快门还好吗
多少钱来着这款
[每周必看]
lidilidi
ildilidi
好厉害
好厉害
背景声太赞了
建议开2倍
好有感觉啊
火钳刘明
买了十箱，孩子很爱吃
乐高人还要弯腰
真的牛逼我只能说
有一样的乐高，两万多块钱。
很舒服，三连给up猪也给我的童年
硬币保不住了
厚礼蟹！
摆的漫不经心（bushi）
呦，又开摆(～￣▽￣)～
没有技巧，全是肝（
火钳刘明
这么做的
我还以为是我家猫的猫毛（猫：看我干啥
又是猫毛
牛批！！！
一个月过去了
忽然觉得家里的乐高也是这些小人搭起来的
必须三连！
音效真的好
极其舒适
各位要爱护牙齿哦
太牛逼了
好喜欢啊
太精致了！！！
我手里的德芙呢？
好強
我感觉作者的肝是基岩做的
肝帝强者恐怖如斯
有可爱，又治愈
好想投10个币给up
太牛了
我去乐高小人辛苦了（大雾
真的有这么丝滑吗
《全球德芙失踪案》
卡点了竟然！！！
等我有钱了，我也要买一个全自动的乐高（doge）
卧槽
nb
绝了
每周必看
这不就是叼针的动画吗
只要眨眼补帧他就是
只要眨眼补帧他就不是定格动画就是连续剧
上面老MC了
很难不给你一个硬币
这是肝上长了个人还是完全肝化的人
1154条弹幕
火了赞我
肝帝
太优雅了
太有创意了！
不敢催更系列
直接投币再看
甚至卡点
高楼万丈平地起
嘿！
