海拉！！！！！
啥时候开服。一直显示服务器维护
黑屏什么鬼
无尽黑屏
咱就是说这个建模好拉夸啊
也就这样吧，玩到下午夏活开咯
一直黑屏。
我为什么又要放跑他们又要干他们？
绝了一直黑屏
黑屏劝退
黑屏劝退
黑屏劝退
黑屏了，不想醒了
黑屏劝退
黑屏
没黑屏啊....
永别了，牢笼
剧情打完白兽枷锁失败后剧情就黑屏了。
无期黑屏
O，新手池10连抽到了卓娅，香香
黑屏
黑屏
远程技能都放不了，真离谱
男主色死我
黑屏劝退
无期黑屏
有谁知道黑屏要多久
黑屏劝退
黑屏警告
黑屏
黑屏
黑屏啊
这黑屏很无语，我还四个区全试了一下！
第三关放了枷锁之后就黑屏了
宝贝我抽到你了！
枷锁真厉害！给我手机锁上了
枷锁给我手机锁上了
黑屏
我iOS没黑屏
新手教程黑屏
玛德，就一直黑屏
黑屏
什么，上线了吗？？
黑屏
黑屏警告
黑屏的把亮度调高一点 
没有黑屏啊
黑屏加一
这抽奖概率没得说，不保底我都不信
我真的是服了这个黑屏
黑屏啦
是一部分黑了
哇这头像是蔡徐坤吗，狗头
局长黑屏了
为什么剧情加栽不出来？
不发玩法自以为是了么？
黑屏劝退
过剧情一直黑屏
我一直看成无期徒刑(●—●)
哈哈哈哈，等夏活+1
一直没黑屏过
无期黑屏
没黑屏啊，都打到第二章多了
没黑屏啊？
我OPPO黑屏
夏活还得等晚上去
把看板娘的头发再变得白一点，直接鸡你太美
黑屏是设备问题吧 不是游戏问题 不然都是黑屏
illusions
无期黑屏
枷锁给手机锁上了非常河理
枷锁给手机锁上了非常河理
我直说了，我就是冲立绘剧情和配音来的！！！！
有点像荆棘王冠
救命这台词好中二好尴尬
黑屏
黑屏的换个手机
没黑屏啊，别瞎说好吧
黑了吗兄弟
电脑就没黑
↑兄弟黑着呢
虽然立绘确实不错，但是这个建模实在（）
无期徒刑
终于敢放评论了？
真的看不出策划得一点用心
游戏模式是真的无语
黑屏是自己手机的问题，关游戏啥事？
3000+
黑屏！
华为一直黑屏
换了两个服务器
红米看的真清楚
？没黑屏啊
不然，就不礼貌了
无期维护
？什么时候黑屏了…？
逼游戏黑屏
为什么你们会黑屏
你们礼貌吗，                             百炼嘉维尔我来啦
年轻的广告呦～
枷锁锁那个人给老子手机锁了是吧
头皮发麻呜呜呜
我并不是想提醒你，尽管你已将工作抛于脑后
好看啊！
有谁比你更有资格享受空闲呢？
一听就很大
2香水
华为一直没黑屏
2000＋是什么鬼呀
现在换了一个渠道，三个服务器
黑屏
我看得到诶
连一小时都撑不过
下午四点兄弟们
我这也没黑屏啊，说黑屏的打到第几章了，我心里先预防一下
你们说的黑屏是什么
温馨提示：别在某同类型游戏开大活动是开测（
B站要完
永别了牢笼
不是一部分黑了，是一大部分黑了
不会有人黑屏吧
换个电话我笑了，你是让这游戏的大部分人换个电话
新手教程的第五
◢◤◢◤◢◤◢◤◢◤◢◤ ◢◤◢◤◢◤前方高能！前方高能！◢◤◢◤◢◤ ◢◤◢◤◢◤◢◤◢◤◢◤◢◤◢◤◢◤◢◤◢◤◢◤ ◢◤◢◤◢◤挡住屏幕◢◤◢◤◢◤ ◢◤◢◤◢◤◢◤◢◤◢◤◢◤◢◤ ◢◤◢◤
◢◤◢◤◢◤◢◤◢◤◢◤ ◢◤◢◤◢◤前方高能！前方高能！◢◤◢◤◢◤ ◢◤◢◤◢◤◢◤◢◤◢◤◢◤◢◤◢◤◢◤◢◤◢◤ ◢◤◢◤◢◤挡住屏幕◢◤◢◤◢◤ ◢◤◢◤◢◤◢◤◢◤◢◤◢◤◢◤ ◢◤◢◤
◢◤◢◤◢◤◢◤◢◤◢◤ ◢◤◢◤◢◤前方高能！前方高能！◢◤◢◤◢◤ ◢◤◢◤◢◤◢◤◢◤◢◤◢◤◢◤◢◤◢◤◢◤◢◤ ◢◤◢◤◢◤挡住屏幕◢◤◢◤◢◤ ◢◤◢◤◢◤◢◤◢◤◢◤◢◤◢◤ ◢◤◢◤
我已经换两个服务器
别人无期迷途，黑屏无期徒刑
年轻的广告呦
黑屏
一直黑屏，动都动不了。
黑屏
臭女人滚啊，别打扰我睡觉
黑屏了
不补10连
好涩阿
黑屏
什么游戏啊
游戏里头bug真不少
为什么你们会黑屏啊
新手剧情最后黑屏！！！！！！！！！！！
质量很好就是有点尬
hhhhhhhhhhhhh
看封面的面子上我看完吧！
我也有一段剧情一直黑屏过不起点啥都没用
黑屏
手机原因吗反正我黑了
无期黑屏
黑屏就说明有问题，你在洗什么
黑屏警告
玩到夏活
可惜黑屏
啊啊啊啊，啊啊啊，啊啊，啊啊啊
没黑呀
华为没黑屏呀
黑屏
只能说，有点可惜
烂
擦边广告
我华为没黑屏啊
建模真的一言难尽
老子真美
up主头像是坤坤
序章黑屏快解决呀
有黑屏有不黑屏，刚好我就黑屏，哭哭哭
黑屏
闪退
为什么进不去
黑色屏障
我也是，只有声音
好耶是新游戏哦
美杜莎女王
太涩了，我称之为业界标杆
说黑屏的多半没有玩，在这跟风呢
黑屏！黑屏！
游戏黑屏啊！！
黑屏了
爬
黑屏
最爱的血拼？
没黑屏呀
黑屏劝退
苹果没黑屏
玩这么久了也没黑屏啊
黑屏警告
你们那什么手机啊，都能黑屏
快将近两年前的手机都没有黑屏
没有黑屏哦
