我超oddtaxi的OP
Excel和Word
ae也重要
超贴心 爱了爱了
加油，学好技能
我准备好了
贴心
python 呢（狗头）
贴心
我准备好了
原来是大学生学的，，   小学生先溜了。 十年后再来
贴心
哇
我准备好了
贴心
拿下pr！
眼珠子
天啊，我还以为是戴眼镜的
我准备好了
我准备好了
去收藏夹吃灰吧（）
我准备好了
排面
加油！
真的贴心
贴心
顺利过开学考
明天一定
贴心
我爬起来了，又躺下了
我准备好了
贴贴
贴心
贴心
贴心
哈哈哈这语速爱了爱了
期待期待
贮备好了，睡觉先啦
我准备好了
贴心
学习？学个屁
我准备好了！！！
三连=学会了
114514
贴心
学习？学个屁
学习？学个屁
三连=学会了
我准备好了！
gogogo！
学习？学个屁
学习？学个屁
三连=学会了
三连=学会了
学习？学个屁
三连=学会了
我准备好了
三连=学会了
学习？学个屁
学习？学个屁
学习？学个屁
三连=学会了
学习？学个屁
三连=学会了
学习？学个屁
眼珠子
我准备好了
拿下word
暑假不是过去了吗？
我要跟上！
想说哪些重要哪些不重要，为啥就非要往奥卡姆身上扯呢…
我准备好了
3
3
5
我准备好了
我准备好啦
未来是你们的，也是我们的！
5
5
贴心
贴心
我准备好了
5
5
5
4
5
5
5
贴心
5
1
4
爱了
5
5
5
4
1
office三件套啊
5
ODD TAXI!!
贴心了啊
5
5
5
5
好贴心
3
5
5
我准备好了
5
5
5
4
5
5
5
5
5
4
贴心
5
5
5
5
我准备好了！
5
5
5
5
5
5
5
4
5
5
5
5
3
5
5
5
5
5
5
5
5
2
4
5
1
5
5
5
5
5
5
5
5
3
5
我准备好了，先睡了！
5
5
5
5
5
5
5
1
1
4
5
5
5
5
5
5
2
5
1
5
5
5
5
5
5
5
2
5
5
5
5
5
5
5
3
5
5
5
最右这个图片看的头皮发麻
贴心
5
5
5
5
5
5
1
4
心贴心
哈哈哈我都会
5
我准备好了
5
5
5
我准备好了
我准备好了
5
5
5
1
5
5
5
5
吃灰
1
5
5
5
5
144514
贴心
呃呃
宇宙机
5
5
5
5
我准备好了
贴心
5
贴心
5
5
5
5
5
5
5
5
我准备好了！
5
上了大学你才知道有用的真的只有ppt，prps都是麦客的
5
5
5
1
5
5
4
5
正在学习虚幻引擎
5
5
5
贴心
1
眼珠子
5
5
我准备好了
5
5
5
我我准备好了～
控制自己
我准备好了
5
5
5
痛苦面具
5
贴心
5
5
我准备好了
5
5
又是个买课的
5
5
5
我起床了/doge
5
5
4
4
5
5
5
PPT 
1
卧槽爱了
5
好帅
madder
5
1
5
5
5
一般人用剪映就差不多了
我只有ps不会了
我准备好了
我准备好了
贴心！
学点技术傍身
office三件套才是打工人的核心技术
贴心
贴心
up为了教会你(错)，为了你手里面的硬币
我准备好了
贴心
哇居然免费。。。感动！！
一定学完
贴心
我准备好了！
我准备好了
我准备好了
我准备好了
我准备好了
学完这次，不要下次一定
溜了
不敢不敢，整一次毕设可算是知道天高地厚了
我准备好了
正在扣眼珠子（doge）
好贴心！！！！
贴心心（哈哈哈
我准备好了
温馨提示，会ps的大一小朋友不要让别人知道你会哦，不然接下来四年的苦力就是你辣
加油！暑期多学学！
大学生一定要学好怎么用office三件套呀
我准备好辣
支持！之前的教程看了ps pr，其实有点专业了，业余有挺多用不到的，希望有一个简单实用易学的教程
看完了 视频超级良心！！值得三连！
看完了 视频超级良心！！值得三连！
看完了 视频超级良心！！值得三连！
看完了 视频超级良心！！值得三连！
看完了 视频超级良心！！值得三连！
电子商务毕业的，出来一个PPT都不会做，大学三年就是周末想着哪里撸串去了，就学会了复制粘贴
虚假的硬技能：设计、剪辑、办公 真正的硬技能：唱，跳，rap，篮球
吃灰区up主你好
收藏夹吃灰去吧
学好ps pr  加上office三件套大学生活会轻松很多
帅啊帅啊
6666             帅啊                 截图了
学习了！
贴心贴心贴心贴心贴心贴心贴心贴心        贴心
贴心贴心贴心贴心贴心贴心贴心贴心贴心贴心贴心贴心贴心贴心贴心贴心贴心贴心贴心贴心
贴心！
贴心 贴心 贴心贴心
贴心贴心贴心贴心贴心贴心贴心贴心贴心贴心贴心贴心贴心贴心贴心
贴心                       贴心贴心贴心！
好贴心？
眼珠子
贴心
贴心
加油吧
贴心
眼珠子
我正在疯狂扣眼珠子doge
没人？
我准备好了
没有硬币怎么赚
正片开始
我准备好了
我准备好了！
贴心
贴心
别卷了别卷了
贴心贴心贴心！
5
你谁啊
贴心
贴心
贴心
贴心
贴心的
我准备好了
一些办公软件就够了，ps感觉没啥必要
我准备好了
冲
我准备好了
太贴心了
贴心小棉袄
贴心
我准备好了
贴心
我准备好了
我准备好了！
我准备好了。
正在抠眼珠子
真实
Adobe全家桶都会，而且是软硬件全栈，还会sw和3d打印
我准备好了
cao
我准备好了
不看字幕，根本听不清啊呜呜呜
呵呵，有多少人只是看看搜藏，没什么人实践
吃灰去吧
贴贴
贴心
早就准备好了
office不是学生党都会的吗？
工作上岸
准备好了
我准备好了
贴心
贴心
干就完了
你高估现在的人了，office不会用的我见多了
我准备好了
眼珠子
心
加油
充实暑假
ppt从入门到复制粘连
为未来充电！！
我准备好了
我是海绵宝宝
好贴心
我有一个收藏夹叫哄up主专用收藏夹
贴心
office确实都会，但也不完全会，学过office跟用过完全两码事
他挖坑一直是可以的
我准备好了
宝强，太像了，这嘴巴～
PS很好学，基本上一两天就能知道个七七八八了，但是思路还是需要学
没有Blender吗
我准备好了
我准备好了
贴心
我准备好了
我准备好了
我准备好了
突然发现 我都毕业5年了
贴心
贴心
我准备好了
我上大学之后才知道，原来有好多人真的不会office
贴心！
在读就巡回讲座了？
超贴心
加油
众所周知收藏夹都是用来吃灰的
贴心
我准备好了
vs code
没有idear很难学不会
好家伙
C语言
冲
虚幻引擎
贴贴
学个屁的偷偷卷呢吧
我准备好了
我准备好了
贴心
我准备躺了
我准备好了
一月下来，ps对比其他软件真的简单。。但精通很难
 Excel是真的难，作为一个文科生老是学不会。
我准备好了
我准备好了
6
卷起来！
贴心
他准备好了
他们准备好了
而我准备得更好
下次一定
我准备好了！
markdown
Typora
我尊卑好啦
我准备好了
让我们变得更强
硬技能: 51，AVR，stm32，树莓派
贴心
我准备好了
我准备好了
我准备好了
成就更好的自己
贴心
我准别好了
我准备好了
我准备好了
搜索找资源的能力，很重要！
贴心
我准备好了
武大人狂喜
+
大学的春要好好加油
affair
我准备好了
我准备好了
我准备好了
