诡计多端
选三号
有点子像黄轩呢？
我选贝贝
怎么还有0号
3号多出镜！！！
1
我要2号
二号像陈汉典哈哈哈哈哈哈哈哈哈哈哈哈
我选贝贝！
我喜欢2号！
我选图图
我选2号
三号选我
腋哥好美！
三号男嘉宾
？
1号跳的好好啊
1号！
活灵活现
好喜欢二号！！！！！！！
3号为什么一身绿哇
111111号
我选1号
二号男嘉宾好疯我好爱
三号国标男吧好像哈哈哈哈哈哈哈
张一山
2号，我选2号
破碎步
他们跳的真的很好
三号三号
《音乐银行》
哈哈哈哈哈哈哈
《舞蹈接力》
曾小贤，张一山，刘昊然，张亮（doge）
44444必须4
1111111号
1！1！
李荣浩
2号
感觉除了第一个都是gay 
物理老师幻视
品如的衣服
晓 观 
宿舍名是不是叫四缺1啊（doge）
？就我一个喜欢一号的/色
C位不是没有原因的
《腋魔侠》
3
我全要
曾小贤
我喜欢1号，我要抱走1号了。
我也选2号
哈哈哈哈哈哈哈哈
1号c位！！！！！
李荣浩
陈赫，张一山，王一博，4号你们来
三号！
上头上头
二号一看就是冲多了
2号
3号3号冲冲冲
二号二号，帅还搞笑，刚好
换室友了吗
好丝滑
我喜欢1号
1号
肖战
瘦版王瀚哲是吧（）
一号
皱眉
安师大？
我选2号！
3号
一号不是张译
费玉清
好像葫芦娃里的蜈蚣（对不起）
张一山？
哈哈哈哈哈哈哈哈哈哈哈哈
选什么选，都要，包圆
四号四号
1；
一号三号！！！！
三号
腋哥
跳的不错
4号
哈哈哈哈哈哈
我在吃饭！笑喷了
哇啊啊啊啊啊啊啊
一眼李荣浩
是你！国伟！
你们上热门了！！！哈哈哈！！
了解你的汗味者
可是第二个小哥真的蛮好看的诶
一号像典典
为什么要让我看两遍(涩
英零殿
空调！
笑的相思
1号速速成为我老婆
中国boy（幻视
王瀚哲
属实是让我两眼一黑
《了解你的捍卫者》
dancers2022Cyber 
好消息：上热门了 坏消息：上热门了
我选摄像师
4号
喜欢2号！
腋哥腋哥
哈哈哈哈哈哈哈
你们寝室的颜值都不错呀
好活当赏
选二号！！！
3
3号3号好可爱
舞0大会
我选零号（doge）
小陈总 三木 黄轩 马龙（）
选绿色，他好娇
零溢宿舍
这个寝室全是活宝
111111
妈妈我害怕
我为啥出不去了
像张新成
中国boy 
1号再次处刑
二号
液来香
爱了爱了
这黑历史清晰度真高
一号选定了
赵雷来跳舞了？
哈哈哈哈哈你们我全要了。
1号1号1号！！！
2号2号!!!!!!!!
第三个男孩子是不是学过跳舞！
有空调，有风扇，这是什么神仙宿舍？
张译本人
为什么不是属于我的英雄（doge
langx！！
二号
世界上没有榴莲的人了吗
一号一号
跳的好像还是拉丁桑巴其中的一个步子
NB
王汉桑表示不服
真的好像黄轩
3号！老公带走啦
111111爆灯
1号
众神归位
第4遍
二号好像天水苹果哥
四号像级了一名短道速滑冠军（doge）
四号！
优雅！实在是太优雅了！
二号！
救命
三号！
我河南工业大学机电工程学院机制1905李甲田彻底疯狂
五星蘸酱·冲神
三号好可爱
QQ飞车
全要了
曾小贤
二号奖励哥，有点虚了
妖娆性感
【yin魔之目】（dog
跃跃欲试
我选这个！！！！
陈赫哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
真不错！！
《迈克杰克逊二号》
太欢乐了吧！
三号！
诡计多端的0
我不看她！
