完 美 日 记
2p
绝了
反正花知晓我会攒钱买
花知晓设计超绝！
完美日记的眼影盘确实非常不持久
笑死我了，当场关注up主
终于有博主说他家了！还是我最爱的书瑶！nice
完美日记的眼影是垃圾
哈哈哈好押韵
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈姐妹骂人好押韵
谢谢谢谢，省钱了，还打算等之后降价买
Skr 
哈哈哈哈像极我刚化妆的烦恼
这什么阴间配色，真是绝了
？？
太搞笑了up  关注了
哈哈哈哈哈哈哈哈哈笑呕
skr~
姐，嘴是租来的吗哈哈
哈哈哈
如果不是包装好看，我从来不买眼影
哈哈哈哈
哈哈哈哈
行了行了，你去吐槽大会吧哈哈哈
厉害
哈哈哈基本都有它 完美日记
而且好几个颜色真的都是玩妆的那种
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
她押韵一直可以的
老虎盘可以，别的算了吧
皱眉真的灵魂
哈哈哈哈哈哈哈哈哈哈
进度条不简单
自从大二用过完美日记家的高光，我从此就拉黑了这个牌子
吓死我了
对对对
关注了，爱了爱了
哈哈哈哈哈哈
哈哈哈哈哈哈哈
太会了
哈哈哈哈哈哈
哈哈哈哈哈支持
金沙盘yyds
彩妆界的路温哈哈哈哈哈哈哈
盲猜novo
彩妆界的路温哈哈哈哈哈哈哈
彩 妆 界 的 路 温
姐姐太猛了，一键三连走起
哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈
哈哈哈哈哈火化
哈哈哈哈哈哈
我感觉我19年买的斑虎盘还行啊
哈哈哈哈哈哈哈哈！
哈哈哈哈哈
太会说了tql
直接rap
up手好好看
保护姐姐！
我觉得蛮好用的
我都没买
对，我可以捐钱给动物
我用感觉还行啊
有完美日记大赞，三联了
吓死我了
这玩意儿我拿来练字
姐姐绝了
全 文 背 诵
入错行，单嘴相声
磨砂膏
保护
保护
笑死了
保护保护
哈哈哈
哈哈哈哈哈啊哈哈哈哈哈哈哈
哈哈哈哈哈啊哈哈哈哈哈哈哈啊哈哈哈哈
姐姐好会说啊！slay！
文采太好了，哈哈哈哈
好押韵
《同样单纯来看骂人的男生》
哈哈哈哈啊哈哈 感觉用“阳间没剩多少时间”更押韵
如果你觉得完美日记的东西好用，那肯定是你用什么都好使
笑死我了
口红拔干，粉底暗沉太快，我都买了……
首页通知书
静脉曲张？
押韵鬼才
姐姐太会骂了哈哈哈哈哈哈哈哈哈哈
对以前的9色盘我到现在还用
还好没买
哈哈哈哈
哈哈哈哈哈哈哈哈
