大家的第一本是什么
失落的海底城
外星怪客
唐晓翼！！！！！！！！
唐晓翼还没出来！
火钳刘明
苏格拉底永远的意难平（大哭）
《海龟岛的狩猎者》
黑贝街的亡灵
冥府之船
第一本就是法老王之心
潘多拉世界的尽头
自己的第一本是香巴拉世界的尽头
天空是蔚蓝色，窗外有千纸鹤
我那会六年级，现在高三了，真的回忆啊
天空是蔚蓝色 窗外有千纸鹤
唐晓翼啊
天空是灰蓝色，门外有千纸鹤 
温泉真的童年回忆啊导致我看恐怖片都觉得没这个恐怖
黑贝借的亡灵
地狱温泉的诅咒
我都看过 这么多年了 到底不是我当初看的那个了
厄运水晶头骨
龙君晓初！大大yyds呜呜呜
这才是我童年真正的作者大大。
莫名泪目
亚瑟。。。最后的永生人鱼
恶魔实验室
查理九世永远滴神！
那会五年级，现在大一了
羽蛇神的黄金眼
我贼爱稻草人之乡
最后的古寺神佛
我读过很多书，但大部分都不记得了，只有一些无可替代的一只活在我的回忆里，值得庆幸的是，《查理九世》系列算是
童年啊！！！！！
黑贝街！！
握草失落的海底城真是我借来的
唐晓翼最后一次出场
天外来客
九尾灵猫
恶魔医务室
查理九世yyds
《法老王之心》
黑贝街的亡灵？
不死国的生命树
谢谢了
天哪我入坑就是因为恶魔医务室
鬼公主的嫁衣
虽然很不想说，但这种家长一天不死中国在这些方面就永无出头日
唐晓翼让我第一次了解了渐冻症和学会热爱生命
谢谢
九尾灵猫
第一本沉没的海神之船
眼睛进陨石了
这是我看到第一本
这是我看的第一本
你币有了
亚瑟TTTTTT我的童年老婆TT
三联奉上
九尾就是最后的一册了，第28跟玩似的
九尾灵猫真的看了好多遍！
唐晓翼唐晓翼唐晓翼唐晓翼唐晓翼唐晓翼唐晓翼唐晓翼
天空是蔚蓝色 窗外有千纸鹤
天空是蔚蓝色 窗外有千纸鹤
第一本恶魔医务室
青铜馆的葬礼
有点想哭(┯_┯)
黑贝街的亡灵
羽蛇神黄金眼是我的第一本！
谢谢
黑贝街的亡灵
好想哭
童年是凑不齐的的书，我还是没能看完查理
第一本白骨森林！
童年
爆哭
鬼公主的嫁衣
恶魔医务室
谢谢up
现在的查理九世已经不是我们的童年了
《黑雾侏罗纪》
才反应过来都看过呜呜
《白骨森林》！
鬼公主的嫁衣！
好遗憾，我还没看过九尾灵猫（大哭
黑贝街的亡灵
现在已经变成了永远的回忆
第一本是不死国的生命树
啊第一本是白骨森林
侏罗纪结尾小时候真的给我哭惨了
第一部就是侏罗纪，直接哭惨了。婷婷，多多，扶幽，虎鲨，还有小狗，我想你们。
那个时候y特别喜欢的书
好想唐晓翼
是童年没错了
泪目
我全看过。。。但书没了
我是外星人那个
泪目
不死国的生命树把我吓着了
啊啊啊啊啊啊唐晓翼！！！
爷青回
不死国的生命树真的哭了
只看到了稻草人之乡，后面就没在看过了
好棒！！
黑雾侏罗纪yyds！
鬼公主！！！！！！！
在自20之后，上初中就没有再看了
《黑雾侏罗纪》
黑贝街梦开始的地方
唐晓翼啊
九尾灵猫后面的预告是关于哪吒的肉球婴，但我到现在也没等到
恶魔医务室入坑
好后悔之前丢掉了
鬼公主的金丝嫁衣，我的第一本！
黑贝街啊啊啊yyds
小时候的梦想就是嫁给唐晓翼
请问那位家长，满意了吗
 侏罗纪把我看哭了wwww小恐龙
我家里还有全套呢
雪山巨魔
从二年级等到高一了
《鬼公主的嫁衣》
龙君晓初是我一辈子最爱的儿童作家！！！！
不死国确实挺吓人的
童年回忆
《龙与猫之国》贼好看！吹爆
真的是东借西借看完的呜呜呜全是回忆
00后全体起立
哇！！！
第一本幽灵列车
泪目
唉，当时看着那个预告，结果到现在都没有出来
童年是最美的遗物
我最爱失落的海底城
好怀念
爷青回
亚瑟
青铜棺的葬礼
爷青回
谢谢up
嫁衣！
第一本是吸血鬼公墓  丢到学校了 很可惜。
亚瑟哎……
童年啊，尽管我还是个少年
我的唐晓翼呜呜呜等不到他回归就被禁了
泪目
当时《九尾灵猫》跟我同学借了好久
鬼公主的嫁衣
浮空城
羽蛇神的黄金眼 
我都看过啊
第一本  冥府之船
泪目
扎心了
不知不觉童年就过了
第一本青铜棺
up的声音好蛊啊
阿婆主的声音好蛊啊
小学超喜欢
芜湖
看到
查理系列看的最后一本《地狱温泉的诅咒》现在查理九世都改名字了吧。
《法老王之心》
雪山巨魔
黑雾侏罗纪
羽蛇神的黄金眼
黑贝街的亡灵
我的第一本也是香巴拉
唐晓翼
龙君晓初呜呜呜
当时看到25册
大哥混合一些东西
失落的海底！！
《吸血鬼》
那个初中别走
亚瑟呜呜
亚瑟，最后的永生人鱼
都看过
我也是那时候我超级喜欢他的亚瑟
想哭了
好怀念
冥府之船
《地狱温泉的诅咒》
当时我小学，现在我大学
水晶骷颅头
当时我小学四五年级，现在我大一
香巴拉世界的尽头！！！
唐晓翼童年男神呜呜呜呜呜呜呜呜
爷的童年啊
吸血鬼公墓
泪木
亚瑟排面
第一本是沙海谜国
吸血鬼公墓
九尾灵猫
第一本稻草人!真的很怀念！！
查理九世名字也改了封面也换了但我依旧爱它
鬼公主的嫁衣，白骨森林
《黑背街亡灵》
迷失的沙漠之城 
失落的海底 
九尾灵猫 
沙海迷国最喜欢的一本 
黑贝街的亡灵
不死国的生命树
就突然想哭
唐晓翼都快泡肿了呀
第一本黑贝街的亡灵
《九尾灵猫》
泪目
地狱温泉的诅咒！
雷欧幻像
第一本羽蛇神的黄金眼！
唐晓翼yyds
苏格拉底真的意难平，都给看哭了最后结尾的时候
感觉自己有好多没看
苏格拉底真的巨意难平啊，最后结尾给看哭了
海龟岛是第一本
第一本，香巴拉，世界的尽头
香巴拉，世界的尽头
当时小学，现在高一
爷青回 
《幽灵列车》
我到现在还记得香巴拉最后的那一句：你所厌恶的今天，是昨日离去之人所苦苦追求的明天
我看到后面看哭了
《冥府之船》
《幽灵列车》
《青铜馆的葬礼》
我只有一本，当时特别想看，别人送我的。不过现在找不到
《鬼公主的嫁衣》
唐晓翼！
亚瑟
等到高二了
查理九世，我的童年
谢谢雷欧幻像让我拥有了那样的童年
鬼公主的嫁衣
第一本《外星怪客》！
鬼公主的嫁衣
呜呜呜呜我哭了
第一本就是青铜棺
我都买了
不知道为啥海底城特别难借
《失落的海底城》！！！！！
第一本：地狱温泉的诅咒！！！
黑贝街
唐晓翼真的太爱了
永远的理想型：唐晓翼，那个嘴硬心软无比坚强的男孩
我好想那个男孩
吸血鬼公墓！！唯一一本没看过的！
冥府之船
九尾灵猫
爷青结
羽蛇神的黄金眼
永远没有看过的九尾灵猫
小恐龙55555
《海龟岛的狩猎者》
，九尾灵猫的那一本好感动
我永远喜欢龙君晓初
有人看过怪物大师吗
这可是我的童年啊
顶
《幽灵列车》
第一本是幽灵列车
没办法了，本来想攒币，你币有了
我币也没了
浮空城!
童年的回忆啊啊啊啊啊
我有全套
«幽灵列车»啊
《青铜棺的葬礼》
我第一本是那个长满脑袋的大树的，忘记了
唐晓翼排面！
冥府之船
《鬼公主的金丝嫁衣》
查理九世真的好好看
唐晓翼童年男神
《恶魔医务室》
第一本不死国的生命树
鬼公主的嫁衣!!!
好后悔没有凑齐那个旧版
雷欧
好多我都有
都是回忆阿阿阿阿阿阿
鬼公主的嫁衣
很好看的
我高一那年出的九尾那本，怀念
看的第一本是恐怖的污女
巫女
墨多多，尧婷婷，虎鲨，扶幽，查理九世
九尾灵猫
嗨！老公！
唐晓翼啊
我全看过，但是没买几本，感觉好可惜
大爱
爷青回
还有贾士学长！
第一本看的就是失落海底城！最喜欢亚瑟了！
亚瑟！
梦想不死，希望不灭。
青铜棺的葬礼啊
当时我三年级，现在我高一啦
都没看过
唐晓翼不知道大家是否记得
唐晓翼啊啊啊啊
第一本幽灵列车
第一本书是六年级的时候看的第一本恶魔栖息的乌鸦城
爷青回
这也是我的童年啊
再也等不到28册了……
查理yyds
只有21往前的555
啊啊扶幽好可爱
小时候买的第一本是羽蛇神的黄金眼，把我吓出心理阴影。
无言
第一就是白骨森林
恶灵栖息的乌鸦城我有
不死囯的生命树
真的庆幸当时买了全套，现在改名感觉没内味
( Ĭ ^ Ĭ )
亚瑟
婷婷
好听
泪目了
生命树！!
沙海迷国我以前有的不知道去哪了呜呜呜呜呜呜呜
亚瑟啊啊啊啊啊最可靠的伙伴
DNA动了
婷婷！！！最勇敢的女孩
爷青回
爷青回
《鬼公主的嫁衣》
《沙海迷城》
唐晓翼啊
世界的尽头!
鬼公主的嫁衣吓了好久好久
那个时候我一直在想 唐晓翼
当时小学。现在高一
查理多多，我想你们
第一本！
记得小学时看九尾狐特别喜欢
稻草人也好看
末日浮空城
初一之后就不再看了  但那是是真的爱啊
黑雾侏罗纪wwwwwwwwww
白骨森林
我家现在还有小学的几本
稻草人之乡
这是买的第一本！！
眼泪在眼眶里打圈，可是我已经长大了。
《吸血鬼公墓》
《香巴拉，世界的尽头》
泪目
《沙海迷国》让我认识了查理九世
呜呜呜呜呜
第一本是吸血鬼公墓，当时看见的封面很喜欢
从鬼公主的嫁衣开始唐晓翼真的直接蛊到我
泪目了
黑贝街亡灵！
对文字没耐心的我第一次学会把这本书的每一个情节都映在了童年里
白嫖失败
查理九世！！！
泪目
地狱温泉的诅咒
超喜欢的
《恶魔医务室》永远的神！
谨以此书 纪念我的童年 那是一段小有遗憾的幸福时光
《末日浮空城》
唐晓翼永远的神
初闻不知话中意，再闻已是话中人。
！我的童年  谢谢up
我真的好喜欢唐，真的
差距就是当初我们班非常流行。我还记得我第一本看的是水晶头骨，后面是迷雾侏罗纪，最后的古佛神庙，还有一本关于海盗船的，生活老师没收了，那可是我好不容易借来的。
贝克街的亡灵
《黑贝街的亡灵》
泪目
我的童年
青铜棺真的吓死我
当时借对象的来看，后来散了，书也被禁了
我只有一本
泪目
幽灵电车
这真的是我的童年啊
侏罗纪化石上羽毛拼成的字那个情节真的被刀傻了
葬礼nb！
婷婷！！！
黑灵！
爷青回
我想说 我好想念
爷青回
呜呜呜呜大西洋船王帅我一脸！
呜呜呜呜大西洋船王帅我一脸
《雪山巨魔》
六年级疯狂迷恋 现在高三了
唐晓翼我的白月光
小学初中最爱的
冥府之船第一本看的啊真的是我的童年
老玩家老玩家了。
我的第一本书是一本破旧的地狱温泉的诅咒。然后从此就迷上了这个系列。
所罗门王的魔戒我的第一本
爷青回
好想哭(┯_┯)
稻草人之乡
恶灵栖息的乌鸦城
泪目
不死国的生命树
唐晓翼哇呜呜呜呜
要是二十九册出了。。。
太用心了up666
第一本，海底城
我本快收藏完了，奈何我那时候没什么钱
我永远记住了那段时光
看的第一本是白骨森林
个人感觉浮空城比较巅峰？关键可能浮空城本来是完结篇的
