啦啦啦啦
11
是第一？？
1
来了来了
热乎热乎！
111111
我出息了！
卧槽2
热乎的！！！
来了来了
刚刚，我去，前排呀
前排！12秒！
1
不是
晚上更新！
我出息了呀，前排诶
怎么检查，pcr吗
来早了
大半夜
1
一分钟我出息了
一分钟！
热乎！
热乎
来了
支持
猎头者奎克！
而且这个杀人犯共有的基因，每位善良的人也都拥有，巧不巧？
3分钟
正好想看不敢看
孩子有基因
好早！
同意，这也算优生优育？
好奇片片一天到哪找这么多剧
前排前排
3分钟
心理测量者？
我来
遭了  来太早没有弹幕护体
每部剧都有个安婶
来了
nb
赶上了！！！！
3分钟
猎 头 屑
三分钟
热乎
我去，安在旭都是妈妈辈了。我老死了
哇偶
还是挺帅
前排前排
烫
韩剧是真的牛壁
熊孩子
人杰地灵韩国
小民哥！
来了
熊孩子
他之前酒驾了还能复出…？
哇 4分钟
不会就是他吧
收回之前的话，不能100%准确率还是算了？
团灭
封面差点劝退
妻子会不会有问题
哇我是早的
这不是犯人就是你前两季的刑警嘛
大胆猜测这是男主
等弹幕养肥再来
来了来了，弹幕没有人
真的熊孩子
没有弹幕唉
花开两朵，各表一枝（1/1）
谁啊
犯人就是你 一二季常驻嘉宾，第三季下车了
来都来了
热乎
10分
为什么不跑呢？
有人吗
是谁？？？？！
6分钟
时长得劲儿
花开两朵各表一枝
。。。。
哦，必胜奉顺英，安在旭（星梦奇缘）
这么大雪还露营
天生犯罪人
七分钟！
没人啊？
7分钟，热乎
来早了啊
不支持
wc大晚上看背后发凉
弹幕护体！！！！
热
七分钟
又是一个薛定谔的猫的命题
出息了！！！！八分钟
前排、哇塞、
赵雪瑞你对得起我吗
不会是现在妻子杀前女友吧（狗头），可怕
弹幕呢
3
跑啥2个人打不过一个倒地的？
快保护我
这么快的刀子
经典祭天剧情
明明都先手打倒了，，，为什么不反击
八分钟啊啊啊啊！
我去！
花开两朵，各表一枝（1/1）
8分钟!热乎的
有人嘛
ilidili
安在旭老成这样了
我来的也太早了
呜弹幕呢
10分钟，出息了
十分钟！
弹幕呢？？？
十分
朴日道吗
凉凉了
pcr
这增长率还减
害怕
花开两朵，各表一枝（1/1）
烫到离谱
ilidili
点个赞，明天再来
这家人好惨
你快跑啊我好急
花开两朵，各表一枝(1/1)
热乎
淦
11分钟，热乎
额…虽然本不是弟弟能预料到的结果  但…
热乎
这里黑衣人提着丈夫的人头
牛逼
11分
。。。
热乎
支持
安内相哈哈哈 好久不见
好弟弟
花开两朵，各表一枝(1/1)
2V1不打非得1V1
怎么花就又开了
熊孩子
不会是他杀的前女友吧
还没看到是谁呢
可以建议，不用强制
注入灵魂
小民就有可怕基因吧
弹幕呢...好怕啊
片片笑场了吗？哈哈
这个弟弟真是…
为何要出去
弹幕护体
?这和孩子有什么关系?不怪杀人犯怪孩子?
露营好玩吗
这孩子得多大阴影
妈妈已经那么害怕了却还保护孩子，挺感人的
单目护体
基本演绎法里面有一集是这样的
这种天露营 觉得别有一番景致？
15分钟，热乎
高产啊
犯罪还是和环境有关的
我擦  我的青春
这弟弟就是我吧
？
神父！
心疼
時長感人
夫妻联手本能反杀
时长感人
大雪天好好在家呆着不好吗？
好家伙
17分钟
虽然人口复数了，但是这种基因也不是必要的吧
大雪天出来露营就离谱。。
我的小民哥啊
关于胎儿是不是人这个问题确实有一些争论。。
如果真能检测，支持
好哎，韩国警察可以名正言顺的摸鱼了
可怜的哥哥
这么长
各表一枝（1/1）
991可还行 哈哈哈哈
《上帝眷顾》
卧槽卧槽.
确实是有研究表明杀人犯在共情和自我道德要求上会比正常人低
我不敢看了
天才哈哈哈哈哈哈
别骂孩子了，要骂就骂编剧吧
安在旭啊！！！
热
浮夸
卧槽
如果测试准确我同意 但如果测试不准确呢 那不是……
还热乎
也有可能是小明哥自己或者和妻子一起杀害了妹妹（个人猜测）
这么大雪还露营
我咋觉得是这个男的杀的
化雪，不会？
是真的帅啊
嚯，这部剧里好多脸熟的演员啊
关键胎儿不算人
我滴妈呀，还能看到安在旭
前两天刚追，片片就解说了
这就是解决不了问题，就解决出问题的人
妈呀 谋杀片的因素集齐了
德玛西亚
变态杀人犯都没抓住，还去荒郊野外露营？心真大！
弹幕真是的，一个不足十岁的孩子你还要他怎样？
补刀啊，是我不打死他，也先废条腿，避免追上来。
这么大肚子还堕胎
优生学啊
我觉得有暴力倾向的精神病都应该
龙族？
这个弟弟也才几岁，看到妈妈被杀肯定害怕啊，哭着闹着才正常吧
送外卖啊这剧情
支持！
强手裂颅
???不是应该找凶手吗
要挂了
杀啊，天才也可能是杀人范
奎克·猎头者，此人竟是斯卡文？
就这一幕而言 弟弟很勇敢了
基因只是有倾向，不是完全下判决书定调
好热
妈妈其实可以躲深林里的 毕竟天那么黑
出息了
主要韩国就那些演员
曹玄亮：这个我熟
危
啦啦啦
弹幕附体
斩首的夜知乎内涵
绷不住了
这和你抓凶手的能力有什么关系
胡扯
保护保护
基因也分隐性显性啊
胎儿算人，孕妇打人就真的成群殴了
违背祖宗的决定
郑爽狂喜
《祝福》
我服了
很多时候家庭环境才是绝定人的
我怎么感觉凶手就是这两个或者其中一个
贝卡利亚狂喜
吕子乔有提到过诶
我如果跑不了，就跟他拼了
你龙在天，我还安在旭呢
昂我懂了
求点赞，点赞过八万更新下一集
原剧是刘教授取的祝福
弹幕救我
胎儿不算人但女人算啊
↓休想
就算我有99%的错，难道他没有1%吗
进度条惊人
我靠真的
支持
热乎的
开车跑就好了
salute?
我直接一键三连
安在旭都是妈妈辈了？？？？？？？？？？？
他们是怎么判断的？等这个孩子成长起来吗
这弟弟真祸害！
