我知道了，这就是用长齿去勾的吧！
牛 鼻！
我拆开看过了
幸运转盘？
太绝妙了
妙啊
这设计真的牛笔
厉害
焰分噬浪尺
硬       核       拆        解
伪随机
啊哈，被他玩坏了
牛哇牛哇
39.9那个等等我
吓我一跳
一喂真好
一喂好
一喂不错
一喂
懂吗！随机性，睡几个即，都是干扰
应该可以靠重力改变触发机关的位置
随机带来的快乐
伊奇
咬人猫
咬人猫
必须投币
鳄鱼才是
这种机械伪随机玩具买了好几个，一直没搞明白是什么原理
太棒了
《这转场面秒啊》
《很简单》
牛啊
小小东西大智慧
NB
吓我一跳
经典款不应该是鳄鱼吗？
我还以为这里有透视图
如果倾斜一定角度，是不是每次都可以固定同一牙齿呢
一睹芳容
懂了
动力火车
量子力学
66666
牛
建模就不能有倒影？小学生
有没有那两颗牙齿是几率最高的
妙啊
秒啊～～
第二个毕导
fanf
摩擦力！
河马好看
你币有了
给女朋友安排上
神了1没看懂1，三连再看一遍
卧槽
来了
你币有了。
你的cg 是怎樣做的，很花時間的哦
我有个蓝色鲨鱼的
二狗
懂了
机械的魅力
妙啊
妙啊
这东西至少在93年就有了。
妙呀
小侄女喜欢玩这个
妙啊
曝炸视图！！！！
妙啊
《很简单》
我小时候有个鲨鱼的
大佬救命。
还要设想到手指粗细，np
好活
有时候会有两颗牙齿机关
太厉害了，我一直想是什么结构呢，这么复杂。学到了，up主厉害
这个可能是机械系的毕业设计…
经典款是蓝皮鲨鱼
鳄鱼才是经典款吧
没声音不好玩
秒啊
建模姥
童年阴影
这个3D建模也很厉害
我也一直觉得这个机械设计很牛逼，竟然可以做到随机
捕鼠夹
妙啊
鲨鱼
秒啊
学渣溜出去打篮球了
鲨鱼才是经典款
秒啊
喵啊
喵啊
妙啊
鳄鱼
转场绝
鲨鱼款才是经典
宝宝巴士~
up应该接个这玩具的推广的
秒哇
手机同款
鲨鱼牙膏广告的玩具最经典！
好看，所以你拆了？？？
哈哈哈哈哈哈
咬人疼吗？
重新定义简单
简单？？？？？？？
咬人猫
脑袋疼。。。
原来如此，解答了我多年的疑惑
1
宝藏up
我有个鲨鱼的
不得不说妙啊！
坏了，我想修一下
开头直接关注了
天才啊
妙啊
牛逼啊
好帅好帅
好厉害啊
前天才买，就推这个视频给我
因为熊猫粉粉嫩嫩
鲨鱼的最恐怖
鲨鱼经典款
我看成了成人玩具。。
原来如此啊
桌子上好乱
感动啊
所以阻力稍微大点的就会掉下来！！！
妙啊
牙齿打下来其实很疼的，也不懂为什么那么多小朋友愿意玩
这是真随机
把牙换成锯齿
百万建模
爆炸图好评
伪随机
听困了hhh
妙啊
嗯
Freddy进入了房间
Bonnie进入了房间
chica进入了房间
这个玩具我也想了好久没想明白
原来是这样
这样下次的位置就随机
牛批
是不是还有鳄鱼风格的……
厉害厉害
用这个和朋友一块喝啤酒不错
妙哇
那如何做到随机呢
投币了
我是EyeOpener
我玩过，像拖鞋
果然跟我想的一样
转起来
原理跟我想的差不多，设计比我想的精妙多了。
妙啊！
我一直好奇这个原理
小时候一直想知道
鲨鱼才是经典！
为啥感觉他俩好像啊！！！hhhhhhhhhhhhh…！！
已经开始快进了
烟灰缸（狗头）
奥苏安
奥苏安
咬？是什么意思？
柯南
巧妙的设计
鳄鱼才是经典款
经典款不是鲨鱼吗
妙啊
ohohohohohoh
妙啊
不知道有没有高概率区
好强
某种形式的偏心轮
说了不是完全啮合 可以自由转动，好好听课
这不比俄罗斯轮盘赌牛逼？？
那个刀片的要人玩具刺激点
长得和玩具好像
听不懂了
太专业了，你币有了
真就俄罗斯轮盘
有一个问题，这样一来按下马桶圈的那颗牙齿一定很压下，于是就有了BUG
好了，我困了。
老鼠夹原理
熊猫最吓人
俄 罗 斯 转 盘
牛
神奇马桶圈
鳄鱼和鲨鱼才是经典！
来了
妙啊
惯性不是力，不能说收到惯性的作用
这狗有毒
应该是具有惯性
我有一次过生日，同学一起玩这个，我把它上牙粘上牙签，然后......
卧槽
懂了
帅的一笔
坂本大佬直呼内行
妙啊
币拿去
颚   之   巨   人
伸缩棒
这是狗吧
鲨鱼经典款
什么软件做的动图啊
妙啊
白嫖失败
秒啊
伪随机
很简单
厉害
这个视频是怎么做到的呀？
我是奶爸小强
看成卡其脱离太，我还有救吗
天才设计
好家火~马桶圈
原来如此
白嫖失败
这是什么软件做的3d，不是solidwork吧
妙呀
我家是鲨鱼
生动形象
太强了
我竟然看完了
不应该是鲨鱼吗
好的，上链接吧，买一个
鲨鱼喃
妙啊
叼人玩具
跟不上了跟不上了
公测蹲坑
哇靠说实话我懵了一瞬间
妙啊
诈尸了
真随机 震动不一样 转的不一样 摩擦多了损耗不一样
好刺激
墨家机关术
秒啊
新知识！
贾利亚德
鄂之巨人
难怪以前试过有两个牙不太按的动的
白嫖失败
鲨鱼才是经典款哈哈哈
卧槽
妙啊
我觉得鲨鱼的好看
快点按了！！
面对面马桶圈
666
好家伙有这能耐不去设计武器，浪费了
以为只是聊聊，居然还建模就离谱
《顾名思义》
牛
好帅
裂开了
还有史迪仔版的
熵
仙人板板
固态硬盘草
V字会不会没有答案？
妙啊
我已经蒙了
拿给弹簧提供动力的是什么呢？
商业机密
吓老子一跳
V字型主要是使零件重心偏离回转轴，来产生随机答案的效果
邢捕头
我们没有bug中检查出一点程序
经典款不是鳄鱼吗？
这视频怎么做的
找到一个宝藏up
你再骂！
虽然不理想 但没有这个bug程序就跑不起来了（）
颚 之 巨 人
喵啊~
分尸现场
我废了
