ohhhhhhhhhhhhhhh
烫手！
刚刚
General Kenobi
干沙发
热乎
我擦
太烫了
没人？
愿原力与你同在
当你看到我你就不是前排了
七分钟
cos老王都这么像，长得帅就是可以为所欲为
热乎，9min还能吃
5分钟出息了。
cool
。。。。
长得还真挺像老年卢克的
逐渐离谱
这就是大佬吗
1min
14分钟，拿光剑热热还能吃。
牛
这也太硬核了
不明觉厉
工科男的浪漫
至高共和国在逃光剑工人
CAD
20分钟，可以接受
专业团队
MAY THE FORCE BE WITH YOU
科幻武器制造团队
这机床真强
好家伙，还是手动换刀的四轴铣床
Hello there
太硬核了
逐渐欧比旺
战歌起
29分钟，用喷气发动机热热能吃
看来歼星舰不远了（doge）
30分钟，热乎
奎刚，是你吗
牛逼
手动换刀可还行，祝你们恰到西门子的饭来套最nb的数控
卧槽
super cool
经费亿点点
帅啊
好看不火？
别人的sw和自己的sw。
这衣服有内味儿了
General Kenobi
亿点没用
军火商
直呼牛逼
需要凯博水晶
Amazing
离谱
49分钟还行
Hello there
General Kenobi
nb
？？？？
热乎第一
突然换衣
我以前去学校机电班体验机床时候开自动，结果刀和料都撞废了，还好有人在旁边按了急停，不然要出人命
金工实习
这都喷，是人吗
切这么狠...不怕断刀吗
热乎
Obi- Wan
20000我买
字幕组用心了
数控铣床
一个小时！
数控车
ohohohohoh！
太强了
20000想屁吃呢，成本都这么高
逐渐听不懂开始听不懂开始听不懂
开始听不懂
逐渐听不懂了
阿巴阿巴
硬
切的是铜，怎么可能断刀？
也太像了穿上这身
热乎
这期开头音乐都不一样诶
2w刀还差不多
牛批
热乎
造军火就找你们
I have the high ground！
这个才是高级的
热乎的
牛逼
20000美刀
金工实习
但凡是个机床都能做到这种程度行吗，牛的在后面，别没事瞎吹
ohhhhhhhhhhhhhhhhhh
专业
然后
热乎
我已经占据了高地
成本啊
2w刀也不要想
牛逼
wow
一直很好奇这些碎屑最后怎么清洗
衬衫的价格是9磅15便士
快，把车床给我扫干净
让我想到了我的工图机考
2333
弹幕和视频说的我全不懂。。。
general kenobi
General Kenobi!
绝了
谁也没说中国机床不能，别无中生有
《核电站》
？？？？？
帅啊
绝活
《造梦》
牛逼
热乎
等核聚变够成熟说不定可以搞一个迷你的
自己工作室用的车床你还想要啥样，别老是中外对比，魔怔了都
2小时，拿光剑热热
科普:4000℉约等于2200℃
用原力束缚啊 很简单的
NB
芜湖
强
字幕皮了
牛逼！！！，
一看就知道又会很重
牛逼
不是灯管了？
英国维多利亚时代，哈哈
太tm硬核了这
太帅气了这些。。。。
我虽然行外人，但我猜绝对不止两万。。。而且还有消耗品吧
国内机床可还行
机床是男人的浪漫
有人吗
感觉机床很难弄干净
泪目
试试就逝世
光束军刀
这个机床好想要啊
试试就逝世
原力与你同在
好想加入他们
经费在燃烧
厂家打钱
普车
车珠子
要是习惯性用手擦一擦→_→
投币投币
我占领了高地BGM，这太熟悉了刻DNA里
万一砍到就没了啊
可以啊
手动换刀能便宜不少呢
？
这是cos高地王吗哈哈哈
弹幕呢
前面欢呼的可能没有过金工实习，哈哈哈
学校机床可没这个贵。。。
愿原力与你同在
绝了
太硬核了
太硬核了
太强了
突然想起了牙医。
20000美金都可能不止。。。。
May the foece 
这。。。
这车床的多钱啊？
原力与你同在
学校同款。。。
不一样的金属放在一起，加水和空气，原电池!#
技术宅
他们怎么可以……怎么牛逼！！！
变色可还行
普通机床，要技术的
大公司快来抄袭
星球大战
普车
加工中心，国内有不是没有
没有自动换刀连编程都会麻烦的一批
一个刀库才多少钱
4轴机床还行，有钱啊
热乎
好熟悉
专业
好家伙
大佬MH
？？？？？？
核。         电。         站。        
老机床
手摇那个妥妥的便宜老货
但这个四轴的CNC是贵
铜的进给量大些没关系的
《蒸  汽  朋  克》
4小时
PC首页通知书！！！
光剑不是能量压缩技术吗？
愿原力与你同在
比较像热能剑 大魔那把
笑死
愿原力与你同在
撞刀，哦豁
cos哥布林
喷子不服？你可以让他摸一摸光剑（doge）
金工实习
立体机动装置发明家
2万加个零差不多
solidworks
你们造梦我们做梦……意思差不多
这就是工科的魅力吗？
金工实习
家里有同款机床
赞同
恐怖
这不是8的老年卢克吗？欧比旺的斗篷不是米色也不是长这样的啊
学校的最贵，我们学校一台2000多万的九轴放仓库吃灰
粒 子 激 光 剑
擦
热乎热乎
专业
五六万都有可能啊。
中间这个我手机壁纸
`哈哈哈哈
不是机翻好评
May the force be with you
辛苦了
辛苦了
辛苦了
牛壁
别估值了，这频道又不是天天鉴宝
猝不及防
愿（真TM好）与你同在
魔鬼，上个就非常6了
00.1
可以拼刀么
纵火犯本汀克觉得很赞
衣服的图案好像交大的校徽
电池:我太难了
随身携带核电站
前面的，金工实习可太草了
再车细一点啊hhh
Hope force with you
太硬核
这车国内拿要用大牛的价格
果然是 自带 音效啊
高热量
行
还
亿点经费
热 能 军 刀
The force is 真T M D好
不知道他的钱从哪来
大一金工实训我做过这种
？？？？？？？？？
草
general Kenobi
热能刀
草
你们学校用德玛吉的车床？这玩意早些年就要600万
下一集造宇宙飞船
兄弟普通车床都不止这点
直接断肢
草
烙铁
尤达大师:不知道地球人造的光剑好吃不
机加工人狂喜
我居然是前排
钻孔
镗孔
？？？？
数控
这是铜啊兄弟
哈哈哈
磨锤子
I 力 场
快进到七轴
我们工人有力量
牛
太高端了
这一台机床6位数能买下来不。
???家用工厂??
学机电表示，马上去实习就要整这个
感觉比国内的御剑飞行的飞剑差远了 手动狗头
