生命不止 欢乐不息
正片开始
雨墨好漂亮
张伟他值得。
张伟这个角色的确值得幸福
谢谢你的离开，让他有了大力
张伟一直很愿意为朋友付出
舍不得
梦开始的地方
伟大cp！
张伟！
你币有了
这句话心酸了…………
注意，这里预示着伟大cp的到来
bgm是什么
以前看到这以为张伟贱贱的，但是现在却感觉他只是想被人认可吧
哎……
爱开始的地方
果然，悲剧都是强者的故事，喜剧才是弱者的故事
没弹幕也是一种尊重吧
没弹幕也是一种尊重吧
伟大两个字圈起来
泪目打在公屏上
现在张伟有自己的生活，找到了心爱的女孩，也许导演已经给了张伟最好的结局
黑皮鞋，白袜子，越看越像扛把子！
看到大力出来我哭了 炮儿好了
不错
这我怎么没看过。。。
泪目
名场面
他真的值得拥有幸福
泪目
泪目
爱情开始的地方
泪目了
伟哥，粉你
你币有了
这个吃醋的样子好可爱
炮儿你很棒
张伟是孤儿，他没有家，所以爱情公寓就是他的家，他说过，他拼命努力赚钱，就是为了回到这个他爱的地方
张伟应该好运了
伟大原来歪打正着
不会了大力来了
律政先锋
不好笑 泪目
bgm好评
剪辑的很好 你币有了
爱5第33集的时候张伟说自己办过三次慈善晚会哈哈哈哈哈哈
这里真的好心疼张伟
泪目
大力即将到达战场
这个可以
大力吃醋了
投币
你才是爱情公寓最有种的男人！
笑着笑着哭了
你的币有了。兄弟
对自己严苛，为朋友两肋插刀
张伟才是最上进的
张伟人品和努力，值得最好的幸福
泪目
泪目了
我突然发现我不是真的喜欢大力，我只是喜欢喜欢张伟的大力
高富帅只认张伟
高   富   帅
大力是你的了
泪目  硬币拿走
泪目
哈哈哈哈哈
火钳刘明，必火必火
哭了
哭，哭，都给老子哭
伱币有了
bgm犯规了 我眼里进城墙了
大力在另外一个剧里有件和张伟同款海绵宝宝睡衣
泪目
我曾一直以为雨墨和张伟是CP
伟大！
这里想起当年展博那个孤独的根号三情书了
⬅️本来就是
你就是高富帅，炮儿
泪目
泪目
换碟成功
论bgm重要性
年纪大了，看不得太感动的东西了，麻蛋，眼睛进砖头了
我以为是赛文
他一直做慈善直到第五季
狙伟会就此解散！
我才是爱情公寓最有种的男人！
爱情开始的地方
哈哈，这个衬衫，哈哈哈
为什么叫张伟炮儿？哪一集呀
最有种的男人，炮儿！
幻昼不谢
大力是你的了
炮哥
正片开始
张大炮
虽说是喜剧，但我还是想弄死这个人
张伟他配的上大力
七爷
BGM所念皆星河
BGM我太爱了！！
你会一直是
孤儿院的孩子在这感受到了家人的温暖
太难了
当年看笑得很开心，现在感觉很心疼
这水花也太大了
张伟应得的，谁抢跟谁急
突然变调
发现宝藏视频！！
这里张伟真的好哭 明明是个那么善良的人 却一直被生活折磨着
以前都是非主流发型哈哈哈
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
泪目
有种！
张伟一直都很帅啊
张伟真的很善良，但是总是被生活所困
张伟演的就是现实啊
张伟这个角色真的给人以共鸣
现在看还是好搞笑
李佳航说得对，这十年，张伟是跳跃在人群中的小丑，但他是最值得拥有幸福的人
张伟值得大力这样的女朋友
吃泡面，还能借朋友八万的人我我是没遇到过，真是个汉子！
益达我爱你
泪
三次指这里……
天哪
没事你有大力了
他的好心有好报的开始
真正的主角
喜剧的内核是悲剧
不！一
爱情公寓那么多人，只有张伟真的戳到我了
BGM幻昼
炮儿啊
当时我真的是特别的讨厌这种人，利用人的同情心来得到东西，自己也什么都不缺
当时我就挺讨厌那个人的，用成年人的身体去向小孩子一样需求，而且小孩子要的也没那么过分
我真的很讨厌这个人，利用人的同情心来获取，无良！！！
伟哥，你真的很帅。
伟哥，你真的很帅。
人家有咖喱啦
炮儿加油你和刑捕头一样是现实的 不是幻想的乌托邦
洞 察
三次慈善晚会是帮雨墨的
感觉张伟是越来越好看
最    有    种      的    男      人！！！！
