那时候的那些“小事” 对现在却是那么大的影响
呜呜呜我的加速世界 再也没有第二季了
jo厨狂喜！
怀念那时的漫威
大帝！
真的鸡皮疙瘩起来了
贴贴还没有迷恋奶茶的瘦伦
甄嬛传yyds！！
哇哦
看到后面突然反应过来我泪流满面了
太感动了
up找素材辛苦了
战神康纳
天吶
对，当时还有很多新闻
真 儿童节礼物
甄嬛传！
周杰伦！
哇....
全是回忆啊
中国体坛第一人！
登山赛车！！！
现在宝宝已经上小学喽
总感觉不像十年，像是还在上学的昨天
酷玩！！！！！
刀剑神域！
犹如昨日
刘翔！！！
身披国旗的张继科
bgm应该是2010年的热歌remix
锤子！一次伟大的失败！
牌佬枯了
没有疫情
那时候没有疫情，我的三年大学生活，都在这度过
哭了 泪目
等待五月天重返鸟巢的那天！！！
那我是第二
saber！！！
看到散华礼弥才发现已经入宅十年了
这个小宝贝还有8年就要参加高考doge
是kelly的《Strong e》
BGM：Pop Danthology 2012
背景音乐是Kelly的《Stronger》 !
coldpaly的Fix You!!!!    双厨狂喜
现在也一样
芜湖
冰菓！
这些感觉好似在昨天
回不去的漫威了，漫威已经死在复联四了！
这一对比，沧海桑田
fix you！！！
我专门飞回成都买的920T，全成都第三台~
原来这些都是12年的
给我们刀剑排面！
时间过的真快
世界末日
老罗卧槽
我大学毕业了
我哥还买了这款手机
那些遥远的记忆啊
土豆啊
那一年居然发生了这么多事
人人网我的妈
哇
2012 我高考失利，到现在都是下坡路，找不到未来希望
2012年也是我们新时代的开始
BGM: pop danthology 2012
920啊！！第一部自己购买的手机
世界末日啊  2012    还有小半年就是世界末日十周年了
阿姆斯特朗
兰斯阿姆斯壮！
最难忘的是我认识了一个人 一个至今忘不掉的人
过了十年了
康帅！
张继科大满贯
阿狸yi收购现在都跑二流去了
开幕雷击！
fix u
大学毕业
当时我初二，现在上班了
伦敦奥运会
黑子的篮球！！！
泰囧
2012年离开了生活18年的城市去了北京上大学
那一年是真正互联网智慧元年
眼泪不由自主掉下来
冰菓！！！！！
认识了她
恭喜你发现宝藏
我升高中了
我天字节跳动
CSGO!!!
那年我大学毕业了，再也不是快乐的学生了。。。
5555
心理测量者！
BGM：Fix you—coldplay
现在优酷也是一般般啦
那年我刚四岁
我是12年开始用bilbil
男高哈哈哈
刘翔是永远的冠军！！！
甄嬛传！！！
复联!！！
火钳刘明
桐老爷!！！
琨汀： 排面
lumia 系列真的可惜啊  超级多的黑科技
刚上四年级
我靠刀剑真的泪目了看到这里
BGM好评
林疯狂！
瘟疫塔防!这个真的好玩原来在诺基亚上玩的
最恨时间留不住
牛的
啊啊啊啊啊啊刀剑
厌学的一年，彷徨迷茫混吃混喝，现在很后悔，但又能怎样。
冰果！！！！
2012年我才大一
我那个时候也做了这个梦
那时候我四年级
啊已经过去十年了吗
龙门客栈的小伙伴还有吗
我高考
战火仍在被引起
没有人有资格责备他
920！！！！
上大学
来感觉了
lights！！
怎么不戴口罩呢哈哈哈
上初一了
酷玩！！！
那时候我刚上大学
刘翔中国田径的最高峰！无人能及
今个客户
士郎
啊啊啊啊啊啊啊啊
确实是百万剪辑师
我的第一部真正意义上属于自己的手机
妈呀 这首混剪歌我当年听了好多遍
堪称解密向的神作，故事线也好绝！
10年后的2022，我也将面对高考
这时候还不用戴口罩
我的偶像出来 瞬间类目
甄嬛传！？！
这些当时的小事，在时代洪流的裹挟下成了惊涛骇浪席卷而来
回忆呀
不敢相信这个视频只有五分钟 感觉信息量巨大啊
居然大多事情都记得
百特曼！！
好想回去  重活一次
大家都在认真地活着
2012年4月16日结婚，十年了，两个女儿
喔
快手之前是啥
眉姐姐
哇看到刘翔眼泪要掉了
碟中谍4才对哦
take me back
我读五年级了
go！
那年刚上初中
刀剑！
啊！！刀剑
我四岁
前面的这首歌就叫POP2012，
邪王真眼是最强的
亚洲飞人
劳拉
马上中考，马上进去青春黄金曲
散华礼弥！
已经投币了
我的五月天！
康辉好年轻好帅啊
已经十年过去了
赞
世界末日
天啊这个音乐混剪我听了超级多遍
恭喜你发现宝藏，馆长NB！
我的梅阿
当时高二，疯狂看书
泪目
那年高考，那年认识了她。
元芳
exkalibar ！！！！
今天四川地震了，愿安好
人呢
把你的年度混剪都看了一边。泪目了
Fate！！！
康帅我去
2012升高中了
周杰伦！！！
好年轻的老罗
林疯狂！！！
梅西封神一年
有逆战吗
一声saber鸡皮疙瘩都起来了
我不允许没有人不知道散华礼弥
罗永浩
啊啊啊啊豪哥！！有林疯狂投币了！
甄嬛传十年！
啊啊啊啊
真能回到2012年该多好
雾霾好严重，pm2.5成为年度热词
2012土木还是热门专业
po p
恭喜你 发现宝藏 开启专属回忆
强迫症看着这中英文逗号混用很难受
我的撸妹
2012我们在一起了，2022你结婚了
派！
很近又很远
刘翔印象深刻
一闪而过的瘟疫公司
哈
刀剑
哭了
coldplay
2012年 是我第一次遇到她
火钳
这些都十年了吗
刘翔！永远值得尊敬！
这一年，大学毕业
刀剑神域
原来2012发生了这么多让人印象深刻的事，十年都过去了，犹如昨日
大表姐！
老罗！
那时候的我们难以想象，今天是这样的
我记得爱上混剪是2011年还是2012任凯编辑的
泪目
梅西！！！
fix
刘翔！！！！！
时代的眼泪啊
全是回忆
