虽然浮舍忘记了自己是谁 但仍记得业障对凡人的侵蚀 意图让伯阳远离自己
我哭了！！！！！
弥怒——岩夜叉
我哭死！！！
QAQ
直接抱着魈宝哭泣。
瞬间2000+
魈：我没有自己的PV，但2个剧情PV里都有我（doge）
有的
空屏？
我当然，当然想回家啊（快端午啦
米哈游你不是人啊啊啊啊啊
4000
谁说站在光里的才算英雄
只此一刀
水夜叉！！！
呜呜呜呜
看我不刀死旅行者
别刀了别刀了，孩子刀傻了呜呜呜呜
瞬间11人变成5千人
撕心裂肺
米哈游你坏事做尽
五夜叉就是家人啊
是的，全死了
想回家
我回去帮你找找你的家人吧？
金鹏是肖吧
我么。在的
有巨刀！
那边有刀
5000+
哭死啊
欲言又止
哭死
看了不下十遍了，每次都能刀到我，他真的我哭死
哭了
一想到就剩魈了就爆哭
天海
"刀啊米哈游我,:f_d_h#"
太刀了
9000=
金翅鹏王，是魈吗
我哭死
你有啊！！！有兄弟！！
8000+
人好多
无想的一刀都没这个能刀我。。。焯！
我擦
你可别立flag啊
兄弟——金鹏、弥怒   姐妹——伐难、应达
我是，来这里战斗的夜叉！
愿天下英雄永不陌路
家人！！！
金鹏大将即魈
不回家是为了让更多人能回家
英雄永不陌路！！！
击剑
呜呜呜呜
是他的兄弟姐妹啊quq
米哈游美术和编剧真的绝了，其它游戏公司的剧情大部分都是流水帐，就米哈游的剧情愿意好好看
救命呀
这里魈的喊叫真的心疼
雷大哥好帅啊
此时仍然是想保护他人
呜呜呜呜忘了自己是谁但是记得同伴的名字
秒变1W
水夜叉快进卡池
水元素的好可爱
浮舍到了这时候还是忘不了自己作为大哥应有的姿态
我刚到家就看见这视频了(✧∇✧)
有永世乐土那感觉了
有的有的我就是你的家人啊 魈也在找你啊大家都是你的家人啊
回光返照的现象
刀来！！！
我觉得这不叫刀，而是想情怀
兄弟姐妹！
可恶，两个女夜叉给我进池子啊
抽个魈八十多歪了，米哈游你没有心
回光返照了
这里真的泪目
1.1W+
金鹏是魈啊，大哥在喊弟弟…
大家都擦眼泪去了
1.
水夜叉、我滴水夜叉
向死而生
回光返照了
回光返照了 唉
音乐也好伤感啊
又刀我一遍是吧
我的家人！！！
兄弟姐妹！
家，还有家人，是永远的牵挂。
mhy你不是人
这里开始我就已经哭了
水夜叉，我的老婆，呜呜呜呜呜呜呜呜呜
米哈游我们可被你刀傻了啊
米哈游你没有心
1.5
金鹏就是魈宝啊
↑                                                    魈武器的6个刺没了
你有的
这就是我们璃月人的家国情怀啊
面具碎了…坐化了
刀
《12+》看到这里我蚌埠住啦
你的名字无人知晓，你的功绩永世长存
身为普通人，还是想家啊
谢谢你不要！！！！！！！！不要死！！！！！！
这空间偏偏还饿不死，只能等自己疯掉
金鹏---魈
魈算半个兄弟吧
1.2W
面具碎了，脸上全是血，还在笑…
先...
大哥！！！！！
金翅鹏王
你是我老公
魈宝应该是最小的吧，结果现在只剩他一个
金鹏是魈
弥留之际
岩夜叉：穿件衣服吧
若非亭午夜分不见曦月
你有的！（超大声
1.5w+人
兄弟姐妹…………唉
可惜，帝君不在这里
好可爱！
前方高能，请求弹幕支援!
刀来！！！
都给我哭！呜呜呜
被刀疯了
业障缠身
别刀了
细节这里只有魈的碎片没裂痕暗示魈没死
浮舍，弥怒，金鹏，应达，伐难
给我试试刀吧
大哥！！！
呜呜呜呜
2.1+
好温馨的画面QAQ
不能破开，这是已经做好了牺牲自我，以救苍生的觉悟了啊
呜呜我哭死
