day1
感谢老师
我直呼nb
太棒了
居然没人
太好啦开头见！！！
欢迎回来！
大奉银罗
 文学界卷成这样了？？？
谢谢，一下子我就想学习了
余秋雨永远的神！
太拽了
再来一遍
我去教育界已经卷成这个样子了吗？底是rapper劈了腿，还是教育出了轨？
海鸥
再来一遍
位卑未敢忘忧国
牛逼牛逼
火钳刘明
666
666
诸君 且听龙吟
66666
真的牛批
？
好有文化
up!爱你
大师我悟了！！！
nb
大为震撼
再来一遍
啊！为老师三连！
牛逼
蛙趣，已经卷到这种地步了吗
反手一个关注
海鸥那个笑死我了
会写词好棒 作文写的肯定很棒
好喜欢
瑞思拜
这怎么能白嫖呢
在被窝里偷偷学习
火钳刘明
6666
关注了
建议买贵一点的beat
，再来一次
爱了爱了
66666
他试图教会我们
老师再见！！！！
这里还真有我用过的名言
啊啊啊啊啊啊啊啊好帅！！
给我更啊啊啊啊啊啊啊啊
爱了爱了
大学生前来学习
很好，进我的收藏夹吃灰吧
海绵宝宝！
沃兹基censhuo
后妈茶话会
后妈茶话会
爱了爱了
真好 还有七天我要高考了 还来得及
2022高考加油！
Oh！！！！！！！！！！！！！！！！
好机会这些大部分我都背过
我直接反手一个关注
老师再见
我真的从抬头看了表几遍开始背了，后来渐渐的发现有点不太对劲
嘎嘎nb
开启倍速发现新天地
这很难不三连
惊人的收藏量
从此爱上语文
听我说:我爱你
牛啊！
我直接三连
又来了
在来一次
上头了
火钳刘明
果断关注
学费了
收藏从未停止实践从未开始
汪国真《热爱生命》
今天才摘抄了这句！！
火钳刘明
还有八天高考 来围观
6666666
哇哦！
既然选择了远方便只顾风雨兼程
张载的真是很多小说的经典引用了
谢谢
水过地皮湿
好还有七天高考
《关于海绵宝宝在B站教我写作文这件事》
火钳刘明
给爷更到死！！！
上头！
老师牛逼
案头见蠹鱼
我去
海绵宝宝注册bilibili啦~
莫名想到电子蝴蝶
哇都是我用过的！
恭喜宝藏发现你
反手关注
nb
如果你是鱼，就不要迷恋天空
这是我最后的币了
这可怕的收藏量 
天哪！！我TM全都背过
案头见蠹鱼犹胜凡俦侣
抬头看了表几次遍
 抬头看了表几遍低头写着作文卷
牛逼牛逼牛逼！！！！！！！！！！！！！！！！！
火钳刘明
这你能不关注？
nb好吧
有点意思
YOYO
冷知识:up是语文老师！
好家伙，学习兴趣就上来了
好家伙，学完这首歌，作文高几分
卧槽卧槽宝藏啊，就是我已经大三了，害
幸好我已经上大学了［doge］
恭喜宝藏发现你
好嗨呦！
关注纯属为了听歌
我们老师还有我的同学都说我的作文素材堆砌的太严重了，然后就读起来不是那么的流畅。不是不流畅吧，但是就是觉得读起来感觉有一种那种是不是让他感觉你懂吗？
你知道鲁迅吗 
我还是觉得鲁迅先生的最好用
up主牛啊
？
西工大校训
卷王
太强了
惊人的收藏量
惊人的收藏量
好帅
大师，我悟了
很好
要是当年老师也是像你这样为我们介绍名人名言的话，我应该现在语文特别好
目前6.1万粉丝
谢谢
好可爱
