“铁粉是黑色的”
原告：蔡徐坤
他真的太悲伤了
橘子yyds
其他部分修完之后还挺好听
让我怎么去做人
原曲：黄垂怜—See Tinh
第一次压扁成这样的我
谁不是真ikun呢，小黑子你说清楚
第一次鸦片战争养的我～
前方正片
《真ikun》
ikun也太幸福了吧
这饺子真好吃（dog）
起飞了家人们
第一次鸦片战争成就怎样的我
丝滑
真ikun
小黑子
真ikun
真ikun
真ikun
鸡你实在是太美
你再骂
早这么唱不就完了吗
完了，他不会真是吧
鸡美
蛋蛋
纯路人
你再骂！
红色战斗鸡
橘子nb
粉上了是怎么回事，啊啊啊~
漏出鸡脚了吧
小黑子还挺好听
他真的，我哭死
2000个小黑子和一个真ikun
我是纯路人
有点上头
优雅
真的挺好听的
升华主题
ikun的和不是ikun的都陷入沉默
kksk
我愿意把我的臀部都给你
省流：友军
姐姐好美
视频真不错
粉上了（粉上橘子
挺帅的
拟态酶！
全部？包括下的蛋吗？
第一次鸦片战争养的我
你干嘛~
一眼真ikun
居然...有点好听
学过中学化学都知道，铁粉是黑色的​
还挺好听的
我愿意把我的臀部都给你
好听了
我对周杰伦新专辑要求不高 超过这首就行
kksk
感觉比原作的还好听是怎么回事？
居然挺好听的，救命
太好听了，路转粉，我现在kun粉辣
好强
黑出感情了
你到底是敌是友？
坤！
莫名好听
太好听了黑转黑了
第一次鸦片战争养成的我～
2000+真行嗷兄弟们
小黑子
kksk
你是我的神！
“巅峰产生虚伪的拥护，黄昏见证真正的信徒。”
还帅啊，哥哥~
小脚子
还挺帅的
你改的好听
刮风啦
都是友军玩毛
点错了
Skr
由黑转入深沉的爱了属于是
真黑子
现在ikun门槛都这么高了吗
黑子比粉丝还努力
其实可以，还挺摇哈哈
等等，ikun和小黑子是两种东西？（doge
我是纯路人！！！
我是纯路人！！！
厉害
叫我怎么去做人！
爱恨交加了这是
小黑子
必须是真ikun哪个小黑子会给我哥哥做视频呢？（doge）
草，你别说真的挺帅的
这才是真ikun
黑转粉了
哈哈哈哈哈
黑到深处是爱
救命，出不去了
演都不演了
ikun实锤
kksk
直接路转黑了  嘻嘻
我鲲长红
我是纯路人！
你干嘛 哈哈
开幕雷鸡
《2000+》
好听
说实话 不错
不对，怎么还挺好听的
小黑子曲挺硬啊
比那个视频形象帅多了
我愿意把我的臀部都给你
橘子，这是7型的爱
不过蔡本人也挺坦然的
金曲奖不过分吧
你干嘛~
可以啊，再去看看其他舞台视频
鸡哥！！！
今夕是何年
啧，这下粉黑二象性了（doge）
哦莫
五刷
我是都是纯路人
鸡呢鸡呢
ca
这是真ikun
鸡哥真帅 黑转黑了
刚刚去听了原曲，确实还是这里好听
太红了
真IKUN
蔡徐坤
黑转黑了
你让我怎么去做人！（
还好老子是女的doge
什么天才
体面啊鸡
动作指导：华晨宇
3000+
让我怎么去烹饪
氯铈焓警告
不要让其他鬼畜太嚣张，我们坤流才是最牛逼的。​
厉不厉害你鲲哥
真的不错
专业选手禁止参赛啊
时隔两年半，鲲鲲重新登顶鬼畜区顶流
居然是好听的哈哈哈哈
牛牛牛
哈哈哈哈哈哈
夭寿熬 鸡瘟辣
真的不错
深红蕾丝
牛的
比真粉丝还会
完了上头了
操，点错了
有心了
b格一下子就上来了！
第一次鸦片战争养成现在的我
路转粉了
《3000》
纯路人
你干嘛～～
小黑子，露出鸡脚啦
我宣布：鲲流赢了，嘎流输了！！！
好带感
真路人：有点好听是怎么回事
鲲姐真的是太好看辣
人人都是ikun
《可爱鸡》
真的有这么丝滑吗
我是一名纯路人
谢谢你，我是纯路人
我家哥哥好帅啊
你干嘛～
纯路人，打算路转粉，问下在座ikun应该需要注意点什么？
kksk kksk kksk
还挺好听
鸡可爱
酷毙了Skr~Skr
黑转粉了
假粉爱颜值，这
我也是真鲲癌
nb
牛逼
717演唱会都知道啊你
上头，听四五遍了
喔哦～喔哦～
你们不是小黑子，你们这是爱，我本来挺喜欢你的哈哈哈哈，你再这样我就关注你了
嗷嗷
可爱女人
哈哈哈
好看好看
哥哥好帅
小黑子露出鸡脚了吧
完蛋好好听怎么办
上头
前面的纠正一下，这不算是蔡徐坤的这是他之前的组合的歌
谢谢你，黑转黑了
这才是真正的爱坤
想到up需要找那么多素材看那么多遍我只能感到佩服
太上头了
想要把你占为鸡友[确信]
我愿意把我的臀部都给你
不管我怎么去烹饪
说实话挺好听的
made点多了！焯！！！
小黑子
你干嘛啊～～～～～～
爱了卧槽
今年跨年，他敢不敢唱这首
第一次鸦片战争养的我
红色好衬他啊
不管我怎么去烹饪
蔡徐坤 今年跨年敢不敢唱这个
baby骑皮猪
yoyoyo晕了要
我转粉了
第一次鸦片战争的我
帅死我吧
还有和音
bgm原曲是什么
《路人且IKUN》
图穷匕见了属于是
真的上头
漫长的2分12秒
好上头啊
太好听了，黑转墨
苏珊
路转路了属于是
干嘛～～
鸡
纯路人
真ikun
第一次鸭片战争养的我～
真ikun
哈哈哈哈哈
可是看着真的很快乐！！！
纯路人
《第一次鸦片战争养的我》
爱就爱她的全部
哈哈哈哈哈卧槽了
kksk
牛逼
优雅！太TM优雅了！
好啊～～
？？？？？
优雅太优雅了！
我是ikun嘿嘿嘿，鸡你肽镁
标题就已经看出你不是ikun了（恼）
食似食油饼？
玩了，我成IKUN了
完了，我成ikun了
小黑子
巅峰产生虚伪的拥护，黄昏见证真正的信徒
啊♂啊♂啊♂
是这个作品好，不是他的歌好
黑转粉   哥哥好帅
不错，黑转黑了
粉了粉了
太好听了吧！！
1000+
我去好帅啊哈哈哈哈哈哈哈哈哈哈哈
纯路人！
这是真爱粉
小黑子露出鸡脚了吧
他好温柔
第一次鸦片战争养的我
《才华横溢》
哈哈哈哈哈
欢迎回来
意外上头怎么办
优雅，实在是太优雅了
无敌
禁忌二重唱
真的挺好听
好听诶
原曲是怎么唱来着
第一次鸦片战争养的我
你干嘛~~哈哈~~哎呦~~
我鲲该说不说确实帅，路转路
蔡徐坤早期的歌词咋都这样
《 有 效 安 利 》
这才是真ikun
这不比ikun更ikun 小黑子别忘记初心
帅的
pdd砍一刀
"[""597"",""326"",""1-1"",""10"",""你幹嘛"",""360"",""360"",""0"",""0"",500,0,1,""\""Microsoft YaHei\"""",0]"
早上一遍 开心整天
干嘛~
好听
原曲是啥
开团
baby起啤酒（幻听）
kksk
我是纯路人
这不比肖某的好听
小黑子香精煎鱼是不是
好帅
挖苦挖苦
漫长的两分钟
好听了，蔡徐坤默默放下了律师函
纯路人，坤坤好优秀
ikun
香翅捞饭食不食
IKUN们的高光时刻
你干嘛哎哟
小黑子漏出鸡脚了吧
哈哈哈哈哈哈哈
有点好听
好看好听
纯路人
妙手回春啊，赞
这是什么时代？小黑子的时代！！！
主要是 up的素材都是正面的，就让我分不清 哈哈哈哈
确定不是安利
homo特有的无孔不入啊（悲）
帅的
kksk
哈哈哈哈哈
哈哈~诶呦~
进度条怎么才过了一半
坤坤：在爷的BGM里面爷就是无敌的
卧槽还有升华阶段
啊，坤
"他好温柔,我哭死呜呜呜"
全b站最爱坤坤的up
律师函警告
《开团》
再来一遍
迈克尔杰克kun
好厉害 看完有些片段真的爱上坤哥啦
试问哪个ikun能像我们黑子一样为鸡哥哥做到这样？（bushi
可恶啊
www舞蹈mv
有点好听啊
这样真的不会黑出感情吗
成功打入敌人内部
还好我是真ikun
好听，直接路转黑
火钳刘明
小黑子
好帅啊
只因你太美不是蔡徐坤唱的，大家要分清楚
这不比他自己出的歌好听
居然挺好听的
哈哈哈哈哈哈这才是真ikun
好帅好帅
好帅好帅啊啊啊
我上头了怎么办
每周必看
鸡流勇进
第一次鸦片战争养得我
我是ilkun
竟然有点上头
苏枝
优雅
粉上了救命，坤坤有点帅
可爱
kkkkkkkkkkkskkkkk
忽悠↓忽悠↓
电摇
我靠，好听哈哈哈哈哈
你看我怎么欺负人！
哈哈哈哈哈
好帅
你是真ikun吧
批金成王，伴坤远航
橘子属实有点妙手回春了，质量好高
好帅！
粉色嘟嘟嘟嘟嘟唇
第一次鸦片战争养的我
好听到爆炸
黑子漏出鸡脚了
笑死
技艺高超
游龙当归海，海不迎我自来也
泪目
泪目
1000人兄弟们。
上头了
这波小黑子完胜ikun
纯路人，她真的很努力
第一次鸦片战争养的谁?
yeah sir
好听，路人转黑了
第一次鸦片战争养成的我
你干嘛~~~
我是蒸癌粉
这是真的ikun的安利向视频
比博燃
现在开始我只准你你砍我~
鬼畜区顶流
开始了
业务能力不赖
他为啥感觉这么帅？？
好活当赏
要我怎么去做人
双厨狂喜！
你干嘛~
太好听了，黑转碳了
好帅啊
我趣，意外觉得可能还挺帅的？
鸡哥真帅
怎麼聽越多次越上頭(doge
优雅 实在是太优雅了
漏出鸡脚
第一次見到歌手是靠鬼畜紅的
这段舞还可以啊
1000+
真ikun
从现在开始我只准你砍我
你看up
为什么看不了评论呜呜呜
烧
说真爱坤的比小黑子更黑。
黑久了，多少还是有点感情的
值两个硬币
好听！
好听！
好听，黑转黑了
点错了
这什么，我是纯路人
他自己的歌找不到一首比找个好听的
求bgm
鸡哥好帅我好爱
路转黑了
好厉害
卧槽，燃起来了
真的帅，姐妹们，兄弟们。
鬼畜都比原曲好听？
小鸡子露出黑脚了吧
众所周知，小黑子都是小黑子，真ikun也基本都是小黑子
我纯路人
鸡坤又咸鱼翻身了
虽然但是这个好像在哪听过（？）
黑转五彩斑斓的黑了www谢谢橘子剪得这么好（
有敌军？？？？
真ikun
小黑子
怎么能这么好听呢
快乐是不会变老的
我去，坤坤有点像女孩子。我心动了
我生气了!你们这些小黑子!
我是真IKUN
校园霸凌占为己有baby悲（空耳
分不清黑子和IKUN了啊
KKSK
