快！
1
别想了，我第一
居然不是阿三玩兰陵王
1播放29赞b站特色
刚刚
午饭午饭我要吃午饭
下午茶！那今天会双更咩
梦幻联动
《白 带》
《做个饭啊》
这么早
看到我你就不是第一了
看到这个弹幕你就不是第一个了
1播放，28评论
说反了把哈哈哈哈哈
刚刚，哈哈
厨子又做午饭
下午茶下午茶
1
娱乐既是队伍里的天花板了
厨神降世
今天真早
好早啊今天
第一是我的了
b站特色，一播放12赞
1播放237赞
14:41
不是饭点诶
刚刚
哈哈哈
还没到饭点呢！
很强(下饭强)
好早呀
铁根要给自己设惩罚是吧
？？？
芜湖
刚刚!
午后甜点？？？
刚刚!
来迟的午饭
我 来 我 来（下个饭）doge
下午茶时间到
《卡哇伊》
《我就是卡哇伊》
开饭了
开饭了！
看到我时你就不是第一了
为什么没有弹幕
？？？
没人了吧
承包空屏
下午茶时间到了
....下午茶开始了
《自我介绍》
这好久前的素材吧
语言指导:小潮院长
他甚至回了下城
《0-8-13》
这这不对吧
怎么突然就2000多了
《甜美的笑声》
我就是卡哇伊
《自我介绍》
哇这次这么早
铁根你也不行呀
死因：笑死
我糙铁哥今天怎么
法国阿三
《舅舅》
《高薪技术大厨》
掌握之中，岂可逃之
这是午饭延迟了？还是晚饭提前了？
韩信降临到我身边
这么早
午饭？还是下午茶
午饭¿
夹子
3
《高厨艺》
棺 见 团 战 承 伤
国宴
梦幻联动
“舅舅”
承包空屏
《葫 芦 娃 救 水 晶》
stm吃播笑死了
到底是凉了，还是我来早了？
我们仨指定嘎嘎乱杀
轮 番 送
搁着葫芦娃救爷爷？
葫芦娃救爷爷
承包空屏
直播素材
《我好想救不了你》
有人吗？有人吱一声。
什么夹子
下午茶
盲猜阿三
《吃播》
战绩瞩目
1-9瞩目
《主打菜》
0/8
太早了
   我   就   是   天   
《好大》
厨子偷吃
《1-9》
这竟然还赢了
国服厨师可不是跟你开玩笑（doge
《自我介绍》
下午茶时间到
真的吗，期待
1-9着急k头的屑铁根
5000+了
妈呀太香了
炒 鸡 配 合
？？？饭有毒！
战绩瞩目
这么早？
这不对吧（doge）
为啥不过墙？
5000+
这李信也菜的真实
一个一个送
国宴主厨
