看画风，看标题，识意识
一放学回来就能看到神作真是太好了！！！
好可爱！！！
是高级的色块！
加油啊
潦草？
这个嘴！我看清你是谁了！
这个睁眼看得我心肺骤停…太美了
重新定义草率
woc！空间看到的牛爷爷原来是您！
荒地之子
与AI
好可爱
与青铜斧
卧槽，好好看
抑郁老师画的好好看wwwwwwwwwwww
我去更新了
好耶！
AI对他笑了。
而荒地之子的瞳孔也收缩了。
可爱(？
太强啦！
草打错了是抑制
很可爱啊
抑制老师好强啊/
真的强烈推荐带耳机，双声道
丝滑的跟吃了德芙是的
好干净好灵动！
吹爆大大！！！！！
神仙！
失踪人口回归
老师更了啊啊
这些个场景真的好牛
难怪你消失了那么久!超好看的!
强烈推荐带耳机
强烈推荐带耳机
太强了救命
爷爷，你关注的up主更新了
姥爷您关注的抑制意识更新了
太强了！！！
之前直播画的！
我靠，xp动了
一小时！
失踪人口回归。
神作
喜欢
2
两个小时，热热还能吃
此帧有幸见证老师绘画过程
这个音色DNA动了，srav3r
啊啊啊啊啊，热乎的
太强了太强了！！！！！
有点凉了呀
强啊
我天！！大大好美！！！！！
老师你说的没错，这真的很美
百合子！！
好牛，每一张都是壁纸！！
这个转头太丝滑太美了。。。
好轻盈却又很绮丽
好神（好神
太牛了……
好强，，，
有幸了
牛爷爷
不就是硬币吗，拿去！
卡密！！！
！！！！
我已经完全爱上抑制老师了
抑制老师我的神！
kksk
好丝滑
太牛了卡密！！！
牛死了！！！
哇这几个场景看太太画过
哈哈哈上一秒空间刷到，B战就推了
神仙
哇哇哇哇哇老师好厉害
啊哈哈哈 好喜欢 果断三连
太牛了太牛了太牛了我爆哭
赶紧给我出游戏！
秒关注
是列表！
BGM可以哎
我的追番键呢!
神仙！！
火鉗劉明
好牛！！！
这构图真可以
我的追番键呢？
献上三连
鸡皮疙瘩起来了
kksk
简介这个“切忌”就很抑制意识（大雾）
追番键在哪里！！！
！！！
太太终于更了
我追番键呢？？？？？？
居然是一人制，老师太强了！！！！
神
绝了，又萌，又美，又帅!
哇！好神！
哇，大制作
这里好美
已经是游戏cg了啊
你眼睛那么大，会让某个学院“瞧不上”的
卧槽卧槽卧槽
卧槽，这技术力
我去，我去
果断关注
太牛了草！！！
好大胆的用色
爷爷你关注的up主更新了！
太美了!!这硬币我留不了啊
嘴里夹带私货了（狗头
好美
大佬！
好牛
这个画面让我想起了只狼
这一段我来回拉进度条反复观看太绝了
啊好灵动！
追番键在哪
！！哇
我的三连去哪了
卧槽
单眼3D？
feiji
怎么说，从动画专业的角度，一个画面上的动态不是越多越好，有几段头发动态过多反而看不清具体想表达什么了。
为什么只能丢俩币a！
牛啊！
好喜欢这个风格
卡密！！！！
每日亿遍！
特别奇妙的配色
请收下我的膝盖
好有诗意的画面啊
电话疯狂疯狂疯狂
这不是我的神仙列表嘛！！！！
(￣￢￣*）流口水
太太小破站委屈你了
我要这币有何用
卧槽牛逼！！
太强了！！
画风好爱，老师好厉害！！
卡密!！！！！
不出意外的话是这些元素（拼音）
啊啊啊想不出写点什么好喵？（拼音的字）
呃，说实话还有点吓到我
你发现宝藏的能力一直很可以
太牛了
好可爱好猎奇我好可爱
太好看了吧！！！！
好牛好牛！！
这个封面我直接看成生命幻象
太牛了吧！！！老师好厉害
哇哇哇哇哇哇哇哇哇哇哇哇哇哇哇哇哇
您
我问个问题，追追番建搁哪呀？
追番键！！！！
好棒
流畅
“潦草”
全国德芙失踪案必有老师的一份力（）
可爱！！！
太强了！
太强了！
卡密！！！！
厉害了
是刻板印象吗？总感觉明明是治愈系的画风但总还是能看出一点猎奇的感觉。还是说是我的问题？
我去我去我去我去我去我去我去
卧槽
好可爱
画风太好了
牛牛牛！！！
太牛壁。。。
牛爷爷，爷爷，爷爷，爷爷，爷爷，爷爷，爷爷，爷爷，爷爷
那个体态表情的微微变化。。。太牛壁。太牛壁！！！！
牛爷爷牛爷爷牛爷爷牛爷爷牛爷爷牛爷爷牛爷爷牛爷爷牛爷爷牛爷爷牛爷爷牛爷爷牛爷爷牛爷爷牛爷爷牛爷爷
！！！！我好爱！
音乐是什么啊！
老师太牛了！！！！！
我超太牛了
