真的太厉害了
逐渐离谱
帅
！
踩点了舒适
强迫症一本满足
油屋
不应该是汤屋吗
我突然进化了
舒服的踩点
这个要做好几天吧
左下角凉席
为什么还是棉袄- -发现了华点
左上角凉席碎片
二十九分钟
zh太牛了
不用好几天啊，up用了3分多钟就做好了，非常的简单doge
没动力做的话，一个月都正常
看不见的细节都做得很用心
期待开发新的技术，期待有创新
那个无脸男好可爱哈哈
这操作秒啊
忍不住了
！！！
不能说像 只能说一摸一样
我做这个可有动力了小时候用鞋盒做过大船，可惜现在没时间
卡点可还行
地表最强
好看
！！！！！！
BGM配的不对啊
魔法，这是魔法
爱了爱了
白嫖失败
还是需要很多耐心的
视频剪的越来越好了
又似乃，凉席终结者
踩点真是六
凉席还有办法，这层合板我上哪整去
我有无脸男，缺个屋子
配个千与千寻里的音乐才应景吧
天亮的名字不管在哪都有 
节奏很棒
666
可以做做古代建筑
好想有一个
不是汤屋么
细节满满
期待
太好看了吧
哈哈哈，有人走过
太棒了
千寻，油屋，汤婆婆。
太宫崎骏了
刮一层大白
看着简单的让我总误以为我也可以……
这下每天都能偷看澡堂里的人了
看标题我还以为要造监狱
如果是能拆解看内部的就更厉害了！
太强了
Bgm可以换一换
有点费凉席啊
成本：一副凉席，胶水若干
我有手，缺一副凉席？
是真滴有才
真有仪式感
不放名字被盗了都没处说理
踩点了
牛逼
配音总是很串味儿啊！up主
这手艺不去搞装修真是浪费了
要是能配上楼下的水面和火车就完美了
千寻是不是跑过去了
这没人？
这个无脸男太搞笑了。
你以为我能学会吗
千与千寻放数码暴龙的歌就离谱
666
想拥有
极度舒适
突出一个细字
好活
现在垃圾民粹横行，你发千与千寻的小屋小心被定义为日奸
您
逐渐离谱
凉席:我涨价了
凉席:我何德何能？
老摆个天黑做什么-
ohhhhhhhhhhhhhhhhhhhh太牛啦
忍不住投币了
亚古兽进化
铁树开花？
冲
上边那个塔楼有点不协调
哇塞哇塞
唯一的缺点是我学不会-_-||
他就是个卖凉席的
金色传说
建筑模型我需要
因为盗视频的太多了！
荡秋千的鬼面人
太精致了吧
千寻走过
外表能看。真给小人住就太粗糙了
油坊
666
狂魔
神tm凉席（doge）
投币，点赞
封顶大吉 这仪式感
厉害厉害
好家伙
必须投币，必须点赞
嚯，那桥还能抬起来
凉席 危
这个是凉席剪出来的？( ⚆ _ ⚆ )
澡堂儿
这是拆了几床凉席？
日式洗浴中心
灯是什么时候装的？
看看床上的凉席，我是拆还是不拆呢
好厉害
很喜欢。。。鸭
加亿点点的细节
好耶
梦想中的过家家
这是方寸山啊。
封顶大吉
握草
封顶大吉哈哈哈哈哈哈
通水电么
这必须投币！
投币了！
我想要
想拥有+1
外墙上色
凉席终结者（doge）
剪视频比做还累
红配绿dog
还费牙签
那个天亮 是人工水印呀…给盗视频的增加点难度
牛逼
舒服
怎么一股营销号的气息
66666
666666
太牛批了
现在可以投4个币？还是我太卡了？
好厉害
有一说一如果配上千与千寻的bgm更应景
666666
我只想买
离谱
卧槽！！！！！
厉害
提醒up，从bgm响起到现在已经够人盗一个dy视频了，唉
细节
我想学
棉服？？
牛
，牛逼啊
哇哇哇哇哇
这得吃了多少根冰棍啊
厉害
脑：好的，我学会了
ohhhhhhh
有电梯吗
有种把街道也做出来！，大不了我出凉席。
封顶大吉
牛逼
倭风建筑
还没火，感觉留言
火钳刘明
卡点好评
弹幕？
您
喜欢哟
手工类UP不容易，给你个三连
是魔法
666
逐渐离谱
哈哈，可爱的无脸男
首 页 通 知 书
他可以一直踩点的
你他娘的真是个天才
进度条还不到一半
千寻：害怕（标题）
牛
关注了
颜色差点
斯国一
您
舒适
NB
喜封金顶
666
水印好评
太牛了~~~~~~~~~~~~~~~
凉席拆了？
日式屋顶
哈哈哈啊哈哈
牛逼
踩点女少口阿
嚯
施魔法了
ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
好家伙
还有灯!
细节好多
妙啊
是千寻的铁粉吧
准备好你们的 卧槽
卡亿点点的点
细
up很细
卧槽好牛
进化bgm，数码宝贝，给个好评，赞有了
卧槽
哇还有灯
爱了爱了
哇好强
这就离谱了
为了盖这玩意。拆了多少凉席
赏心悦目
太强了
牛逼
大哥这凉席怎么卖啊？
这不比乐高香？
哈哈哈哈哈哈哈
太强了
毛坯房
都这么秀儿嘛
千与千寻？
好家伙
懂了这就去拆凉席
牛逼
这也踩点
222222
果然千寻
辛苦了
越是学会了，就是不知道怎么做
论《如何提升凉席身价》
神还原
量产
卧槽，还能通电
汤屋？
文字建议先打印出来描个线框再填色复刻
卧槽
封 顶 大 吉
光影不调一下吗
就离谱
无面男在这里坐着好可爱啊
卧槽，牛逼
开始使用魔法
学废了
好厉害
凉席-1
ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
牛啊
ohhhhhhh！
踩点舒适
牛批
这不是卷紫菜饭的帘子？
一个字：绝！
我币没了
牛逼666
您
牛逼
禁止让我自卑
卧槽
拆凉席吧，我妈好久没揍我了
盖亚能量炮！
好厉害
好喜欢
OMG
牛批
好强啊
剪辑之神
up是在南半球吗，怎么还穿袄
牛蛙
细节啊
热门通知书
差个千寻
红墙绿瓦
我想学！！！
好厉害!
汤屋！！
想住进去
看来币是留不住了。
已三连
他好像真的想教会我们
这bgm能不能换一换 太出戏了
哥，你提供图纸我手也不听我的啊
三连走起！
666
哇啊啊啊啊啊啊
自来也的家
逐渐牛逼
说你呢，还不投币？
太棒了
多少钱一平，哈哈
还记得第一次看《千与千寻》吓得半死
卡点真的真的很舒服真的
我可能得一顿好几个up的手才能做出来
哇
小精致还长的挺东西［doge］
油！真是太油了！
我想要
我要这手有何用？
卧槽
禁止在麻瓜面前使用魔法
很早以前就在DY上看过一次了
屋顶颜色不错
卧槽
真狠
从一开始就在卡点哇
这东西有啥用
哈哈哈防弹水印
同样的一双手，差距怎么这么大呢。。
大哥，快出手办吧
全是胶水
牛逼
无脸在荡秋千，好可爱啊
ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
进度条不简单。
太强了
千与千寻？
投币支持！
您
要手
我要这币有何用
有点费凉席
师傅好手艺
牛顿满意柱
卧槽
卡点了就离谱
首页通知
6
up是学园艺的吗
厉害，厉害
厉害了
ohhhhhhhh
技术精湛!
几小时一共
自由♂
这套房子得上几百万吧？
屋油
无脸男是车挂件啊？哈哈
两块钱一斤
离天下之大谱
牛逼
确定不违章建筑?违法改建?
这是把凉席给拆了吗？
千与千寻看好几遍都没搞清汤屋什么构造
违规建筑
卡点好评
日本的古建筑太娘，没有中国的硬朗
汤婆婆的汤屋？
千与千寻里的汤婆婆油屋
逐渐离谱
千寻琥珀川
我很多无脸男玩偶 但我没屋子 呜呜呜呜呜
千与千寻？
教练，我想学
好漂亮
好
卧槽
样式雷后人？
牛啊！我丢！
好家伙的好家伙，无面男，在荡千秋
大佬
发生了什么
币留不住了
牛逼
厉害
手艺好好啊，剪辑还很舒适耶
油屋啊
我的天
我有那个无脸男
左下角受害者出境了
突然变绿
哇
放错bgm了叭哈哈哈哈哈哈哈
三连三连
哇
澡堂子？
换
这里面钻几只蟑螂就GG
倭
巧手天才
禁止好耶
我为什看成了迷你世界？？？！
up居然在评论区中企图教我们做？
为什么放那个鬼不鬼人不人的上去啊
就離譜
禁止对麻瓜使用魔法
这就离谱
逐渐离谱
太强了！
就离谱
太强啦
!!!!!
喜欢
万丈高楼平地起
比丘兽进化，超比丘兽
油坊？
喔唷
讲究
加努努兽超级进化
哇哇哇哇哇
10万卖吗，买的话当我没说
逐渐离谱
牛牛牛牛
大佬
汤屋！！！
卧槽
离谱
卧槽！
卧槽卧槽卧槽好牛。
封顶大吉哈哈哈哈哈哈哈哈 
这是我白嫖党败的一天，币给你了
nb
这就离谱
太强了，不容易啊
令人舒适
6666666
6
卧槽
(⊙o⊙)哇
这次必定
兄弟原图做个对比。要不然我都忘记了。
简直6到不行了
为什么是数码宝贝，Brave heart
锅炉爷爷老泪纵横
有点费502啊
666666
厉害
666
日本人？？？？
这起码得三卷凉席
好家伙还有钉子
夏天过去了，凉席走好
想看内饰
牛哇牛哇
还会亮
逐渐离谱
不知道说点啥好，牛逼格拉斯
这个bgm认真的吗？
这个牛逼了！
就离谱
不想上舞蹈课
震惊
哦吼！
这才叫手办，滑稽
已三连
还穿着羽绒服0 0，。。
首页通知书
洪崖洞
剪辑也很棒
哈尔的移动城堡也做一个
我妈只因为我菜想打我
环艺生落泪
狠人
请不要对麻瓜使用魔法乌乌
哇
厉害了！！
工作量好大！
这是可以住的结构呀，不是只贴外面的
太叼了…
牛哇牛哇
太新了
日本建筑还不如说以前唐朝学我们的
I Love 屋油
皮卡丘超级进化，天使兽
日本狗
卧槽
牛逼
重庆洗浴～地道啊
这个防盗牛逼
无脸好评
自在防盗水印
好好看
华强：wc
手，不，你不会
哇
全体起立
大制作
卧槽
喜封金顶
直呼好家伙
牛掰
到底做多大的房子啊？
手，不我根本不会
细节
好油呀
全是违建
yu
来点斑驳做旧就完美了
脑：我学会了，很简单手：NTM疯了吗？老子不会
那么在哪里可以买到呢？
配色还挺还原的
已售馨！
厉害厉害
辛苦了
辛苦了
牛逼
您好！请问您的手哪买的？我也想要！
要不给你投币咱抽了吧
这个眼睛都不敢学会
什么叫手不听话？
好棒好棒！
直接三连
我要这币有何用
红配绿
违法加盖
受害者哈哈哈哈
先点赞，再投币，后收藏，冥冥之中已三连
上面的木头为啥是弯的？？？？咋做到的
太强了
内部构造一定超美，就是看不见
凉席大佬
进化了
无脸男在荡秋千？
好可爱的无脸男
这是拆了一个凉席？（doge）
我要弄这个我妈得骂死我，不吉利
凉席：wdnmd
这凉席够大的
牛蛙
牛皮跪了
我的别墅就靠你了
自家的广告时刻都得在
不但不赞，还要白干！
厉害
卡点舒适
太厉害了
逐渐变态
无脸男挂旗杆上几个意思？
这个bhm是什么？
物理水印
亿点点细节
太厉害了
