这一部分可以上打磨机的
我到底是从哪一步更不上的？
这个是梦想一心
这把武器六十原石卖我，记得帮我发到游戏邮箱里（狗头）
我看不懂，但我大受震撼
我看不到懂，但我大受震撼
「才疏学浅」
神铸赋形真君
离谱
有奶香吗？
斧子！！
覆土烧刃？
好解压
。；
？
拉花锯当场失业
这卡点还得是你
我超
神锻国国王
通用老师：钢丝锯锯金属，你分没了
话说雷神的武器长枪稻光吗
这里怎么不用斧头呢？
火钳刘明
我的手白长了
小何同学刀鞘呢
进度条感人
宁就是寒锋吧！
我猜到要干嘛了
《“手”》
铁片：眼熟吗
《魔芋巧克力》
《 口 香 糖 》
会发电的威化饼
《这个铁片是重点》
才浅：荧光使我快乐
单 手 剑 原 胚
有手就行可我没有
大哥牛壁
666手艺不错
emmm？
测试过1.5倍新大陆
瓦格纳师傅
看不懂了
半夜偷刀的举手
这么硬的木头
雷神的做刀技术是从你这学的吧？
锅巴，喷火
记住这个铁片，有大用
教练：等我学会了教给你
禁止在麻瓜面前用魔法
做个刀鞘吧
节奏大师
他可以一直卡点的
重操旧业
锯条杀手
旧业:我已经报警了！
死贵
就是不能吃 
卡点 牛
教练，我想学这个
作者你给我做一把呗。
铁片飞哪去了？
相片飞哪去了？
满满的香芋味
他在试图教会我们 
这有手就行好吧，？！我手呢！
？？我手呢？？
说奶茶的可以喝一口
无想的一拳
没有解说了吗
我们学的会吗？
牛逼
友善
线锯不香吗
谁让你在剑上附引雷的
我看不懂，但我大受震撼
放开那把香芋棒
这有啥，我上次也刷到一个人还原了五六七的魔刀千刃，哦原来还是你啊
1.25倍速就很nice
94人
字就是艺术吗？我悟了。
原来你也玩原神
嚼出我的范
《神锻国国王》
注入椰羊奶 
我听说营销号叫他小伙 
我怀疑你在做音mad，但是我没有证据
请收下我的膝盖
耳朵怀孕了
我能看懂但我依旧大受震撼
80，80，80，大哥搞定
请大家报一下现在你们观看的时候人数是多少
原神官方：你下次来我这里上班吧
一起跟火山哥哥那个老小子
这个不是逸达吗
这能纯手磨出来
禁止在麻瓜面前使用魔法
离谱区UP主
额，传说中的补土？
下次换一个吧 耳机党感觉极度不适
bgm感觉有点差劲
奶香将军（doge）
注意安全
疯狂卡点
最喜欢才浅
才浅永远的神
这把刀没有刀鞘刀鞘是她的胸
老朋友紫光檀
看懂了!学废了!!
我会将你砌进神像里
这简单，只需要亿点东西，忆点时间就能完成，首先需要上帝的手
前面说刀鞘那位，你礼貌吗？
弹幕呢
有人吗？70多个
甚至卡点了
那个是什么木头
名刀镡
铁片是刀刃，还是通电的
我不懂 但我大为震撼
没事亿点点
老婆的刀真好看。
原来是刀柄啊。
哈
回归老本行
刀镡
这是什么木头
靠，金工实习
卡点
金属板难道是导电的，刀身该不会会发光吧
咱什么时候跟上过
咱什么时候就跟上过
香芋味铁片
传统艺能
真磨鬼
《无情铁手》
斧头都废了
这木头。硬得像块石头。
视频的剪辑就很厉害了
卡点
极乐净土
用激光割或线切割它不香吗
卡点王
双厨狂喜
楼下的会不会觉得太吵了
黑樱枪预定
你放弃了吗相信他能教会我们的
辛苦了
可惜树脂会变黄
附魔附魔了！
原神官方盯上了！
浪费啊！我拿来当蚊香
香芋味口香糖
卡点好评
恭迎神段国首席锻造大师才浅
逐渐离谱
提瓦特大陆第一锻造师
小卢表示还不错。
组团偷刀（1／100）
记住这个铁片，期末要考的
记住这个铁片，期末要考的
奶香
他踩点一直可以的
暴躁老哥
BGM稳如狗
他点可
这才是真正的财险
米哈游打钱
NBNBNBNBNBNBNBNBNBNBNBNBNBNBNBNBNBNB
香芋雾切
看起来就好吃
溜的不行！
提瓦特首席制造师
紫色五花肉刀！！
刀算了，我只要鞘
连续卡点
《口香糖》
梯形大马士革木
想到了我学钳工做锤子的时候
阿兹卡班警告
欧拉！！
看起来锯的很容易，只有锯过紫光檀的人才知道有多累。。。
就凭你也想教会我
真战剑
这不是雾切，这是梦想一心
