将军的背影太美了
众神之父赐予我视野
卡在了奇怪的地方
雷神已出，前来还愿
出必还愿
小保底不歪，玩到关服！！！
雷神已出，前来还愿
雷神出双，前来还愿！！！
雷神已出，前来还愿
前来还愿！
背景借鉴了《影武者》
雷神已出，前来还愿
雷神已出，前来还愿
雷神已出，前来还愿
牛杂，断绝！
雷神一命，前来还愿
愿我雷神，薙刀出其一，出必还愿
小保底不歪，玩到关服
  雷神已出，前来还愿
许愿专武，出必还愿
歪迪卢克的，告你个好消息，我雷神池出了迪卢克，坏消息，然后第二发我出了雷神，还有一个坏消息，我总共抽了四发
同歪
可游戏角色为什么没有这招
雷神不歪 玩到关服！
出来吧，奥兹
奥兹
雷神已出
雷神今晚出，原神永不退！
雷神已出，前来还愿
还愿
雷神已出，前来还愿
寄！
传情书是吧
雷神已出前来还愿
还愿
老婆已出，前来还愿
雷神已出特来还愿
雷神已出前来还愿
50抽求求你原神
雷神已歪，前来还怨！！
雷神已出，前来还愿
我是天理
出必还愿
七七已出，前来还怨
神之眼
雷神已出，前来还愿
雷神已出，前来还愿
雷神已出，前来还愿
雷神已出，前来还愿
雷神已出，前来还愿
许愿雷神，出必还愿
雷神已出，前來還願
雷神已出，前来还愿
求今日出雷神与专武，跪地
小保底不歪，玩到关服!
女人何苦为难女人
雷神已出，前来还愿！
雷神二命专武已出，前来还愿
和风trap ꉂ(ˊᗜˋ*)
648不悔
雷神以出 前来还愿
雷神已出，前来还愿
别天神
md 我大保底第80发了还没出！！！！
阿影
已出雷神，前來還願
雷神已出，前来还愿！
雷神未出，特来抱怨
雷神已出，前来还愿
许愿雷神啊啊啊啊啊
前来还愿
Ohhhhhhhh
雷神已出，前来还愿
许愿许愿
雷神专武齐出，前来还愿
每日一遍
出必还愿
雷神已出，前来还愿
许愿雷神
未出，还怨
雷神已出，前来还愿
许愿雷神
每日一遍
雷神已出，前来还愿
刷卡，必须刷卡
雷神已出，前来还愿
雷神已出，前来还愿
雷电将军已出，前来还愿
我谢谢你
许愿雷神，出必还愿
再次还愿！
太喜欢这个村姑了呜呜呜。将军姐姐影姐姐砍我
为什么我的雷军不会飞？？？
于此浮世中，不独入寝可成梦，事事皆虚空
出了
雷神以出，前来还原
雷神已出，前来还愿！
雷神已出，前来还愿
许愿雷神，出必还原
南南东（？）
雷神已出，前来还愿
雷神已出，前来还愿
还愿还愿
许愿雷电将军，玩到关服
希望两发那能出来。
大保底给影姐姐不后悔
雷神已出，前来还愿
我歪了但我强娶了0.0
许愿雷神，出必还愿
2.1版本如果抽不到雷神就玩腾讯暗区突围
许愿三命 玩到关服！！！！
叫雷震将军是个僵尸还要说什么来着
太凶了
唯有永恒才最接近天理
雷神已出 前来还愿
雷神已出，前来还愿
雷神出，玩关服
为什么我的雷神不会这招
hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
雷神已出，前来还愿
为什么我的是小团雀
还愿
雷电将军已出，前来还愿
前来还愿
雷神，雷神我要雷神啊！抽了那么多快出来啊，来破！
歪了
BGM太帅了
煮饭婆帅啊
出了玩到关服
-648
雷神若出，玩到关服
唯有永恒才最接近天理
用我三十年单身和三十年寿命换黑神
二命前来还愿
许愿雷神不歪
雷神已出，前来还愿
雷神已出，前来还愿
歪了姥爷，前来抱怨
老婆爱了爱了
闪电五连鞭
出个和服皮肤吧
雷神已出，前来还愿
雷神小保底已出，前来还愿
trap
小保底不歪，玩到关服
卧槽绝了
许愿雷神
南南东！
雷电已出，前来还愿
许愿雷神
小保底不歪，玩到关服
无念，断绝！
BGM无敌了
莫娜已歪，前来还怨
保底不歪，玩到关服
影：免疫，喵喵喵?
我死了
荒谬
雷神已出，前来还愿！
别天神！！！
两命雷神专武一次没歪，玩到关服
阿影
前来还愿
雷神已出，前来还愿
许愿雷神，必来还愿！！！
想得美哦
是俳句！
雷神已出，前来还愿
许愿薙刀
雷神已出，前来还愿
哈兰德
雷光，臣服于我！
许愿雷神，出必还愿
好诗
姐姐好飒
许愿雷神，出必还愿
将军中配绝了
小保底不歪玩到关服!!!!
太帅了
雷神已出，前来还愿
雷神己出，前来还愿
复刻甘雨 求求
刻晴已出，前来索命（）
好帅救命姐姐杀我
雷神（三命）已出  前来还愿
雷神已出，前来还愿！
前来还愿
雷神已出，前来还愿
好帅
雷神已出，前来还愿
歪了琴，前来还怨
我是众神派来的猎人
许愿雷神，出必还愿！
雷神已出，前来还愿
雷神已出，前来还愿！
小保底不歪玩到关服
请收下我的膝盖
啊啊啊啊啊啊我是巴尔的狗！
-648
许愿雷电将军，出必还愿
出必还愿
太帅了
雷神已沉，前来还怨
让我看看你有没有神之眼
雷神已出，前来还愿
许愿雷神，出必还愿
雷神不歪，玩到关服
雷神不歪玩到关服
雷神和专武已出，前来还愿
保底不歪！！
让我试试刀吧!
雷神不玩玩那关服
许愿雷神专武，出必还愿
求让我出专武！
既见雷神，为何不拜？
许愿雷神 出必还愿！
雷神已出，前来还愿
雷神已出，前来还愿
许愿雷电将军，出必还愿
许愿雷神
下一发十连必雷神专武
许愿雷神二命，出必还愿
南南东
许愿雷神
雷神以出，前来还愿
别天神
还愿
许愿专武
献祭十年寿命出雷神
许愿专武
雷神已出，前来还原
雷神已出，前来还愿！
许愿雷神，出必还愿！
许愿专武，出必还愿
雷神已出前来还愿
出必还愿
雷神必出，出必还愿
好带感
迪卢克
雷神已出，前来还愿
许愿雷神，必出还愿!
绝了
雷神已出，特来还愿
雷神已出，前来还愿
k
雷神已出，前来还愿
帅
必出！
求求了，让我得到她！！！
愿与你追随永恒
许愿雷神出必还原
许愿
许愿雷神，出必还愿
许愿雷神，必来还愿
我是布洛特亨德尔！
雷神若出，玩到关服！
雷神不歪玩到关服！
小保底不要歪啊
雷神已出，前来还愿
若出雷神，玩到关服
雷神已出，前来还愿
卧槽
出必还愿
出必还愿
许愿雷神
今天就要出！！！！
许愿雷神啊！！！
出必还愿，玩到关服
唯有芽衣才最接近琪亚娜
保底不歪，玩到关服
歪到关服
还愿！
许愿雷神
雷神已出，前来还愿
雷神已出，前来还愿！
求中雷神，玩到关服，三连了
许愿巴尔啊啊啊啊
许愿专武，出必还愿
歪了迪卢克，前来还怨
雷神已出，前来还愿
出雷神一辈子不找对象！
许愿雷神，出必还愿
还原
一刀，两断！
已出来还愿！
好帅
小保底不歪，玩到关服
许愿小保底不歪
许愿雷电将军，出了玩到关服
第二发十连出雷神
小保底不要歪求求了
七七已出，前来抱怨
许愿专武
雷神已出前来还愿
老婆好帅！！！
雷神已出，前来还愿
1 2 + (
已出雷神，前来还原
求求你，给孩子一个雷神吧
许愿雷神，出必还愿
雷神已出，前来还愿
雷神已出 前来还愿
雷神已出，前来还愿
这不直接燃起来
小保底不歪我便永远的米哈游的狗！！！
小保底不歪我便永远的米哈游的狗！！！
这次的PV太绝了555
好帅！！！
只要雷神出了，防沉迷我也给你玩下去
陈老师厉害
最上川
雷神已出，前来还愿
许愿雷神，出必还愿
许愿
雷神已出，前来还愿
“贝贝乖”
呜呜呜小保底不要歪啊呜呜
前来还原  十连已出
老婆已出，前来还愿！
好像黑犀啊
愿小保底不歪
举报了 抽不到 hhh
雷神毕业 还愿
雷神已出  玩到关服
出必还愿
前来还愿
千鸟拔刀!!!
姐姐好飒
歪了刻晴
稻光    亦是永恒
笑死了20抽1命了
雷神已出，前来还愿
雷神已出，前来还愿
一命雷神  前来还愿
雷神已出，前来还愿
许愿不歪
许愿专武
雷神已出，前来还愿
前来还
雷神不歪发工资直接648
唯有永恒，才最接近天理
雷神已出，前来还愿
原神？这不是狐狸么？
以雷霆击碎黑暗
许愿雉草不歪
一刀100w的辅助
不歪氪
雷神已出，前来还愿
雷神已出，前来还愿
雷神已出 前來還原
雷神已出，前来还愿
雷神已出，前来还愿
谢谢 已经歪了
雷神已出，前来还愿。
求求了
小保底就是雷神！
还原
来人给将军搬个塑料板凳
歪了又出，前来还愿
雷神没出，我很生气
千鸟拔刀
雷神已出，前来还愿
我死了
雷神已出，前来还愿!
雷军好厉害！！！
我愿意换十年的寿命！雷神快来吧！
雷神已出，前来还愿！
秒啊
许愿一发入魂雷神
雷神已出，前来还愿
雷神不歪，玩到关服
雷神已出，前来还愿
雷神已出，前来还愿
嘿，老婆
雷神已出，还愿！！！
经费燃烧预警！！！！！
特来还愿
雷神已出，前来还愿
前来还愿
雷神已出，前来还原
许愿雷神
我在想为什么她没有名字
寄！
雷电将军已出，前来还愿！
已出，前来还愿
求小保底不歪！！！
我是布伦特亨德尔！
姐姐，我可以
出个雷神吧，不还愿说笑的
雷神已出，前来还愿
帅啊
雷神已出，前来还愿
雷神已出，前来还愿
雷神已出，前来还愿
我愿用子豪十年阳寿出
我已经歪了
帅
雷神必出永挺原神
雷神已出！前来还愿！
雷神已出，前来还愿
最上川
雷神已出特来还愿
异次元口袋
雷神已出，前来还愿
90发出了 来还愿！！
零命专武，前来还愿。
雷神已出，前来还愿
雷神已歪，前来还怨
许愿雷神出必还愿
小保底不歪，玩到关服
雷神已出，前来还愿
雷神已出，前来还愿
雷神已出
许愿专武
一刀，了断！
雷神已出，前来还愿
还愿
雷电将军已出，前来还愿
许愿雷电将军
已出雷神，前来还原
许愿
求个雷神
小保底真歪迪卢克了
许愿雷电将军
好帅！！！
许愿
雷电将军已出，前来还愿
雷神已出，前来还愿
双黄前来还愿
刀来
牛
-648
雷电将军已出，前来还愿！
雷神已出，前来还愿
小保底已出，还愿
孤独空旷
雷神已出，前来还愿。
最上川
雷神以出 前来还愿
雷神已出，前来还愿
"许愿雷神,出玩到停服"
小保底不歪，玩到关服
出必还原
雷神以出前来还愿
20发雷神，前来还愿
薙草之稻光已出，此来还愿
八重樱
二命专武，前来还愿​
一刀   两断！
许愿雷神
雷神已出，前来还愿
我也想要了呜呜呜呜呜呜呜
一发雷神，前来还愿
卧槽这bgm
保底不歪我当雷电将军永远的狗
雷神已出，前来还愿
我80抽啊，给了个迪卢克
许愿不歪
小保底80发出！
给个雷神吧QAQ
雷电将军已出，前来还愿
雷神已出前来还愿，跟卢姥爷一起双黄蛋
雷神已出hhh*
雷神已出，前来还愿
已出雷神前来还愿
煮饭婆!
只愿荡涤四方，护得浮世一隅
啊！原来是雷军！
帅
球球了，雷神姐姐别歪呀
我是部落特亨德尔，你们可以叫我寻血猎犬
雷神不歪玩到关服
许愿雷神
这太神了！！雷神姐姐nb
小保底不歪，玩到关服
希望保底不歪
这个镜头应该就是2.1PV说的影了，也就是将军的神格，另一个人格的存在
许愿雷神
求小保底不歪
你能看出来这是个辅助？
一发十连求求了
许愿雷神，出必还愿
一发中雷神我玩到关服
出必还愿
一发中雷神我玩到关服
必出
和听书人质量差不多了感觉
雷神不歪玩到关服
许愿雷电将军，出必还愿！！！
这是辅助。。。。
许愿雷神
许愿雷神
