想弄一副像这样一比一的铠甲
看到这条弹幕你就不是第一个了
离谱
555
帅啊！！！
魔法 是魔法 他使用了魔法
折学家
我居然来的这么早！
等弹幕多了再看
这么大的手是给自己做了一套一比一的么
终于等到你了！我等的好苦呀！
帅啊
大佬nb！
逆天
3点半的举个爪
火钳刘明
我靠，细节
杀手
完成的话是在四分57左右
把我杀了给大伙提提神
太强了
比那些大厂做的都好了
卧槽！帅炸了！！
我的天呐真细节
离大谱
那80个人发一下弹幕呗，我看一下有几个活着［doge］
火钳刘明
握草真帅啊
唉，睡不着，登b站发现更新了，过来看看
是斗篷也可以是翅膀
卧草
离离原上谱
帅
三点发视频，诶嘿我没睡
在麻瓜面前使用魔法  刑啊
？？？？
Md牛逼
那难道是诺基亚吗？
神！
火钳刘明
还有57个人
我我我
emm三点半没精神
爪爪
1
57个人？
死了
4点了，困了
我看不懂但大受震撼
up就和一根针一样
死了
晚上熬夜刚好看见了
折纸yyds
wc
不要在我面前使用魔法
以线穿针
这才是帝王的风范，一个字，帅
必上热门
我居然能来这么早晚上熬夜，刚好看着了
熬yee冠军大胜利
1
可幻术吗是什么时候
可恶是幻术吗是什么时候
记得下来看看我
太强了
火钳刘明
4点半了快
卧槽
那岂不是说，把up拐回家jiubuquw手办了
谁把up拐回家就不缺手办了
可以再去看看他的帝皇
66666666
发生甚嚒事了？
挖槽
魔法！！！！！
热乎的
帅啊
喔焯！！！！！！
绝了
直接三连
6点半的集合
这是纸?
我丢手机离谱了
一个字 帅！
6:50的集合
他似乎想教会我
(♡⌂♡)
美术本：那时候我还很年轻
请收下我的膝盖
卧槽
可动性真强
eivc
我超
太帅了
幻觉，一定幻觉
细
弹幕装填
我靠 我能抢到沙发？
失踪人口回归
熟悉的作业本
内八
up这也太细节了
从前有一个美术本
握草握草！
！！！！！！！！
见证奇迹的时刻到了
奥迪双钻好好学学
美术本：危
好了，我知道我为啥做不出来了
右上角仁叔好评
这是纸可以做出来的?
愣着干嘛？去三连了
火钳刘明
火钳刘明
CW
帅帅帅帅帅帅帅帅
牛
帅！
这很难不三连支持
本视频全程高能
前方高危，请三连后观看！！！
up给力啊
1
帅
刷新动态:？这谁啊稍加思索:哦豁，帝皇铠甲[妙啊]​
刷新动态:？这谁啊稍加思索:哦豁，帝皇铠甲[妙啊]​
脑子∶我学不会
牛壁啊
ohohohoboboh
攒了几天的硬币，就为这一刻
发生甚么事了？
帅
逐渐离谱
兄弟，你手是手吗
你?
幻术？
牛逼
火钳刘明
三连了，唯一一个只要更新就有三连的up
你
鬼斧神工
巧夺天工
你?
woc。电话可以装，还可以翻开。
先赞后看已成习惯
火钳刘明
霸气
绝了
nb
炼狱之主-修罗铠甲
他试图教会我
兄弟们，三连！
现在是八点半
阎罗王：这个宝藏up，我看看是谁还没有点关注（doge）
别人家的纸
？？？
火钳刘明
牛壁
五小时，应该不晚。
火钳刘明！
这爪子好看
等你 等了那么久~
286名好兄弟
卧槽牛逼
这时间太阴间了
nb，我除了nb啥也说不出来
不三连的粉丝对不起up
这手机真是太秀了
刀就离谱
BGM∶蓄势~GEAR~UP
真帅啊
明明都是面包…
修罗铠甲合体
都愣住了，咋发
火钳刘明
刷到这视频立马精神了
握草
325人，你们好
火钳刘明
W C
卧槽牛逼
火钳刘明
66
9:00
666
禁止在麻瓜面前使用魔法
火钳刘明
h q l m
三个脸哎
我看着怎么有点像高达？
卧槽
失踪人口
火钳刘明
离了个大谱
woc
穿越迷雾～
禁止使用魔法
太帅了！！！
美术本：我裂开了［裂开］
三连了
握草
四宫nb！
握草
火钳刘明
卧槽
卧槽
卧槽这斗篷太帅了
真的流批
up牛逼
卧槽发生了什么？
帅啊
卧槽
我是前排不
太帅了
？？？？？？
up主之前的作品，也有发做高达的，有发教程的
牛壁！！！
我买手办都没有她细
折纸大师
卧槽卧槽卧槽卧槽
那是仁叔吧
岂可修，是哪里没跟上
牛逼牛逼牛逼牛逼
923人在就发个弹幕
nbnbnbnb
后边的Amazons
nbnb
好家伙手办都没他细
9：30
可恶，不许在麻瓜面前表演魔法
高达都没这么细
o'h'h'h'h'h'h'h'h'h'h'h'h'h'h'h'h'h'h'h'h'h'h'h'h'h'h'h'h'h'h'h'h'h'h'h'h'h'h'h'h'h'h'h'h'h'h'h'h'h'
火钳刘明
完了，这下好了，以前。眼睛有可能会手不会，但是这次都不会。
后面的amazon都跪了
奇迹开始 
此时，一旁的亚马逊瑟瑟发抖。
n p
禁止在麻瓜面前使用魔法！
您
问up一个简单的地理问题：你家在哪？
906人
肝身上长了个人
三连干嘛，愣着去啊
9：38
没人吗
太早了
先交费后观看
好耶
kksk
牛逼！
修罗降世    凡人三连
修罗降世    凡人三连
这个视频可能没帝皇播放高，希望up不要失望
币居然比赞还多！
火钳刘明
