超爱斑鸠
绝了
好羡慕，呜呜呜，我跟不上
又可以听小姐姐合唱了
真不错
不是姐姐吗
好诚挚的歌词。
爷真的好爱你啊啊啊啊啊啊！
好久没听他的歌了
我来啦
路转粉了
现场更好听唉
糟糕我喜欢上他的嗓音了
哇靠，斑鸠什么时候有b站账号了！！
想起来wyy上翻译的好像是弟弟……
嗷嗷
等疫情过了，来中国开演唱会吧
好听好听好听
好听死了。
入坑曲！
神仙现场
火钳刘明
不是姐姐嘛？
循环
永远喜欢斑鸠
很好听
好好听
最爱之一
超爱这首歌！
啊啊啊好听死了
他们英语好好啊doge
现场绝了
凭本事第2次刷到自己喜欢的歌
好稳！
好喜欢他的声音，很有特色
the 
"she can have a baby,bu i habe nothing"
真好
斑鸿！！！！
I love you
好听好听好听ヾ(Ő∀Ő๑)ﾉ
斑鸠～～～love you
顶级粉丝
鸡皮疙瘩起来了
怎么今天才知道你！！！
相信大家已经呆了
感觉这首歌很适合开演唱会
入坑曲加1
这群人英语真好
贼喜欢这首歌
牛逼
斑鸠
第一次也是听到这首歌大合唱才开始关注斑鸠的！！
起鸡皮疙瘩了
第一次听一首歌听哭了
WWW他嗓音完全戳到我了
为什么你这么帅！
声线干净又有烟火气~下午的阳光的感觉
斑鸠！
人生中买的第一首歌
救命，为什么他这么厉害！！！
才发现是他的账号！
小姐姐们跟不上了
以前超级喜欢的歌！
我喜欢这首歌！！～～
头皮发麻
恭喜我发现宝藏
嘎
好听！
他的歌词好棒！
现场版更有感觉
火钳刘明
怎么怀的？
为什么我才发现这个宝藏歌曲
好好听！！
入坑曲啊啊啊啊啊
这神级现场www
他的声音比我寒假作业都干净
入坑曲了属于是
斑鸠~！！！！！！
牛逼
他们英语真好啊
牛逼
火钳刘明。
我怎么没有早点发现
火钳刘明
泪崩了
好好听啊
啊啊啊快快上热门
快给我上热门啊，冲冲冲
好温暖啊这歌
我的宝藏终于火了开心
好闲啊你去改那个干什么
是本人账号！！
恭喜我发现宝藏
恭喜我发现宝藏
好爱好爱
想学
火钳刘明
绝了！！！！！！！
鸠，我爱你
哥哥弟弟都是brother
斑鸠
垂直入坑
好怀念啊哈哈哈哈，初三听的歌，现在都大一啦
真的很好听……有段时间一直在听
现场好好听
歌词好
恭喜你发现宝藏
恭喜你发现宝藏
他们英语为什么那么棒的？
太好听了叭！！！
好喜欢这种现场
黄金矿工
我买的第一首歌
太好了
这首歌也太棒了！视频也好棒！恭喜自己发现宝藏！！！
入坑曲啊啊
这歌又火了真不错
配上合唱绝了
看过另一个版本的这个现场，感觉翻译更好一点哈哈哈
好听
这个现场也太好听了吧
好好听
果断关注了
入坑曲
以前听他的if i killed  someone for you
入坑曲！
kksk
关注了
收藏收藏
真的很好听
改编！
太好听了！！
好好听
宝藏
真好听啊
娓娓道来
代到了tsv 好想哭
好喜欢
