最早一次！
1分106賛でスペクトルから外れた
确实
啊啊啊啊我太爱鹿人了
看到我你就不是第一了
喜羊羊我永远是认可的
十分想看，但排片10分的少啊
刚刚
一听片名就很感兴趣
我靠 我9：19 一条弹幕都没有
不，一听就很感兴趣
真的很好看啊朋友们去看！！
冲冲冲！！！！！
好耶！！！
咩咩咩咩咩咩咩咩咩咩咩咩咩咩咩
好早！！！
肝帝
好快！！！
非常期待
爷青回
真的好康
童年回忆啊
鹿羊之交
好
我们认识多久了？5000多集了吧
《共 2 张》
2000人在干什么呢怎么没有一个人说话
燃燃燃！
好耶！！！！
这个排片只能说，，对吧
燃！！！
众所周知喜羊羊是一部热血漫
dei，早上和晚饭时间就两场没看到
爷的童年
喜羊羊喜羊羊喜羊羊
喜羊羊超好看！剧情超燃！！！
真实
看这片我落泪不止一次
教练，我想学这个（无端联想）
被迫早起太难受了
好！
牛
国足你，看看这动画都这么燃了……（狗头）
这才是我们需要的，而不是粉红色吹风机
我也是
黑子的篮球（doge）
当年的小朋友，现在已经长大啦。
比博燃！！！
喜灰是童年啊！
喜羊羊后面出的一直都很燃
比！博！燃！
懒羊羊NB
阿杜：你礼貌吗
不是我说 我起鸡皮疙瘩了救命！！
就你TM挡我视线是吧，奶奶滴，大过年的让不让人看电影一个大黑影，支棱的很doge
真的很绝！！！
求求了喜灰早就不是子供向了……
哈哈哈哈哈哈
喜羊羊新出的剧情都很棒(也很刀)
对对对！贼形象
5000+人正在观看。
爷的青春nb！！！！！
好耶
8000=
灌篮高手？
。？？
喜羊羊一直三观超正的
好耶！！！！！！！！！！
礼貌杜兰特：你知道我要说什么
喜洋洋已經不是那個喜羊羊了
质感属实不错
哇！
！
7000＋朋友们晚上好
童年
事业：我已经报警了（doge）
《  避  免  剧  透  》
总冠军
让我来证明你这里有人
了解了，订票去
这不比波吉燃
细节追梦格林
你微笑时很美快来学学
我们这里喜羊羊拍片都没有，我真的超级想看
AI，！！
一万人你们好
承包空屏
泪目
有AI，必看
我靠，鹿人实火
你币有了
弹幕呢？
哈哈哈哈哈哈哈哈哈哈想笑死我
勇闯无人区
嘎哈哈哈哈哈哈哈哈嘎
没人吗
1.3万+！鹿人牛b！
哈哈哈哈哈哈
鸡皮疙瘩掉一地
截屏当壁纸
霸占空屏。！
好早哦
好家伙，竟然5000多集了
好像是因为穷……
真的燃炸了
但是感觉不一定非要用喜羊羊和灰太狼的形象吧
好燃！！！
666
是灰叔关心喜儿啊呜呜呜呜呜呜
哼，我就是早上八点去看的
hhhc
超级燃！！而且分镜什么都做的很好！！超级好看！！
666
勇闯无人区
比博燃
三井：版权费结一下，谢谢（doge）
这个“5000多集了”我直接泪目
青春！热血！篮球！
我开弹幕了吧
啊啊啊啊梦幻联动！！！！！
现在一万多的朋友们一定要去看，真的真的很好看
8.40看喜羊羊破大防了
哈哈哈
燃死我了
三井那个“教练，我想打篮球”
蚌埠住了，哈哈哈哈
感兴趣
泪目了
说的可以最后几句
焯
1.3w+
《四海》：不是我
1.3万+人正在观看。
这个张力绝了
平行宇宙吗
Oh!BLock by James!
比博燃
懒羊羊打篮球了爷青结
我直接泪目
感觉不错
hiahiahia
这个好，喜羊羊仿妆没准还真能热
哈哈哈哈
村长 安西教练既视感
喜总不哭
太真实了，我迟迟不下单就是因为这个
亲子向谢谢
四海：你直接报我身份证得了
《格林公式》
千珏（
岂止会不累，我tm都嫌短！！
1.5万+
呜呜呜
卧槽，笑死我了
三连了，让更多的人看到这部影片的魅力呀
破大防的成年人在电影院兜了一口罩眼泪
