没有评论？都看直播呢哈哈哈
空降24：30
24:00战斗开始
我猜测这把之后IG夺冠的视频又有可能被推上热门了
管！
没人发弹幕吗
哈哈哈哈
管泽元闭嘴就能进
刚来 问下现在几比几了
你是第一个
aaa
发个屁
继续皇子  别怂
开不开啊，墨迹
只有6000多人看？
来了来了
脑袋疼看的
才68个币
居然没人看
不好吃
童希，童希，我的
已经2 0了
寄
为了部落
瞳汐瞳汐我的爱妻！
EDG  EDG
不好吃
可尬
打成这样
4000多人？没排面啊
可吃  好爱
edgnb
四保一露露 
3比0不加班
不好吃
淀粉不敢看直播
老年人心脏不好，只敢看重播
真正的淀粉直奔重播
空降23:29
没人看
开始吟唱
remember边记得？
为瞳夕而来
看回放
冲冲冲冲冲冲冲冲冲冲冲冲冲冲冲田小姐
空降 23：29
回来补
"刚开直播就1:0,我直接打开回放"
淀粉谁看直播啊
是不是我不看直播就能赢
edg输了，我倒立单手可乐洗头！！
那些说恭喜dk的能不能滚，lpl不需要你们这样的粉丝，msi的时候也是这么对rng的，现在结果都没出来就别tmbb​
看回放
不管战况如何，edg加油！lpl最后一只队伍冲啊！
最有含金量的一届s赛
预测一波EDG3:2带走Gen.G然后3:2险胜DWG
骑士归来！
同为一号种子，我们为什么不可以！
骑士归来
骑士归来
赢了赢了
恭喜EDG
恭喜EDG
恭喜进入决赛
恭喜edg  总决赛别拉胯
EDG牛逼
恭喜edg！
不破不立！！！
恭喜EDG
赢了
恭喜EDG挺进总决赛！
恭喜edg
edgnb！
恭喜edg!
恭喜EDG
恭喜EDG挺进决赛
恭喜edg进入决赛
赢了
气势如虹了
赢了
恭喜EDG
恭喜EDG
芙兰朵这个逼第一次打世界赛就进决赛啊？
剑来
恭喜EDG
恭喜EDG
恭喜EDG
77777
恭喜EDG
恭喜EDG挺进总决赛！
恭喜EDG
恭喜edg进入决赛
恭喜EDG
恭喜EDG挺进总决赛！
我们是亚军！
骑士归来
恭喜EDG！
芙兰朵这个逼第一次打世界赛就进决赛啊？
骑士归来
EDG！
edg nb
恭喜edg
牛逼！
今年我们不是反派，我们是主角！
起飞
EDG给爷杀！！
恭喜edg
恭喜EDG！
恭喜EDG挺进总决赛！
恭喜EDG
希望你们说的赢了做什么的，兑现你们的诺言
恭喜edg！
踏破高墙，粉碎质疑，银龙骑士，不破不立！
恭喜EDG
恭喜芙兰朵这个逼  第一次打世界赛就进了决赛
EDG牛壁！！！！
EDG夺冠表白找对象
恭喜EDG
EDG!!!
恭喜EDG
牛壁
恭喜edg
恭喜edg
恭喜EDG
赢了^O^!!!!!
赢啦！！！！决赛啦！！！
恭喜edg
恭喜edg进入决赛
谁说edg只能打内战
恭喜EDG
恭喜EDG
恭喜EDG挺进总决赛！
噢噢噢噢噢噢噢噢噢噢噢噢噢噢噢噢哦哦哦
EDG牛逼，决赛加油，看哭了
恭喜EDG！！！
恭喜EDG!
骑士归来！
骑士归来！
恭喜EDG
牛逼
再来一遍
edg牛逼
恭喜EDG！
牛逼，进决赛了
EDG牛逼！！！
恭喜
那些喷EDG进不了决赛的呢？
EDG牛逼！！！
