怎么没有弹幕呀？
1
弹幕呢？？？
觉爷睡？
以为爷睡了嘛
弹幕呢
李哥说了明年加油，大家放心，应该还有一年
你管这个叫瘸子？
还是倔强的觉得自己不够c，可是他可能不知道他已经做的够好了
鼻子红了，还有吸鼻子了，这是忍住了泪
edg打DK，这妖姬真的不能放
mhy背大锅，没出新东西
没有那些猪队友dk根本打不过
决战杀汉子哥
真的經典了，讓這上單看看
他没地方t啊！只有那个眼能下来
亨利了是吧
下山的第五年，遇上最强的新王
虽然确立挺励志的感觉，但是谢谢你管泽元
莫名不想看这种选手夺冠
大家都这么叫烬的，怎么到你这就不可以了
369:别杀了别杀了
不困了！
麻了
烬是瘸子是梗
千场白银
觉爷睡？
芜湖！
三点还有九千人？
但凡上单换一个… 唉
撸啊撸选手中的唯一真神
突然悟了是吧
经典白银怪队友
严查鼠男
你是觉得哥睡了是吗
明明就是上单犯罪
蚌埠住了
现在的dk上下路都多少带点大病，和巅峰IG FPX SSG SKT都没法比，edg还是有胜点的就是不知道他们能不能把握住
李哥不是你的错
凤杂电竞
神tm给Faker打到 打野不算人是吧
经典不留遗憾
老鼠上单出来挨打
没人呀？
围绕我打
？
不，许秀永远成为不了，也超越不了
三顾男爵
明白了，决赛大乌龟下路是突破口
理论上是有负众望的拿了比赛
去年把焕疯打烂了
可惜
这杰斯跳舞动作太搞了
不睡觉是吧
李哥妖姬成名英雄为什么不玩啊
不愧是戴维，一个位置玩那么多建议鬼皇玩上单炼金
请你明年再来啊。。。
joe joe！
典中典
今天总得抽个满命托马吧
你是觉得哥不用睡觉吗
"开始围绕,许顺秀"
瘸子已经算是个梗了啊
明明是死抓。。
答应我，别退，再打一年吧
#mhy状态
武动乾坤里的那谁？
《养蛊是吧》
你们都不睡？
宁也配?首先Faker没有你这么狂
哈哈哈整个动画
不许许秀秀！！
前期爆抓，谁来也不行
上单真的太拉
胡桃复刻还是老一套，原神哥早满命了，李哥没赢，米忽悠这波大锅
ghost 危！
情商拉满了
呆呆呆呆戴维！
荣光渐远还行
烬就是瘸子
但凡上单做个人都不至于……唉
觉也睡
斗之气，三段！
确实没有不敬，因为你成为不了faker，还差的远呢
还差了点
懂了吗，白银仔赶紧去玩辅助上分
已经6年了
米哈游背大锅
网二小韩服石锤了
李哥不玩妖鸡的，放了也不拿的
呜呜呜，大校开始发功了，稳了
T1的上单但凡做个人，都不至于输
请留意！他去用了“再”这个字
DK给爷杀
右边这edg这上单？经典大树
怎么能提升这么快
以前看dopa打青铜局也要用全力的，而打大师王者上分像喝水。
确实dk的射手不需要多能c，能稳就行
我就是天！
打野真的该换
上单电耗子臭的不行
《围绕我打》
LCK?世界赛!
啊西~
这是一保四
不，你不配，差得很远呢
skt历届最菜上单
龙坑附近除了那个眼哪里还能T？
第四局skt死保上路 李哥中路被抓哭了都没人来蹲他
类目
我也是运气不好
canna wdnmd！
这波男刀不往上走有点奇怪
李哥都股东了买个好用的上野吧
知不道SKT王朝的时候，faker的统治力，年年换队友，他年年C，绝望的年代。
IC
这局Faker几个死亡闪挺可惜的
懂了 我白银是因为没选对位置
你以为哥会睡觉？
老子就管烬叫瘸子了，爱承认不承认，瘸子瘸子
主要李哥瑞兹闪交的有点臭，链子都没拉断
我觉得这个时候的李哥，心理成长得比任何选手都厉害，坦然接受失败并不容易
觉爷睡
李哥那把瑞兹，明知道别人要放先锋，中路那两波就是再送
睡觉？那是不可能的
米哈游长草期，牵制不住了
觉爷睡？
准确来说是像职业末期的金贡
来了
上路兵线长，一级好打出人头
卢仙还得看销户和到贤
输麻了
刚准备睡觉，你这我可不困了
刚冲完
369:？？？
Rise也是瑞兹他今年闪现躲皇子大 但是没躲过许秀的链子。
捏吗的米哈游发挥点作用啊
369
朴
他最后一把还不坑吗？
赶紧给原神哥发10把护摩，满命胡桃托马
dk夺冠米哈游全责！更新太慢了！全是复刻池！
来点作用啊 米哈游
米哈游来点作用啊！
canna就是那个亮老鼠的B
2.13 1.6w不睡觉，你们在干什么
花有重开日，人无再少年
都怪米哈游
许秀怕是一辈子也比不了Faker 没有他的辉煌也没有他的传奇
t1那波大龙就离谱
米哈游背大锅
换个上单真能赢
黯然吗？并没有，五局爆了三局对面，不是上单就是3-1进决赛，你跟我说，这算黯然吗？
你说谁能有神巅峰实力？
这canna是真的不当人
DK打野知道帮谁能赢
贼眉鼠眼
冲
pa
不睡觉了
faker招牌的灵性走位和终极切屏其实这么多年一直都没变过 今年李哥依旧是世界赛上表现最好的中单之一
问了
李哥还会再打吗
李哥永远是李哥
米哈游的问题，这期要是up新角色。。。
狗贼，天天凌晨更新
确实
已经更新了
你被强化了
米哈游啊，你来点作用啊
物资配碰瓷许秀吗
还n
意思扣马是韩国泰伦卢，把球交给最大牌的打就是底牌了……
你是觉得哥会睡吗
没睡
为什么不给李哥选能c的
泪目
扣马的锦囊：抓中
你觉得哥睡了?
三周上一次原神，原神一个卡池20天
实力说话 赢了就有资格嘲讽，你们闲操心什么
熬夜党的胜利
你是觉得哥睡了吗
卧槽 还真没注意 dk和edg中单都是第四盘超神了
就说就说就说瘸子瘸子瘸子
瞧不起谁呢
那波沙皇开不到就开不到，有这个凯南顶级发挥，
上单纯演员
sorrymaker
夺舍了属于是
不许许秀秀 只许秀许秀
这波确实没必要，妖姬qwer全没直接正面r一个集火秒了出被动更好打
赤兔马辕门射戟都过去了 接下来就该白门楼了
说多少遍烬都是瘸子
又是不留遗憾是吧
T1跟rng对调就真的韩国内战了
dk教练不是扣马吗
队友太拉啦
开始围绕
只许秀许秀，不许许秀秀
隔壁第四把12-0李佐伊，都玩历史吗。。
网通区一级团
李哥真的 这才是电竞的神
家妻说啥就是啥，各位海量
然而欧服是上路大乱斗
这觉不睡也罢
因为现在原神没新角色啊
严查上单鼠男，帮了不c，不帮必炸
是荣光，我加了荣光。
胡桃池托马最大
最后两把不是大锅？
你还差得远
第四把李哥在中路都被抓麻了
不是瘸子，是掰子（doge）
许秀是我们这里绝对的核心（指正）
许秀真的好可爱
确实被打崩了 中了多少个e 交个闪不丢人
管吹 
他就是瘸子
就这？
低情商：纯混子
第一次输不太习惯，多几次就好了
烬不是瘸子我在说一次
我就是我，我就是秀儿
哥，刚下班还没睡
严查鼠男
我觉得可汗作用比canna大
都五年了呀
哥，刚下班
爷不睡
西八哥
泪目
希望明年还有李哥
smk真有faker那感觉了
输了他没锅？
是觉得爷睡了是吧
戴维！
白银多好 练打架
严查闪电松鼠!
上夜班摸鱼的我
Faker状态？Faker夏季赛犯病成那样，反而这次BO5拉满，他夏季赛拉的时候不喷在他打得这么高光的时候喷？什么云观众
第五把阵容拿捏死了
真不觉得许秀有巅峰faker那种实力
原来你也玩原神
米哈游想想办法
还考据呢  说烬瘸子谁不知道是玩梗？  就你知道背景故事是吧
米哈游给点作用啊
开始围绕
朴泽元
不止是白银还是个千场白银
扣马真的很厉害，BP太好了
可惜当年那个中单现在在对面
卢锡安上单还得和我们lpl上单学学doge
爷没睡
相求这里的bgm
EDG难赢DK
李哥状态那个是认真的么
faker 这一幕我熟
确实有点内味儿
拉倒吧，科比乔丹季后赛都没碰过
中路是爹
科宝诶
深夜电竞
建议报名dys轮椅杯
抓中
kennys
我和朋友说skt第五把这阵容能输? 害我喝了两瓶
回到S7不行？
圣经了属于是
先赞后看
蹲到了蹲到了
决赛就怕打野被爆
2.1W
烬的枪杆太大了，拖腿，不是瘸子，不是瘸子
可惜上单不当人
功利奶不可取
鬼皇真算了，真的是dk的拖油瓶。
MD怎么那么欠呢
21伯人正在观看？？
把牛宝买了吧
李哥可惜了可能真的是最后机会
我白银你问我？
加油加油
当时看李哥口型好像说了句：西
这里是被辛德拉推回去了不是撞墙
黑莓
李哥确实孤身一人了
你放屁
不爽在他不是中国人
最后一把就中路在犯罪 奔跑空R 传送被秒
为什么叫砍了？不是可汗吗？有什么梗吗？
我不知道，我是下单，他们和我说，上路的事少打听
咳血男刀 狂战士信条
李哥总是把责任全揽到自己身上
我就不一样了1000对吧就铂金了现在有3000卡铂金上不去
哈哈哈哈网通上路一级团
本来就不是，他看起来走路有问题，实际上是枪顶着腿，导致走路一拐一拐的
卢仙哈哈哈
奥乔的主题曲！
T1上单真的犯罪
要说多少遍
这么像小丑梦啊？
八重神子还能不能出来啊？
？？？？？？？？？？？？？？？？
韩语里没有并非不敬啊。
？
你以为哥会睡觉吗
ghost决赛必C（管一指）
我就是我我就是秀
输的时候，说什么都像是在找借口——SKT.Faker
胡桃复刻了，EDG稳了
讲道理赢的局和输的局和他都脱不了干系…
oner还好，上单真的不行
二伯二十伯人！
真别，最讨厌的就是你
说上单的，知道是谁带t1进的季后赛进的世界赛吗？
太压萨希了
你知道为什么吗
才出来就是个瘸子
fakeryyds
偿还
热乎的
拉倒吧全队最菜的
bgm：the theme of Oicho
听声音是不是感冒了呀？
发功了
你怎么不开大啊
最后一把看见炸弹人 玩洛的话bp已经赢了
真有你的
然后被EDG干碎了
圣经
换个上单什么都有了
队友问题，李哥依旧是顶级中单
不妙，原神复刻胡桃护摩，beryl早就满命满精了，mhy坏！
好气好想锤他但是找不到理由
谢谢你管泽元
觉爷睡？
我在练气期待了三千年吊打大罗金仙
上单
看完就睡
faker失误也挺多的，让人唏嘘不已
别在这玩饭圈那套恶心人行不?
1.47分，2.2W人，离谱
icon出来挨打
Faker！ 李哥。明年再来
mhy来点作用呀
你是觉得哥会睡觉吗
死瘸子
还没睡哈哈哈哈
看过比赛的都知道就是老鼠上单的锅
都没看比赛是吧 faker失误还不多呢 嗯吹属实没必要
李哥最后一波tp的位置确实犯罪了
米忽悠全责
泪目
16
哈哈哈确实，我们网通无限火力上路一级团
就是瘸子就是瘸子就是瘸子
我白银我最猛，s10我上我能夺冠
米哈游
李哥在我这永远都是神
瘸子瘸子瘸子瘸子瘸子瘸子瘸子瘸子瘸子瘸子瘸子瘸子
今天天王老子来了他也是瘸子
觉爷睡？
泪目了。李哥又揽锅
你以为哥睡着了是吗
神
神
狂！
神
这不是赤兔马我不能接受
没记错的话第四把李哥是被抓坐牢了
icon真的菜
2w在看 兄弟们不睡觉吗
所有中单都在追赶他
筑基修炼两万年  狗都飞升了 他却依旧筑基
原来是新鲜的啊
狂
某种意义上结局是相同的
看不起谁呢
荣光哥对战荣光本光
三年之期已到，鬼皇归位
EDG稳了哈哈
杀了上单吧
因为他只是一只耗子，没电正常
"好,下一个趟椅子上的飞科就是你了  哈哈"
李哥永远的神，期待你明年重新回来
很喜欢赛前狂的人，毕竟万一输了也会有洗的
瑞思拜
，
经典
戴戴戴戴戴维～
他为啥这样说啊，把责任都揽到自己身上，这样不好，其他人也要担起来责任，有压力才有动力
原神长草啊!
詹吮妃是吧
明年就是FAKER的第10个赛季了，人生能有几个十年又有几个选手能打十年
t1上单打到最后发现自己玩的不是图奇而是凯南
戴维
你是觉得我睡了吗
第一  对不起
？
李相赫，永远的神
高情商:保底    低情商:混子
烬不是瘸子！
1.8
好家伙
真的心疼李哥
宁配吗
看完睡觉
还没睡呢
这把skt侧重点在边路，faker几乎一直被三个人越塔，整体经济并不落后，但上单杰斯难堪大用c不起来
1.6W了
就不该跑
鼠男背大锅
大龙那波太可惜了
老鼠上单不是愣啊
抓中
抓中
这男刀是真亮眼
抓中
戴戴戴戴戴维！
米哈游背大锅！
阿水是我们这里绝对的核心
去年要不是海鞭，有他什么事
两场都是1比2然后连追两局
这AD凉了，大校说的，耶稣都救不了！
给力
这波确实是李哥坑了
个人的原因，那个不是人的呢？
xdm三分钟女主持懂
神也会老
啊西
凯哥
又是不留遗憾
凌晨1:39，1.4w+人？在看？
韩国战狼
原神玩家表示层岩巨渊还早起码两个月
。。。
神奇的点
哈哈哈哈哈
就是!层岩巨渊快点上!
你瞅啥
我只是个拿锤子的约德尔人
把canna掐死吧
觉爷睡？
泪目
faker和bengi啊
FAKER永远的神，希望明年还能看到你
李哥不要自责！
1.3万银
edg虐你
《离谱盘点》更新
熬夜电竞
ghost就算了吧
不是因为你的原因！！！是上单打野太拉了！！！
西八儿，我的贡子哥
类目
盲猜一手3:1
我个人
Theshy来全杀了
觉得爷睡了?
好熟悉的一句话
这教练是dk的，不应该P成skt？
我的Faker啊
没有人永远18岁，但永远有人18岁
李哥回去严查上单！
唉
飞科敢这么说，他能抗，但队友扛不住
真以为爷睡了
米忽悠背大锅
好看好看
原来你也
已经没有以前的激情了
otto！！！
严查！
李哥这句给我整破防了，李哥真的是最值得尊敬的选手
李哥成长了
冠军赛
这波米哈游全锅
心疼
确实 李哥不咋亮牌子
这么早发 
李哥真的是神，哪怕是挫折也是一个人扛下
泪目
一点半一万+，我们都是夜猫子
史森源绝对看不到
泪目
管泽元发功，EDG下路点菜
穿越重生了属于是
晋江男一号了
你是以为哥这个点睡了吗
以为哥睡了是吧
还要我说多少遍
啊啊啊啊啊啊啊
李哥 唯一真神
扣马！神的训练师
许秀就是长大太挫了
耗子哥！因为玩凯南没有电
像禅师对乔丹和科比
顿悟了属实是
MEGALO BOX！！！！
可惜了，真的就差一点
应该明年msi开
因为原神现在太无聊了
大伙都是打野fmvp 你保质期咋这么长呢
不是T1上单有病 李哥这一年很大程度上圆梦
爷！不！睡！
b站有房
我刀呢canna
我真的在拉扯了
觉哥睡？
第一次这么早
hhh荣光渐远
