好听！！！
月光少年贺峻霖
时代少年团永远在一起
贺峻霖太太太棒了
马嘉祺
严浩翔帅炸了
为什么没有成功别人就要否定他的努力？
严浩翔好酷啊我的天
翔哥迷死人了
贺儿号精致啊
贺儿唱歌好好听
严浩翔帅气
宋亚轩声压太绝了我天 
这时长我好爱
《在十八楼你永远看不出现在是什么季节》
好听好听棒棒哒
宋亚轩—
我们排到了第三！！
宋亚轩
宋亚轩
我看到了两个张真源？！
大爱严浩翔
严浩翔帅惨了
严浩翔 哥哥鲨疯了
浩翔
严浩翔
严浩翔
严浩翔 严浩翔 严浩翔
打卡
宋亚轩
时代少年团无限可能
小宋老師聲音真的好特別 超吸引人的
严浩翔rap的神！
好好听九敏啊啊啊啊
轩哥轩哥轩哥轩哥轩哥
真的好激动
严浩翔严浩翔严浩翔严浩翔
时代少年团
两个宝贝都棒棒哒！
听哭了
都好棒
飞飞严谨
妈耶，都好好听
严浩翔斑马纹
贺哥
马嘉祺马嘉祺马嘉祺马嘉祺
严浩翔烟嗓绝了
时代少年团
这个声音……
严王好拽我好爱
帅锅。
严浩翔声音好苏
严浩翔唱歌好好听！以后多唱
调皮严浩翔
翔哥明年高考要加油哦
加油 tnt一直都要在一起
刘耀文好可爱
宋亚轩超绝
路要朝前走，人往未来看
严浩翔
丁儿加油
浩翔冷白皮！慕了慕了
贺儿好拽我好爱
严浩翔这声诶我没了
好喜欢严浩翔的声音
好会唱啊贺峻霖！
宋亚轩
2022高考加油
HX！！！！！
他来咯，严王绝杀！！！！
严浩翔要来咯
HX！！！！！
严浩翔太男友了
好香的声音我很喜欢
严浩翔太绝了
严浩翔私服好绝
严浩翔好贴心啊
霖霖好棒ヾ ^_^♪
不知不觉都快一年了啊
小宋开口跪说累了
浩翔牛壁
霖霖 好嫩好好看
有被飞飞子严谨到哈哈哈哈哈哈哈哈哈
两个小朋友都好棒！
贺峻霖是全世界最棒的小贺哥哥了
两个小朋友都好棒！
有着变形计的既视感
所以三公你到现在都没发完
宋亚轩宋亚轩宋亚轩宋亚轩宋亚轩宋亚轩宋亚轩贺峻霖贺峻霖贺峻霖贺峻霖贺峻霖
宋亚轩
宋亚轩好帅好绝ヾ ^_^♪
贺峻霖十项全能
我可以
亚轩好帅
张真源好帅
卷土重来未可知
啊啊啊啊啊啊
轩轩好有氛围感一男的
所以飞总你什么时候发三公
弹幕是不是清过啦，怎么感觉变少了？
两小孩也太棒了趴
严浩翔
贺峻霖贺峻霖贺峻霖贺峻霖贺峻霖贺峻霖贺峻霖贺峻霖贺峻霖贺峻霖贺峻霖贺峻霖贺峻霖贺峻霖贺峻霖贺峻霖贺峻霖贺峻霖贺峻霖贺峻霖贺峻霖贺峻霖贺峻霖贺峻霖贺峻霖贺峻霖贺峻霖贺峻霖贺峻霖贺峻霖贺峻霖
贺峻霖
贺峻霖
时代少年团未来可期
太可爱啦 浩翔喝牛奶长高高 哈哈哈
奶团子严浩翔
轩哥帅炸我了！
七个小朋友会一直一直在一起
啊啊啊啊啊
卷毛小宋真乖
严浩翔好好看
两个宝贝都好棒 
轩轩太帅啦 
宋亚轩好棒
宋亚轩好棒！
宋亚轩还得是你
宋亚轩好棒
宋亚轩你是最棒的
来看我的宝贝祺
马嘉祺一起去未来
马嘉祺好帅！
心软软小祺
阿祺笑得太甜了
宋亚轩好棒
宋亚轩好棒
宋亚轩的声音太有质感了
宋亚轩
轩轩好听！！！
宋亚轩宋亚轩宋亚轩宋亚轩
宋亚轩宋亚轩宋亚轩宋亚轩宋亚轩宋亚轩宋亚轩宋亚轩
宋亚轩好棒
宋亚轩唱歌很好听
宋亚轩素颜好绝啊
宋亚轩声音绝了
宋亚轩好棒
开口跪
唱歌轩上线了
好喜欢听亚轩唱歌
宋亚轩会一直是宋亚轩
宋亚轩好棒
宋亚轩宋亚轩宋亚轩
期待小宋老师的新舞台
宋亚轩的直拍就是拯救平凡社畜的灵丹妙药
我妈不下去了 我爱宋亚轩
轩轩嘛嘛嘛一直在！！！
宋亚轩会一直是宋亚轩
宋亚轩
听到宋亚轩唱歌我了无遗憾
宋亚轩的脸多多少少有点影响我听歌了
宋亚轩的声音好有磁性啊啊啊啊啊
宋亚轩你真的好棒
我宣布宋亚轩从今天起是我老公了
亚轩辛苦啦～
品质男歌手宋亚轩！
宋亚轩就是夜空中最亮的星
一天练就的戏腔
宋亚轩
宋亚轩这是牛奶皮肤吧
冷风吹 我丢太爱宋亚轩的冷风吹了
宋亚轩好棒啊！
轩哥唱的太好听了！
宋亚轩
宋亚轩宋亚轩宋亚轩
宋亚轩开口跪
好好听呀
宋亚轩
宋亚轩宋亚轩
宋宋 亚亚 轩轩
亚轩宋亚轩宋亚轩宋亚轩亚轩
宋亚轩
宋亚轩好棒
宋亚轩开口跪
宋亚轩
宋亚轩
亚轩唱得像在细细讲述一个故事
这段钢琴真的很好
宋亚轩
轩哥真棒
马嘉祺，一起去未来
宋亚轩绝对领域
注意 宋亚轩拔麦了
宋亚轩好想你
宋亚轩共情能力真的好珍贵
来看轩轩
宋亚轩
轩轩厉害
我去麦都不用。。。。。
宋亚轩真的太帅了
宋亚轩全面掌控舞台，看舞台大魔王秀全场
不愧是我们的主唱大人宋亚轩
星光闪耀斩一切，舞台魔王宋亚轩
破话筒
宋亚轩的发声位置真的很专业
有是想看轩哥舞台的一天
宋亚轩
宋亚轩宋亚轩宋亚轩宋亚轩宋亚轩宋亚轩
共情能者宋亚轩 深情款款震舞台
不愧是专业主唱
宋亚轩一直努力吧
开口跪
宋亚轩真帅
轩轩你好活跃哈哈哈哈哈哈哈
专业主唱真的不是说说而已
啊啊啊轩哥看我!!!! 
好好听宋亚轩
宋亚轩修话筒
宋亚轩宋亚轩好帅
