这卡得绝了
太好哭了
b战买这个真的是绝了
她指的这个士兵说王子坏话
原来如此啊
卧槽！好牛逼啊
王后會手語阿...
吉连
哭了
由刚开始的需要翻译  到现在的自己回手语
healing治疗治愈
后妈学了手语
哲理真想感动到不行
wc，这才是你亲生的吧
震惊观众一辈子
这已经算的上亲妈了吧
魔力耗尽，会有猝死风险的
反转再反转系列
这个国家阴谋太大
我有相当理由怀疑这是自己生的娃
比对亲儿子还亲
王妃一直就会手语
最有爱的一集
看得好感动
这个侧脸有股开司味
西琳（doge）
可能是因为这么小继承王位太危险了
日本球队本来就很强
大师傅的手语是王妃教的
感情是个死傲娇。
挺温柔的人啊
王妃后来学会的
？？
一开始有点讨厌，看完最新一集后我就爱了
看的时候不停流泪
阿瓦达索命
只是笨拙而已
漫画里后妈专门为了王子去请教宫女学的手语
啊，美雪姐姐？
这首bgm是什么
awwwwwwwwww
她为了这个儿子奋不顾身的跳了下来
Bgm是Oz.
那他弟弟不是更小
无论是不是亲生的，这就是母爱啊
挺好的一个人
本来不会，后来因为王子而专门学习了吗？
这里真的泪目了
一开始不会 有佣人在边上翻译
王妃刚来时不会手语
当时只是因为有臣子在旁边不需要皇后自己打手语，这是礼节
刚开始还是身边人帮忙翻译，应该是为了不借助其他人交流，专门学习的
欲戴其冠 必承其重 
国足之光的你戳中我笑点了
到这里奋不顾身我就彻底泪目了
为他学了手语
希林超级好！
鼻子越来越长
王妃把波奇当亲儿子，漫画后边有说到
泪目呜呜呜呜
有些亲妈都比不过她呢
泪目
这手语已经快得跟结印一样了
泪目了
小孩当国王的后果是什么？一杯毒酒？
哪个恶毒后妈会学习手语呢！
好可爱
她是在担心他
担心
呜呜呜呜
奋不顾身
好可爱呀
三脖两头蛇
她为此还学会了手语
这真的是后妈嘛？
皇帝年龄太小，容易宦亲执政
记得那句话“兄弟之间还打架，真蠢”
我直接泪目了 这是真妈妈
讲真十月最好新番
刀子嘴豆腐心
这里哭不是疼，而是蛇死了，如果是就太善良了。
后妈还不懂怎么教育他，但一直都关心着
破防了家人们
泪目了QAQ
问bgm的肯定不看片尾
wauuuuuuuu
不翻译出来其实是为了不伤他的心
为母则刚啊。。。
为母则刚
其实戴达年龄更小。。。
为何两个巨人会生这么个小布丁？被诅咒了？
放心，血亲之外，没有无缘无故的给与，所以现实中基本找不到这类人
必须是十月霸权！
为母则刚
王妃一开始也没有孩子的啊，但是她愿意去了解这个孩子的内心
女超人！
玛德甜死我了
草我寻思这不是立本
泪目了家人们
王妃刚来的时候就在学习手语
这一段好漂亮，希林
一边说话一边对着做手语有点可爱啊
