弹幕怎么重置了？
弹幕呢？
感谢苹果  让因特尔牙膏挤爆
越来越精....
没有弹幕啊
刀法精湛
20年后我去捡5带内存的垃圾
开始谜语
只要核显打过按摩店我就秒
没用
哦！！！！天哪！
英特尔：就是骗傻子
飘老师，别这样
cpu点位图 维修cpu用的
全人类感谢成就
摩尔定律依靠改名维持
命名鬼才英特尔
666
AMD：英特尔走后门
大小核说白了就是日常用残废核游戏用满血核
数字游戏，，，还是得看实际晶体管面积比
zen4出来再比 这代比上代美意思
我觉得也是，50小核
计组狂喜
评测节目最怕媲美两个字
那我岂不是能用到低价锐龙了
‘’
全做小核
碰瓷7
我还在用9700k
14nm++++++++++++++++
药膏厂出新品了
妙啊
弹幕护体
台式机要什么低功耗小核，直接上小钢炮
雀氏，很抢
PCIE345，牙膏挤爆了
本来打算2023年才拿出来的 被羞辱恼了
m1max 500多亿晶体管成本高到爆炸
台积电n7p=三星7lpp 但是三星5nm就注水了
amd还是x570
那为什么不全用小核呢
华为不让用，心里不爽华为不让用，心里不爽华为不让用，心里不爽
华为不让用，心里不爽
相比苹果还是有性价比
苹果m1 5nm路过
10nm+++++++++++++++++++++++++
重新再买
没用
Apple YES
只看标题就猜到是你
摩尔定律就靠改名了
方向对了
其实就是做不出来全部大核
垃圾，我看好苹果M系列芯片
14nm++++++++++
OHHHHHHHHHHHHHHHHHHH 爷青结！！！
总结：67
10nm+++++++++++++
鬼知道我看了这里多少遍
“这不是欺负老实人嘛！”
没啥用  还不如4
？？。
amd yes！！！！！！！！！！！！！！！
全做小核推土机
11代原来换了。。。
7=10！！！！！！！！！
M1 Pro/Max:不逼你你还能再挤十年
实际上英特尔的14nm差不多相当于7nm
老头环
前面说没实力的怎么想的？国内都做不出来，你评价别人没实力？
牛皮
m1
赵高：“指鹿为马么，这个我熟！”
高情商。总的来说就是不省电，还没性能
鬼才
弹幕笑死我
amd yes
珍惜生命，远离AMD
感谢苹果
苹果M系列芯片倒逼英特尔用掉一管牙膏
牙膏工艺
功耗高  主板贵
amd yes
7＝10
pcie 4.0带宽 都跑不满搞个 pcie 5.0 意义何在？
那问题来了，5000系列的U为啥能这么强呢？
可以上mesh，就是得加钱，因为要兼容ring的低相邻核延时
给你上mesh价格再贵一千
内卷X 取名造假√
没用
这不还是牙膏？
苏妈阳光普照
5800X 2399啦！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
感谢厨子
giao
5800x ¥ 2399
5800x ¥2
这让我想到了思聪刚组的11代CPU和ddr4内存是不是就落伍了
来了
所以我愿称之为10nm+++
我直接6工艺
看到m1尾灯了吗
修复了AMD性能太好的BUG
先抑后扬
那直接搞20小核心不久行了？
一条DDR5 顶AMD 5600X板U套了。
a55并不节能，只不过功耗下限低，但功耗低到不能维持日常使用
看来我的5800X买对了
这个PPT做得好啊，印度人做的吧。
主不在乎！
功耗产品遥遥领先。
封号瑶瑶领先。
我看别人的，ddr5有时候性能反而不如ddr4，，，，延迟太高
这是要挑战现场狩猎者李云龙吗？
全给你了下一代怎么挤？
原因是都放大和了，功耗太高。
777
？
新鲜出炉
弹幕4
+++++++
哈哈
没人？
哈哈哈
人呢
给我来个40小核呗
哈哈 房价太贵了
两家都喜欢跟19%对上了是吧
apple yes
2k人就11个弹幕？
好家伙 那全做小核性能不是更强（doge）
弹幕呢？
师傅别念了
我能不能只买小核心的u，便宜我点（
没有弹幕
哈哈哈
省沙子
媲美
罗老师别这样
浪费沙子就有点过分了
？？？
开喷？
卧薪尝胆不至于，就是摆烂而已
密度一样 但功耗高
妙啊
弹幕被重置了
终于是更不要脸了
边际递减效应
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
没人 ？
↑牛的一批
这金手指怎么有点不直啊
Intel：这下老子也姓A了
价格还可以啊，和当年ddr4差不多
弹幕呢
有点东西啊
承包空屏
罗老师别这样
罗老师别这样
乌漆麻黑
ZEN3打三代酷睿产品
6666
40个小核岂不美哉？
好像隔壁猪王的特效
熬的泪壳
从头挤牙膏
这和AMD的ccx模块化还是有区别的
你嫌贵我还嫌贵呢
哈哈哈哈哈哈哈浪费沙子
那为什么不只用一个大核剩下全是小核
大哥，你串台了
intel翻身了
 专业
目前的r5内存价格直接劝退
哎呀妈呀吓死我了。吊打苹果m1
12VO呢？
牙膏总线
那下次怎么办
M12H配10代i9流下了羡慕的口水
其实还是10++++
用10硬说7
惨了，一个不小心牙膏厂一下子把十年量的牙膏挤完了……麻烦
10nm+++
星巴克直呼内行
14++++++
爷爷，你小时候提到的英特尔10nm更新啦
"积热是应为die太小, 热能传到到顶盖上的面积太小"
睿频都到5.2GHz了，还超的动吗
飙车又快不过人家，终于还是干回老本行
英特尔：隔壁就欺负我是老实人
性能才是王道  在乎价格就去买旧款
联发科直呼内行
我要一个小杯。  对不起，这是中杯
国条
英特尔：诶！没想到吧，爷就是玩
讲得很好
石砸条叫了属于是
9.5M?
新主板贵得不得了
败家之眼
牙膏挤爆了
一致性总线（doge）
pcie4.0无用
最近IPC性能真的提升爆炸
换插槽这事上面，英特尔就是神
台积电和三星起的坏头
和笔吧用一张图是吧
果然评测看极客湾就是细
牙膏还好吗？
APPLE A14(M1) AMD 锐龙  手动狗头
光芒四射
飘哥车技不错奥
《你就当真的听》
串联分馏工厂（
"比三星台积电晚改名两三年, 算老实了"
真假首发？
中核 大核 超大核
这牙膏挤的
就是ccx换了个说辞
终于更新了。。。
你拉了啊
777
好骂
重新定义了“老实”
10%的性能提升，重新定义极为先进（doge
两个总线就能解决时延飞天了？
隔壁刚看完你就发了
前面的a13小核只有835大核水平
学起了隔壁ryzen，制程混用
调度难做
飘哥易车失误了呀
胶水核
心若在
14nm+++++++++++
为什么不把四个大核塞一起呢
牙膏厂的文字游戏
改名字后相当于台积电2018年的工艺水平。。。。
老不破不立了
这特效直接投币
卧槽爷青结
相当于台积电2017年的水平。。。。。
奇趣条
其实台积电7nm和三星5nm都带点虚标。。
有生之年能用上牙膏厂10纳米，三生有幸
笑死了，M1 Max CPU才30瓦，要比也是拿英特尔的低压U或者表压U，你拿个200瓦的桌面级CPU来比有什么意思啊？
做了一个新牙膏？
M14H哈哈哈哈哈！终于还是叫这个名字了，叫14挺好的，大家以后都这么叫吧
全小核单核性能就废了呀 弹幕什么脑回路
玩名字这块还是台积电起的头
感谢苹果
拉链工艺
懂了，买amd
前面的！intel：行你来做CPU，我来你这进货！
迷惑行為
全是小核单核性能怎么搞
要点脸吧
amdyes
5GHz的性能比3.2GHz略强一点，不就还是拉了
这能怪高通 安卓都一样 ARM万年不更新小核
那路或多
大哥你谁
这也叫提升？
这不全换小核
台积电玩的是纳米技术营销。
降低成本是相对的，12代酷睿肯定成本更高啊……
台积电5nm都好久了
感谢一波库克，给孩子逼急了就说是
感谢一波库克，给孩子逼急了就说是
10nm+++++++++++++++++
今年我的6500才算过时？
clearlove7
M1带动了进步？
传递最大的一个信息：《得加钱》
罗老师别这样~
直接32或者40小核不好吗？
这下更期待明年初AMD的zen4了
感谢英特尔让我用上了便宜的AMD
胖了
那么弄成40个小核岂不是美滋滋？
减少对超大核的中断和进程切换导致的性能损失
小核共用bus？
小何单独不强啊
为何不做40个小核心
这个造型 像不像卫生巾
6+16或者4+24岂不起飞了
被逼的而已
装机又可以等一年了
5950再战两年  等DDR5性能上来
搞虚的
全部换成小核，这样就有40核了，然后倒逼软件商多核优化
多线程
牙膏踩爆了
全做小核的话单核就没了啊
终于！！
什么手机CPU
高通便宜啊
笑了 苹果那也是电脑cpu
一屁股坐牙膏上了
77777）
14nm++++哈哈
不就是骗人吗，还营销，笑死
活动
o h h h h h h h
应该跟国内学学，智慧超级未来工艺
OK，所以M1 Max测评呢
这代确实强，连移动端12代都吊打M1X，还能玩游戏，苹果拉踩完有点尴尬
1管牙膏挤6年，两管牙膏换1年，横批：苹果AMD真香
那为什么不全做小核？
高情商，你机箱还能留着
intel：凡是姓a的没一个好东西
毕竟笔记本是10nm
我不管，我就叫10nm
加钱的信号
两个节点再胶水？打得过隔壁的更好的胶水嘛，自砍一刀你们是真会
姓A的每一个好东西  把我嘤嘤逼到这个地步
2015年的架构 牙膏厂不是白叫的
看完了，强
jim keller的作品 可以放心，对标zen架构的
重新花钱
感觉还是KILLER大神设计的架构
WASTE OF SAND
adl应该是10nm+了，笔记本上的icelake才是初代10nm
都是空气
确实加速点 语速就舒服了
第一次看到有点5的缓存
浪费沙子可还行
爷青结
m1max呢？
奇趣蛋条
他急了
u1s1，z690的扩展性真不是骗钱，只是现阶段普通用户根本用不着
M1别出来跳大神了，ARM现在还不配，以后的事以后再说
刚刚
为什么还是10nm而不是7nm？还搁着挤牙膏呢？
移动端需要在意功耗问题就注定了不可能有桌面端的高功耗，同样是马，一个吃了有力气一个吃不够没力气，谁强，不用说了吧
云飞，听说你被猴子打了？（啊不对！）听说你 u 被隔壁猪王抢了？
今日乳高
如果前边的，做双层就积热了
还是+++
换新长期来看肯定是好事，短期买不起就别买了呗（
SKYLAKE-rerererererefresh
这不改intel3，第三代10纳米，还比人家先进一代
恭喜飘哥脱单
都是钱～～～
从头攒一台电脑
星巴克直呼内行
你这样说我居然听懂了
4小核一个簇，ccx的逻辑
10nm都已经两个+了
笠条哈哈哈哈哈
英特尔死工艺
ringbus，内存延迟极低，难在堆核
阿三有了，青天就有了
单核性能强了自然游戏性能就强了，除非你软件那块优化是真的烂甚至就是负优化
对比苹果也没问题，12代酷睿表示M1Max你狂任你狂，单核仍我强
hedt都是网状总线
降低成本，然后涨价是吧？
功耗不看一下？
英特尔这叫被逼无奈
环保
拿出了卫生巾
ccx上身
都是姓A的逼的
同意前面的，我也感觉这方法是没办法中的办法
Tips：D4和D5平台12代酷睿性能差异不大
好家伙skl这就沦为计量单位了
飄哥手上這個intel能不能拿來賣啊 想要
管了一管牙膏，可以重头挤了
卫生巾cpu
玩脏的
Mesh何时下放doge
另外，英特尔手里还有T系列处理器（大核心全拉满）、X系列处理器（新一代HEDT平台）、中低端K系列处理器没有发布，手牌很多
前面的 多核收益是边际递减的
搞不懂为啥就是会有人拿苹果来比
密度指的是晶体管密度，神tm扯积热
jim keller左右互搏
10多万播放量弹幕才两位数？
你要问什么
