EDG冲啊！
第一加油！
冲！
加油
111
冲！
EDG给爷冲啊
edg加油！
edg冲啊！
电宝加油！
不破不立
牛逼！
好快
加油！！！！！！！！！
嘉文五试——Jiejie
EDG不破不立!
你是真的快啊
EDG！
给爷冲！
Yeah！！
1分钟
超人
恭喜
电宝加油！！
牛逼  我挺你们EDG
冲冲冲啊！
对 你们做到了！
加油
恭喜
五分钟！！
接下来就要布置五局战术和
ohhhhhhhhhhhhh
牛逼
过年咯。
edg牛逼！edg牛逼！edg牛逼！edg牛逼！edg牛逼！edg牛逼！edg牛逼！edg牛逼！edg牛逼！edg牛逼！edg牛逼！edg牛逼
嗓子都喊哑了，不蒸馒头争口气，加油
冲冲冲
进了进了，从八强开始各种投票都偏向另一方，始终不被人看好的EDG一路创造奇迹！这波已经稳赚不亏了，放手一搏吧电宝们，不破不立，期待EDG捧杯而归！！！
加油！
加油
加油
继续加油
呜呜呜不破不立 再次突破队史 保亚争冠  输赢都要精彩
scout!
nbnbnbnbnb
决赛必胜
加油，夺冠吧，求求了！
决赛必胜
电宝给爷冲
进决赛啦！
你可以永远相信edg
加油
EDG加油！！！！！！！
冲啊
决赛！加油！
不用平行宇宙
决赛给我冲，冠不冠的无所谓，我只想打喷子的脸​
给爷冲!!!
宝 恭喜！
给我冲！！！！！！！
很快啊
骑士精神！不破不立！
骑士精神！不破不立！
骑士精神！不破不立！
银龙重铸之日，英雄归来之时
辛苦了电宝！
恭喜edg
牛哇
gg！
加油
陪你到最后加油！！！
不破不立！
电宝给爷冲！
决赛加油！！！！！！
77777
加油加油加油
加油加油
给爷冲！！！！
EDG加油！
冲呀电宝
牛逼
不破不立！！！！
不用平行宇宙 现在就是属于我们的时代
加油
不睡了!
冲冲冲冲
加油
edg加油！
恭喜edg
冲啊
冲就完事了
秀妹连夜询问没了妖姬，有什么英雄好打塞拉斯
edg 牛逼
亚军到手，打DK没戏
你就是牛逼
决赛加油!
不破不立！
这个速度就很真实了，估计文案模板早就准备好了吧哈哈哈哈哈哈
我爱EDG！
重铸LOL荣光，我辈义不容辞！
就剩最后一场bo5了！
五放皇子，会不会玩？
加油EDG！淦碎DK！！
edgnb
不破不立！
翻过这座山！他们就会听到你们的故事！不论故事的结局是何 加油EDG！LPL最后的排面！
nb
曾有巨像将天顶，鏖战五局改皇命。今有皇子披金甲，天崩地裂锁三星。
scout！
恭喜
FPX粉丝前来祝贺
不破不立，决赛必胜！
不破不立  E往无前
不破不立  E往无前
终于赢了 7年老粉昨晚真落泪了
恭喜EDG
爹，再赢三把！
恭喜
不破不立加油啊
恭喜EDG！
恭喜啊
电宝，妈妈爱你
EDG给爷冲
不破不立！
nb！
冰岛到中国的距离是7777公里，意味着什么不用我多说了吧
厂长看到了吗
骑士精神 不破不立
牛逼
不抱希望就是不失望！电宝~冲～
决赛必胜，加油edg
恭喜恭喜
恭喜EDG！
NB
决赛加油加油加油加油加油加油加油
早点ban盲僧 3:0
你做到了啊啊啊啊啊啊啊
不破不立
冲进冠军
冲啊
不破不立
韩双c果然够c
加油
永远在杀尺帝
加油
币给了
夺冠冰可乐洗头
冲啊EDG做给他们看
edg加油！碾碎dk
决赛冲鸭
这就是一号种子的含金量！
加油
电宝冲啊！
冲啊
冲啊
决赛加油
牛B
khan第一定律khan 所在队伍不能夺冠khan第二定律khan 所在队伍暴打李哥edg 第一定律淘汰edg 的队伍不能夺冠由1得dk不能夺冠由2得skt止步四强综上所述edg冠
帅
决赛爆杀DK
t1都跪了，圣枪哥给爷冲
EDG要是夺冠，直接一套签名版冠军皮肤
鲨尺帝！鲨尺帝！鲨尺帝！
加油！！！
不破不立
不破不立
加油
刀塔玩家发来贺电
不可阻挡的EDG
SCOUT 牛逼！！！！
喜欢你
加油加油加油！
看沸了
edg加油!
拿下就完了
太好哭了，决赛冲冲冲
EDG牛逼
决赛必胜！
不破不立！冲呀！！！
你说会不会有可能他们真的能做到呢？
雀食牛蛙
恭喜EDG
EDG加油！！
银龙骑士，冲啊
