《关爱》
欢迎欢迎！！！
你还能踢中卫吗
你有能踢中卫吗（doge）
《彼此尊重》
加油加油！
《喜爱》
《真情》
本人
年轻人有这个能力不气盛吗
感觉不像踢球的 像读书人
单防全胜托雷斯，脸当凶狠大伊布
《喜爱》
辛苦了
官方自黑
加油哦
b站不是足球荒漠？
《分析》《尊重》
彼此尊重
《点名表扬》
科普：范志毅骂的主要是足协，看他说的第一句话就知道了
哦哟谢天谢地
业内人士多发声以正视听
《喜爱》
好的 支持你！
哈哈哈哈哈
哈哈哈哈
吆，谢天谢天地了，我劝你把这个足球的理念先搞懂
反复鞭尸
鹏哥帅啊~
鹏哥还是这么年轻哈哈~
加油鹏哥~
hhhhhha
《喜爱》
反讽是吧（doge）
高清纟屯净版
尊重：指还没开始分析就开始互骂
《观柱与喜碍》
受害者终于出来说话了
《原地向上抛球》
哈哈哈哈哈哈哈哈哈哈
不以为耻，反以为荣？
《喜爱》
能踢吗？
我鞭我自己的尸
中国马奎尔
你能踢吗
《喜爱》
鹏哥好
《赵鹏挺老实的，太可怜了呜呜呜》
格局
不是谣传说你在开餐馆吗
格局打开
加油鹏哥！我们支持你！
UP博主，新鲜词
赵鹏您好，您到底能不能踢中卫？
真的假的？中国男足视频下面出了除了骂能找到几个和谐的评论…
皂鹏
赵一脚
可以的，起码有胸襟
有这个能力知道吗
隋 维 杰
《分析》
只是觉得你好欺负罢了
1
他足球什么的都在踢赵鹏，赵鹏他能踢吗，能
喜爱？？？
洗
阿婆博主
事故
格局
加油
很蓝的啦
《喜爱》
女神异闻录
byd地上足球是吧
这个老哥可以
这不上热门很难说得过去了吧
你能踢嘛？
很蓝的啦
反复
《彼此尊重》
很遗憾以这样的方式认识你。[doge]
@足球带我奔跑
天天说赵鹏，殊不知他也是当时国内顶尖水平了
让你们退钱
他就是赵鹏呀
什么时候主持人，卡马乔，小高也来入住b站
你不是在开饭店呢
《彼此尊重》
他能踢
就这蔫巴样，没看出来是踢足球的
到底能踢吗
重新定义尊重
还有脸出来，
虽迟但到
教怎么踢中后卫doge
格局打开
t9
格局打开
格局打开
赵鹏本来是国内顶级边位的位置，当时国足实在没人能踢中卫了把他拉过来的
训练吃嗨森吗
哈哈哈哈
P5！
没有故事了，都结束了！
来找喷狗头
旧闻大名
其实也不一定是喜爱
好！
格局大
皂鹏
鹏哥跟卢惠光神似啊
加油
什么意思？高光时刻？hhh
？自我介绍是吧
格局
赵鹏疯了到处踢人
本来就是
我有没有不重要（指你别说我不行）
我爱赵鹏 我爱赵鹏
哈哈哈高级黑是吧
宝藏库，指朱雀门事变等珍贵史料
煲  脏  窟
格局大了
格局大了
彼此尊重
好诶，加油
格局大了
一个人出名有很多方法的，哈哈哈
进来挨骂
到底能踢吗
《咬牙切齿》
唉，大环境就这样，能有什么苗子呀
格局大了
就赵鹏什么的都在上b站，他能上吗，上不了，没那个能力知道吧
格局
高情商
皂鹏
《全是黑国足的》
哈哈哈哈哈哈哈哈
格局
哈哈哈哈
格局
足球圣经
高情商
好耶
好家伙
惹碍
俺是老粉哇咔咔
《喜爱》
他能踢么？
嬉碍
枪弹口音
欢迎！
哈哈哈哈哈
喜爱个屁
格局
男足没有故事，都是事故！
哈哈
格局
有这个能力知道吗
好家伙
《卌靉》
卡马乔呢？
格局
皂鹏，他能踢吗？
格局大了
加油加油
哈哈哈
《》分析
足球地狱
赵鹏其实踢得还行，主要是那次下饭了
叫事故更好
彼此鐏塚
哈哈哈哈哈哈哈哈哈哈哈哈哈
p5
著名的体育荒漠
你对喜爱的理解相当正确
XSWL
男足已经完蛋了看个屁
我谢谢你！
很遗憾以这样的方式认识你。[doge]
哈哈哈哈哈哈哈哈
是云球迷的圣地
加油
哈哈哈哈哈哈哈哈
《彼此尊重》
这算是“鞭尸”吗
火钳刘明
B超联赛
好好好
皂鹏
国足不值得捧
哈哈哈哈彼此尊重
陕西队西北狼
哈哈哈哈哈哈
所以你到底能不能踢中卫
格局打开
哈哈哈哈哈哈哈
你中卫什么的都在踢赵鹏
《喜爱》
《赵鹏这一脚，踢出了整个盛夏》
哈哈哈，加油
我的问题只有一个：你能踢中卫吗？
t9!
ppppp5！
haha
说没故事的为什么点进来饭剑呢？
《尊重》
火钳刘明
分   析(大嘘)
意料之中
蜀中无大将，廖化作先锋，赵鹏也是有能力的
那可不嘛
涨粉速度太快了
看冯潇霆嘴硬吧
我爱赵鹏！
到底？什么时候进世界杯？到底？
已经是中国足坛圣经了
把这辈子的高光都剪完了
《关注和喜爱》
加油！为中国足球贡献力量！
格局
体育彩票
B站是一个严肃的学习网站
说实话赵鹏吊打现在男足任何一个人
你能踢吗
《分析》=嘲讽和辱骂
《喜爱》
尊重
哈哈哈哈
足球荒漠说的是青训体系，本来也不是说B站的
高情商
哈哈哈哈  分析
@我是范志毅
你没有这个能力
复习一下退钱哥
''分析''
那场你是在踢假球吗？
确实是
你币有了
B 超 联 赛
《关注和喜爱》
哈哈正确哇
很蓝的啦
能踢中卫么？
三连了
《彼此尊重》
还真是这样啊哈哈
商业互吹了属于是
哈哈哈哈哈哈哈卧槽
地上足球
入乡随俗
有这个能力吗doge
呵呵每次都输还故事，也就是男足是生在中国要不，男足都得是事故
《关注和喜爱》
你有这个能力吗
你赵鹏什么的都来B站，他能来吗？！
你这个手学的罗翔老师是吧
四个小时，核弹热一下
哈哈哈哈哈
t5
有这个能力知道吧
《彼此尊重》
鹏相对来说算踢得好的了
大可不必
还挺帅的
就冲这我觉得你是个心胸坦荡并大气的人，加油
格局
实际点 既没关注 更不喜爱
太蓝了
国足？骂就完事了
格局打开
发音不准！明明是皂鹏
哎哟 谢天谢地
《坟稀》
欢迎老哥
你丫是觉醒了m属性才来的吧
足球打成排球
足球打成排球 哈哈
《宝葬库》
噗…哈哈哈哈哈哈哈哈哈哈
格局打开
太草了  我都要笑死了
中分？
经典永流传
《喜 爱》
这人谁啊？
我直接就关注了
各位 uu?
哈哈哈哈
教大家踢球，你有能力！
到底有没有这个能力？
还真是
建业建业!!  河南建业!!
《中卫运动员》
《彼此尊重》
刘路是吧
很蓝的啦
笑死
加油
哈哈哈哈哈哈哈
《喜爱》
格局打开@蔡徐坤@六小龄童 看看人家赵鹏
地上足球
皂鹏
指足球荒漠，梗天堂
我擦一秒加了200多赞
队长袖标
赵鹏看起来还很年轻啊
把自己骗了属于是
鹏哥大气
重新定义
欢迎
重新定义喜爱！
你能踢吗
你到底能踢中卫不？
哈哈哈
其实你有这个能力
彼此尊重？
自由落体运动
行，态度还是挺好的
牛皮
给你点赞
到底能不能踢啊
蚌埠住了
次日，卡马乔入驻b站
不，这很重要
大多数人都是荒漠
鹏哥格局打开
喜爱
其他队员都在踢足球，就赵鹏在踢队友
哦，谢天谢地他本就没打好基础
有这个能力
毛不易？
说的没错，确实荒漠
说，你把卡马乔踢哪去了
《彼此尊重》
哥，你到底能不能踢啊
《喜爱》
格局打开了
好心态
这个可以有
分析指rnm退钱
《故事》
哈哈
很蓝的啦
你好呀，赵朋
张璐哈哈哈哈
66666
重新定义喜爱
很蓝的啦
正能量
不愧是国足的 脸皮真厚啊
欢迎鹏哥，入驻B站
好好搞青训吧，不要在搞金源足球了
真就不会踢球，全是头球doge
我们河南建业的后闸
确实是宝藏库，这里中科院院士都好几个
地上足球
他能踢中卫吗？
格局
《彼此尊重》
感觉喜爱也不是很多
很蓝的啦
真踢不了
尊重
《彼此尊重》
现在都不如他了。
p5
很蓝的啦
中国足球，加油
师傅，请问你是干什么的？
做青训可以的。中国太需要青训了。
皂鹏
做青训可以的，中国。太需要青训了。
赵鹏模子
你干嘛跑到西班牙踢人家卡马乔！
《彼此尊重》
很蓝的啦
《彼此尊重》
哈哈哈哈哈哈
你能踢球吗，脸都不要了
《棺筑和烯锿》
很蓝的啦
地上足球
