躁起来
泪目
艾瑞巴蒂嗨起来
燥燥燥
泪目
陷入沉思
泪目啊啊啊
真实
2b太出戏哈哈哈哈哈哈哈哈哈哈
泪目
优秀
好活
笑着笑着就哭了。
泪目
赵日天回答
视频作者有才
BGM:凹凸君说唱的《老师你好》
你币有了
没币了这就尴尬下次一定
万物皆可猫和老鼠
我刚好要毕业了啊
旧目
真的很好听
流批，已三连
泪目
泪目
谢谢老师
众所周知，老师留的作业只有亿点点
真实
泪目
人间真实
哦哦哦哦～我的名叫赵日天
龙神の剣を喰らえ!
真实
升华中心思想
开口跪
大场面
没错，我就是数学老师
我赵日天最牛逼
火钳刘明
升华主题
原曲what makes you beautiful
泪目
突然笑不起来了
甚至歌都是学校的起床铃
泪目
泪目
太真实了
哈哈哈哈哈老源氏了
泪目
真的太真实了，我现在就是这样
泪目
哈哈哈哈
這裏我真笑出來了
复读生泪目
白嫖失败
泪目
泪目
将自己不好好学习到后来怪前途不待
白嫖
难过
泪目
泪目
泪目
泪目
泪目
下次一定
最后上价值
欲扬先抑
真实
草
因为老子很生气
因为老子很生气！
泪目
泪目
泪目
哈哈哈
体弱多病的体育老师
哈师大附中？？校友啊！！！！
老师
我不喜欢体育课
大TM真实了
你币有了
u1s1‘截止到现在我亲爱的老师那里一共存了我七本书（doge）
hhhh
泪目
类目
如果时光倒流，我想我不会怪你
如果时光倒流，我想我不会怪你
泪目
体育老师：我TM天天生病的话我怎么当的体育老师啊
源氏大招
已三连
上升华主题
泪暮
白嫖失败
泪目
泪目
泪目
请听到最后
6666
封面看成法玛斯纪念碑。。
泪目
带制作
这个不是《what makes you beautiful》吗
泪目
因为老子很生气
泪目
开心点呀
隔着屏幕都心疼
这次一定
给爷火
泪目
哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈
泪目
泪目
学生终于爆发了
转正能量
你币有了
老师好
这首歌原曲还是我们绳操的BGM哈哈哈哈哈笑死了
你币有了
泪目
半藏大招好吧
啊哈哈哈哈  爱了爱了
泪目
我币没了
三连三连
泪目
初中党表示体育课随便占！！！
三连送给你
可以有
泪目
泪目
泪目
泪目
泪目
再来亿遍
升华了
女少口啊
泪目
逐渐忘记原曲系列
永远没有体育课
