安然进入梦乡
？？？？？？？？？？？？？？？？
我去，还能失速的
妙啊
我爱发明？
计算失败
“打发无聊”
。。。
这个会不会直接沉了
不会，这个有实物的，看过
？？？？？
我爱发明里有这个
我爱发明
翻车了
是激波！
笑死
草
真废膝盖
？？？？？？
妙！
超空泡效应(doge)
太硬核了
？？？应用开始
升力系数增加
计算失败，进入梦乡
？？？？等等，超纲了
失速就麻烦了
妙啊
巧妙的设计
气泡催眠仪
会
死机了 算不出来
算出了泡利不相容原理
NS方程永远的噩梦
听声有赞
负压
啊这
美国的间谍潜水器是吧(
这网友也是高人啊
妙啊
奇行种
也有水翼滑板
飞棍
细胞自动机那个，高斯帕的滑翔机枪？
？？？？
不动就会沉下去
妙啊
音速深蹲
我也快进入梦乡了
激波
机翼是吧
《因此》
红细胞是吧
妙啊
鲨鱼提供动力
加个大型震动马达
看样子么得激波了
为什么有BGM
生异形啊，你们哥俩
我这船是出了名的快啊！
好家伙我爱发明
草
我爱发明
说的是啥？
正片开始
我刚刚漏了什么？
pull up pull up
666，激波！！！
已经睡着了
妙啊
该视频没有慢放
最后那个笑死我了
？？？？？？？？
我爱发明播了不下一百遍这个东西
减肥神器
哪地方的网友啊，这能的，高考分数线加十分
电摇
其实他是去请教周公了
我不知道我为什么要点开这个视频
我爱发明里面 这个貌似很快 沉没了
所以不能失速，失速就沉了
一停下来，就沉入水底了！
哈哈哈哈哈
人类的智慧
真好睡，已经睡着了
哦哦哦我在另一个视频看过这个实物！！
有无激波
翼型？
是大米！
有点类似于扑翼机吧
我爱发明
鸭式布局好评
ns方程暴力求解
好家伙科学到哪里都是相同的。
电摇嘲讽
好无聊呀！
电摇？
计算失败了！
受力分析区UP主
哈哈哈哈
老师，你能再讲一遍么
那他为啥不变圆？
这也能算???
？？？？？？？？
？？？？
蹲一个激波
静稳定布局
没有弹幕多半是因为进入了梦乡。
赫尔辛根默斯肯肥皂泡！是曲率引擎！
正片开始
我开始睡觉了
沉底了儿哈哈哈
这水也太脏了!
我爱发明
本集没有激波，都散了吧
还是静稳定
我爱发明
水鸟，我玩过，但是力气太小沉得贼快，我看别人玩能玩很久
666
生翼型啊
哈哈哈哈确实
睡着了
这不是涡流吗？
哈哈哈
手算NS方程是吧
哈哈哈哈
我爱发明里有这个东西
困了
我爱发明是吧
？？？手算NS方程也是个狠人
水上运动并不能减肥
我好闲啊 在看气泡原理
哇塞！
在现场，其实是早上上班无聊
喵啊！
6
放假前一天上班时，先接杯水，缓一缓
好家伙还有应用
专业的果然不一样，萌萌爱你，么么
红细胞还要凹点
原来都是前言
鲨鱼不行，因为这不是海
真是无聊
电摇嘲讽是吧？（
我爱发明
我爱发明
被水淹没
哈哈哈哈哈哈
我爱发明
《无聊》
哈哈哈哈哈进入梦乡
懂了 睡了睡了
ns方程可还行
水上电摇（doge）
盲猜又是激波
被水淹没，不知所措
这人可真无聊
原来萌萌长这样
草，是翼型
电摇
233
有道理啊
原来网友叫安然，@安然
红红火火恍恍惚惚或
降临
什么催眠方程哈哈哈哈哈
懂了，三翼面布局！
混沌邪恶：这也是J20
这里未必会失速，雷诺数太小，应该是层流为主
哈哈哈哈笑死
手算ns方程？？狠人啊
进入梦乡太真实了
？都是汉字数字，怎么连起来就不认识了
哈哈哈哈哈哈哈
妙啊
我爱发明
等等，让我捋一下先
