荒板塔
没人说话吗
22.9.20 大制作看的人好少啊
。
这个“界”隐去的很有意思
握草这画风爱辽握草这画质
好酷炫
啊啊啊啊啊啊
这个转场好啊
为啥才15弹幕
国产爱死机系列
看好，加油
快啊！快！
这里细节到界消失后还留个影
长相ruler
说哑巴的没看过没配音的预告？
好看！
爱死机质感
介似嘛？ 好厉害的样子
来了
字都来不及看
三分钟了还没进入正题
修真朋克？
xy我爱你
那个字有点像大黄脸
干掉爱死机，你就是大佬
18层地狱
世界枢机
哇哇哇
这分镜很eva
字幕为啥这么小，咋调整啊
弹幕这么多看过爱死机的，这也太潮了吧
动画短片又不是爱死机发明的
这样很棒，不需要声优
原来你是阎王爷
这是实验吧
这不会是个测试实验吧？
日晷？
在现场，我是胸牌
这种符号文字真的很有中国味
感觉像C4D做的
好厉害
背景由卦象组成 上兑下坎 风水涣卦，寓意灾祸将至
胶囊计划是个啥，我就知道小宇宙
真的很喜欢中国文化！
再慢半拍节奏正好
八卦城
没有配音才有压迫感
离坎未济，君子以慎辨物居方
这讲的是什么
牛逼投币了
哈喽，么西么西
有人吗
平面设计一班万岁
国内就应该多点这种思维和创作
加油国产
国内
每一卦的卦象都是有含义的
这能播？
火钳刘明
卧草
底特律变人
我也太棒了
哇塞
好酷
视觉盛宴
像x战警中
太强了
十八层地狱……
这个设计挺不错的。
请出示健康码请出示健康码
赛博玄学
可以染发啊
有人吗？
遁卦
这讲的啥玩意，至少像爱死机一样我还能看懂
哇塞
666
爱死机的短片本身就有很多中国的团队参与的，这些画面呈现不奇怪
火钳刘明
科学的尽头是玄学
这是人工智能让你遇见未来了？？？？
很可以啊  ！！！！！！！！
我去    这视觉质量   喷啥
细节都有很多中式设计  真的很赞
有点意思啊   未来任用的是古文字
挖槽   有爱死机内味了
感受到了肝疼
机关术的复兴
现在的国漫还在新兴发展
怎么就女主一个人不统一服装
妙哉妙哉
很棒啊，算朋克麽？我们也有已经的动画啦
开着屏 不泄密吗？？
山地剥
全城普及篆体字
水天需
未济卦
你就知道个爱死机
火钳留明
界.徐盛
卧槽有点东西
别说什么短片集都是仿爱死机的，爱死机不过是比较出名罢了
要是看不懂字怎么办？
汉字机构接近机械
汉字如建筑
经典中式恐怖！！！！
失控机仆是吧
省了配音钱
确实，不配挺好，中国配音就那么几个模板，没契合的就
吽哒啦嘟哒啦，嘟哒喃魔哈啦嗬啦，吽哈啦嗦哈
真不错
巨大巨形物
找不到配音？哈哈哈哈
你不见设计就不好了吗？
12点28
12.27
有人吗有人吗
暗黑4预告骗经典场景…
有银翼杀手2049配乐内味了
新世界的卡密！
见证历史
易化升天。
火钳刘明
哇哦
从开始到现在，字幕都很快
中式赛博诶，要是没有那一百年，还真有可能是这样
这不牛吗？？？
火钳刘明
没必要无脑吹，正视问题才能越做越好
爱死机 少年版
够味
这里是什么
执剑人
18隐喻了啊
配音也要钱的
测试开始
中国不是做不出好动漫
爱死机既视感
高科技玄学
牛啊
有爱死机器人那味儿了
支持
先用排除法，不是中央教条
画风很棒，但代入感不强
真的，优秀的动画多了去了了，别光知道个爱死机就倒出显摆，只会显得浅薄
有配音会很尬，所以其实这是极好的处理
好棒啊
看不懂啊
搞个竖版？字体横版不好么，看着有点费眼
原来已经开始道德实验了
太好看了，我的赛博精神病要发作啦！
不行，你来做啊，就你牛壁是吧
爱死机是你们的大蝶吗，一直在提爱死机
这就是未来的重庆吗
哈??
头皮发麻
质子！！！
好的
有三体那味道了
卧槽，我期待三体了
这是考验吧
