跳得好棒
为啥我就没有这样的老师呢
好厉害
哭了 什么神仙老师
我在地下能激动死
女同学都要激动疯了哈哈哈哈
啊啊啊
现在英语老师身材都这么好吗
好稳
她好会啊
我最爱英语老师
老师也这么卷了？
《音乐教室》
我真的要羡慕死了
不是女团出道的，怎么敢说自己是好老师23333
突然理解马克龙了
右边那几个小男生：这啥？这啥？ 我们还期待你跳孤勇者来的
隔壁班吓哭了
当90，00后成为老师
男生没一个敢站起来的
可以，很专业
跳的真棒
应援版
尖叫的都是女生
哇好厉害
老师跳的好棒！
家长：老师我也想学 
真的跳得好好
跳得好好！
然后，＂老师！我要学跳舞！＂
真的好稳！！！到底是女团来当老师了，还是老师要去出道了！！
我的天，跳的真好
鼓掌鼓掌
姐姐好强
千人观看
教导主任上线中
太强了
两岸猿声啼不住
我要有这英语老师
隔壁老师，对面炸锅了？
教导主任:干啥呢，就你们班。。。好氛围啊！
我有这么好看的老师也不至于英语课沉默
奶果失散多年的姐妹
buring
blackpink跳我都没看完 这个我看完了
牛逼
其他科目老师:太卷了这
好有活力
隔壁班馋哭了
我小孩希望转来这个班
我想学英语
啊啊啊啊啊啊啊啊啊本人有幸在现场
这个老师太好看了
好厉害！
音乐老师：现在好把课还我了吗
有趣
笑得
以后当老师要学一门才艺，这样就能受学生欢迎了
飒呀姐姐
可爱
2NE1？
好看，关注
学生看呆了哈哈哈
学校里最潮的永远是女英语老师（dogs）
哈哈哈哈
哈哈哈这衣服挺显瘦啊
老师，，您
以地事秦，犹抱薪救火doge
这舞蹈实力，老师只是兼职
家长会啥时候，我参加一下
好厉害
即答：英语 实际：数学
隔壁男老师坐不住啊
隔壁班学生: 不信谣 不传谣 
我能去上课吗？
卡的好准
英语
我爱英语
这是能出道的水准了
喇叭裤真的咋都耐看
哇！
校长：下课到我办公室来一下
啊啊啊啊啊啊啊啊太飒了呜呜呜呜呜
老师跳的好呜呜呜
我想回学校回炉
可以再兼职舞蹈老师
我趣1000+人
以后不会跳舞都不敢当老师了哈哈
1000+出来
隔壁教室？？？
我的英语老师是光头！！！
好飒爽的英语老师
好强
摄像头：！！！
好身材啊
关键跳的好啊！！！
教室银行
获得优先写作业权
老师我也学英语！
？
真棒
只能说太强
看来我也要学点才艺了
哇塞打开视频比我想象中跳的很好很好啊
哇塞
这是新时代老师
学生家长：强烈要求旁听！！！
跳得很好
牛
牛逼
我高中三个英语老师都是男的
麦外敷！
梦中情师呜呜呜
校长表情管理真好 一秒入戏啊
哈哈
我去！！！
！
我们班英语老师也是kpop人！
爱了爱了
十分同情旁边教室的孩子们
好厉害
最爱只因语
舞蹈老师来带班英语的吧
英语老师
眼神表情直接拿捏
这结束时的镜头感和呼吸调整。不是女团我不信hhhh
我不点赞我在迷什么呢！
bgm指路: BLACKPINK的Pink Venmo 
老师会舞
老师也这么卷啊
赶紧的
听见BP实在绷不住了
妈呀好厉害
太强了
我们英语老师是教导主任
我初中英语老师这样我现在就上985了
现在生孩子到老师班上还来得及吗
英语
我要去做课代表
这力量打学生应该很痛吧
跳的真的好
跟我当年的数学老师有得一拼
年轻老师教学生好
老师太强啦！！
要英语老师这样我早就改行跳舞了
我的英语老师是光头
隔壁班以为进土匪了
如果我的英语老师是这样，我也不至于英语刚及格
我们英语老师40多岁还贼怪
力量型舞啊，很累的
家人们，2000+诶
教练，我想学英语
我的英语老师是光头
我也是
跳到了我的心巴
前面的你单身管老师屁事
校长：你猜是谁在摄像？
禁止内卷
我想学英语
跳得太美啦
那个先收写哪个
太强了把
我只写数学作业
初中高中一直都是英语老师班主任
我的英语老师不会整活！
老师都这么卷吗？不过我喜欢
？
灵魂的工程师
我的英语老师是更年期妇女
好棒！！！
老师内卷都这么严重了
我小学英语老师跟了体育老师
学校老师内部消化问题严重
这么喊不怕把校长召开
学校年会预订
英语很好，但是我还是先写化学
新东方化
姜校练习两年半了吧
现在宝藏老师太多了
动作干脆利落
还得是英语老师
真的可以的
招生办电话是？
厚礼蟹
杀疯了
我的英语老师是光头强
跳的这么好啊
哈哈哈哈哈哈哈
满朝文武竟无一人肝炎：有男朋友吗
语文
果然是英语老师
头皮发麻
人家的英语老师
别人家的英语老师
我的英语老师是充电头！
尖叫声是不是男孩的多？
我读书那会有这种老师我一定好好学习
爱老师
厉害了
以后接孩子 我肯定去
耳机党阵亡
abandon
老师 我想学英语
后面的剧情呢？
我的英语老师是秃头
被英语作业耽误的舞蹈老师
别说隔壁班了，我都馋哭了
我没有英语老师
关键是跳得真的很好！
要是我们当时高中有这么好的老师，高考都是985211
厉害啊
想当年我的地理老师也会
衣服一换，点赞百万
我的英语老师是猴子！
失业女团成员再上岗
我们英语老师是摄像头（确信）
姜校说你们别骗我，我录了视频
我英语老师是个老太太 破案了
我英语老师是老头
我的英语老师是傲娇猫猫头
隔壁不用上课了
又是英语老师整活
