卧槽第一个
勇士！
诶呀妈呀第一啊
居然能看到四十级，鹿人真男人
第一条弹幕
缓缓打出一个？
一分钟！
严谨
他真的，我哭死（doge）
有钱一起拿
精辟
这是真的急了………
太惨了，工伤啊
啊西八 哈哈哈
哈哈哈哈哈是谁我不说
2.1。。。这一般做不到把。。。
能看完真是难为你啦
承包空瓶！！！
我好早！！
你三连有了
還真的來自西八區啊（狗頭
热乎的？
低情商：抄袭      高情商：融梗
没了 哈哈哈
哈哈哈哈哈哈哈哈哈够严谨，我真的数了一下
囤点弹幕再来看
别放原片求求你了
路人真是太温柔了
一毛钱一条好评是吧
《真实不悬浮》
《今年最佳》
牛逼牛逼
“照顾初恋女友儿子”
？
好好吐槽，别放原版啊喂
嗨嗨嗨
别放原片你还能留着我的关注列表里
保护保护保护！
3分钟！！！
手！！！！！！！！！！！！一点也不尊重女性
哈哈哈哈哈
《东八区的油子们»
他认真的样子真的好好笑
没有鹿人牵不上的缘
他可以一直联系在一起的
咦怎么没有弹幕？哦是我太早了
西八区的东西们
不要放原片
羊了个羊：别来沾边(doge
你这码打和没打有什么区别啊（恼）
哈哈哈哈哈哈哈哈哈哈哈
西八区的东西们（Bushi）
紧跟时事
脚指头抠地
模具？
真的为难你了呢
还抄棒子那边的。。丢人
我的眼睛！！！别放原片
哈哈哈哈哈
第一次这么前
低情商：抄袭
哈哈哈西八
有话好好说，别放原片
SOS
看了40集，置之生死于度外，牛哇
火钳刘明
求求你把脏手离开人家胸
冷库的铁是什么鬼啊
工伤了鹿人
麦外敷麦外敷（bus）
？？？好恶
辛苦了
哈哈，DNA又动了
他看完了，他真的，我哭死
黃渤：我們常常擔心現在的年輕演員，這…他們該怎麼辦呢？
笑死了韩国居然也有被抄袭的一天还tm是中国人抄的
干得漂亮
油田不背这锅啊
。？？？？？？？？
哈哈哈哈
《 西八区的东西们 》
哈哈哈哈哈油田四子
？？万年流血不死？？要是不死，武则天早都把你浸猪笼了
啥综艺？求避雷
因为他个是烂人！！！
？？？？？？
能不能少用点这个nonono的bgm..
哈哈
我的耳朵——
这里确实得注意一下张翰的手
这个手是不是（
张汉原名
口头上说着很尊重女性的人，才是把女性特殊看待的人家
我發誓我聽不懂你們在說什麼（狗頭
求求你们了抵制张翰，不要再给这剧刷热度了
啊啊啊啊，ex到我了
菲比：my eyes!my eyes!
可以叫西八区的西八们
尊敬！！
6昏钟！
？？？？这是22年！不是02年！！
"MD,真是看的我生理不适忍不住飚脏话!!!"
哈哈，上次听你讲这部剧的时候就觉得很像
《巧，太巧了》
穿着国足的球衣，细节
又开始当懂王了，到处指挥
东八区的西八们
。。。。。。怎么杉杉来了的妹妹也在啊
哈哈
有话好好说，别放这个
我就想知道给了经超王晓晨多少片酬来演这样的剧
不尊重女性的剧观众为什么要买账？
张翰:没想到吧，再多的up主也能找出不同的抓马点
又没文化又猥琐
去找她吧，翰（doge）
我真的我也哭死
哈哈哈哈哈哈
。。。
牛啊竟然能看完 出工伤了吧
救命受不了了
大庆油田里的西八们
能不能不给星啊，我真的哭死
没上初中吧！这都能拿来搞笑？！
他就这么一帧帧的抠出了豆瓣2.1
什么台词救命
张翰不会真觉得很有趣吧？
苏联经典笑话
美国：油？哪里有油？
羊了个羊自己也没多干净
《你很尊重女性》
啊对对对
？？？？？？？？？
这点倒是一直都很写实
能不能把他手剁了
哈哈哈哈不过网上的吐槽视频是真的不错，好久没笑得这么开心了
这句话的潜台词好像是说“男人不行”
老子女的碍着你什么事了
他现在怎么这么丑啊
查查张翰吧赶紧出事剧赶紧下播
好开！闪现跟了！
真的无语住了。。。。
？？？
这手！！！！！
？？？？
