我的失眠治愈曲
神曲，哈哈哈哈
精舞门封王
表白蛇团
啊啊啊啊啊啊啊啊受不了
五大爷!!!!
孙燕姿呢 孙燕姿
陈奕迅这时候还差点
这歌那两年真的听到腻，KTV唱的最多的歌吧
差不多都听过
五月天
啊啊啊扎科帕内
峰姐
峰姐 牛皮
那一年全是中国风
备胎
神仙打架太过可怕
嘿嘿嘿嘿嘿嘿嘿
范婊来了
真的神曲啊，一代人的记忆
曹操！！！！！！！
这时候我需要蓝胖子的帮助
雨樱花啊啊啊啊啊啊啊啊啊
好雷人的发型啊
这些歌我都听过 哭了
JJ写的歌
炎亚纶
表白JJ
呵呵
前前任最喜欢的歌
都是青春的回忆啊
Eason！！！！
五米卡
一开始见面看你不太顺眼  谁知道后来越看越不顺眼
腾格尔
b站排面
樱花草，满满的回忆。
按F进入
口区
紫藤花不能没有弹幕
阿信这发型十几年没变过？
那年我16
飞儿！！！！！！！！！！！！！！
华山论剑
那时候六年级，班里疯狂追星
为我的五月天疯狂打call！！！
等待良人归来那一刻，眼泪为你唱歌
全体起立！
记得是在大学计算机课上第一次听到
我变粉了
那时候才初一，好怀念啊
你们不要再打了
西城的歌
苏打绿！！！
樱花草!!
给苏打绿排面
感谢这么多好歌陪伴了我的青春
飞儿就没有不好听的歌
苏打绿五月天连在一起，绝对是故意的
卧槽卧槽
吹爆啊啊啊啊啊
舞王啊
罗志祥没怎么变啊
樱花草
经典啊
全是台湾歌手，发现了吗？
终极一班?
花语音乐曾经巅峰
恐怖的进度条…
这首翻唱西城的
嚯嚯嚯嚯嚯嚯嚯嚯嚯嚯嚯嚯嚯嚯嚯嚯嚯嚯嚯嚯嚯嚯嚯嚯嚯嚯嚯嚯嚯嚯嚯嚯嚯嚯嚯嚯嚯嚯嚯
为QQ音速打call
将军令
暖暖
歌还是不错
啊啊啊啊啊啊啊
？
津门第一
罗志祥还是吴克群？
《奋斗》
牛逼
01年叔叔
或许有人知道早上六点的星空卫视吗
捂住脑门儿晃动你的胯胯轴！
开花警号
昨天晚上刚唱了
音速23级。。。可惜停服了啊
啊啊啊啊啊啊啊啊啊 五月天
千千静听的不要走
哇哇哇
没听过这首哎，奇怪TAT
爱了
惹
又看见河聚了
全体起立
呀！曲曲熟悉，句句回忆，首首会唱……………………
表白飞轮海
五月天
杨丞琳！
好喜欢这首歌，和闺蜜唱过很久
亚洲舞王
每个都听过
吹爆！！！
我差点儿忘了他是舞王
今年第一的歌能排进这榜单的前一百吗？
神之年
鱼！！！
很久没这么想念06年那个夏天了
现在人均中分，和当时杀马特一个性质
当年医生还不是肥橙
十几年过去了
陈奕迅陈奕迅！！！
真的是每首都会唱5555
好爱那时候的hebe
87年大叔在此
↙我擦！？我东哥！！！
96
神仙斗法
回忆
二月红
当年是真的可怕
翻唱天团出现
牛逼啊起立
JJ！
啊啊啊啊五月天！
林俊杰作曲哦
将军令啊
Tank  爱了爱了
我的天
06年大学毕业
住手你们不要再打了
401连
三国恋无敌
雨樱花和飞儿的弹幕由我承包了
起立起立
五月天！！！！
自动变蓝
猎人手中樱花草
一直不知道是男的女的唱的
得不得
小情哥
我大蛇团！！
qq音速的那个等我
医生
神曲
飞儿我爱
最爱飞儿的让我们一起微笑吧
猛男落泪
93
。
80后的油腻大叔叹气路过
那年我开始踏入了幼儿园
爱这个
曹操太经典
青春的味道
你是捡了我的mp3吗
JJJJJJ
周杰伦！！！
人设崩塌
我还想听
吹爆
初高中那些年听到的歌都是经典啊。。我的青春啊
葛格
小情歌也是那年的嘛！！！！
好多没听过
全体起立
涵涵
by2！！
老了…全听过还都会唱
06年好恐怖啊
这是西城的翻唱
初中电台晚上天天放
握草，阿奴
给女神排面！爱丞琳！
所以目前都是台湾的
真，神仙打架
那时候还没出生
出道即巅峰
神仙！！！
ktv必点
抗伦乐队
开启了戏剧流行合一的天下……
吹爆Eason
从现在开始这里是陈奕迅广场
从现在开始这里是陈奕迅广场
阿奴
台湾省厉害
我出生那年！
4：3
tank!!!!!
张含韵
精舞门！！！
啊啊啊啊啊啊紫藤花
当年15岁，这些歌到大学都是必点，泪目
最喜欢二泉映月
吴克群
高二
是港台的巅峰吧，不是我们的
我都会唱。。。当年高一路过
曹操这张专辑我记得我不光买了碟还买了卡带！
实际不是华语乐坛衰败，而是港台衰败
让我想起一度被劲舞团支配的恐惧
aaaaa我要听这首歌，卧槽我几乎把这首歌忘了
童年回忆啊
12岁
高三
飞儿！
可怕的是十多年了，《小情歌》依旧火
这首歌是我出生十天后出的！！！
猪哥哈哈
woc
这是一个神仙大家的年份
初二
起立起立。。
！！！
当时超喜欢
Tank
啊啊啊啊苏打绿
原来这么多经典歌曲都是2006年的
全程跪着听完
承包舞娘蔡依林
原来是神仙打架   现在全是流量小生
QQ音速
虽然我都听过，但算了一下那时候我才八岁不到，那我到底啥时候听的呢！
神仙打架啊
卧槽这些歌居然是06年的
卧槽？小阿姨！
大部分都是台湾的
完了满脑子都是腾格尔
这才是歌手的亚子啊
吸入淋比
曾之乔刘品言
钢铁的翅膀，对！错不了！钢的！
我超喜欢这首歌的！！！
暖暖
初三
初三
我的妈呀！这个歌小学六年级当全班人的面唱过哈哈哈
青峰姐！
10岁
刘品言
吹爆what's going on和get a life
06年不是有求佛吗
将军令早吧？我小学06年毕业，我记得在之前就听过
呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀！！！！！！！
炸了，炸了
啊啊啊啊啊啊
词太差了。。。
好久没听过了
卧槽，这又没听过
吴克羣
我六岁
鬼一样的进度条 真就神仙打架憋
啊   当时好喜欢啊这个
阿信牛逼
有请下一位男嘉宾
五月天五月天五月天
妈诶2006年的钱包都要爆炸了
旋转跳跃
我前两天还回忆了哈哈哈
将军令
