好帅
看到自来也，你币有了
须佐九尾
这段是什么鬼，同人啊
能装逼的只有我了
火钳刘明
认真看呢
相信我一定火
好燃
这才是忍者
先三连再说
三天之内拿查克拉大炮给你轰下来（滑稽）
你硬币有了
蝶赐螺旋丸！
(⊙o⊙)啥？自来也尸体找到了？
男的别用快，要说敏捷
用生命守护木叶，这就是火影的使命
怀念死疾风传了 看看现在的都是些啥子东西
一袋米到底能抗几楼
弹幕看着真尬
佐助骑鸣人
真数千手
最强
见笑了
李?可以
这不是火影这是龙珠
满满的经费
鼻子有点酸，看到这个
你币有了
佐助:鸣人不在，我就是装B王了
这你妈还不火！？
先有凯皇后有斑，八门凯皇日神仙。
你币有了
博人传打斗片段都还没小新的燃
一gi我力giaogiao
你币有了
没摆脱力学差评
木叶f4
好多OP片段。。
好燃！！！！
妈问燃
火影都打到外太空了吗
博人传剧场版感觉更好看
封面均为战斗力单位
行了添水
有内个味儿了
111
此乃八门遁甲
爹赐螺旋丸
能装逼的只有我了
giao！
不好意思我们木叶下忍出来丢人了
外太空是剧场，鸣人雏田正式确定关系的剧场
仙法·爹赐超大螺旋丸
这是哪集
不怕不怕，下忍打架
一袋米要扛二楼
自来也假的吧？
爹吃螺旋丸
这不是元气弹？？
我是说，除了鸣人，在座的都是垃圾
我给你个币
能装B的只有我了是魔鬼?笑死我了
美团
左柱：说最狠的话，挨最毒的打
祖传的
博人转=小号练级
火钳刘明
有博人？？？取赞
空降55秒
你币没了
爹赐螺旋丸
疾风传最强团队：晓
自来也p上去的。
可以可以
让博人他们来打架
你币没了
剧场版啊
是月球上的转生眼
你没被凯皇踢过？
哈塞给！
三连了
木叶飞舞之处。火亦笙声不息
the last
辛辣天邪
火钳刘明
啊啊啊啊啊啊啊好帅啊哥哥萌
以给币
月亮上打架
火影的打斗场面真的赞
吗
水门要是能活三代那么久不知道得开发多少禁术
冲
giao
泪目
这个场面是哪里的呀？
这尼玛是元气丹吧
火钳刘明
其实我觉得，如果不看疾风和原版，博人也是个好家伙
坐下各位。下忍打架而已
见博人  你三连没了
全是op里的
神罗天征
神仙打架
博人转劝退
三连了
佩恩无敌！！！！
音乐太大声了影响效果
佩恩！！！！
giao！！！
说音乐太大声的，难道你们不知道音乐太小声会盖不过动画本身的音乐吗
超燃啊！
我要投币，我要投币
火钳刘明
骑狐狸那个是认真的吗
那家伙不在的话，能装B的就只有我了！
哪个剧场版。
绝了
果断泪目，各种喜欢火影
火钳刘明
鼻酸了
须左骑九尾我也是笑了
水门，你动作还是那么迅速
行了添水
啦啦啦
嗯？月光疾风？
bgm:打死不看简介
剪辑的好好
我靠好帅！
疯狂踩点
燃爆了
一袋米要抗二楼
神罗天征
你币没了
帅
你币没了
8
燃！！！！！！！
夜凯~
我只爱鸣人
那家伙不在的话能装*的只有我了
那家伙不在的话能装*的只有我了
那家伙不在的话能装*的只有我了
那家伙不在的话能装*的只有我了
博人转就算了吧，打扰了
那家伙不在的话能装*的只有我了
这里是哪集？
辣仙跟
这确定不是七龙珠?
火影只有疾风传，博人传可不算
给年轻的老板上一课
我的童年
