标题不是写了
泪目
鸡皮疙瘩起来了
刀片
新海诚行为
md，新海诚行为
一定要HE啊~~~
一股言叶之庭的味道
只有我自己觉得男主像桐人么
好听到爆
这个和你的名字主唱是一样的吧
起来了
还好
洋次郎的声音太好听啊(╥_╥)
11.1号见
朋友跑去和女朋友看，我只能一个人了（真是气）
只能和舍友一起看了⊙∀⊙！
新海诚行为
e
弹幕呢？？？？
111不见不散
我要和花雪丽一起看!
熟悉的一幕
治愈
新海诚不相信爱情
各位兄弟好，愿电影院见到你们
打算了逃学去看
有一种单身是从你的名字到天气之子
结局是好我看完了
电影院见
姚枝延想和你一起看
想和徐宁一起看
电影院见
新导真有你的
想和天肥一起看鸭
我只是想在和那个人见一面
从秒五到天气之子
想和迪迪一起看
来辣
新海诚行为
日剧跑
那和时候我们上课。。。
我想和王佩一起看
我想和你一起看，而你却不知晓
想自己看啊
声音好好听
七天后，我会去支持
11.1影院见
依旧是自己一个人看
10.27中传不见不散！
想和他去看啊啊啊啊啊啊啊  
我想和xlm一起看啊！
我好像已经看完了。。。
想跟三个哈皮一台戏去！老榕树冲鸭
要和十月一起去看了，幸福
电影院见
我一定要去看！
我想和秋梨一起看
想跟mxh一起看
张梦迪我想你了
我要自己去看
吧
想要和ljy一起看
想和你一起看
只能自己去看了
我要自己去看啦
我想和赵丽萍一起看
拿麻袋套住导演，拖出去打
梵高？
想，但不能和她一起看的电影。我喜欢下雨天，更喜欢你。
想和夕颜喵一起去看
赵茂，我想和你一起去看
我想个peach，老子自己一个人去！
これは僕と彼女だけが知っている
假如有人陪我看。。。
谭丹丹想和你一起看！
想和LYX一起去看
想和ta去看
想和zzy一起去看
君名我没去这次一定要去
老子一个人去看
想和wnn去看
想和ty一起去看
想和xjy去看
想带xjy去看
想和wz看
想和完同学去看啊
想自己一个人看……
想和秦广媛一起看
想和lzy一起看
好想你啊
想和lzy一起啊，可是我卑微到不敢
电影院见
想和hjy一起去看
想和小傻瓜一起去看
想和lyj一起去看
想和张曼一起去看
懦夫表白墙
想和张祥宇一起看
怂蛋表白墙
该不会真有人没看过原著吧
留名
七天后的一起
新海诚他相信爱情了!
我想和安迷修一起看（我在做梦）
想和lxy一起看
想和李小璐一起去看
希望能和喜欢的人一起看！
一个人去看QAQ
新海诚行为
想和易芝银一起去看
好
新海诚不相信爱情
刘佳如果可以的话，我想和你一起看！！！！
一个人看
想和星池宝宝一起看~
一定要和dyt一起看
ljr
想和今年五月的你去看，
和女朋友一起去看呀
新海诚行为
三年了还是一个人看
电影院见
我生日
想和lhw一起看
我想你了王莹
光
没有人陪我看
我想和lmj去看
nmd我只能一个人看
想和肉宝贝一起看～
刘明
我要和彭向上一起看！
谢谢你
想和白先生一起看
想和香菇一起看。
想和蔡徐坤一边打篮球一边看
想和基友一起去看
声之形剧情
和cxk一起看(⊙o⊙)
想和zhj一起去看
哈哈哈
孤犬狂怒
想和syy去看
以上死亡名单
电影院见
约好和华华一起看！(*˘︶˘*).。.:*♡
wyf想和你一起去看
你新海诚还是你新海诚
文管中心已阅，准映
我还是好好想你啊
我想和yms一起看
想和ym一起看
想和你一起看
想和lyt一起去看
想和ftr一起去看
也是一个人的路过
想和QY一起去看
想和cxy一起看
没有想一起看的人………
手里有刀的同志先冷静一下
想和yrx一起看，但他一定不会。。和我
想和梦梦一起看
想和lx一起去看
杨嘉琪我爱你！
那个陪我看君名的男孩已经不在了啊
想和以前一起去看电影的憨批兄弟们去看
志豪我的
过客 再也不见啦
想和lws一起看
想和李雨蔓一起去看，可惜不可能了
我想和pwl一起看
想自己看
和L L！！！
想和喜欢的人一起看
新海诚行为
我要和自己一个人看呢！
我想和危曦看
我想和cry一起去看
想和zzl去看
为什么看到我的名字了啊
想和hxm一起看，虽然现在不熟
一个人去看
这是新海诚的风格
lxy
电影院见
那个zyy请你和我去看！
lzy和你一起
想和ljy一起去
蔡徐坤 我想和你去看
我想和张慧君一起看
俺没钱康
只能自己看了
必看
我想和张慧君一起看
方晖，我爱你
想和wlm一起看
好想和D…B一起去看啊
我想和你一起看！
想和sz一起看。。。
想和grh一起去看
想和你一起看  JL   对不起
和四个室友一起看
想和蜀黍一起看
一如既往的好听
我想去看！
想和尚文心一起看
zkj我要和你一起看
傻白蔡，期待了好久，可惜还是没机会和你一起看了
我要跟伍祉璇去看！
我真的好想好想跟Lily L去看啊
想和…LYM一起看
让我们一直就这样在一起
。。。。。。。。。
想和聂一起看
想和CJW一起看
111
希望19年能遇到可爱温柔的女孩子喜欢我
想和lqy一起看
和徐艺嘉一起看！！！
金闪闪我爱你
求 此时刻帆高的加速度a的大小及方向
和基友看
想和lj一起看
我自己去看。
凪前辈哎
kaji！！！！！！啊啊啊啊啊啊啊啊kaji！！！！！！
时间
想和ssj一起去看
想和wp一起看
想和lmz看
想和szm一起去看
和基友以及两个同班的男生
我想看它。。。。。
工农村 一起看 有吗？
想和lcy一起看
想和szh去看
一个人看抖孤儿
我想自己去看
我看了原著，好还原啊
txy
我想一个人看
自己看。。
爱和谁去就和谁去，反正不自己就行
对不起啊，我爱过的你
看这个雨衣狂魔
想和娜娜一起看
想和syt一起看
想和wss一起看
zx来吧
想和ywn一起去看
想和hjy一起看！
想和所爱之人一起看
我想和我自己一起去看
yzh
想和lr一起看！
想和
琦妃我想你了
给我一个对象一起去看吧
弹幕礼仪弹幕礼仪弹幕礼仪
想自己去看
想和zqy一起去看
Zqy
想和自己去看
想要甜甜的恋爱啊
你不知道我有多想和你去看
gz
想和dxp一起去看啊
和刘悦悦一起看
想和syf一起看
要和荼荼一起去看
想和tyh一起看
希望不是一个人去看叭，不知道你还记得我吗
想和zjh一起去看
带上我的祝福滚
想和朱浩源一起看！
想和小娟一起看
想和aby一起看
希望yj能陪我一起看
我想和兄弟一起看。
想和自己去
跟CSY一起看好吗
超想和张昕颐一起看!!!
想和gpr一起看
想和自己看
想和lur一起看
我想和陈洁一起看
想和江语恬一起去看
想和huc一起看
停止新海诚行为
想和喜欢的女孩子一起去看
想和LLH一起去看
我要和严瑞怡一起看
 想和zyj看
想和the shy看的那个666
想和瑶瑶一起看
自己去看，
想和ZMY一起看
想和HYZ去看
想和小韩一起去看
想和cq一起看
我想和wjx一起去看
王楠我想和你一起去看，AB制，我A你B
要和wwt一起去看
yqp想和yh一起去看
希望高露能和我一起去吧
我想和吴清婷一起去看www
不知道会和谁去看
想和最喜欢的人一起看
想和lwl一起看！
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！！！！！！！！！！！！
啊啊啊我也想和喜欢的人一起去看吖 可是我没有
想和木每王册一起看
想和那个人去看已经不在了
想和hmm一起去看
自己看多舒服
我想和zsw一起去看
想和glzr一起看!
想和wyt去看
想和zzy一起。。。
胡杏怡我爱你啊！！！！！！！
想和cxy去看
想和张紫妍一起看
想和ley一起看
想和cxk一起看
粟一起看吗
等了3个月了
想和lgy一起看
想和ljy一起去看
想和zjm去看吖，可惜不能吖
燕子～梁山伯想和你去看 
建议关弹幕食用
LB想带你去看晴空万里   想大声告诉你我为你着迷！
自己一个人看没什么不好的，对吧
超想和某个叫Djy的女人一起去看
新海诚相信爱情了吗？？？？？
想带个最喜欢的人去看 今年又没机会了
想和dxj一起看
想和王瑞鹏去看
想和zxy一起去看啊啊啊啊啊
Zn
想和syq一起看
爬。
能...让我再见你一次吗？
xqx我想你了
我要和瓯江一起看！！！
"想和zjj,lx一起去看"
曹瑾我爱你
想和呆瓜一起看
一个人去看吧，唉
想和陈桉一起去看
zwb我是真的很喜欢你啊
想和YC一起去看
王贝伦王贝伦王贝伦王贝伦
你是我遥不可及的梦！！！
想和汪莹一起去看
我想和 SYX一起去看
想和zsy一起看
好想和bxq一起看啊啊啊！
感觉预告片和mv看多了剧情都能脑补了
whjwhjwhjwhjwhj
想和lwy一起去看
和zyj说好了。去看！
我爱你pxy          想和你一起去看
想和lyh一起去看
想和李静莹一起看
想和hqh一起看
我想和yn去看
我想去见你啊
原著就是新海诚
想和你一起看看这个世界到底有多好又有多坏
想和三叶一起看
想和qy一起看
想和和和和cxk去看！！！！！！！！！！！！！！！
cxk
许红娜，想和你一起看
我想和02看
有没有人和我一起去看哇
znmh 老子要和你去看！！
我哭的稀里哗啦的，然后那个说要和cxk一起看的笑死我了哈哈哈哈哈
期中考试好好考，我要一个人去看天气之子！！！！！！
想好tqq一起去看
好想去看啊啊啊
从最初预告等到现在，我终于快等到了
真香
Lyh我想和你一起看
胰脏
啊啊啊啊啊，太好哭啦
不能去看了
我想你啦，不经意的想，你好像远走消失不见了，可…是啊你从没来过我身边！我不敢说出你的名字bg
md牛顿的眼泪！这能追上？
我放不下你，回来吧
xc
想和刘苏宇一起看
自己去吧
想和猪屁雯一起去看
还想和贺佳乐一起看
我一定一定不会和你分开的呢xxl！
想和宋思婷一起看
我要和xxl一起去看
和刘铱丛一起看
我想和庞怡一起看
老子自己去看！！！
优
碧萝，我们一起看吧［狗头
想和李功德一起看
想和李功德一起看
我想和BRT一起看qwq
我想和BRT一起看
想和lhl一起去看
gys我好喜欢你啊
很好看的亚子
太湖湾
想和王清平一起看
想和贺文婧一起看
我想和你去看lfy
你看的到吗，吴付强我喜欢你 来自左肩 靠近心脏。
闵楠我爱你
我想自己看
我生日当天上映！
想和hyx一起看
这次又要去看
我想要hmq陪我去看啊！
希望不是只有我一个人看啊丢
想和你去看
想和psx一起看
想和wyl一起看
想和cci一起去看
喜欢就同意吧
我只想一个人去看
和hjy一起看hjy
想和wyj去看
gww啊
想和黄婷去看。10.26深夜刚买好的预售
想和yqq去看
得了，表白墙又开始了，b站真的不行了
阳菜会一直等着你
如果还能和xr一起看就好啦
想跟小晴晴去看(๑• . •๑)
新海诚我劝你做个人
ljs我们一起去看  恩阿
如果你喜欢的是我就好了
一起去看吧！坤巧
想和文文去看
当年和你看《你的名字》WAN
当年和你看《你的名字》WAN
fzy
已买票！和男朋友一起看！
想和gyx一起去
我要和茜茜一起去看啊！！！！
我和我自己去看好酸啊
老子自己一个人看
