承包了
泪目
换个手
怎么感觉在说方言
挺好！！！
真好听
方言的味道  哈哈哈
你不是派大星吗？
？？？换手可还行
城市这么大却不属于我
爱了爱了
？？？？？
这词真牛逼
左上角竟然是动的。。
正好是2019硬币，up加油
妙 
红色激情牛逼！！！！
电视里放的是红鸡的另一个鬼畜，沙漠香猪
我就想知道这个视频需要多少帧（头发）
233333
教科书级鬼畜
海绵伴唱好评
以前看着海绵宝宝是快乐，现在却是回忆
想哭
下次下次
火钳
实话说，工作一年了，还是学校好啊
最怕突然动感情
百万填词！！！！
哈哈哈哈哈
火钳刘明
百万助攻
泪目
666
已四连
你币有了
！！！
谢谢你
bilibili- ( ゜- ゜)つロ 乾杯~
bilibili- ( ゜- ゜)つロ 乾杯~
bilibili- ( ゜- ゜)つロ 乾杯~
bilibili- ( ゜- ゜)つロ 乾杯~
？？？？
疯狂明示
giao语？
词填的真牛b
红色激情把我感动了好几次了 上一次中暑哥
????????????????????????
亿万填词
整挺好
火钳刘明
666
换个手可还行
已三连
换个手？？？？
歌词很强！！！
哭了
喜欢
泪目
乾杯 []~（￣▽￣）~*
giao
你再骂
哈哈哈哈，防不及防
你币有了
我又来啦
火钳刘明。。。
为什么，人要机器一样生活
孤独吗就是生活的压力和周围的人沉默吧
下次一定
bilibili- ( ゜- ゜)つロ 乾杯~
bilibili- ( ゜- ゜)つロ 乾杯~
哔哩哔哩
哈哈哈哈哈哈哈哈哈哈哈哈
有才
11111
加油！
城市这么大却不属于我
我看红激的时候是魂斗罗
好内涵
giao
giao
秒啊
bilibili- ( ゜- ゜)つロ 乾杯~
bilibili乾杯
今日听君歌一曲，暂凭杯酒长精神
真的快乐了
爱了爱了
带来了
为什么人要像机器一样生活
bilbil干杯
bilibili- ( ゜- ゜)つロ 乾杯~
哭了
泪目
山东派大星
1778人你们好
我哭了
火钳刘明
火钳刘明
火钳刘明
？
泪目
火钳刘明
bilibili- ( ゜- ゜)つロ 乾杯~
bilibili乾杯
？？？
555给你币了
你币有了
哔哩哔哩干杯
火钳刘明
再来亿变
百万填词
哔哩哔哩 (゜-゜)つロ 干杯~
哔哩哔哩 (゜-゜)つロ 干杯~
哔哩哔哩 (゜-゜)つロ 干杯 ~
Up 超棒的哟 加油！！！！
这不就是我吗
bilibili乾杯 []~（￣▽￣）~*
!!!
不知道听了多少遍了 停不下来
哈哈哈还有垃圾分类 重点要考的
情绪低落了将近一个月…没有什么原因…就是这么莫名奇妙…害怕被别人说自己矫情…一直一个人…勉强地微笑
泪目
blibli，乾杯
疯狂暗示 哈哈哈
疯狂暗示
bilibili- ( ゜- ゜)つロ 乾杯~
填词很强
哔哩哔哩 乾杯 []~（￣▽￣）~*
我哭了许久
哔哩哔哩 (゜-゜)つロ 干杯~
哔哩哔哩 (゜-゜)つロ 干杯~
哔哩哔哩 (゜-゜)つロ 干杯~
bilibili- ( ゜- ゜)つロ 乾杯~
有那味了
火钳刘明
好形象啊
嘿嘿
bilibili- ( ゜- ゜)つロ 乾杯~
火钳刘明
bilibili- ( ゜- ゜)つロ 乾杯~
泪目
投币居然比点赞多，666
巧了我也是
泪目了
哔哩哔哩 (゜-゜)つロ 干杯~
??
哔哩哔哩-(゜-゜)つロ乾杯~
火钳刘明
挺好的
不怕鬼畜全明星，就怕鬼畜正能量！
百万填词
哔哩哔哩 乾杯
再来亿遍，，我
？？？？？？？
干杯
？？？？？
哔哩哔哩乾杯～～～～
LOVE！
哔哩哔哩-(゜-゜)つロ乾杯~
可以
突然有口音了
妙啊
bilibili-（ ゜- ゜）つロ 乾杯~
？？？
不要哭不要哭不要哭不要哭不要哭不要哭不要哭不要哭不要哭不要哭不要哭不要哭不要哭不要哭不要哭不要哭不要哭不要哭不要哭不要哭不要哭不要哭不要哭不要哭不要哭不要哭不要哭不要哭不要哭不要哭不要哭不要哭不要哭不
泪目
哔哩哔哩乾杯～
哔哩哔哩干杯！
bilibili-（ ゜- ゜）つロ 乾杯~
火起来！
？？？
哔哩哔哩 - ( ゜- ゜)つロ 乾杯~
喜欢
上高中了，烦恼慢慢多了起来，没有以前的真实
？？？？？？？？？？
加油
泪目。
bilibili- ( ゜- ゜)つロ 乾杯~
bilibili- ( ゜- ゜)つロ 乾杯~
特意登录三连
百万预购
giao大星
再来一遍
火钳刘明
火钳刘明
厉害三连了
哔哩哔哩干杯
哔哩哔哩 (゜-゜)つロ 干杯~
